Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/02/2000,195.399994,,-140.5,,54.899994,,-36.099998,,,18.799999,-1.7,,1.8,0.0,,-0.1,17.099999,-6.8,,10.3,0.1,,,10.199999,0.0,10.2,0.0,0.0,10.2,10.2,,26.799999,0.38,0.38,0.38,27.1,0.38,0.38,0.38,
07/02/2000,202.300003,,-146.899994,,55.400009,,-49.299999,,,6.1,-1.5,1.8,1.8,0.0,,-0.3,4.6,-1.8,,2.8,-0.3,,,3.1,0.0,3.1,0.0,0.0,3.1,3.1,,26.9,0.11,0.1,0.37,27.6,0.11,0.1,0.36,
10/01/2000,201.100006,,-145.399994,,55.700012,,-38.799999,,,16.9,-0.8,1.3,1.3,0.0,,-0.5,16.1,-6.4,,9.7,-0.1,,,9.8,0.0,9.8,0.0,0.0,9.8,9.8,,29.0,0.33,0.33,0.33,30.200001,0.32,0.32,0.32,
12/31/2000,196.300003,,-146.800003,,49.5,,-34.200001,,,15.3,-0.2,0.4,0.4,0.0,,-0.2,15.1,-6.0,,9.1,-0.1,,,9.2,0.0,9.2,0.0,0.0,9.2,9.2,,31.200001,0.29,0.29,0.33,32.799999,0.28,0.28,0.32,
04/01/2001,189.699997,,-146.300003,,43.399994,,-35.299999,,,8.1,-0.2,,0.3,0.0,,-0.1,7.9,-3.1,,4.8,0.0,,,4.8,0.0,4.8,0.0,0.0,4.8,4.8,,31.6,0.15,0.15,0.15,32.5,0.15,0.15,0.15,
07/01/2001,184.0,,-147.899994,,36.100006,,-37.900002,,,-1.8,-15.1,0.8,0.8,0.0,,14.3,-16.9,6.7,,-10.2,0.2,,,-10.4,0.0,-10.4,0.0,0.0,-10.4,-10.4,,31.6,-0.33,-0.32,0.17,31.6,-0.33,-0.32,0.17,
09/30/2001,185.6,,-141.1,,44.5,0.0,-34.8,34.8,0.0,9.7,-0.2,0.4,,,,-0.2,9.5,-3.8,,5.7,,,,5.7,,5.7,,0.0,5.7,5.7,,31.7,0.18,0.18,0.18,32.5,0.18,0.18,0.18,
12/31/2001,185.0,,-138.300003,,46.699997,,-35.799999,,,10.9,-0.1,,0.4,0.0,,-0.3,10.8,-4.3,,6.5,0.0,,,6.499999,0.0,6.5,0.0,0.0,6.5,6.5,,32.400002,0.2,0.2,0.2,32.400002,0.2,0.2,0.2,
03/31/2002,183.300003,,-139.0,,44.300003,,-35.700001,,,8.6,-0.1,,0.3,0.0,,-0.2,8.5,-3.4,,5.1,0.0,,,5.1,0.0,5.1,0.0,0.0,5.1,5.1,,32.0,0.16,0.16,0.16,32.5,0.16,0.16,0.16,
06/30/2002,188.0,,-141.699997,,46.300003,,-36.599998,,,9.7,0.6,,0.2,0.0,,-0.8,10.3,-4.1,,6.2,0.0,,,6.2,0.0,6.2,0.0,0.0,6.2,6.2,,32.0,0.19,0.19,0.18,32.900002,0.19,0.19,0.18,
09/29/2002,191.800003,,-143.600006,,48.199997,,-36.700001,,,11.5,-0.1,,0.0,0.0,,0.1,11.4,-4.5,,6.9,0.0,,,6.9,0.0,6.9,0.0,0.0,6.9,6.9,,32.0,0.22,0.22,0.22,32.700001,0.21,0.21,0.21,
12/29/2002,209.600006,,-160.600006,,49.0,,-36.599998,,,12.4,-0.5,,0.1,0.0,,0.4,11.9,-4.7,,7.2,0.0,,,7.2,0.0,7.2,0.0,0.0,7.2,7.2,,32.799999,0.23,0.23,0.23,32.799999,0.22,0.22,0.22,
03/30/2003,197.199997,,-151.600006,,45.599991,,-36.400002,,,9.2,-0.2,0.1,0.1,0.0,,0.1,9.0,-3.5,,5.5,0.0,,,5.5,0.0,5.5,0.0,0.0,5.5,5.5,,32.200001,0.17,0.17,0.17,32.5,0.17,0.17,0.17,
06/29/2003,205.399994,,-153.5,,51.899994,,-39.299999,,,12.6,-1.9,0.2,0.2,0.0,,1.7,10.7,-4.2,,6.5,0.0,,,6.500001,0.0,6.5,0.0,0.0,6.5,6.5,,32.200001,0.2,0.2,0.2,32.5,0.2,0.2,0.2,
09/28/2003,215.699997,,-163.100006,,52.599991,,-40.700001,,,11.9,0.3,0.2,0.2,0.0,,-0.5,12.2,-2.3,,9.9,0.0,,,9.9,0.0,9.9,0.0,0.0,9.9,9.9,,32.200001,0.31,0.31,0.23,32.700001,0.3,0.3,0.23,
12/28/2003,222.399994,,-168.5,,53.899994,,-40.599998,,,13.3,-0.6,,0.3,0.0,,0.3,12.7,-4.9,,7.8,0.0,,,7.8,0.0,7.8,0.0,0.0,7.8,7.8,,32.900002,0.24,0.24,0.24,32.900002,0.24,0.24,0.24,
03/28/2004,219.600006,,-168.300003,,51.300003,,-41.700001,,,9.6,0.1,0.1,0.1,0.0,,-0.2,9.7,-3.8,,5.9,0.0,,,5.9,0.0,5.9,0.0,0.0,5.9,5.9,,32.299999,0.18,0.18,0.18,33.099998,0.18,0.18,0.18,
06/27/2004,238.899994,,-178.300003,,60.599991,,-43.900002,,,16.700001,-0.2,0.3,0.3,0.0,,-0.1,16.500001,-6.6,,9.9,0.0,,,9.900001,0.0,9.9,0.0,0.0,9.9,9.9,,32.400002,0.31,0.31,0.31,33.200001,0.3,0.3,0.3,
09/26/2004,270.0,,-194.600006,,75.399994,,-56.900002,,,18.5,2.1,0.6,0.6,0.0,,-2.7,20.6,-8.1,,12.5,0.0,,,12.5,0.0,12.5,0.0,0.0,12.5,12.5,,32.5,0.38,0.38,0.38,33.599998,0.37,0.37,0.37,
01/02/2005,288.1,,-205.1,,83.0,,-60.9,,,22.1,-0.9,,0.9,0.0,,0.0,21.2,-7.8,,13.4,0.0,,,13.4,0.0,13.4,0.0,0.0,13.4,13.4,,32.4,0.41,0.41,0.41,34.1,0.39,0.39,0.39,
04/03/2005,297.5,,-214.5,,83.0,,-59.400002,,,23.6,1.7,0.8,0.8,0.0,,-2.5,25.3,-9.5,,15.8,0.0,,,15.8,0.0,15.8,0.0,0.0,15.8,15.8,,33.0,0.48,0.48,0.4308,34.400002,0.46,0.46,0.41,
07/03/2005,303.299988,,-220.0,,83.299988,,-56.599998,,,26.700001,-0.9,0.9,0.9,0.0,,0.0,25.800001,-9.7,,16.1,0.0,,,16.100001,0.0,16.1,0.0,0.0,16.1,16.1,,33.099998,0.49,0.49,0.49,34.5,0.47,0.47,0.47,
10/02/2005,295.299988,,-212.5,,82.799988,,-59.400002,,,23.4,1.8,0.9,0.9,0.0,,-2.7,25.2,-9.5,,15.7,0.0,,,15.7,0.0,15.7,0.0,0.0,15.7,15.7,,33.299999,0.47,0.47,0.47,34.799999,0.45,0.45,0.45,
01/01/2006,310.4,,-222.6,,87.8,,-60.8,,,27.0,-0.3,,0.9,0.0,,-0.6,26.7,-10.1,,16.6,0.0,,,16.6,0.0,16.6,0.0,0.0,16.6,16.6,,34.9,0.48,0.48,0.48,34.9,0.48,0.48,0.48,
04/02/2006,330.2,,-236.8,,93.4,0.0,-67.1,67.1,0.0,26.3,2.4,1.1,1.1,0.0,,-3.5,28.7,-10.8,,17.9,0.0,,,17.9,0.0,17.9,0.0,0.0,17.9,17.9,,34.0,0.53,0.53,0.53,35.1,0.51,0.51,0.51,
