Date,Revenue,Sales & Services Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,166.537994,,0.0,166.537994,,-152.078995,,,,14.459,-5.6,,5.679,,0.0,-0.079,8.859,-3.294,5.565,0.0,,,5.565,0.0,5.565,0.0,,5.565,5.565,,123.024002,0.0475,0.0475,,123.024002,0.0475,0.0475,0.0475,
06/30/1990,151.529999,,0.0,151.529999,,-140.287003,,,,11.243,-5.665,,5.736,,0.0,-0.071,5.578,-2.077,3.501,0.0,,,3.501,0.0,3.501,0.0,,3.501,3.501,,121.695999,0.0325,0.0325,,121.695999,0.0325,0.0325,0.0325,
09/30/1990,150.082001,,0.0,150.082001,,-142.320999,,,,7.761,-5.525,,5.653,,0.0,-0.128,2.236,-0.807,1.429,0.0,,,1.429,0.0,1.429,0.0,,1.429,1.429,,119.335999,0.015,0.015,,119.335999,0.015,0.015,0.015,
12/31/1990,158.957993,,0.0,158.957993,,-151.735001,,,,7.223,-5.442,,5.521,,0.0,-0.079,1.781,-0.669,1.112,0.0,,,1.112,0.0,1.112,0.0,,1.112,1.112,,108.879997,0.01,0.01,,108.879997,0.01,0.01,0.01,
03/31/1991,178.787003,,0.0,178.787003,,-161.998001,,,,16.789,-4.171,,4.271,,0.0,-0.1,12.618,-2.925,9.693,0.0,,,9.693,0.0,9.693,0.0,,9.693,9.693,,120.984001,0.0825,0.0825,,120.984001,0.0825,0.0825,0.0825,
06/30/1991,168.654999,,0.0,168.654999,,-156.311996,,,,12.343,-2.826,,2.926,,0.0,-0.1,9.517,-3.7,5.817,0.0,,,5.817,0.0,5.817,0.0,,5.817,5.817,,119.935997,0.0525,0.0525,,119.935997,0.0525,0.0525,0.0525,
09/30/1991,166.421997,,0.0,166.421997,,-159.414001,,,,7.008,-2.755,,2.872,,0.0,-0.117,4.253,-1.748,2.505,0.0,,,2.505,0.0,2.505,0.0,,2.505,2.505,,120.047997,0.02375,0.02375,,120.047997,0.02375,0.02375,0.02375,
12/31/1991,177.080994,,0.0,177.080994,,-175.186996,,,,1.894,2.025,,0.0,,-1.919,-0.106,3.919,-1.615,2.304,0.0,,,2.304,0.0,2.304,0.0,,2.304,2.304,,119.984001,0.0225,0.0225,,119.984001,0.0225,0.0225,0.0225,
03/31/1992,202.048996,,0.0,202.048996,,-179.072998,,,,22.976,-3.002,,3.002,,0.0,0.0,19.974,-12.531,7.443,0.0,,,7.443,0.0,7.443,0.0,,7.443,7.443,,120.071999,0.065,0.065,,120.071999,0.065,0.065,0.065,
06/30/1992,174.427994,,0.0,174.427994,,-161.399994,,,,13.028,-2.981,,2.981,,0.0,0.0,10.047,-3.927,6.12,0.0,,,6.12,0.0,6.12,0.0,,6.12,6.12,,120.248001,0.05375,0.05375,,120.248001,0.05375,0.05375,0.05375,
09/30/1992,173.720001,,0.0,173.720001,,-165.315002,,,,8.405,-2.675,,2.675,,0.0,0.0,5.73,-2.33,3.4,0.0,,,3.4,0.0,3.4,0.0,,3.4,3.4,,120.232002,0.03125,0.03125,,120.232002,0.03125,0.03125,0.03125,
12/31/1992,181.029999,,0.0,181.029999,,-173.072006,,,,7.958,-2.756,,2.756,,0.0,0.0,5.202,-2.145,3.057,0.0,,,3.057,0.0,3.057,0.0,,3.057,3.057,,118.487999,0.02875,0.02875,,118.487999,0.02875,0.02875,0.02875,
03/31/1993,195.304993,,0.0,195.304993,,-179.550003,,,,15.755,-2.635,,2.635,,0.0,0.0,13.12,-4.509,8.611,0.0,,,8.611,0.0,8.611,0.0,,8.611,8.611,,119.103996,0.075,0.075,,119.103996,0.075,0.075,0.075,
06/30/1993,187.453003,,0.0,187.453003,,-175.619995,,,,11.833,-2.098,,2.098,,0.0,0.0,9.735,-3.257,6.478,0.0,,,6.478,0.0,6.478,0.0,,6.478,6.478,,118.896004,0.0575,0.0575,,118.896004,0.0575,0.0575,0.0575,
09/30/1993,186.332001,,0.0,186.332001,,-176.824997,,,,9.507,-2.004,,2.004,,0.0,0.0,7.503,-2.346,5.157,0.0,,,5.157,0.0,5.157,0.0,,5.157,5.157,,118.351997,0.04625,0.04625,,118.351997,0.04625,0.04625,0.04625,
12/31/1993,192.453995,,0.0,192.453995,,-185.807999,,,,6.646,-1.908,,1.908,,0.0,0.0,4.738,-0.973,3.765,0.0,,,3.765,0.0,3.765,0.0,,3.765,3.765,,117.856003,0.035,0.035,,117.856003,0.035,0.035,0.035,
03/31/1994,194.432007,,0.0,194.432007,,-175.815994,,,,18.615999,-1.822,,1.822,,0.0,0.0,16.793999,-6.507,10.287,0.0,,,10.286999,0.0,10.287,0.0,,10.287,10.287,,118.087997,0.09,0.09,,118.087997,0.09,0.09,0.09,
06/30/1994,192.199005,,0.0,192.199005,,-177.485992,,,,14.713,-1.356,,1.356,,0.0,0.0,13.357,-5.204,8.153,0.0,,,8.153,0.0,8.153,0.0,,8.153,8.153,,115.160004,0.07125,0.07125,,115.160004,0.07125,0.07125,0.07125,
09/30/1994,191.511993,,0.0,191.511993,,-180.395004,,,,11.117,-1.495,,1.495,,0.0,0.0,9.622,-3.787,5.835,0.0,,,5.835,0.0,5.835,0.0,,5.835,5.835,,114.512001,0.05125,0.05125,,114.512001,0.05125,0.05125,0.05125,
12/31/1994,204.056,,0.0,204.056,,-195.298004,,,,8.758,-1.602,,1.602,,0.0,0.0,7.156,-2.711,4.445,0.0,,,4.445,0.0,4.445,0.0,,4.445,4.445,,112.176,0.04,0.04,0.04,112.176,0.04,0.04,0.04,
03/31/1995,203.529996,,,,,-182.572004,,,,20.958,-1.614,,1.614,,0.0,0.0,19.344,-7.503,11.841,0.0,,,11.841,0.0,11.841,0.0,,11.841,11.841,,111.536,0.10625,0.10625,0.10625,111.536,0.10625,0.10625,0.10625,
06/30/1995,198.107993,,,,,-182.232993,,,,15.875,-1.427,,1.427,,0.0,0.0,14.448,-4.893,9.555,0.0,,,9.555,0.0,9.555,0.0,,9.555,9.555,,112.096,0.085,0.085,0.085,112.096,0.085,0.085,0.085,
09/30/1995,212.320997,,,,,-197.654005,,,,14.667,-3.368,,3.368,,0.0,0.0,11.299,-4.07,7.229,0.0,,,7.229,0.0,7.229,0.0,,7.229,7.229,,112.464,0.06375,0.06375,0.06375,112.464,0.06375,0.06375,0.06375,
12/31/1995,240.26199,,,,,-227.577999,,,,12.684,-4.786,,4.786,,0.0,0.0,7.898,-1.039,6.859,0.0,,,6.859,0.0,6.859,0.0,,6.859,6.859,,114.432,0.06,0.06,0.06,114.432,0.06,0.06,0.06,
03/31/1996,244.75601,,,,,-215.930006,,,,28.826,-4.648,,4.648,,0.0,0.0,24.178,-8.677,15.501,0.0,,,15.501,0.0,15.501,0.0,,15.501,15.501,,110.72,0.14,0.14,0.14,114.848,0.135,0.135,0.135,
06/30/1996,257.440991,,,,,-232.318005,,,,25.122999,-5.972,,5.972,,0.0,0.0,19.150999,-6.935,12.216,0.0,,,12.215999,0.0,12.216,0.0,,12.216,12.216,,113.636,0.1075,0.1075,0.1075,115.832,0.105,0.105,0.105,
09/30/1996,273.582988,,,,,-250.861003,,,,22.722,-5.223,,5.223,,0.0,0.0,17.499,-6.214,11.285,0.0,,,11.285,0.0,11.285,0.0,,11.285,11.285,,128.968004,0.0875,0.0875,0.0875,131.395996,0.085,0.085,0.085,
12/31/1996,304.058,,,,,-275.404009,,,,28.653999,-9.478,,5.415,,0.0,4.063,19.175999,-7.507,11.669,0.0,,,11.668999,0.0,11.669,0.0,,11.669,11.669,,128.399992,0.09,0.09,0.09,131.255996,0.09,0.09,0.09,
03/31/1997,316.507013,,,,,-277.570002,,,,38.937,-4.956,,4.956,,0.0,0.0,33.981,-12.451,21.530001,0.0,,,21.53,0.0,21.530001,0.0,,21.530001,21.530001,,128.871996,0.1675,0.1675,0.1675,131.867996,0.1625,0.1625,0.1625,
06/30/1997,316.375989,,,,,-284.525006,,,,31.851,-5.384,,5.384,,0.0,0.0,26.467,-9.56,16.907,0.0,,,16.907,0.0,16.907,0.0,,16.907,16.907,,129.272004,0.13,0.13,0.13,132.412004,0.1275,0.1275,0.1275,
09/30/1997,333.297014,,,,,-306.852007,,,,26.445,-4.566,,4.566,,0.0,0.0,21.879,-8.06,13.819,0.0,,,13.819,0.0,13.819,0.0,,13.819,13.819,,129.384004,0.1075,0.1075,0.1075,132.511992,0.105,0.105,0.105,
12/31/1997,367.706986,,,,,-339.634995,,,,28.072001,-4.476,,4.476,,0.0,0.0,23.596001,-8.576,15.02,0.0,,,15.020001,0.0,15.02,0.0,,15.02,15.02,,129.608,0.115,0.115,0.115,133.512,0.1125,0.1125,0.1125,
03/31/1998,463.117,,-180.951,282.166,0.0,-240.539,,37.266,,41.627,,,,,,,39.879,-14.229,27.398,,,,25.65,-1.748,25.65,0.0,0.0,25.65,25.65,,130.064,0.1975,0.1975,0.1975,133.24,0.1925,0.1925,0.1925,
06/30/1998,441.568014,,,,,-399.289999,,,,42.278,-7.083,,7.083,,0.0,0.0,35.195,-11.208,23.987,0.0,,,23.987,-3.526,20.461,0.0,,20.461,20.461,,130.503996,0.1575,0.1575,0.1575,134.0,0.1525,0.1525,0.1525,
09/30/1998,424.973996,,,,,-395.993985,,,,28.98,-7.139,,7.139,,0.0,,21.841,-7.035,14.806,0.0,,,14.806,-1.413,13.393,0.0,,13.393,13.393,,130.572008,0.1025,0.1025,0.145,133.332,0.1,0.1,0.1425,
12/31/1998,442.567985,,,,,-402.547996,,,,40.02,-6.588,,6.588,,0.0,0.0,33.432,-10.982,22.450001,0.0,,,22.45,-2.396,20.054001,0.0,,20.054001,20.054001,,129.035996,0.155,0.155,0.1325,132.115996,0.1525,0.1525,0.1325,
03/31/1999,520.095,,-203.107,316.988,0.0,-265.299,,40.926,,51.689,,,,,,,47.695,-17.673,34.016,,,,30.022,-3.994,30.022,0.0,0.0,30.022,30.022,,128.028,0.235,0.235,0.235,130.752,0.23,0.23,0.23,
06/30/1999,472.922017,,,,,-426.71999,,,,46.202,-6.566,,,,0.0,6.566,39.636,-13.849,25.787001,0.0,,,25.787,-2.757,23.030001,0.0,,23.030001,23.030001,,126.636,0.1825,0.1825,0.1825,129.448,0.1775,0.1775,0.1775,
09/30/1999,444.902003,,,,,-422.296992,,,,22.605,-6.503,,,,0.0,6.503,16.102,-5.887,10.215,0.0,,,10.215,0.579,10.794,0.0,,10.794,10.794,,125.699996,0.085,0.085,0.085,128.203996,0.085,0.085,0.085,
12/31/1999,479.248,,,,,-445.02,,40.142,,34.228,-12.621,7.321,7.321,,0.0,5.3,21.607,-7.599,14.008,0.0,,,14.008,-0.079,13.929,0.0,,13.929,13.929,,122.308,0.115,0.115,0.1575,123.436,0.1125,0.1125,0.155,
03/31/2000,496.024028,,,,,-441.305004,,,,54.719002,-7.328,,,,0.0,7.328,47.391002,-15.619,31.771999,0.0,,,31.772002,-3.143,28.629,0.0,0.0,28.629,28.629,,122.364,0.235,0.235,0.235,124.22,0.23,0.23,0.23,
06/30/2000,482.945003,,,,,-435.95901,,,,46.986,-7.192,,,,0.0,7.192,39.794,-13.114,26.68,0.0,,,26.68,-3.371,23.309,0.0,0.0,23.309,23.309,,120.475996,0.1925,0.1925,0.1925,124.556,0.19,0.19,0.19,
09/30/2000,512.569,,,,,-467.231,,49.221,,45.338,-6.994,6.994,6.994,,0.0,0.0,38.344,-12.837,25.507,0.0,,,25.507,-3.172,22.335,0.0,0.0,22.335,22.335,,239.144,0.0925,0.0925,0.0925,270.752,0.09,0.09,0.09,
12/31/2000,558.281,,,,,-507.847,,56.541,,50.434,-16.174,8.427,8.427,,0.0,7.747,34.26,-11.176,23.084,0.0,,,23.084,-3.995,19.089,0.0,0.0,19.089,19.089,7.747,119.348,0.16,0.16,0.225,134.332,0.155,0.155,0.2125,
03/31/2001,621.721975,,,,,-550.991018,,,,70.731003,-9.883,,,,1.427,8.456,60.848003,-20.752001,40.096001,0.0,,,40.096002,-3.925,36.171001,0.0,0.0,36.171001,36.171001,,119.656,0.3025,0.3025,0.3025,134.296004,0.285,0.285,0.285,
06/30/2001,655.918008,,,,,-590.850992,,,,65.067001,-10.48,,10.506,,-0.026,0.0,54.587001,-18.497999,36.089001,0.0,,,36.089002,-3.699,32.389999,0.0,0.0,32.389999,32.389999,,119.835998,0.27,0.27,0.27,134.447998,0.255,0.255,0.255,
09/30/2001,652.102,,,,,-590.929,,68.682,,61.173,-9.846,9.846,9.846,,,0.0,51.327,-17.265,34.062,0.108,,,33.954,-3.7,30.254,,,30.254,30.254,,119.842,0.25,0.25,0.25,134.834,0.24,0.24,0.24,
12/31/2001,724.162,,,,,-660.68,,,,63.482,-54.721,,,,7.353,47.368,8.761,-0.632,8.129,1.008,,,7.121,-6.194,0.927,0.0,0.0,0.927,0.927,,119.658,0.01,0.02,0.25,121.034,0.01,0.02,0.25,
03/31/2002,746.477,,,,,-659.709,,57.894,,86.768,-8.73,8.964,8.964,,-0.234,0.0,78.038,-26.492,51.546,0.0,,,51.546,-5.873,45.673,0.0,0.0,45.673,45.673,,119.724,0.38,0.38,0.38,134.096,0.355,0.355,0.355,
06/30/2002,753.100007,,,,,-669.93802,,52.845,,83.162003,-8.402,8.153,8.153,,0.249,0.0,74.760003,-25.725,49.035,0.0,,,49.035003,-4.688,44.347,0.0,0.0,44.347,44.347,,119.867996,0.37,0.37,0.37,134.507996,0.345,0.345,0.345,
09/30/2002,750.514,,,,,-671.464996,,,,79.049004,-8.636,,,,0.255,8.381,70.413004,-24.038,46.375,0.0,,,46.375004,-4.924,41.451,0.0,0.0,41.451,41.451,,119.765998,0.345,0.345,0.345,134.350006,0.325,0.325,0.325,
03/31/2003,820.832,,,,,-722.785003,,,,98.046997,-9.849,,9.849,,,0.0,88.197997,-30.99,57.208,-0.612,,,57.819997,-5.03,52.790001,0.0,0.0,52.790001,52.790001,,116.554,0.455,0.455,0.455,131.192002,0.42,0.42,0.42,
06/30/2003,819.775,,,,,-720.161002,,,,99.613998,-9.37,,9.37,,,0.0,90.243998,-31.065001,59.179001,-0.301,,,59.479997,-8.53,50.950001,0.0,0.0,50.950001,50.950001,,115.309998,0.44,0.44,0.44,129.884002,0.41,0.41,0.41,
09/30/2003,810.862,,,,,-723.579,,60.591,,87.283,-8.609,8.609,,,,0.0,78.674,-26.574,52.1,-4.439,,,56.539,-7.478,49.061,0.0,0.0,49.061,49.061,,114.708,0.43,0.43,0.43,129.68,0.395,0.395,0.395,
12/31/2003,818.679987,,,,,-734.786005,,,,83.893997,-8.483,,10.394,,,-1.911,75.410997,-27.92,47.491001,-1.221,,,48.711997,-2.244,46.467999,0.0,0.0,46.467999,46.467999,,114.932,0.405,0.395,0.385,129.955994,0.36,0.35,0.34,
03/31/2004,898.98,,,,,-810.742,,83.596,,88.238,-10.902,11.0,11.0,,,-0.098,77.336,-26.813,50.523,-0.601,,,51.124,-4.941,46.183,0.0,0.0,46.183,46.183,-1.7,115.128,0.4,0.395,0.38,130.174,0.37,0.365,0.35,
06/30/2004,831.25,,,,,-746.418,,74.244,,84.832,-9.359,9.359,9.359,,,0.0,75.473,-25.908,49.565,-3.907,,,53.472,-5.183,48.289,0.0,0.0,48.289,48.289,0.0,115.244,0.42,0.385,0.385,129.946,0.39,0.36,0.36,
09/30/2004,834.186,,,,,-756.921,,79.907,,77.265,-9.351,9.351,9.351,,0.0,0.0,67.914,-22.967,44.947,1.507,,,43.44,-5.595,37.845,0.0,0.0,37.845,37.845,0.0,115.582,0.325,0.34,0.34,129.82,0.31,0.32,0.32,
