Date,P/E,Average,High,Low,P/Book,P/Sales,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
08/31/1980,,,,,,,,,,,0.752878,,
11/30/1980,,,,,,,,,,,0.957705,,
02/28/1981,,,,,,,,,,,0.996456,,
05/31/1981,,,,,,,,,,,1.644153,,
08/31/1981,,,,,,,,,,,1.320305,,
11/30/1981,,,,,,,,,,,1.826837,,
02/28/1982,,,,,,,,,,,1.24557,,
05/31/1982,,,,,,,,,,,1.162532,,
08/31/1982,,,,,,,,,,,1.422026,,
11/30/1982,,,,,,,,,,,2.491141,,
02/28/1983,,,,,,,,,,,2.989369,,
05/31/1983,,,,,,,,,,,3.534306,,
08/31/1983,,,,,,,,,,,3.99361,,
11/30/1983,,,,,,,,,,,3.339686,,
02/29/1984,,,,,,,,,,,3.176204,,
05/31/1984,,,,,,,,,,,3.456458,,
08/31/1984,,,,,,,,,,,4.62418,,
11/30/1984,,,,,,,,,,,4.484053,,
02/28/1985,,,,,,,,,,,6.72608,,
05/31/1985,,,,,,,,,,,7.181492,,
08/31/1985,,,,,,,,,,,7.14646,,
11/30/1985,,,,,,,,,,,7.56684,,
02/28/1986,,,,,,,,,,,7.514292,,
05/31/1986,,,,,,,,,,,9.66874,,
08/31/1986,,,,,,,,,,,9.984025,,
11/30/1986,,,,,,,,,,,7.934672,,
02/28/1987,,,,,,,,,,,7.98722,,
05/31/1987,,,,,,,,,,,7.409197,,
08/31/1987,,,,,,,,,,,7.671935,,
11/30/1987,,,,,,,,,,,5.67513,,
02/29/1988,,,,,,,,,,,5.202202,,
05/31/1988,,,,,,,,,,,4.41399,,
08/31/1988,,,,,,,,,,,4.939465,,
11/30/1988,,,,,,,,,,,5.937867,,
02/28/1989,,,,,,,,,,,6.51589,,
05/31/1989,,,,,,,,,,,6.883722,,
08/31/1989,,991.864522,991.864522,991.864522,2.879693,,,,,,6.51589,991.353007,
11/30/1989,,933.697809,1006.330147,875.727008,2.568548,,,,,,5.990415,938.483724,
02/28/1990,,983.013567,1058.913231,928.847974,2.633526,,,,,,6.253152,966.803726,
05/31/1990,,945.856797,1010.238991,875.27598,2.33645,0.733635,5.587364,1.273883,7.459856,11.663898,5.67513,902.844012,
08/31/1990,,892.898081,967.871222,794.45023,1.957096,0.612032,4.4519,1.15451,6.744725,10.489091,4.886918,843.238992,
11/30/1990,,944.494087,1046.370974,847.796017,2.524472,0.7849,5.959866,1.382549,8.066644,12.55023,6.51589,1046.526007,
02/28/1991,,1124.817451,1255.40501,1027.386974,3.323764,1.0137,7.697107,1.581239,9.131851,14.254287,8.722885,1237.101031,
05/31/1991,,1244.262012,1303.622033,1093.978021,3.306467,0.993538,8.115152,1.524599,8.766118,13.707425,8.933075,1243.263453,
08/31/1991,,1206.144825,1343.312708,1103.302514,3.460079,1.04671,10.789985,1.585417,8.963227,13.931905,9.773835,1341.266265,
11/30/1991,,1254.948689,1341.847462,1160.343512,2.874204,0.883988,7.112695,1.380833,7.620144,11.718373,8.460147,1198.168497,
02/29/1992,,1364.894931,1489.351995,1205.698392,3.373609,1.047316,6.469399,1.48005,8.057157,12.242248,10.29931,1321.269045,
05/31/1992,,1309.641012,1395.26598,1230.562985,3.009856,0.950536,5.444122,1.358923,7.13001,10.583889,10.08912,1245.078047,
08/31/1992,,1384.262909,1579.366022,1250.894986,3.834967,1.236854,7.713403,1.684488,8.66696,12.731254,13.399612,1577.326008,
11/30/1992,,1552.558375,1763.473011,1376.860004,3.922369,1.309996,8.82295,1.729705,8.856862,12.906691,14.581931,1667.428301,
02/28/1993,,1703.357365,1861.106056,1495.270296,3.361761,1.123614,8.195547,1.529518,7.835442,11.404969,12.769042,1507.930767,
05/31/1993,,1534.925455,1629.878144,1436.197016,3.374814,1.209043,9.775407,1.551583,8.031223,11.685423,13.399612,1566.594529,
08/31/1993,,1501.001,1700.699887,1392.244756,3.036546,1.103765,8.267923,1.427721,7.447037,10.802464,12.690221,1497.502354,
11/30/1993,,1570.713087,1677.061728,1427.098367,2.647745,1.136385,7.729798,1.41602,7.367129,10.602409,13.320791,1529.047621,
02/28/1994,,1772.101324,1949.47137,1448.645492,3.195499,1.390093,9.942368,1.660611,8.664818,12.395917,16.552463,1858.135549,
05/31/1994,,1908.699533,2029.620054,1825.07675,3.027115,1.345985,9.6677,1.580501,8.855771,11.672233,16.315999,1838.236623,
08/31/1994,,1828.944273,1949.461045,1750.08804,3.077467,1.416157,8.841411,1.624807,8.97245,11.749735,17.340675,1949.516015,
11/30/1994,,1945.067536,2082.031016,1840.386014,3.045204,1.430631,9.752941,1.611659,8.848388,11.602992,17.892424,1997.594362,
02/28/1995,,2039.413958,2161.312986,1911.594018,3.08598,1.525615,11.630015,1.72797,9.906651,12.24448,18.680636,2097.148787,
05/31/1995,,2117.516454,2237.598289,1995.713036,2.926109,1.793183,10.794161,2.035959,11.143248,15.737285,18.444173,2075.574804,
08/31/1995,,2175.350429,2369.476026,1994.944021,3.089416,2.081597,11.999454,2.423698,14.096022,20.497775,20.414704,2355.952779,
11/30/1995,,2397.262514,2545.955934,2293.502779,3.013003,2.153285,12.311727,2.620693,16.000251,23.612854,20.572346,2483.174871,
02/29/1996,,2717.132281,2944.163996,2504.734022,3.419991,2.34621,13.016515,2.773303,17.589814,25.909546,24.198124,2838.960802,
05/31/1996,,2906.688796,3061.173987,2745.029304,3.460451,2.31771,11.101481,2.753582,18.6405,28.936735,24.59223,2901.225971,
08/31/1996,,2708.628386,2925.555446,2471.553208,2.9267,2.093736,10.684604,2.577796,17.227007,26.63086,21.675844,2654.750603,
11/30/1996,,2652.197806,3101.90847,2027.160614,2.635979,1.604268,7.604884,2.103254,13.650026,20.928759,25.25,2080.946536,
02/28/1997,,2142.127633,2253.67404,2024.744599,2.535282,1.609798,7.742582,2.107267,11.864775,19.975593,26.625,2199.43261,
05/31/1997,20.89416,2105.508266,2305.653642,1906.165983,2.636831,1.397323,15.322933,1.785237,10.839544,16.234228,28.625,2311.120949,
08/31/1997,21.590909,2528.527101,2634.587832,2297.727517,2.762548,1.483262,25.575531,1.893466,11.182859,16.534306,30.875,2496.349558,
11/30/1997,23.979592,2687.045983,2834.160815,2496.719973,3.076275,1.67069,26.27634,2.000444,11.556576,17.005569,35.25,2679.380545,
02/28/1998,24.712171,2695.087564,3092.62645,2558.954529,3.162949,1.684827,21.256864,2.18109,12.220761,18.589967,37.5625,3094.504546,
05/31/1998,18.8997,2960.307646,3251.681454,2504.815534,2.587488,1.481443,14.837399,1.847979,10.692824,16.138849,31.5625,2512.011819,
