Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2005,43677,12,12,0.0,412,412,,0.0,,,,,62,,,,,486,8886,13977.0,-5091.0,1964,,32341,31948,1906,30042,,,393,43191,,223,223,,,,0.0,,,,,1473,,,1473,1696,6863,,,,13764,,,,13764,20627,22323,0.0,18078,,,,2276,-7,20347,1007,21354,43677,
06/30/2006,44010,26,26,0.0,413,413,,0.0,0.0,0.0,0.0,,98,,,,,537,9123,,,2074,,32276,31895,1886,30009,,,381,43473,,202,202,,,,0.0,,,,,1423,,,1423,1625,6523,,,,13948,,,,13948,20471,22096,0.0,18073,,,,2806,-7,20872,1042,21914,44010,
12/31/2006,55821,51,51,0.0,632,632,,0.0,0.0,0.0,0.0,0.0,305,,,,,988,11601,17543.0,-5942.0,2072,,41160,40986,2059,38927,,,174,54833,,516,516,,,,0.0,,,,,1974,,,1974,2490,14728,,,,13415,,,,13415,28143,30633,0.0,19324,,,0.0,4370,-130,23564,1624,25188,55821,
03/31/2007,55630,47,47,0.0,564,564,,0.0,0.0,0.0,0.0,0.0,160,,,,,771,12123,,,684,,42052,41895,2064,39831,,,157,54859,,328,328,,,,0.0,,,,,1910,,,1910,2238,14442,,,,13495,,,,13495,27937,30175,0.0,19327,,,0.0,4612,-128,23811,1644,25455,55630,
06/30/2007,55873,70,70,0.0,684,684,,0.0,0.0,0.0,0.0,0.0,93,,,,,847,12301,,,692,,42033,41890,2109,39781,,,143,55026,,342,342,,,,0.0,,,,,2023,,,2023,2365,14169,,,,13607,,,,13607,27776,30141,0.0,19317,,,0.0,4884,-143,24058,1674,25732,55873,
09/30/2007,56593,511,511,0.0,758,758,,0.0,0.0,0.0,0.0,0.0,121,,,,,1390,12455,,,733,,42015,41855,2126,39729,,,160,55203,,467,467,,,,0.0,,,,,1938,,,1938,2405,14240,,,,13851,,,,13851,28091,30496,0.0,19391,,,0.0,5132,-123,24400,1697,26097,56593,
12/31/2007,56600,232,232,0.0,743,743,,0.0,0.0,0.0,0.0,0.0,188,,,,,1163,12873,21190.0,-8317.0,735,,41829,41761,2117,39644,,,68,55437,,417,417,,,,0.0,,,,,2119,,,2119,2536,13877,,,,13757,,,,13757,27634,30170,0.0,19421,,,0.0,5459,-174,24706,1724,26430,56600,
03/31/2008,56523,226,226,,627,627,,,,,,,211,,,,,1064,12932,,,729,,41798,41700,2106,39594,,,98,55459,,318,318,,,,,,,,,2072,,,2072,2390,13526,,,,13859,,,,13859,27385,29775,,19466,,,0.0,5702,-171,24997,1751,26748,56523,
06/30/2008,60453,3849,3849,0.0,713,713,,0.0,0.0,0.0,0.0,0.0,210,,,,,4772,13172,,,731,,41778,41621,2106,39515,,,157,55681,,447,447,,,,0.0,,,,,2105,,,2105,2552,16763,,,,14092,,,,14092,30855,33407,0.0,19473,,,0.0,5977,-180,25270,1776,27046,60453,
09/30/2008,60414,3090,3090,,727,727,,,,,,,794,,,,,4611,13304,,,730,,41769,41556,2101,39455,,,213,55803,,403,403,,,,,,,,,2200,,,2200,2603,16048,,,,14363,,,,14363,30411,33014,,19488,,,0.0,6278,-177,25589,1811,27400,60414,
12/31/2008,47889,5449,5449,0.0,692,692,,0.0,0.0,0.0,0.0,0.0,518,,,,,6659,13537,23800.0,-10263.0,895,,26798,26688,2101,24587,,,110,41230,,546,546,,,,0.0,,,,,2327,,,2327,2873,18027,,,,8715,,,,8715,26742,29615,0.0,19517,,,0.0,-1886,-467,17164,1110,18274,47889,
03/31/2009,42524,396,396,0.0,526,526,0.0,0.0,0.0,0.0,0.0,0.0,420,,,141.0,279.0,1342,13461,,,917,917.0,26804,26638,2103,24535,,,166,41182,,1441,357,122.0,284.0,678.0,0.0,,,,,1134,,,967,2575,23458,23458.0,,,8906,,,8334.0,572,32364,34939,0.0,9757,4.0,9753.0,0.0,-1719,-457,7581,4,7585,42524,
06/30/2009,42772,528,528,0.0,617,617,0.0,0.0,0.0,0.0,0.0,0.0,448,,8.0,142.0,306.0,1593,13557,,,911,911.0,26711,26584,2103,24481,,,119,41179,,1486,355,113.0,306.0,712.0,0.0,,,,,1342,,8.0,1142,2828,22926,22926.0,,,9097,,,8515.0,574,32023,34851,0.0,9778,4.0,9774.0,0.0,-1402,-459,7917,4,7921,42772,
09/30/2009,42686,506,506,0.0,646,646,0.0,0.0,0.0,0.0,0.0,0.0,409,,,132.0,241.0,1561,13543,,,901,901.0,26681,26528,2105,24423,,,153,41125,,1550,293,114.0,428.0,715.0,0.0,,,,,1226,,36.0,1024,2776,22468,22468.0,,,9223,,,8645.0,542,31691,34467,0.0,9798,4.0,9794.0,0.0,-1135,-448,8215,4,8219,42686,
12/31/2009,43694,1048,1048,0.0,663,663,0.0,0.0,0.0,0.0,0.0,0.0,391,,25.0,139.0,251.0,2102,13919,26281.0,-12362.0,975,975.0,26698,26477,2111,24366,75.0,,121,41592,,1801,478,116.0,469.0,738.0,0.0,0.0,,,,1157,0.0,0.0,952,2958,22631,22631.0,,,9416,0.0,29.0,8957.0,430,32047,35005,0.0,9817,4.0,9813.0,0.0,-813,-319,8685,4,8689,43694,
03/31/2010,42626,361,361,0.0,548,548,0.0,0.0,0.0,0.0,0.0,0.0,378,,63.0,139.0,238.0,1287,13721,,,961,961.0,26657,26416,2112,24304,,,178,41339,,1735,279,221.0,456.0,779.0,0.0,0.0,0.0,0.0,,1096,,6.0,889,2831,21438,21438.0,0.0,0.0,9459,,,9043.0,410,30897,33728,0.0,9806,4.0,9802.0,0.0,-599,-314,8893,5,8898,42626,
