Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2006,516.567017,,,,,,-516.231995,,,,0.335,1.5,7.813,7.813,0.0,0.0,,-9.313,1.835,-0.718,,,1.117,0.0,,,1.117,0.0,1.117,0.0,0.0,1.117,1.117,,63.971508,0.02,0.02,0.02,64.480377,0.02,0.02,0.02,
06/30/2006,768.22998,,,,,,-758.22998,,,,10.0,5.036,3.852,8.348,-4.496,0.0,,-8.888,15.036,-5.354,,,9.682,0.0,,,9.682,0.0,9.682,0.0,0.0,9.682,9.682,,64.462677,0.15,0.15,0.13,65.329597,0.15,0.15,0.13,
09/30/2006,1368.220947,,,,,,-1342.275024,,,,25.945999,-2.442,5.644,8.636,-2.992,0.0,,-3.202,23.503999,-24.330999,,,-0.827,0.0,,,-0.827,-8.274,-9.101,0.0,0.0,-9.101,-9.101,,65.477684,-0.14,-0.14,-0.14,65.477684,-0.14,-0.14,-0.14,
12/31/2006,1051.973,,,,,,-1069.16,,,,-17.187,-5.211,,12.421,-4.958,0.0,,-2.252,-22.398,-6.807,,,-29.205,0.0,,,-29.205,-3.935,-33.14,0.0,0.0,-33.14,-33.14,,65.47768,-0.51,-0.51,-0.51,66.716736,-0.51,-0.51,-0.51,
03/31/2007,520.312,,-373.289,,147.023,,-179.325,,,,-32.302,-16.476,12.291,14.928,-2.637,,,4.185,-48.778,-5.901,,,-54.679,-6.635,,,-48.044,2.995,-45.049,0.0,0.0,-45.049,-45.049,,65.5,-0.69,-0.79,-0.79,65.5,-0.69,-0.79,-0.79,
06/30/2007,986.277,,,,,,-973.314,,,,12.963,11.493,10.958,15.248,-4.29,0.0,,-22.451,24.456,-14.953,,,9.503,-3.939,,,13.442,-3.52,9.922,0.0,0.0,9.922,9.922,,65.521804,0.15,0.09,0.09,67.702746,0.15,0.09,0.09,
09/30/2007,1452.578,,,,,,-1389.507,,,,63.071,-1.781,11.314,15.018,-3.704,0.0,,-9.533,61.29,-12.24,,,49.05,-0.602,,,49.652,-8.099,41.553,0.0,0.0,41.553,41.553,,69.398147,0.6,0.59,0.59,78.215047,0.55,0.54,0.54,
12/31/2007,796.303,,,,,,-1217.135,,,,-47.543,-25.77,,16.559,-2.845,0.0,,12.056,-73.313,19.82,,,-53.493,-32.667,,,-20.826,2.464,-18.362,0.0,0.0,-18.362,-18.362,,73.342377,-0.25,-0.5,-0.5,73.342377,-0.25,-0.5,-0.5,
03/31/2008,532.689,,-402.311,,130.378,,-200.267,154.397,,45.87,-69.889,-14.902,15.604,17.766,-2.162,,-0.288,-0.414,-84.791,13.962,,,-70.829,-31.366,,,-39.463,2.222,-37.241,0.0,0.0,-37.241,-37.241,0.29185,74.985,-0.5,-0.92,-0.92,74.985,-0.5,-0.92,-0.92,
06/30/2008,1129.735,,-891.716,,238.019,0.0,-210.185,166.669,,43.516,27.834,-14.199,13.055,16.321,-3.266,0.0,1.396,-0.252,13.635,-14.072,,,-0.437,2.456,,,-2.893,2.241,-0.652,0.0,0.0,-0.652,-0.652,0.0,75.720739,-0.01,0.02,0.02,76.791658,-0.01,0.02,0.02,
09/30/2008,1588.462,,-1295.416,,293.046,,-218.797,174.245,,44.552,74.249,-11.31,14.242,17.22,-2.978,,-1.979,-0.953,62.939,31.848,,,94.787,-47.55,,,142.337,-4.344,137.993,0.0,0.0,137.993,137.993,-0.7995,76.2309,1.84,1.17,1.17,84.513127,1.66,1.1,1.09054,
03/31/2009,484.912,484.912,-373.06,373.06,111.852,0.0,-200.111,140.902,42.083,17.126,-88.259,-17.776,16.265,17.255,-0.99,,-0.183,1.694,-106.035,-0.086,1.699,-1.613,-106.121,-2.964,-2.964,0.0,-103.157,0.45,-102.707,,0.0,-102.707,-97.1599,8.5111,79.602,-1.29,-1.33,-1.220571,79.602,-1.29,-1.33,-1.223079,
06/30/2009,1047.216,1047.216,-838.731,838.731,208.485,0.0,-216.62,154.606,35.503,26.511,-8.135,-13.568,15.288,15.864,-0.576,,-0.633,-1.087,-21.703,-8.603,9.177,-0.574,-30.306,-3.498,-3.498,0.0,-26.808,-0.39,-27.198,,0.0,-27.198,-19.67265,11.02335,83.612,-0.33,-0.37,-0.235285,83.612,-0.33,-0.37,-0.238161,
09/30/2009,1794.588,1794.588,-1467.647,1467.647,326.941,0.0,-218.542,158.412,35.953,24.177,108.399,-20.791,17.096,17.438,-0.342,,-0.163,3.858,87.608,-15.215,17.344,-2.129,72.393,-6.779,-6.779,0.0,79.172,-9.925,69.247,,0.0,69.247,69.839,7.371,83.631558,0.82,0.74,0.83508,92.717666,0.78,0.71,0.789499,
03/31/2010,723.361,723.361,-484.756,484.756,238.605,0.0,-344.941,231.596,62.633,50.712,-106.336,-24.303,25.918,26.561,-0.643,,-0.547,-1.068,-130.639,7.991,-7.991,,-122.648,0.303,0.303,0.0,-122.951,0.738,-122.213,,0.0,-122.213,-107.5528,14.3572,146.301,-0.83,-0.83,-0.735147,146.301,-0.83,-0.83,-0.735147,
06/30/2010,1266.735,1266.735,-896.283,896.283,370.452,0.0,-344.846,252.899,64.308,27.639,25.606,-48.04,29.141,29.932,-0.791,,-1.708,20.607,-22.434,-8.408,,,-30.842,0.377,0.377,0.0,-31.219,-1.568,-32.787,0.0,0.0,-32.787,-10.94115,21.46885,170.007727,-0.19,-0.19,-0.064357,170.007727,-0.19,-0.19,-0.064357,
09/30/2010,1835.806,1835.806,-1388.295,1388.295,447.511,0.0,-344.405,244.694,70.249,29.462,103.106,-27.73,28.571,29.28,-0.709,,-0.629,-0.212,75.376,-10.338,,,65.038,3.213,3.213,0.0,61.825,-10.818,51.007,0.0,0.0,51.007,55.7163,1.4963,170.285159,0.3,0.32,0.327194,172.302273,0.3,0.32,0.327194,
12/31/2010,1237.846,1237.846,-888.976,888.976,348.87,0.0,-434.946,285.302,124.476,25.168,-86.076,-24.881,29.126,30.754,-1.628,,-2.044,-2.201,-110.957,-4.399,,,-115.356,0.335,0.335,0.0,-115.691,-8.706,-124.397,0.0,0.0,-124.397,-94.60075,29.46125,171.0458,-0.72,-0.72,-0.553073,171.0458,-0.72,-0.72,-0.553073,
03/31/2011,849.409,849.409,-547.124,547.124,302.285,0.0,-374.446,272.969,77.481,23.996,-72.161,-27.123,28.79,29.317,-0.527,,-0.994,-0.673,-99.284,44.942,,,-54.342,0.0,0.0,0.0,-54.342,5.882,-48.46,0.0,0.0,-48.46,-52.418,1.924,176.292809,-0.274884,-0.274884,-0.26397,176.292809,-0.274884,-0.274884,-0.26397,
06/30/2011,1558.882,1558.882,-1138.151,1138.151,420.731,0.0,-368.358,266.795,76.927,24.636,52.373,-29.1,29.547,30.845,-1.298,,-1.778,1.331,23.273,-6.659,,,16.614,0.0,0.0,0.0,16.614,-3.357,13.257,0.0,0.0,13.257,13.2869,0.0299,180.818826,0.07,0.07,0.073482,182.790095,0.07,0.07,0.070164,
09/30/2011,1790.025,1790.025,-1286.304,1286.304,503.721,0.0,-398.912,282.462,83.341,33.109,104.809,-33.049,29.365,30.388,-1.023,,-2.777,6.461,71.76,-8.739,,,63.021,0.0,0.0,0.0,63.021,-11.309,51.712,0.0,0.0,51.712,59.1376,7.4256,186.127846,0.28,0.28,0.317726,188.53113,0.27,0.27,0.309387,
12/31/2011,1185.682,1185.682,-817.909,817.909,367.773,0.0,-434.457,289.743,105.269,39.445,-66.684,-25.692,28.585,29.952,-1.367,,-2.193,-0.7,-92.376,-3.32,,,-95.696,0.0,0.0,0.0,-95.696,-3.829,-99.525,0.0,0.0,-99.525,-87.3492,12.1758,187.78,-0.53,-0.53,-0.465168,187.78,-0.53,-0.53,-0.465168,
03/31/2012,867.997,867.997,-538.714,538.714,329.283,0.0,-372.086,268.135,79.713,24.238,-42.803,-23.147,28.81,29.71,-0.9,,-3.881,-1.782,-65.95,-4.278,,,-70.228,0.0,0.0,0.0,-70.228,1.078,-69.15,0.0,0.0,-69.15,-68.77495,0.37505,186.52152,-0.37,-0.37,-0.368724,186.52152,-0.37,-0.37,-0.368724,
