Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/30/1990,-1.954,-3.229,0.777,0.006,,,0.006,0.492,,,,0.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,-1.8,0.04,0.794,0.015,,,0.015,-2.649,,,,-2.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/01/1991,-2.581,0.071,0.846,0.09,,,0.09,-3.588,,,,-3.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,-2.348,0.202,1.088,-0.029,,,-0.029,-3.609,,,,-3.609,,,,,,,,,,,,,,,,,,,,,,,,,,-2.348,,,
12/30/1991,-1.181,0.268,1.1,-0.149,,,-0.149,-2.4,,,,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/30/1992,-0.854,0.851,1.064,0.539,,,0.539,-3.308,,,,-3.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,2.059,0.053,1.059,-0.046,,,-0.046,0.993,,,,0.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,-2.567,-0.468,1.132,-0.492,,,-0.492,-2.739,,,,-2.739,,,,,,,,,,,,,,,,,,,,,,,,,,-2.567,,,
12/31/1992,-2.737,-6.468,1.323,-0.21,,,-0.21,2.618,,,,2.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,-3.797,-5.139,1.348,0.067,,,0.067,-0.073,,,,-0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
