Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Other Electric Revenue,Revenue from Gas,Regulated Gas Revenue,Other Gas Revenue,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2002,489.200012,316.100006,,,,0.0,,,0.0,173.100006,-255.699997,255.699997,255.699997,,0.0,,,233.500015,-170.600006,,37.900002,45.5,87.199997,62.900002,-28.5,,,0.0,,35.0,31.4,0.0,3.6,-6.5,34.400002,-11.1,23.299999,0.0,,,23.300001,0.0,23.299999,0.0,,23.299999,23.299999,,107.099998,0.22,0.22,0.22,107.099998,0.22,0.22,0.22,
06/30/2002,581.200012,390.799988,,,,0.0,,,0.0,190.399994,-308.200012,308.200012,308.200012,,0.0,,,273.0,-171.199997,,38.0,48.700001,84.5,101.800003,-30.999999,,,0.0,,35.599998,32.0,0.0,3.6,-4.6,70.800004,-25.1,45.700001,0.0,,,45.700004,0.0,45.700001,0.0,,45.700001,45.700001,,107.099998,0.43,0.43,0.44,107.099998,0.43,0.43,0.44,
09/30/2002,1641.2,1641.2,,,,0.0,,,0.0,1641.2,-1076.4,1076.4,1076.4,,,,,564.8,-307.0,165.8,72.7,68.5,165.8,257.8,-68.3,,,0.0,6.5,72.9,66.8,0.0,6.1,1.9,189.5,-74.3,115.2,0.0,,,115.2,0.0,115.2,0.0,,115.2,115.2,,144.4,0.8,0.8,0.8,144.4,0.8,0.8,0.8,
12/31/2002,1607.5,0.0,,,,0.0,,,0.0,1607.5,-873.5,873.5,873.5,,,,,734.0,-611.2,,90.7,62.9,457.6,122.8,-75.3,,,0.0,,82.9,82.9,0.0,,-7.6,47.5,-13.6,26.3,0.0,,,33.9,0.0,26.3,-7.4,,18.9,18.9,,164.375,0.16,0.16,0.16,164.375,0.16,0.16,0.16,
03/31/2003,1928.7,333.4,,,,0.0,,,0.0,1595.3,-1297.2,1297.2,1297.2,,0.0,,,631.5,-539.6,373.6,104.0,62.0,373.6,91.9,-138.8,,,0.0,7.8,95.1,88.5,0.0,6.6,51.5,-46.9,22.0,-24.9,0.0,,,-24.9,0.0,-24.9,0.0,,-24.9,-24.9,,170.0,-0.15,-0.15,0.2,170.0,-0.15,-0.15,0.2,
06/30/2003,1698.400024,370.100006,,,,0.0,,,0.0,1328.300049,-1081.5,1081.5,1081.5,,0.0,,,616.900024,-477.600006,,103.900002,60.5,313.200012,139.300003,-81.8,,,0.0,,96.5,90.699997,0.0,5.8,-14.7,57.500003,-20.4,37.099998,-5.9,,,43.000003,0.0,43.0,0.0,,43.0,43.0,,170.481003,0.25,0.22,0.31,170.481003,0.25,0.22,0.31,
09/30/2003,2130.6,2130.6,,,,0.0,,,0.0,2130.6,-1327.2,1327.2,1327.2,,,,,803.4,-523.6,330.6,112.5,81.4,329.7,279.8,-20.3,,,0.0,3.7,95.1,95.1,0.0,0.0,-71.1,259.5,-101.5,158.0,0.0,,,158.0,0.0,158.0,-0.7,,157.3,157.3,,171.0,0.92,0.92,0.71,171.0,0.92,0.92,0.71,
12/31/2003,1513.6,1513.6,,,,0.0,,,0.0,,-915.9,915.9,915.9,,0.0,,,597.7,-496.8,,101.7,70.0,325.1,100.9,-196.8,,,0.0,,115.3,114.5,0.0,0.8,81.5,-95.9,34.0,-61.9,0.0,,,-61.9,0.0,-61.9,0.0,,-61.9,-61.9,,171.406,-0.36,-0.36,0.03,171.406,-0.36,-0.36,0.03,
03/31/2004,1764.1,1764.1,,,,0.0,,,0.0,,-1067.0,1067.0,1067.0,,0.0,,,697.1,-558.7,,112.8,72.0,373.9,138.4,-75.8,,,0.0,,93.3,92.6,0.0,0.7,-17.5,62.6,-11.4,51.2,0.0,,,51.2,0.0,51.2,0.0,,51.2,51.2,,171.8,0.3,0.3,0.24,171.8,0.3,0.3,0.24,
06/30/2004,1691.5,1691.5,,,,0.0,,,0.0,,-956.0,956.0,956.0,,0.0,,,735.5,-519.7,352.1,109.4,64.2,346.1,215.8,-66.7,,,0.0,5.6,92.9,92.1,0.0,0.8,-20.6,149.1,-58.7,90.4,0.0,,,90.4,0.0,90.4,0.0,,90.4,90.4,,172.2,0.53,0.53,0.48,172.2,0.53,0.53,0.48,
09/30/2004,2046.5,2046.5,,,,0.0,,,0.0,,-1197.3,1216.0,1197.3,18.7,,,,849.2,-569.7,348.1,113.7,91.3,364.7,279.5,-96.3,,,0.0,,104.5,104.5,0.0,0.0,-8.2,183.2,-71.5,111.7,0.0,,,111.7,0.0,111.7,-0.7,,111.0,111.0,,175.2,0.64,0.64,0.68,175.2,0.64,0.64,0.68,
12/31/2004,1721.0,1721.0,,,,0.0,,,0.0,,-1038.0,1038.0,1038.0,,,,,683.0,-574.6,,104.6,83.9,386.1,108.4,-71.1,,,4.1,,82.6,86.9,-2.8,,-7.4,37.3,-25.7,10.1,0.0,,,11.6,0.0,10.1,-2.1,0.0,8.0,8.0,,187.968,0.03,0.03,0.16,187.968,0.03,0.03,0.16,
03/31/2005,1798.800049,1098.400024,,,,0.0,,,0.0,700.400024,-1088.300049,1088.300049,1088.300049,,,,,710.5,-566.200012,,105.699997,80.800003,379.700012,144.300003,-67.400002,,,0.0,,83.400002,83.400002,0.0,0.0,-16.0,76.900002,-30.6,46.299999,-9.0,,,55.300001,0.0,55.299999,-0.6,0.0,54.699999,54.699999,,188.399994,0.29,0.24,0.26,188.399994,0.29,0.24,0.26,
06/30/2005,1720.2,981.6,,,,,,,,738.6,-1007.6,1007.6,1007.6,,,,,712.6,-532.1,,101.8,77.0,353.3,180.5,-70.9,,,0.0,,85.3,85.3,0.0,0.0,-14.4,109.6,-42.5,67.1,0.0,,,67.1,0.0,67.1,-0.7,,66.4,66.4,,188.8,0.35,0.35,0.33,189.0,0.35,0.35,0.33,
09/30/2005,2483.6,1501.6,,,,0.0,,,0.0,982.0,-1539.7,1539.7,1539.7,,,,,943.9,-647.9,,109.1,98.2,440.6,296.0,-0.1,,,0.0,,85.7,85.7,0.0,0.0,-85.6,295.9,-127.3,168.6,0.0,,,168.6,0.0,168.6,-0.6,0.0,168.0,168.0,,189.1,0.89,0.89,0.72,189.4,0.89,0.89,0.72,
12/31/2005,2062.9,1121.3,,,,0.0,,,0.0,941.6,-1264.1,1264.1,1264.1,0.0,0.0,,,798.8,-671.5,,110.7,86.2,474.6,127.3,10.2,,,0.0,,83.2,83.2,0.0,0.0,-93.4,137.5,-54.8,82.7,0.0,,,82.7,0.0,82.7,-0.6,0.0,82.1,82.1,,189.0,0.43,0.43,0.18,189.2,0.43,0.43,0.18,
03/31/2006,1951.900024,1174.800049,,,,0.0,,,0.0,777.099976,-1227.800049,1227.800049,1227.800049,,,,,724.099976,-565.200012,,103.099998,81.400002,380.700012,158.899994,-66.499998,,,0.0,,81.599998,81.599998,0.0,0.0,-15.1,92.399996,-35.200001,57.200001,0.0,,,57.199995,0.0,57.200001,-0.4,0.0,56.800001,56.800001,,189.899994,0.29,0.29,0.27,189.899994,0.29,0.29,0.27,
06/30/2006,1916.6,1179.4,,,,,,,,737.2,-1220.0,1220.0,1220.0,,,,,696.6,-533.7,,103.0,82.6,348.1,162.9,-72.2,,,0.0,,85.2,85.2,0.0,0.0,-13.0,90.7,-39.2,51.5,0.0,,,51.5,0.0,51.5,-0.3,,51.2,51.2,,190.3,0.27,0.27,0.27,190.9,0.27,0.27,0.27,
09/30/2006,2589.9,1660.7,,,,0.0,,,0.0,929.2,-1721.9,1721.9,1721.9,,,,,868.0,-613.0,,109.3,95.9,407.8,255.0,-88.4,,,0.0,,87.0,87.0,0.0,0.0,1.4,166.6,-62.3,104.3,0.0,,,104.3,0.0,104.3,-0.3,0.0,104.0,104.0,,190.7,0.54,0.54,0.58,191.2,0.54,0.54,0.58,
12/31/2006,1904.5,1103.9,,,,0.0,,,0.0,800.6,-1248.4,1248.4,1246.8,1.6,,,,656.1,-521.5,,97.8,83.1,340.6,134.6,-73.4,,,0.0,,85.3,85.3,0.0,0.0,-11.9,61.2,-24.7,36.5,0.0,,,36.5,0.0,36.5,-0.2,0.0,36.3,36.3,,190.7,0.19,0.19,0.2,191.1,0.19,0.19,0.2,
03/31/2007,2178.800049,1275.099976,,,,0.0,,,0.0,903.700012,-1477.0,1477.0,1477.0,,0.0,,,701.800049,-551.700012,,93.099998,85.300003,373.299988,150.100006,-66.999998,,,0.0,,84.599998,84.599998,0.0,0.0,-17.6,83.100008,-31.4,51.700001,0.0,,,51.700008,0.0,51.700001,-0.1,1.4,53.000001,53.000001,,192.300003,0.27,0.27,0.26,192.699997,0.27,0.27,0.26,
06/30/2007,2084.3,1097.2,376.8,,,65.1,40.5,,0.0,922.0,-1412.4,1412.4,1412.4,,0.0,,,671.9,-514.3,,92.7,86.2,335.4,157.6,-71.6,,,0.0,,83.8,83.8,0.0,0.0,-12.2,86.0,-28.7,57.3,0.0,,,57.3,0.0,57.3,-0.1,0.0,57.2,57.2,,193.2,0.3,0.3,0.31,193.2,0.3,0.3,0.31,
09/30/2007,2770.3,1553.0,499.6,,,43.3,19.2,,0.0,1174.0,-1890.7,1890.7,1890.7,,,,,879.6,-591.5,,87.6,100.0,403.9,288.1,-40.2,,,0.0,,86.2,86.2,0.0,0.0,-46.0,247.9,-80.2,167.7,0.0,,,167.7,0.0,167.7,-0.1,0.0,167.6,167.6,,193.5,0.87,0.87,0.68,193.8,0.87,0.87,0.68,
12/31/2007,2333.0,919.2,,,,291.3,,,0.0,1122.5,-1556.3,1556.3,1556.3,,0.0,,,776.7,-598.0,,92.5,85.6,419.9,178.7,-73.3,,,0.0,,87.0,85.2,0.0,1.8,-13.7,105.4,-47.6,57.8,0.0,,,57.8,0.0,57.8,0.0,-1.4,56.4,56.4,,199.31,0.29,0.29,0.29,199.31,0.29,0.29,0.29,
03/31/2008,2640.9,1179.8,380.1,,,115.7,91.7,,0.0,1345.4,-1817.5,1817.5,1817.5,,0.0,,,823.4,-603.6,,90.9,88.2,424.5,219.8,-67.9,,,0.0,,81.0,81.0,0.0,0.0,-13.1,151.9,-52.6,99.3,0.0,,,99.3,0.0,99.3,-0.1,,99.2,99.2,,201.0,0.49,0.49,0.48,201.0,0.49,0.49,0.48,
06/30/2008,2518.2,1213.2,419.4,,,83.0,35.9,,0.0,1222.0,-1832.6,1832.6,1832.6,,0.0,,,685.6,-571.1,,92.7,85.4,393.0,114.5,-71.3,,,0.0,,80.1,80.1,0.0,0.0,-8.8,43.2,-28.2,15.0,0.0,,,15.0,0.0,15.0,-0.1,,14.9,14.9,,201.4,0.07,0.07,0.53,201.4,0.07,0.07,0.53,
09/30/2008,3059.5,1614.6,502.5,,,53.0,18.7,,0.0,1391.9,-2123.5,2123.5,2123.5,,,,,936.0,-660.5,,99.3,98.8,462.4,275.5,-76.6,,,0.0,,81.3,81.3,0.0,0.0,-4.7,198.9,-80.0,118.9,0.0,,,118.9,0.0,118.9,-0.1,0.0,118.8,118.8,,201.8,0.59,0.59,0.59,201.9,0.59,0.59,0.59,
12/31/2008,2481.0,,,,,,,,,,-1797.0,1797.0,1797.0,,,,,684.0,-527.0,,94.0,87.0,346.0,157.0,-83.0,,,,3.0,88.0,88.0,,0.0,-2.0,74.0,-7.0,67.0,0.0,,,67.0,,67.0,0.0,0.0,67.0,67.0,,211.0,0.32,0.32,0.32,211.0,0.32,0.32,0.32,
03/31/2009,2520.0,1372.0,,,,,,,0.0,1148.0,-1887.0,1887.0,1887.0,,,,0.0,633.0,-478.0,,96.0,91.0,291.0,155.0,-86.0,89.0,-1.0,,1.0,90.0,90.0,,,-3.0,69.0,-24.0,45.0,0.0,0.0,0.0,45.0,,45.0,0.0,0.0,45.0,38.0,-7.0,219.0,0.21,0.21,0.173516,219.0,0.21,0.21,0.173516,
