Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,24.733999,22.086,-0.324,-14.571,31.924999,,,,,,
06/30/1990,,6.391,42.578999,-0.403,-52.721001,-4.154,,,,,,
09/30/1990,,-19.820999,126.293999,-45.367001,27.288,88.393997,,,,,,
12/31/1990,,-16.879999,82.561996,-63.297001,15.25,17.635,,,,17.635,,
03/31/1991,,1.867,55.893002,-3.22,4.183,58.723,,,,,,
06/30/1991,,4.001,49.384998,-0.686,-13.753,38.946999,,,,,,
09/30/1991,,7.806,48.568001,-9.796,56.699001,103.277,,,,,,
12/31/1991,,8.761,42.459,-21.42,200.182007,229.981995,,,,229.981995,,
03/31/1992,,9.547,48.097,-7.76,329.769989,379.653992,,,,,,
06/30/1992,,10.244,51.138,-3.391,118.364998,176.356003,,,,,,
09/30/1992,,16.315001,44.858002,-1.309,134.667999,194.531998,,,,,,
12/31/1992,,17.718,44.816002,62.131001,449.315002,573.97998,,,,573.97998,,
03/31/1993,,20.343,43.598,2.067,167.897995,233.906006,,,,,,
06/30/1993,,22.424999,38.557999,3.744,-72.676003,-7.949,,,,,,
09/30/1993,,11.843,36.043999,31.677,56.075001,135.639008,,,,,,
12/31/1993,,24.66,37.423,24.33,-100.851997,-11.292,,,,-11.292,,
03/31/1994,,28.559999,29.143,2.204,18.790001,78.696999,,,,,,
06/30/1994,,28.695999,33.014,12.538,12.37,86.617996,,,,,,
09/30/1994,,36.827,51.125999,-13.914,-23.688,50.351002,,,,,,
12/31/1994,,50.866001,33.452999,-84.531998,66.994003,76.382004,,,,76.382004,,
03/31/1995,,57.266998,27.309,0.957,124.962997,210.496002,,-4.478,,,,
06/30/1995,,58.27,27.853001,-58.025002,6.678,34.776001,,-6.82,,,,
09/30/1995,,62.176998,32.813999,-3.079,-35.432999,56.479,,-4.315,,,,
12/31/1995,,65.155998,33.834999,127.611,-119.32,107.281998,,,,107.281998,,
03/31/1996,,10.958,,,,99.928001,,-13.78,,,,
06/30/1996,,88.485001,,,,74.098,,-10.835,,,,
09/30/1996,,87.500999,,,,-16.452999,,,,,,
12/31/1996,,96.731003,,,,253.828995,-12.374,-12.374,,241.454995,,
03/31/1997,,82.482002,41.234001,22.681,33.209999,179.606995,,-2.345,,,,
06/30/1997,,105.057999,28.811001,-3.433,-102.293999,28.142,,-4.737,,,,
09/30/1997,,71.211998,35.056999,52.799,-17.549999,141.518005,,-15.281,,,,
12/31/1997,,112.212997,31.989002,-28.597998,15.570995,131.174988,,-17.192999,,,,
03/31/1998,,112.417,32.931,-5.69,-25.485001,114.172997,,-12.214,,,,
06/30/1998,,118.476997,48.446999,-14.84,-80.050003,72.033997,,-32.292,,,,
09/30/1998,,117.861,4.793,0.685,35.047001,158.386002,,-0.434,,,,
12/31/1998,,117.064003,30.832001,1.727,3.755,153.378006,,-16.525999,,,,
03/31/1999,,118.740997,33.306,-6.213,46.958,192.792007,,-25.587891,,,,
06/30/1999,,120.336998,34.801998,-1.504,-118.543999,35.091,,-14.211,,,,
09/30/1999,,93.619003,87.929001,-11.479,40.035999,210.104996,,-10.371,,,,
12/31/1999,,109.926003,48.900002,36.341999,-8.129,187.039001,,-21.296,,,,
03/31/2000,,124.913002,40.348999,36.422001,0.096,201.779999,,-30.284,,,,
06/30/2000,,130.102005,46.612,-44.200001,-71.420998,61.092999,,-15.296,,,,
09/30/2000,,133.464005,45.105,-45.324001,-182.429993,-49.185001,,-18.978001,,,,
