Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Available for Sales/FVTOCI,Real Estate Investments,Other Investments,Net Receivables,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,132.404007,57.712002,,,0.0,,29.745001,0.0,0.0,0.0,10.357,,,,,,0.0,34.590004,,0.0,0.0,,,,,2.7,,,,,,,,,21.951001,24.651001,0.0,2.871,,,0,,102.802002,105.673002,2.08,107.753002,132.404003,
06/30/1990,137.766998,10.865,,,0.0,,80.385002,0.0,0.0,0.0,10.938,,,,,,0.0,35.578997,,0.0,5.485,,,,,0.0,,,,,,,,,22.809999,28.295,0.0,2.908,,,0,,104.029999,106.937999,2.534,109.471999,137.766998,
09/30/1990,147.080994,18.049999,,,0.0,,80.252998,0.0,0.0,0.0,14.155,,,,,,0.0,34.622996,,0.0,3.113,,,,,0.0,,,,,,,,,29.498,32.611,0.0,2.874,,,0,,107.873001,110.747001,3.723,114.470001,147.081001,
12/31/1990,161.524002,10.219,,,0.0,,80.280998,0.0,0.0,0.0,35.887001,,,,,,,35.137003,,0.0,19.705999,,,,,2.655,,,,,,,,,23.143001,45.504,0.0,2.979,,,0,,108.942001,111.921001,4.099,116.020001,161.524001,
03/31/1991,160.171005,12.97,,,0.0,,74.093002,0.0,0.0,0.0,35.884998,,,,,,0.0,37.223004,,0.0,0.0,,,,,17.84,,,,,,,,,23.912999,41.752999,0.0,2.962,,,0,,111.931,114.893,3.525,118.418,160.170999,
06/30/1991,166.453003,13.405,,,0.0,,73.588997,0.0,0.0,0.0,34.664001,,,,,,0.0,44.795005,,0.0,0.0,,,,,16.74,,,,,,,,,25.699001,42.439001,0.0,2.875,,,0,,116.800003,119.675003,4.339,124.014003,166.453004,
09/30/1991,179.766006,26.274,,,0.0,,76.544998,0.0,0.0,0.0,33.612,,,,,,0.0,43.335009,,0.0,0.0,,,,,16.368,,,,,,,,,32.592999,48.960999,0.0,3.12,,,0,,123.176003,126.296002,4.509,130.805002,179.766002,
12/31/1991,179.570999,26.889999,,,0.0,,73.931,0.0,0.0,0.0,33.32,,,,,,0.0,45.43,,0.0,0.0,,,,,15.969,,,,,,,,,25.889,41.858,0.0,3.518,,,0,,129.007004,132.525004,5.188,137.713004,179.571004,
03/31/1992,185.744003,35.48,,,0.0,,69.660004,0.0,0.0,0.0,33.623001,,,,,,0.0,46.980999,,0.0,0.0,,,,,16.139999,,,,,,,,,30.183,46.322999,0.0,2.894,,,0,,132.811005,135.705005,3.716,139.421005,185.744004,
06/30/1992,189.841003,31.468,,,0.0,,71.000999,0.0,0.0,0.0,34.825001,,,,,,0.0,52.547003,,0.0,0.0,,,,,15.631,,,,,,,,,29.133,44.764,0.0,2.887,,,0,,137.328003,140.215003,4.862,145.077003,189.841003,
09/30/1992,207.145004,36.827,,,0.0,,68.971001,0.0,0.0,0.0,35.505001,,,,,,0.0,65.842003,,0.0,0.0,,,,,15.124,,,,,,,,,39.694002,54.818001,0.0,2.913,,,0,,143.524994,146.437994,5.889,152.326994,207.144995,
12/31/1992,206.072006,33.951,,,0.0,,64.814003,0.0,0.0,0.0,35.152,,,,,,,72.155003,,0.0,0.0,,,,,13.19,,,,,,,,,31.560999,44.750999,0.0,4.057,,,0,,150.141006,154.198006,7.123,161.321006,206.072005,
03/31/1993,220.257004,40.278,,,0.0,,68.251999,0.0,0.0,0.0,37.176998,,,,,,0.0,74.550007,,0.0,0.0,,,,,13.127,,,,,,,,,40.184999,53.311998,0.0,4.227,,,0,,157.330994,161.557994,5.387,166.944994,220.256992,
