Date,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
06/30/2016,,2616.0,,7085.0,,17.258213,,10.124231,
09/30/2016,,2948.0,,7517.0,,19.126711,,11.266099,
12/31/2016,,,,,,22.503632,,13.250772,
03/31/2017,,3553.0,,8416.0,,22.296831,,13.298649,
06/30/2017,,3034.0,,7138.0,,21.289734,,12.722774,
09/30/2017,,3220.0,,7415.0,,25.056416,,14.348737,
12/31/2017,,,,,,26.822774,,15.283356,
03/31/2018,,3381.0,,9941.0,,25.074162,,13.158202,
06/30/2018,,3033.0,,10087.0,,24.534865,,12.50928,
09/30/2018,,2882.0,,9949.0,,24.094975,,12.283693,
12/31/2018,,,,,20.680189,20.680189,10.56692,10.56692,
03/31/2019,2470.0,2470.0,9426.0,9426.0,19.068942,19.068942,9.705305,9.705305,
06/30/2019,,2854.0,,9523.0,,22.372031,,11.137996,
09/30/2019,,2460.0,,8572.0,,20.599565,,10.061761,
12/31/2019,,,,,19.794388,19.794388,9.744866,9.744866,
03/31/2020,2014.0,2014.0,5006.0,5006.0,17.551198,17.551198,8.58812,8.58812,
06/30/2020,1948.0,1948.0,5553.0,5553.0,17.730045,17.730045,8.534502,8.534502,
