Date,Revenue,Sales & Services Revenue,Other Revenue,Gross Profit,Other Operating Income,Operating Expenses,Selling & Marketing,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2007,5003.0,,,,0.0,-4513.0,,,,490.0,1201.0,145.0,182.0,-37.0,,-1346.0,1691.0,-99.0,,,1592.0,,,,1592.0,,1592.0,,0.0,1592.0,1592.0,,393.6,4.044715,4.044715,,393.8,4.042661,4.042661,,
09/30/2007,5227.0,,,,0.0,-4774.0,,,,453.0,-90.0,90.0,132.0,-42.0,0.0,0.0,363.0,-143.0,,,220.0,0.0,,,220.0,0.0,220.0,0.0,0.0,220.0,220.0,,393.5,0.56,0.56,0.56,395.1,0.56,0.56,0.56,
12/31/2007,4683.0,,,,0.0,-4685.0,,,,-2.0,-103.0,99.0,138.0,-39.0,,4.0,-105.0,35.0,,,-70.0,,,,-70.0,,-70.0,,0.0,-70.0,-70.0,,394.906525,-0.18,-0.18,-0.18,394.906525,-0.18,-0.18,-0.18,
03/31/2008,4766.0,,,,,-4911.0,,,,-145.0,-6245.0,120.0,147.0,-27.0,0.0,6125.0,-6390.0,0.0,,,-6390.0,0.0,,,-6390.0,0.0,-6390.0,0.0,0.0,-6390.0,-6390.0,6116.0,395.6,-16.15,-16.15,-0.69,395.6,-16.15,-16.15,-0.69,
06/30/2008,5499.0,,,,0.0,-5286.0,,,,213.0,-1376.0,116.0,141.0,-25.0,,1260.0,-1163.0,119.0,,,-1044.0,,,,-1044.0,,-1044.0,,0.0,-1044.0,-1044.0,,395.7,-2.64,-2.64,0.35,395.7,-2.64,-2.64,0.35,
09/30/2008,5719.0,,,,0.0,-5564.0,,,,155.0,-205.0,119.0,140.0,-21.0,0.0,86.0,-50.0,0.0,,,-50.0,0.0,,,-50.0,0.0,-50.0,0.0,0.0,-50.0,-50.0,,395.7,-0.13,-0.13,-0.07,395.7,-0.13,-0.13,-0.07,
12/31/2008,6713.0,,,,0.0,-6823.0,,,,-110.0,-1328.0,258.0,277.0,-19.0,,1070.0,-1438.0,,,,-1438.0,0.0,,,,0.0,-1438.0,0.0,0.0,-1438.0,-1438.0,641.55,682.0,-2.11,-2.11,-1.17,682.0,-2.11,-2.11,-1.17,
03/31/2009,6684.0,5786.0,898.0,,0.0,-7167.0,,384.0,6783.0,-483.0,-311.0,298.0,308.0,-10.0,,13.0,-794.0,0.0,0.0,0.0,-794.0,0.0,0.0,0.0,-794.0,0.0,-794.0,0.0,0.0,-794.0,-693.7,100.3,825.0,-0.96,-0.96,-0.840848,825.0,-0.96,-0.96,-0.840848,
06/30/2009,7000.0,6076.0,924.0,,0.0,-6999.0,,383.0,6616.0,1.0,-254.0,315.0,324.0,-9.0,,-61.0,-253.0,-4.0,,,-257.0,0.0,0.0,0.0,-257.0,0.0,-257.0,0.0,0.0,-257.0,-199.0,58.0,827.0,-0.31,-0.31,-0.240629,827.0,-0.31,-0.31,-0.240629,
09/30/2009,7574.0,6701.0,873.0,,0.0,-7370.0,,385.0,6985.0,204.0,-383.0,315.0,319.0,-4.0,,68.0,-179.0,18.0,,,-161.0,0.0,0.0,0.0,-161.0,0.0,-161.0,0.0,0.0,-161.0,51.0,212.0,828.0,-0.19,-0.19,0.061594,828.0,-0.19,-0.19,0.061594,
