Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2009,,,,,,0.0,0.0,,,0.0,0.0,,
03/31/2010,,,,,,0.0,0.0,,,0.0,0.0,,
03/31/2011,,,,,,0.0,0.0,,,0.0,0.0,,
03/31/2013,1483.0,95.0,,1578.0,20.975955,1.343706,,22.319661,4.263209,0.273098,,4.536308,
03/31/2014,2853.0,12.0,0.0,2865.0,27.650708,0.116302,0.0,27.767009,5.512085,0.023184,0.0,5.535269,
03/31/2015,4123.0,94.0,0.0,4217.0,43.53289,0.992503,0.0,44.525393,7.653611,0.174494,0.0,7.828105,
03/31/2016,2413.0,,,2413.0,23.170732,0.0,0.0,23.170732,4.269059,0.0,0.0,4.269059,
03/31/2017,478.0,,,478.0,3.793651,0.0,0.0,3.793651,0.784005,0.0,0.0,0.784005,
09/30/2017,279.0,,,279.0,2.182245,,,2.182245,0.436989,,,0.436989,
12/31/2017,1066.0,,,1066.0,7.95107,,,7.95107,1.6601,,,1.6601,
03/31/2018,799.0,,,799.0,6.938173,0.0,0.0,6.938173,1.323264,0.0,0.0,1.323264,
12/31/2018,528.0,,,528.0,4.89206,,,4.89206,0.865418,,,0.865418,
03/31/2019,1205.0,,,1205.0,12.448347,,,12.448347,2.019373,,,2.019373,
06/30/2019,460.0,,,460.0,4.858984,,,4.858984,0.745785,,,0.745785,
09/30/2019,199.0,,,199.0,2.464091,,,2.464091,0.337322,,,0.337322,
12/31/2019,676.0,,,676.0,8.686713,,,8.686713,1.110509,,,1.110509,
03/31/2020,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
06/30/2020,139.0,,,139.0,1.966888,,,1.966888,0.241043,,,0.241043,
