Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2000,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,-0.445,0.445,0.445,,,,,,,,-1.455,1.455,1.455,,,,,,,,,,,,,,,,,,,,,
03/31/2001,171.550995,112.514999,56.605,55.91,6.718,,,2.614,1.238,0.128,1.248,0.0,14.32,,,,136.167007,26.502001,,,7.01,,1.872,0.0,0.0,0.0,,1.872,35.384001,,2.18,2.18,,,,0.452,0.0,0.452,0.452,,19.899,,,19.899,22.531,1.337,0.0,1.337,1.337,,0.0,,,,,0.0,1.337,23.868,0.0,365.799011,,,0.0,,-218.115997,147.683014,0.0,147.683014,171.551014,
06/30/2001,148.216003,86.943001,39.500999,47.442001,9.875,,,2.335,1.371,0.154,0.81,0.0,9.36,,,,108.513,25.785,,,10.95,,2.968,0.0,0.0,0.0,,2.968,39.703,,0.626,0.626,,,,0.465,0.0,0.465,0.465,,14.489,,,14.489,15.58,1.227,0.0,1.227,1.227,,0.0,,,,,0.0,1.227,16.807,0.0,364.733002,,,0.0,,-233.324005,131.408997,0.0,131.408997,148.215997,
09/30/2001,130.737,76.607997,65.393997,11.214,9.368,,,1.908,1.393,0.144,0.371,0.0,5.435,,,,93.319,25.789,,,8.067,,3.562,0.0,0.0,0.0,,3.562,37.418,,2.962,2.962,,,,0.473,0.0,0.473,0.473,,11.581,,,11.581,15.016,1.105,0.0,1.105,1.105,,0.0,,,,,0.0,1.105,16.121,0.0,359.928009,,,0.0,,-245.311996,114.616013,0.0,114.616013,130.737012,
12/31/2001,118.218002,63.044,50.549999,12.494,11.556,,,1.549,1.122,0.182,0.245,0.0,5.434,,,,81.583,32.021,42.638,-10.617,2.627,,1.987,0.0,0.0,0.0,,1.987,36.635,,4.376,4.376,,,,0.483,0.0,0.483,0.483,,12.977001,,,12.977001,17.836,0.98,0.014,0.966,0.966,,0.0,,,,,0.0,0.98,18.816,0.0,355.059998,,,0.0,,-255.658005,99.401993,0.0,99.401993,118.217993,
03/31/2002,104.329002,48.998999,36.168999,12.83,14.473,,,1.454,1.15,0.259,0.045,0.0,5.611,,,,70.537003,31.874001,,,0.0,,1.918,0.0,0.0,0.0,,1.918,33.792001,,2.498,2.498,,,,0.0,,,,,14.064,,,14.064,16.562,0.853,0.0,0.853,0.853,,0.0,,,,,0.0,0.853,17.415,0.0,351.015991,,,0.0,,-264.10199,86.914001,0.0,86.914001,104.329002,
06/30/2002,91.945999,35.181999,27.115999,8.066,15.938,,,1.604,1.33,0.125,0.149,0.0,6.583,,,,59.306999,30.466999,,,0.0,,2.172,0.0,0.0,0.0,,2.172,32.638999,,3.657,3.657,,,,0.0,,,,,13.645,,,13.645,17.302,0.773,0.0,0.773,0.773,,0.0,,,,,0.0,0.773,18.075,0.0,347.902008,,,0.0,,-274.031006,73.871002,0.0,73.871002,91.946002,
09/30/2002,78.588997,22.411,16.746,5.665,16.072001,,,1.461,1.097,0.215,0.149,0.0,7.674,,,,47.618,28.733999,,,0.0,,2.237,0.0,0.0,0.0,,2.237,30.970999,,1.941,1.941,,,,0.0,,,,,13.713,,,13.713,15.654,0.644,0.0,0.644,0.644,,0.0,,,,,0.0,0.644,16.298,0.0,347.359985,,,0.0,,-285.069,62.290985,0.0,62.290985,78.588985,
12/31/2002,92.856003,38.244998,35.551998,2.693,16.766001,,,1.533,0.931,0.285,0.317,0.0,9.288,,,,65.832001,25.077999,44.466999,-19.389,0.0,,1.946,0.0,0.0,0.0,,1.946,27.023999,,1.974,1.974,,,,2.183,1.667,0.516,0.516,,14.242,,,14.242,18.399,3.837,3.333,0.504,0.504,,0.0,,,,,0.0,3.837,22.236,0.0,364.696991,,,0.0,,-294.076996,70.619995,0.0,70.619995,92.855995,
03/31/2003,89.663002,33.997002,33.997002,0.0,17.077999,,,1.762,0.865,0.323,0.574,0.0,10.946,,,,63.783001,23.787001,,,0.0,,2.093,0.0,0.0,0.0,,2.093,25.880001,,2.078,2.078,,,,2.137,1.667,0.47,0.47,,15.691999,,,15.691999,19.907,3.342,2.917,0.425,0.425,,0.0,,,,,0.0,3.342,23.249,0.0,365.122986,,,0.0,,-298.709015,66.413971,0.0,66.413971,89.662971,
