Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Associates,Total Deferred Tax Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,Trading Account Liabilities,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,Payables Broker Dealers,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/28/1989,860.572021,,,,,,,,,0.0,,547.484009,,,,,,,,0.0,0.0,0.0,20.068001,,,,,,,0.0,293.020012,,,,,,,0.0,397.467987,,,,,,,,,18.323999,,,,,,,,,369.317993,785.10998,0.0,38.255001,,,0.0,,37.207001,75.462002,0.0,75.462002,860.571981,
03/29/1990,1004.512024,,,,,,,,,0.0,,673.119019,,,,,,,,0.0,0.0,0.0,22.006001,,,,,,,0.0,309.387005,,,,,,,0.0,517.22699,,,,,,,,,19.094,,,,,,,,,389.881989,926.202978,0.0,38.513,,,-0.411,,40.207001,78.309002,0.0,78.309002,1004.51198,
06/28/1990,992.883972,,,,,,,,,0.0,,643.984009,,,,,,,,0.0,0.0,0.0,21.621,,,,,,,0.0,327.278963,,,,,,,0.0,467.384003,,,,,,,,,25.965,,,,,,,,,416.010986,909.359989,0.0,38.518002,,,-0.264,,45.270001,83.524002,0.0,83.524002,992.883991,
09/27/1990,948.028992,26.757999,,,,,,,,0.0,,16.454,,,,,,,,130.259003,0.0,130.259003,20.877001,,,,,,,0.0,883.939991,,,,,,,324.747986,467.420013,,,,,,,,,13.646,,,,,,,,,45.449001,851.263,0.0,51.912998,,,-5.184,,50.037001,96.765999,0.0,96.765999,948.028999,
12/28/1990,1077.156982,35.93,,,,,,,,0.0,,709.223999,,,,,,,,0.0,0.0,0.0,20.243999,,,,,,,0.0,311.758984,,,,,,,0.0,522.812988,,,,,,,,,32.014999,,,,,,,,,421.609009,976.436996,0.0,51.726002,,,-5.268,,54.262,100.720001,0.0,100.720001,1077.156998,
03/29/1991,1081.202026,14.936,,,,,,,,0.0,,697.062988,,,,,,,,0.0,0.0,0.0,22.785999,,,,,,,0.0,346.417039,,,,,,,0.0,502.518005,,,,,,,,,24.992001,,,,,,,,,446.066986,973.576992,0.0,51.741001,,,-4.943,,60.826999,107.625,0.0,107.625,1081.201992,
06/28/1991,912.710999,27.278999,,,,,,,,0.0,,551.221985,,,,,,,,0.0,0.0,0.0,22.997999,,,,,,,0.0,311.212015,,,,,,,0.0,368.270996,,,,,,,,,13.665,,,,,,,,,416.110992,798.046988,0.0,51.768002,,,-4.664,,67.56,114.664001,0.0,114.664001,912.71099,
09/27/1991,1059.717041,34.316002,,,,,,,,0.0,,16.903,,,,,,,,143.718994,0.0,143.718994,22.576,,,,,,,0.0,985.922039,,,,,,,388.457001,467.873993,,,,,,,,,13.519,,,,,,,,,67.751999,937.601993,0.0,51.816002,,,-4.303,,74.602004,122.115005,0.0,122.115005,1059.716998,
12/27/1991,1080.281982,23.466,,,,,,,,0.0,,695.538025,,,,,,,,0.0,0.0,0.0,22.782,,,,,,,0.0,338.495958,,,,,,,0.0,456.738007,,,,,,,,,13.609,,,,,,,,,479.46701,949.814017,0.0,51.891998,,,-3.614,,82.189996,130.467995,0.0,130.467995,1080.282012,
03/27/1992,1040.282959,40.188999,,,,,,,,0.0,,654.633972,,,,,,,,0.0,0.0,0.0,23.121,,,,,,,0.0,322.338987,,,,,,,0.0,415.057007,,,,,,,,,13.579,,,,,,,,,469.466003,898.102011,0.0,51.743,,,-2.444,,92.882004,142.181004,0.0,142.181004,1040.283014,
06/26/1992,892.059998,59.722,,,,,,,,0.0,,592.559021,,,,,,,,0.0,0.0,0.0,23.166,,,,,,,0.0,216.612976,,,,,,,0.0,358.266998,,,,,,,,,13.549,,,,,,,,,367.627014,739.443012,0.0,51.98,,,-2.234,,102.871001,152.617001,0.0,152.617001,892.060013,
09/25/1992,806.22998,72.917,,,,,,,,0.0,,20.657,,,,,,,,201.149994,0.0,201.149994,25.228001,,,,,,,0.0,687.42798,,,,,,,277.184998,267.563995,,,,,,,,,13.388,,,,,,,,,87.157997,645.29499,0.0,52.173,,,-3.452,,112.214001,160.935001,0.0,160.935001,806.229991,
12/24/1992,835.117981,36.522999,,,,,,,,0.0,,553.135986,,,,,,,,0.0,0.0,0.0,28.865,,,,,,,0.0,216.593996,,,,,,,0.0,290.998993,,,,,,,,,13.487,,,,,,,,,361.550995,666.036988,0.0,52.462002,,,-4.795,,121.414003,169.081005,0.0,169.081005,835.117993,
03/31/1993,1315.177002,23.478001,,,,,,,,0.0,,903.981995,,,,,,,,0.0,0.0,0.0,32.039001,,,,,,,0.0,355.678005,,,,,,,0.0,695.161987,,,,,,,,,13.455,,,,,,,,,425.122009,1133.738997,0.0,52.036999,,,-3.557,,132.958001,181.438,0.0,181.438,1315.176996,
06/30/1993,1187.000977,80.380997,,,,,,,,0.0,,839.247009,,,,,,,,0.0,0.0,0.0,33.689999,,,,,,,0.0,233.682972,,,,,,,0.0,547.27301,,,,,,,,,13.421,,,,,,,,,434.621002,995.315012,0.0,52.226002,,,-4.134,,143.594007,191.686008,0.0,191.686008,1187.00102,
