Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/02/1990,124.446999,-69.553001,54.893997,-32.612999,22.281,-0.302,,0.69,22.669,-8.905,13.764,0.0,,13.764,0,,13.764,,,13.764,,0.255,0.255,53.883999,0.255,0.255,0.255,53.883999,
06/01/1990,142.158005,-80.591003,61.567001,-35.362,26.205,-0.799,,0.64,26.046,-10.211,15.835,0.0,,15.835,0,,15.835,,,15.834999,,0.3,0.3,53.152,0.3,0.3,0.3,53.152,
08/31/1990,148.201004,-86.552002,61.649002,-35.220001,26.429001,-0.453,,0.637,26.613001,-10.124,16.489,0.0,,16.489,0,,16.489,,,16.489001,,0.315,0.315,52.268002,0.315,0.315,0.315,52.268002,
11/30/1990,101.036003,-58.422001,42.614002,-28.187,14.427,-0.23,,0.748,14.945,-5.492,9.453,0.0,,9.453,0,,9.453,,,9.453,,0.185,0.185,51.349998,0.185,0.185,0.185,51.349998,
03/01/1991,140.072998,-79.345001,60.727997,-34.549999,26.177999,-0.189,,0.582,26.571,-10.232,16.339001,0.0,,16.339001,0,,16.339001,,,16.338999,,0.32,0.32,51.403999,0.32,0.32,0.32,51.403999,
05/31/1991,153.869003,-87.115997,66.753006,-36.421001,30.332001,-0.241,,0.323,30.414001,-11.594,18.82,0.0,,18.82,0,,18.82,,,18.820001,,0.365,0.365,51.470001,0.365,0.365,0.365,51.470001,
08/30/1991,165.727005,-97.032997,68.694008,-38.959,29.735001,-0.152,,1.029,30.612001,-11.746,18.865999,0.0,,18.865999,0,,18.865999,,,18.866,,0.365,0.365,51.702,0.365,0.365,0.365,51.702,
11/29/1991,114.709999,-65.291,49.418999,-30.402,19.017,-0.079,,1.07,20.008,-8.073,11.935,0.0,,11.935,0,,11.935,,,11.935,,0.23,0.23,52.085999,0.23,0.23,0.23,52.085999,
02/28/1992,138.998001,-76.591003,62.406998,-35.731998,26.674999,-0.14,,0.943,27.477999,-10.47,17.007999,0.0,,17.007999,0,,17.007999,,,17.007999,,0.33,0.33,51.949001,0.33,0.33,0.33,51.949001,
05/29/1992,170.988998,-97.179001,73.809998,-38.946999,34.862999,-0.125,,0.647,35.384999,-13.607,21.778,0.0,,21.778,0,,21.778,,,21.777999,,0.42,0.42,51.902,0.42,0.42,0.42,51.902,
08/28/1992,168.393005,-97.593002,70.800003,-36.876999,33.923,-0.111,,0.358,34.17,-13.429,20.740999,0.0,,20.740999,0,,20.740999,,,20.741,,0.4,0.4,51.338001,0.4,0.4,0.4,51.338001,
11/27/1992,107.545998,-59.691002,47.854996,-27.049999,20.805,-0.106,,-17.507,3.192,-1.213,1.979,0.0,,1.979,0,,1.979,,,1.979,,0.04,0.04,51.195,0.04,0.04,0.04,51.195,
02/26/1993,140.792007,-81.441002,59.351006,-35.507,23.844,-0.12,,0.775,24.499,-9.318,15.181,-2.034,0.0,13.147,0,,13.147,,,15.181,,0.3,0.26,51.185001,0.3,0.3,0.26,51.185001,
05/28/1993,164.524002,-94.136002,70.388,-39.637001,30.750999,-0.099,,0.176,30.827999,-11.472,19.356001,0.0,0.0,19.356001,0,,19.356001,,,19.355999,,0.38,0.38,51.032001,0.38,0.38,0.38,51.032001,
08/27/1993,166.460007,-98.813004,67.647003,-41.098999,26.548,-0.1,,3.362,29.81,-11.44,18.370001,0.0,0.0,18.370001,0,,18.370001,,,18.370001,,0.36,0.36,50.754002,0.36,0.36,0.36,50.754002,
12/03/1993,111.092003,-65.133003,45.959,-26.496,19.462999,-0.126,,-6.509,12.828,-5.41,7.418,0.0,0.0,7.418,0,,7.418,,,7.418,,0.15,0.15,50.391998,0.15,0.15,0.15,50.391998,
03/04/1994,122.057999,-76.920998,45.137001,-36.988998,8.148,-0.077,,-0.046,8.025,-3.176,4.849,0.0,0.0,4.849,0,,4.849,,,4.849,,0.1,0.1,50.418999,0.1,0.1,0.1,50.418999,
06/03/1994,161.720001,-101.119003,60.600998,-47.386002,13.215,-0.098,,0.002,13.119,-5.439,7.68,0.0,0.0,7.68,0,,7.68,,,7.68,,0.15,0.15,50.036999,0.15,0.15,0.15,50.036999,
09/02/1994,154.962006,-97.739998,57.222008,-43.129002,14.093,-0.122,,0.119,14.09,-5.584,8.506,0.0,0.0,8.506,0,,8.506,,,8.506,,0.17,0.17,49.682999,0.17,0.17,0.17,49.682999,
12/02/1994,85.137001,-50.862999,34.274002,-37.846001,-3.572,-0.241,,1.121,-2.692,1.455,-1.237,0.0,0.0,-1.237,0,,-1.237,,,-1.237,,-0.02,-0.02,49.661999,-0.02,-0.02,-0.02,49.661999,
03/03/1995,134.772003,-84.174004,50.598,-42.374001,8.224,-0.287,,0.117,8.054,-3.079,4.975,0.0,0.0,4.975,0,,4.975,,,4.975,0.1,0.1,0.1,49.848,0.1,0.1,0.1,49.848,
06/02/1995,144.386002,-92.542,51.844002,-44.903999,6.94,-0.424,,0.101,6.617,-2.616,4.001,0.0,0.0,4.001,0,,4.001,,,4.001,0.08,0.08,0.08,49.860001,0.08,0.08,0.08,49.860001,
