Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1989,464.627991,,,-418.356995,,,46.270996,,-2.499,,,,43.771999,-24.200001,,24.200001,,0.0,,0.0,19.571999,-4.307,15.265,0.0,,,15.264998,,15.265,0.0,,15.265,15.265,,122.008003,0.125,0.125,,122.008003,0.125,0.125,0.125,
09/30/1989,521.312012,,,-470.88501,,,50.427002,,-2.623,,,,47.804001,-26.1,,26.1,,0.0,,0.0,21.704,-6.06,15.644,0.0,,,15.644001,,15.644,0.0,,15.644,15.644,,123.720001,0.12625,0.12625,,123.720001,0.12625,0.12625,0.12625,
12/31/1989,530.013977,,,-500.127014,,,29.886963,,-2.603,,,,27.284,-5.694,,5.694,,0.0,,0.0,21.590001,-6.122,15.468,0.0,,,15.468,,15.468,0.0,,15.468,15.468,,123.440002,0.125,0.125,,123.440002,0.125,0.125,0.125,
03/31/1990,556.690002,,,-566.422974,,,-9.732972,,-2.934,,,,-12.667,0.0,,33.117001,,0.0,,-33.117001,-12.667,-4.824,15.626,0.0,,,-17.491,,15.626,0.0,,15.626,15.626,,120.6,0.12625,0.12625,0.12625,120.6,0.12625,0.12625,0.12625,
06/30/1990,565.914001,,,-534.137024,,,31.776978,,-2.853,,,,28.924,-6.861,,6.861,,0.0,,0.0,22.063,-5.593,16.469999,0.0,,,16.47,,16.469999,0.0,,16.469999,16.469999,,125.199997,0.13125,0.13125,,125.199997,0.13125,0.13125,0.13125,
09/30/1990,601.921021,,,-571.809021,,,30.112,,-2.949,,,,27.163,-7.396,,7.396,,0.0,,0.0,19.767,-5.167,14.6,0.0,,,14.6,,14.6,0.0,,14.6,14.6,,123.407997,0.11875,0.11875,,123.407997,0.11875,0.11875,0.11875,
12/31/1990,564.072021,,,-543.401001,,,20.671021,,-3.166,,,,17.504999,-6.983,,6.983,,0.0,,0.0,10.521999,-2.217,8.305,0.0,,,8.304999,,8.305,0.0,,8.305,8.305,,121.391998,0.06875,0.06875,,121.391998,0.06875,0.06875,0.06875,
03/31/1991,511.928986,,,-498.359985,,,13.569001,,-3.156,,,,10.413,-6.183,,6.183,,0.0,,0.0,4.23,0.0,4.23,0.0,,,4.23,,4.23,0.0,,4.23,4.23,,120.348,0.035,0.035,0.035,120.348,0.035,0.035,0.035,
06/30/1991,544.804993,,,-527.736023,,,17.06897,,-3.261,,,,13.808,-6.166,,6.166,,0.0,,0.0,7.642,-1.855,5.787,0.0,,,5.787,,5.787,0.0,,5.787,5.787,,124.407997,0.04625,0.04625,,124.407997,0.04625,0.04625,0.04625,
09/30/1991,551.510986,,,-529.780029,,,21.730957,,-3.127,,,,18.604,-5.55,,5.55,,0.0,,0.0,13.054,-3.824,9.23,0.0,,,9.23,,9.23,0.0,,9.23,9.23,,123.720001,0.075,0.075,,123.720001,0.075,0.075,0.075,
12/31/1991,546.934998,,,-524.69397,,,22.241028,,-3.049,,,,19.191999,-5.162,,5.162,,0.0,,0.0,14.029999,-3.862,10.168,0.0,,,10.167999,,10.168,0.0,,10.168,10.168,,124.344002,0.08125,0.08125,,124.344002,0.08125,0.08125,0.08125,
03/31/1992,522.455994,,,-502.697998,,,19.757996,,-3.37,,,,16.388,-5.262,,5.262,,0.0,,0.0,11.126,-1.754,9.372,0.0,,,9.372,,9.372,0.0,,9.372,9.372,,121.372,0.07375,0.07375,0.07375,121.372,0.07375,0.07375,0.07375,
06/30/1992,558.257996,,,-535.260986,,,22.997009,,-3.133,,,,19.864,-5.291,,5.291,,0.0,,0.0,14.573,-4.571,10.002,0.0,,,10.002,,10.002,0.0,,10.002,10.002,,126.664001,0.08,0.08,,126.664001,0.08,0.08,0.08,
09/30/1992,644.799011,,,-608.767029,,,36.031982,,-3.339,,,,32.693001,-5.275,,5.275,,0.0,,0.0,27.418001,-9.314,18.104,0.0,,,18.104001,,18.104,0.0,,18.104,18.104,,127.188004,0.1425,0.1425,,127.188004,0.1425,0.1425,0.1425,
12/31/1992,648.65802,,,-614.088989,,,34.569031,,-2.912,,,,31.657,-4.96,,4.96,,0.0,,0.0,26.697,-9.052,17.645,0.0,,,17.645,,17.645,0.0,,17.645,17.645,,128.707993,0.1375,0.1375,,128.707993,0.1375,0.1375,0.1375,
03/31/1993,650.97699,,,-617.588013,,,33.388977,,-3.736,,,,29.653,-6.582,,6.582,,0.0,,0.0,23.071,-7.784,15.287,0.0,,,15.287,,15.287,0.0,,15.287,15.287,,130.102128,0.1175,0.1175,0.1175,130.102128,0.1175,0.1175,0.1175,
06/30/1993,654.961975,,,-621.575012,,,33.386963,,-3.347,,,,30.040001,-3.333,,6.945,,,,-3.612,26.707001,-9.701,17.006001,0.0,,,17.006001,0.0,17.006001,0.0,,17.006001,17.006001,,129.792007,0.13,0.13,,129.792007,0.13,0.13,0.13,
09/30/1993,764.317993,,,-722.804993,,,41.513,,-3.697,,,,37.816002,0.185,,7.182,,,,-7.367,38.001002,-15.155,22.846001,0.0,,,22.846002,0.0,22.846001,0.0,,22.846001,22.846001,,131.184006,0.175,0.175,,131.184006,0.175,0.175,0.175,
12/31/1993,833.252991,,,-785.47699,,,47.776001,,-3.646,,,,44.130001,-7.448,,7.448,,0.0,,0.0,36.682001,-13.096,23.586,0.0,,,23.586001,,23.586,0.0,,23.586,23.586,,131.824005,0.18,0.18,,131.824005,0.18,0.18,0.18,
03/31/1994,961.948975,,,-904.770996,,,57.177979,,-4.468,,,,52.709999,-19.087,,8.108,,0.0,,10.979,33.622999,-11.899,21.724001,0.0,,,21.723999,0.0,21.724001,0.0,,21.724001,21.724001,,131.492004,0.165,0.165,0.165,131.492004,0.165,0.165,0.165,
