Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Insurance Reserves,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/2000,1616,236,,,,-602.0,,,-19957.0,17798.0,1557.0,-1566.0,,-620.0,64.0,-5.0,,,-1005.0,,-552,
06/30/2000,-623,-115,,,,991.0,,,-11261.0,11239.0,1013.0,1587.0,,-1815.0,1024.0,-8.0,4009.0,-214.0,1141.0,-2550.0,1955,
09/30/2000,-104,241,,,,-1525.0,,,-11054.0,8301.0,1228.0,-238.0,,56.0,85.0,-18.0,0.0,-193.0,-168.0,0.0,-1867,
12/31/2000,-299,591,,-890.0,,,,,,,,,,,,,,,,,-299,
03/31/2001,791,287,,,,-1102.0,,,-14397.0,13051.0,244.0,1082.0,,502.0,3.0,0.0,,-238.0,815.0,,771,
06/30/2001,1284,320,,,,-1016.0,,,-14379.0,13756.0,-393.0,275.0,,530.0,48.0,-166.0,,-273.0,136.0,,543,
09/30/2001,864,162,,,,-731.0,0.0,0.0,-17890.0,16432.0,727.0,-436.0,0.0,-1417.0,32.0,-13.0,0.0,-506.0,1468.0,0.0,-303,
12/31/2001,1573,-296,,1869.0,,-814.0,,,-13860.0,13998.0,-952.0,1982.0,-145.0,-345.0,1517.0,-193.0,0.0,-304.0,1452.0,0.0,3028,
03/31/2002,667,329,,,,-4888.0,,,-22515.0,17019.0,608.0,772.0,,191.0,,-194.0,,-240.0,1015.0,,-3449,
06/30/2002,1228,387,,,,-2448.0,,,-16371.0,14926.0,-1003.0,759.0,,-494.0,3.0,-1.0,,-191.0,1442.0,,-461,
09/30/2002,532,328,,,,-2573.0,,,-23795.0,18185.0,3037.0,2125.0,,826.0,7.0,-15.0,,-40.0,1347.0,,84,
12/31/2002,1741,561,,,,-6304.0,,,-28081.0,20857.0,920.0,3239.0,-147.0,283.0,998.0,-1.0,,0.0,2106.0,,-1324,
03/31/2003,976,362,,,,-1721.0,,,-20448.0,17316.0,1411.0,3360.0,,1280.0,38.0,-8.0,,,2047.0,3.0,2615,
06/30/2003,2225,580,,,,-6328.0,,,-28015.0,18427.0,3260.0,4879.0,,1002.0,123.0,-43.0,3.0,,2791.0,1003.0,776,
09/30/2003,1746,574,,,,-4228.0,,,-28142.0,22408.0,1506.0,2140.0,,-508.0,64.0,-2.0,0.0,,2586.0,0.0,-342,
03/31/2004,1126,598,,,,-2975.0,,,-20186.0,16651.0,560.0,1262.0,,-575.0,13.0,-7.0,2.0,-65.0,1894.0,0.0,-587,
06/30/2004,2269,954,,,,-3329.0,,,-26539.0,23091.0,119.0,2373.0,,150.0,602.0,-84.0,16.0,-210.0,1899.0,0.0,1313,
09/30/2004,865,695,,,,-4639.0,,,-29230.0,25586.0,-995.0,2946.0,,-72.0,514.0,-25.0,21.0,-221.0,2729.0,0.0,-828,
12/31/2004,2250,511,,2189.0,,-3474.0,0.0,0.0,-32926.0,29830.0,-378.0,1699.0,-343.0,-86.0,693.0,-3.0,12.0,-504.0,1927.0,3.0,475,
03/31/2005,1656,987,,669.0,,-7017.0,,,-44306.0,37160.0,129.0,5180.0,,-325.0,162.0,-134.0,19.0,,2430.0,3028.0,-181,
06/30/2005,1963,2245,,,,-105.0,,,-37277.0,38105.0,-933.0,7826.0,,859.0,5078.0,-1022.0,2119.0,,987.0,-195.0,9684,
09/30/2005,1217,773,,,,-15026.0,,,-51135.0,45776.0,-9667.0,7150.0,-31.0,-700.0,257.0,-32.0,21.0,,311.0,7324.0,-6659,
12/31/2005,3183,709,,2474.0,,-469.0,,,-51360.0,51259.0,-368.0,-5646.0,-426.0,4248.0,577.0,-242.0,13.0,0.0,522.0,-10338.0,-2932,
03/31/2006,2352,747,,1605.0,,-15102.0,,,-54045.0,39336.0,-393.0,13876.0,-33.0,-54.0,100.0,-23.0,18.0,,1324.0,12544.0,1126,
06/30/2006,1676,650,,,,-4064.0,0.0,0.0,-30688.0,27932.0,-1308.0,1370.0,-33.0,893.0,869.0,-101.0,24.0,0.0,205.0,-487.0,-1018,
09/30/2006,1848,1033,,,,-1772.0,0.0,0.0,-26640.0,24574.0,294.0,1722.0,-34.0,-548.0,64.0,-108.0,23.0,0.0,849.0,1476.0,1798,
12/31/2006,724,3863,,-4928.0,,2052.0,,,-36233.0,39714.0,-1429.0,-1593.0,-484.0,11075.0,1349.0,-500.0,18.0,-500.0,995.0,-13546.0,1183,
03/31/2007,2210,1017,,,,-6786.0,,,-39721.0,32359.0,576.0,4014.0,-34.0,1926.0,390.0,-37.0,29.0,-758.0,164.0,2334.0,-562,
06/30/2007,1931,1163,,,,-7926.0,0.0,0.0,-42553.0,34749.0,-122.0,5954.0,-34.0,-1899.0,68.0,-230.0,46.0,-17.0,3289.0,4731.0,-41,
09/30/2007,2781,1019,,,,-1076.0,0.0,0.0,-30100.0,30294.0,-1270.0,418.0,-34.0,404.0,50.0,-16.0,20.0,-200.0,1563.0,-1369.0,2123,
12/31/2007,2980,1118,,,,5144.0,0.0,0.0,-21867.0,28092.0,-1081.0,-6383.0,-576.0,-1213.0,912.0,-3.0,15.0,-861.0,-2247.0,-2410.0,1741,
03/31/2008,3543,648,221.0,525.0,2149.0,-7738.0,0.0,0.0,-31246.0,24694.0,-1186.0,4701.0,-33.0,-35.0,18.0,0.0,17.0,-1250.0,3347.0,2637.0,506,
06/30/2008,1875,946,113.0,411.0,405.0,-1785.0,0.0,0.0,-29049.0,27169.0,95.0,2868.0,-31.0,-9.0,849.0,-66.0,31.0,0.0,2717.0,-623.0,2958,
09/30/2008,1584,630,,,,3266.0,0.0,0.0,-26702.0,29947.0,21.0,1544.0,-30.0,483.0,915.0,-151.0,1047.0,0.0,2257.0,-2977.0,6394,
12/31/2008,10702,3278,375.0,2542.0,4507.0,-2671.0,0.0,0.0,-113013.0,111767.0,-1425.0,5040.0,-717.0,1192.0,1089.0,-422.0,3306.0,-1250.0,13645.0,-11803.0,13071,
03/31/2009,-985,-544,129.0,-142.0,-428.0,-1618.0,0.0,0.0,-26079.0,22992.0,1469.0,-2212.0,-30.0,3219.0,357.0,0.0,1035.0,0.0,-69.0,-6724.0,-4815,
06/30/2009,-242,-1402,130.0,1207.0,-177.0,-7263.0,0.0,0.0,-24882.0,19296.0,-1677.0,1294.0,-31.0,-1121.0,1868.0,-134.0,1.0,0.0,283.0,428.0,-6211,
09/30/2009,3945,-620,,,,1524.0,0.0,0.0,-19384.0,21428.0,-520.0,-3120.0,-30.0,-2626.0,900.0,-110.0,5.0,0.0,-999.0,-260.0,2349,
12/31/2009,1085,320,,,,-6578.0,0.0,0.0,-21914.0,15550.0,-214.0,43.0,-641.0,-1219.0,336.0,-311.0,2.0,0.0,-1497.0,3373.0,-5450,
03/31/2010,2871,835,,,,-7598.0,0.0,0.0,-24235.0,16804.0,-167.0,3817.0,-30.0,-594.0,163.0,-322.0,0.0,0.0,3127.0,1473.0,-910,
06/30/2010,1057,1557,,,,-2522.0,0.0,0.0,-28231.0,24974.0,735.0,2965.0,-31.0,561.0,515.0,-189.0,26.0,0.0,-1304.0,3387.0,1500,
09/30/2010,1265,316,,,,-9249.0,0.0,0.0,-25445.0,16610.0,-414.0,11839.0,-30.0,1178.0,3912.0,-178.0,3535.0,0.0,1760.0,1662.0,3855,
12/31/2010,2807,82,,,,1055.0,0.0,0.0,-34737.0,39887.0,-4095.0,-5369.0,-815.0,-1751.0,500.0,-372.0,15.0,0.0,974.0,-3920.0,-1507,
03/31/2011,3499,877,,,,-8092.0,0.0,0.0,-35586.0,28459.0,-965.0,2355.0,-30.0,266.0,280.0,-249.0,2997.0,-2805.0,1679.0,217.0,-2238,
06/30/2011,3289,1100,,,,-8801.0,0.0,0.0,-42417.0,33622.0,-6.0,4377.0,-31.0,-470.0,941.0,-466.0,26.0,0.0,2150.0,2227.0,-1135,
09/30/2011,2246,3456,,,,-9727.0,0.0,0.0,-38992.0,31671.0,-2406.0,4583.0,-30.0,349.0,125.0,-477.0,4.0,0.0,-919.0,5531.0,-2898,
12/31/2011,1239,990,,,,4402.0,0.0,0.0,-26815.0,28459.0,2758.0,-1955.0,-818.0,235.0,0.0,-850.0,0.0,0.0,1411.0,-1933.0,3686,
03/31/2012,5758,-144,,,,2167.0,0.0,0.0,-25054.0,28580.0,-1359.0,281.0,-30.0,-585.0,0.0,-349.0,75.0,0.0,1822.0,-652.0,8206,
06/30/2012,6344,2295,,,,-14944.0,0.0,0.0,-45012.0,29326.0,742.0,5968.0,-31.0,0.0,0.0,-673.0,4.0,0.0,2513.0,4155.0,-2632,
09/30/2012,3186,-954,,,,-1298.0,0.0,0.0,-33148.0,32281.0,-431.0,-973.0,-30.0,-1.0,750.0,-84.0,10.0,0.0,385.0,-2003.0,915,
12/31/2012,1872,127,,,,2146.0,0.0,0.0,-28629.0,31441.0,-666.0,-5230.0,-842.0,0.0,0.0,-596.0,911.0,,-430.0,-4273.0,-1212,
03/31/2013,2733,986,,,,-9719.0,0.0,0.0,-40902.0,33094.0,-1911.0,1231.0,-233.0,0.0,0.0,-240.0,0.0,0.0,1336.0,368.0,-5755,
06/30/2013,4581,502,,,,1866.0,0.0,0.0,-38640.0,41723.0,-1217.0,-7246.0,-333.0,0.0,0.0,-116.0,0.0,0.0,-5681.0,-1116.0,-799,
09/30/2013,2670,972,,,,1278.0,0.0,0.0,-32700.0,34863.0,-885.0,-1756.0,-333.0,0.0,0.0,-409.0,0.0,0.0,-628.0,-386.0,2192,
12/31/2013,6122,908,,,,-8590.0,0.0,0.0,-27992.0,22612.0,-3210.0,-1348.0,-342.0,,1372.0,-981.0,0.0,,-708.0,-689.0,-3816,
03/31/2014,2484,1328,,,,2164.0,0.0,0.0,-28711.0,31476.0,-601.0,-3660.0,-341.0,-75.0,0.0,-1460.0,0.0,0.0,-3624.0,1840.0,988,
06/30/2014,4437,1366,,,,-8864.0,0.0,0.0,-42844.0,34337.0,-357.0,3247.0,-426.0,0.0,1000.0,-1024.0,0.0,-4.0,2850.0,851.0,-1180,
09/30/2014,4029,2094,,,,-4969.0,0.0,0.0,-37773.0,33329.0,-525.0,2330.0,-425.0,0.0,0.0,-318.0,0.0,-439.0,3328.0,184.0,1390,
12/31/2014,5426,1521,,,,-3386.0,0.0,0.0,-38046.0,35837.0,-1177.0,-15.0,-429.0,0.0,0.0,-60.0,1000.0,-557.0,-1071.0,1102.0,2025,
03/31/2015,2686,2158,,,,-6900.0,0.0,0.0,-39393.0,33293.0,-800.0,1533.0,-424.0,0.0,1492.0,-7.0,0.0,-986.0,-273.0,1731.0,-2681,
06/30/2015,4202,1115,,,,140.0,0.0,0.0,-51769.0,52335.0,-426.0,-4395.0,-451.0,0.0,0.0,-1013.0,1485.0,-919.0,-1666.0,-1831.0,-53,
09/30/2015,2639,1203,,,,-147.0,0.0,0.0,-37107.0,36436.0,524.0,-350.0,-426.0,0.0,86.0,-58.0,,-664.0,-1618.0,2330.0,2142,
12/31/2015,-1248,897,,,,-3491.0,0.0,0.0,-45479.0,43802.0,-1814.0,1502.0,-468.0,,2315.0,-360.0,0.0,-823.0,1840.0,-1002.0,-3237,
03/31/2016,1964,2201,,,,-5739.0,0.0,0.0,-44814.0,38934.0,141.0,4313.0,-419.0,0.0,0.0,-5.0,0.0,-70.0,615.0,4192.0,538,
06/30/2016,4342,110,,,,-4169.0,0.0,0.0,-40388.0,36836.0,-617.0,3604.0,-487.0,3.0,0.0,-1259.0,0.0,0.0,840.0,4507.0,3777,
09/30/2016,2876,577,,,,-4678.0,0.0,0.0,-42596.0,38729.0,-811.0,618.0,-447.0,-3.0,0.0,-9.0,0.0,0.0,2625.0,-1548.0,-1184,
12/31/2016,5643,-2038,,,,8736.0,0.0,0.0,-43489.0,54210.0,-1985.0,-12385.0,-486.0,,0.0,-6.0,0.0,-302.0,845.0,-12436.0,1994,
03/31/2017,2098,873,,,,-4276.0,0.0,0.0,-28871.0,25550.0,-955.0,1712.0,-443.0,,0.0,-4.0,0.0,-858.0,2171.0,846.0,-466,
