Date,Assets,Real Estate Held for Sale,Real Estate Equity Interests,Net Real Estate Property,Gross Real Estate Property,Accumulated Depreciation,Net Mortgages & Notes,Mortgage Loan (REIT),Notes Receivable,Allowance for Loan Losses,Mortgage Backed Invt,Total Real Estate Investments,Cash & Near Cash Items,Accounts Receivable,Other Investments,Other Assets,Restricted Assets,Total Assets,Liabilities & Shareholders' Equity,Accounts Payable,ST Liabilities & Deposits,Security Deposits,Other ST Liabilities,Secured & Unsecured Debt,Unsecured Debt,Secured Debt,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1994,,0.0,0.0,261.610992,261.610992,0.0,0.0,0.0,0.0,0.0,0.0,261.610992,-110.401001,0.0,0.0,4.072,,155.281998,,0.0,4.488,0.0,4.488,51.953,,,0.0,56.441002,96.599998,0.0,9.936,-7.695,98.840998,155.281998,
06/30/1994,,0.0,0.0,33.422998,48.467999,-15.045,0.0,0.0,0.0,0.0,0.0,33.423,2.1,1.797,0.818,1.408,,39.546001,,2.032,2.789,0.363,2.426,41.671001,,,0.888,47.380001,0.0,0.0,0.436,-8.27,-7.834,39.546001,
09/30/1994,,0.0,0.0,269.152008,269.152008,0.0,0.0,0.0,0.0,0.0,0.0,269.152008,6.994,5.321,0.0,0.372,,281.838989,,4.994,2.673,0.0,2.673,18.695,,,0.0,26.362,96.599998,17.587999,139.604996,1.684,255.476994,281.838989,
12/31/1994,,0.0,0.0,390.63001,404.32901,-13.699,0.0,0.0,0.0,0.0,0.0,390.630005,7.144,6.707,0.0,12.258,,416.739014,,7.089,2.334,2.334,0.0,141.315002,,,0.0,150.738007,96.599998,29.082001,139.070999,1.248,266.000998,416.739014,
03/31/1995,,0.0,0.0,390.286003,407.634003,-17.348,0.0,0.0,0.0,0.0,0.0,390.286011,5.936,5.095,0.0,11.939,,413.256012,,5.66,2.289,2.289,0.0,141.287994,,,0.0,149.237,96.599998,28.91,139.070999,-0.562,264.018997,413.256012,
06/30/1995,,0.0,0.0,390.581995,411.563995,-20.982,0.0,0.0,0.0,0.0,0.0,390.582001,1.687,8.997,0.0,15.539,,416.804993,,7.015,2.336,2.336,0.0,144.936005,,,0.0,154.287003,96.599998,29.278,139.070999,-2.431,262.517998,416.804993,
09/30/1995,,0.0,1.917,389.017996,413.783997,-24.766001,0.0,0.0,0.0,0.0,0.0,390.934998,3.029,9.17,0.0,17.605,,420.739014,,7.7,2.369,2.369,0.0,257.716003,,,0.0,267.785004,0.0,28.941,128.438004,-4.425,152.954003,420.739014,
12/31/1995,,0.0,3.674,448.424987,477.161987,-28.737,0.0,0.0,0.0,0.0,0.0,452.098999,1.65,7.175,0.0,17.747,,478.67099,,8.007,2.646,2.646,0.0,268.691986,,,0.0,279.345001,0.0,30.375999,175.253006,-6.303,199.326005,478.67099,
03/31/1996,,0.0,4.248,473.640991,506.847992,-33.207001,0.0,0.0,0.0,0.0,0.0,477.889008,0.713,7.195,0.0,17.902,,503.699005,,7.438,2.77,2.77,0.0,295.242004,,,0.0,305.450012,0.0,31.576,175.201996,-8.529,198.248996,503.699005,
06/30/1996,,0.0,0.0,514.028988,551.825989,-37.797001,0.0,0.0,0.0,0.0,0.0,514.028992,2.328,1.874,0.0,21.886,,540.117004,,9.57,3.351,3.351,0.0,307.612,,,0.0,320.53299,0.0,41.525002,188.606003,-10.547,219.584004,540.117004,
09/30/1996,,0.0,0.0,500.888985,541.932983,-41.043999,2.893,2.893,0.0,0.0,0.0,503.782013,1.115,2.161,0.0,24.805,,531.862976,,8.908,3.125,3.125,0.0,304.772003,,,0.0,316.804993,0.0,42.759998,184.705994,-12.408,215.057992,531.862976,
12/31/1996,,0.0,0.0,745.144981,865.221985,-120.077003,0.0,0.0,0.0,0.0,0.0,745.14502,13.17,4.344,0.0,72.153999,,834.812988,,16.299,4.316,4.316,0.0,522.145996,,,0.0,542.760986,0.0,69.163002,236.944,-14.055,292.052002,834.812988,
03/31/1997,,0.0,0.0,742.399033,869.93103,-127.531998,0.0,0.0,0.0,0.0,0.0,742.398987,11.531,5.313,0.0,46.563,10.423,816.229004,,14.248,4.623,4.623,0.0,456.572998,,,0.0,475.444,0.0,59.938,297.501007,-16.653999,340.785007,816.229004,
06/30/1997,,25.945,103.277,944.85498,1100.958984,-156.104004,0.0,0.0,0.0,0.0,0.0,1074.077026,21.521,18.870001,0.0,33.844002,17.962999,1166.275024,,56.997002,6.353,6.353,0.0,644.45697,,,0.0,707.807007,0.0,69.990997,417.710999,-29.233999,458.467997,1166.275024,
09/30/1997,,25.58,302.921997,1107.545013,1250.239014,-142.694,39.917999,39.917999,0.0,0.0,0.0,1475.964966,45.775002,24.327999,0.0,40.108002,22.018999,1608.194946,,72.532997,115.533998,8.919,106.614998,661.715027,,,0.0,849.781982,75.0,130.987,607.085022,-54.659,758.413021,1608.194946,
12/31/1997,,6.284,268.752991,1503.922028,1657.207031,-153.285004,50.0,50.0,0.0,0.0,0.0,1828.958984,37.088001,28.656,0.0,181.578003,24.229,2100.51001,,88.169998,10.213,10.213,0.0,808.530029,,,0.0,906.913025,135.0,148.296997,978.005981,-67.706001,1193.596977,2100.51001,
03/31/1998,,35.824,,1537.646,1753.37,-215.724,334.457,,334.457,,,1872.103,35.948,24.586,60.41,220.824,31.186,2220.471,,82.809,10.023,,10.023,811.496,0.0,811.496,,904.328,240.0,161.08,998.415,-83.352,1316.143,2220.471,
06/30/1998,,35.695,288.770996,2287.309113,2585.204102,-297.894989,68.900002,50.0,18.9,0.0,0.0,2680.675049,49.32,26.201,0.0,223.421997,75.123001,3054.740967,,155.128998,12.882,12.882,0.0,1314.475021,,,0.0,1482.485962,240.0,177.860992,1248.322021,-93.928001,1572.255013,3054.740967,
09/30/1998,,42.212002,373.928986,2355.12207,2685.487061,-330.36499,0.0,0.0,0.0,0.0,0.0,2771.262939,43.681,11.545,0.0,212.272995,83.186996,3121.948975,,131.798996,13.171,13.171,0.0,1275.400951,,,0.0,1420.370972,391.25,180.050995,1237.444946,-107.167999,1701.577942,3121.948975,
12/31/1998,,27.304001,1234.895996,2573.717896,2802.5979,-228.880005,0.0,0.0,0.0,0.0,0.0,3835.917969,71.305,33.708,0.0,271.528015,55.826,4268.285156,,208.300003,12.654,12.654,0.0,1660.715027,,,0.0,1881.668945,941.968018,334.552002,1247.447021,-137.350998,2386.616043,4268.285156,
03/31/1999,,26.794001,1078.417969,2591.249054,2852.477051,-261.227997,220.226593,0.0,220.229996,0.0,0.0,3916.690918,38.561001,22.240999,0.0,258.989014,55.264999,4291.74707,,146.322006,13.404,13.404,0.0,1608.894974,,,0.0,1768.620972,765.75,221.013,1710.144043,-173.781006,2523.126038,4291.74707,
06/30/1999,,10.625,1328.998,2679.317,2971.072,-291.755,20.027,,20.027,0.0,0.0,4038.967,51.658,,,255.798,54.267,4400.69,,181.472,13.475,,13.475,1716.595,,1716.595,,1911.542,641.25,215.723,1832.133,-199.958,2489.148,4400.69,
09/30/1999,,4.146,1112.703003,2757.218018,2757.218018,0.0,0.0,0.0,0.0,0.0,0.0,3874.066895,56.202999,19.429001,0.0,503.371002,54.098,4507.167969,,142.531998,13.461,13.461,0.0,1692.887985,,,0.0,1848.880981,641.25,360.937988,1889.280029,-233.181,2658.287018,4507.167969,
12/31/1999,,4.162,936.369995,4092.038147,4508.535156,-416.497009,231.582001,0.0,231.582001,0.0,0.0,5264.151855,101.603996,0.0,0.0,234.600006,84.595001,5684.951172,,271.627014,22.792999,22.792999,0.0,2733.789124,,,0.0,3028.208984,641.25,393.914001,1886.092041,-264.514008,2656.742035,5684.951172,
03/31/2000,,4.376,862.874,4507.406,4995.886,-488.48,209.331,0.0,209.331,0.0,0.0,5583.987,136.89,0.0,0.0,204.829,92.803,6018.509,,188.909,26.797,26.797,0.0,3007.05,277.2,2729.85,0.0,3222.756,671.25,523.069,1898.94,-297.506,2795.753,6018.509,
06/30/2000,,0.0,738.964,4953.798,5527.566,-573.768,232.286,0.0,232.286,0.0,0.0,5925.048,90.709,0.0,0.0,213.499,108.311,6337.567,,194.006,31.835,31.835,0.0,3351.02,293.5,3057.52,0.0,3576.861,820.75,368.991,1912.789,-341.824,2760.706,6337.567,
09/30/2000,,0.0,889.516,5471.364,6121.674,-650.31,359.578,0.0,359.578,0.0,0.0,6720.458,106.544,0.0,0.0,216.237,113.545,7156.784,,243.286,32.899,32.899,0.0,3825.203,406.0,3419.203,0.0,4101.388,837.717,526.967,2066.33,-375.618,3055.396,7156.784,
12/31/2000,,,783.969,6099.189,7012.452,-913.263,331.313,,331.313,,,7214.471,157.115,,,201.374,126.914,7699.874,,300.142,33.943,,33.943,4392.445,,4392.445,0.0,4726.53,837.717,471.687,2072.921,-408.981,2973.344,7699.874,
