Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Other Electric Revenue,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,938.340027,938.340027,,,,0.0,0.0,0.0,-373.97699,373.97699,373.97699,,0.0,,,,564.363037,-358.424988,63.854,64.237,84.513,145.820999,205.938004,4.468003,,,131.054001,,128.003998,188.733002,-69.563004,8.834,-1.418,210.406007,6.188,,216.593994,0.0,,,216.594007,0,216.593994,-27.753,,188.840994,188.840994,,376.261993,0.5,0.5,0.5,376.261993,0.5,0.5,0.5,
06/30/1990,1043.895996,1043.895996,,,,0.0,0.0,0.0,-409.747986,409.747986,409.747986,,0.0,,,,634.14801,-380.790009,72.504997,64.748001,81.935997,161.600998,253.358002,12.899999,,,123.573997,,118.001999,172.518005,-65.651001,11.135,-7.328,266.258,-14.996,,251.261993,0.0,,,251.262,0,251.261993,-29.912001,,221.349993,221.349993,,387.078003,0.57,0.57,0.57,387.078003,0.57,0.57,0.57,
09/30/1990,1412.462036,1412.462036,,,,0.0,0.0,0.0,-496.259003,496.259003,496.259003,,0.0,,,,916.203033,-420.178986,66.155998,88.474998,83.349998,182.197998,496.023987,-25.597007,,,97.963997,,131.438004,173.054993,-52.491001,10.874,-7.877,470.42698,-95.903999,,374.52301,0.0,,,374.522981,0,374.52301,-29.863001,,344.660009,344.660009,,390.403992,0.885,0.885,0.885,390.403992,0.885,0.885,0.885,
12/31/1990,1147.925049,1147.925049,,,,0.0,0.0,0.0,-397.678986,397.678986,397.678986,,0.0,,,,750.246063,-508.143005,94.042,110.154999,97.953003,205.992996,242.102997,-98.224997,,,49.855,,156.186996,177.106995,-27.865999,6.946,-8.107,143.878,-17.187,,126.691002,0.0,,,126.691,0,126.691002,-30.74,,95.951002,95.951002,,392.174011,0.245,0.245,0.245,392.174011,0.245,0.245,0.245,
03/31/1991,1094.477051,1094.477051,,,,0.0,0.0,0.0,-365.556,365.556,365.556,,0.0,,,,728.921051,-462.807007,66.305,110.741997,94.913002,190.847,266.114014,-96.903995,,,51.990002,,158.492996,179.272003,-28.882,8.103,-9.599,169.210019,-14.687,,154.522995,0.0,,,154.523019,0,154.522995,-30.450001,,124.072994,124.072994,,405.06601,0.305,0.305,0.305,405.06601,0.305,0.305,0.305,
06/30/1991,1197.427979,1197.427979,,,,0.0,0.0,0.0,-412.941986,412.941986,412.941986,,0.0,,,,784.485992,-483.09201,82.516998,111.820999,93.925003,194.828995,301.394012,-102.015,,,53.810001,,167.039001,181.365005,-29.684,15.358,-11.214,199.379012,-18.701,,180.677994,0.0,,,180.678012,0,180.677994,-30.374001,,150.303993,150.303993,,414.355988,0.365,0.365,0.365,414.355988,0.365,0.365,0.365,
09/30/1991,1449.717041,1449.717041,,,,0.0,0.0,0.0,-464.584015,464.584015,464.584015,,0.0,,,,985.133026,-517.057007,67.356003,110.611,137.569,201.520996,468.075989,-1476.491989,,,93.192001,,203.720001,189.261002,-29.99,44.449001,1365.963989,-1008.416,273.17099,,-735.244995,0.0,,,-735.24501,0,-735.244995,-30.454,,-765.698996,-765.698996,,418.059998,-1.83,-1.83,-1.83,418.059998,-1.83,-1.83,-1.83,
12/31/1991,1151.551025,1151.551025,,,,0.0,0.0,0.0,-420.191986,420.191986,420.191986,,0.0,,,,731.359039,-511.158997,93.246002,103.703003,122.468002,191.742004,220.199997,-105.835999,,,52.751999,,173.475998,189.306,-23.745001,7.915,-14.888,114.363997,-2.681,,111.682999,0.0,,,111.682997,0,111.682999,-30.325001,,81.357998,81.357998,,419.730011,0.195,0.195,0.195,419.730011,0.195,0.195,0.195,
03/31/1992,1057.160034,1057.160034,,,,0.0,0.0,0.0,-357.114014,357.114014,357.114014,,0.0,,,,700.046021,-461.792999,70.412003,103.735001,108.375,179.270996,238.253006,-110.628,,,46.671001,,167.942001,186.776001,-26.375999,7.542,-10.643,127.625006,-11.911,,115.713997,-80.906998,,,196.621003,0,196.621002,-30.274,,166.347002,166.347002,,424.614014,0.39,0.2,0.2,424.614014,0.39,0.2,0.2,
06/30/1992,1196.064941,1196.064941,,,,0.0,0.0,0.0,-382.011993,382.011993,382.011993,,0.0,,,,814.052948,-478.490997,77.924004,104.775002,107.800003,187.992004,335.562012,-103.928006,,,49.514999,,160.990005,180.875,-27.888,8.003,-7.547,231.634006,-44.778,,186.856003,0.0,,,186.856006,0,186.856003,-30.166,,156.690002,156.690002,,428.041992,0.365,0.365,0.365,428.041992,0.365,0.365,0.365,
