Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Discontinued Operations,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2004,472.339996,237.728996,198.798996,38.93,16.723,0.0,0.0,0.0,0.0,0.0,0.0,16.375,,,,,,270.826996,4.752,,,0.0,,196.761002,170.223007,158.725006,11.498001,,26.537995,201.513002,,25.155001,25.155001,,,,44.672001,44.672001,0.0,0.0,,,204.310998,,,,204.310998,274.138,87.769997,87.769997,0.0,0.0,,4.773,,,,,4.773,92.542997,366.680997,0.0,71.641998,,,0.0,34.015999,0.000999,105.658996,0.0,105.658996,472.339993,
06/30/2004,545.423,254.316,215.26,39.056,31.219,,0.0,0.0,0.0,0.0,0.0,23.028,,,,,,308.563,5.175,,,0.0,,231.685,204.538,185.402,19.136,,27.147,236.86,,209.121,209.121,,,,1.594,,,,,,26.861,,,,26.861,237.576,185.868,,,,,6.229,,,,,6.229,192.097,429.673,0.0,72.799,,,0.0,42.952,-0.001,115.75,0.0,115.75,545.423,
09/30/2004,729.486,410.245,265.425,144.82,50.312,,,,,,,22.548,,,,,,483.105,7.841,,,,,238.54,207.769,189.807,17.962,,30.771,246.381,,211.207,211.207,,,,1.6,,,,,,81.394,,,,81.394,294.201,182.261,,,,,7.562,,,,,7.562,189.823,484.024,,185.723,,,,59.745,-0.006,245.462,,245.462,729.486,
12/31/2004,799.036,473.142,397.627,75.515,52.17,0.0,0.0,0.0,0.0,0.0,0.0,23.096,,,,,,548.408,12.587,15.007,-2.42,0.0,,238.041,206.289,180.848,25.441,,31.752,250.628,,226.115,226.115,,,,1.6,1.6,0.0,0.0,,,63.449,,,,63.449,291.164,181.901,181.901,0.0,0.0,,17.34,,,,,17.34,199.241,490.405,0.0,231.19,,,0.0,77.444,-0.003,308.631,0.0,308.631,799.036,
03/31/2005,833.349,514.491,340.745,173.746,44.534,0.0,0.0,0.0,0.0,0.0,0.0,23.635,,,,,,582.66,13.943,,,0.0,,236.746,204.988,180.848,24.14,,31.758,250.689,,241.405,241.405,,,,1.6,1.6,0.0,0.0,,,70.084,,,,70.084,313.089,181.541,181.541,0.0,0.0,,18.331,,,,,18.331,199.872,512.961,0.0,232.3,,,0.0,88.084,0.004,320.388,0.0,320.388,833.349,
06/30/2005,788.727,431.585,253.495,178.09,64.241,,0.0,0.0,0.0,0.0,0.0,25.799,,,,,,521.625,22.408,,,0.0,,244.694,208.753,185.779,22.974,,35.941,267.102,,252.222,252.222,,,,1.6,1.6,0.0,0.0,,,0.233,,,,0.233,254.055,181.181,181.181,0.0,0.0,,18.287,,,,,18.287,199.468,453.523,0.0,232.952,,,0.0,102.237,0.015,335.204,0.0,335.204,788.727,
09/30/2005,971.747,614.487,436.084,178.403,56.167,,0.0,0.0,0.0,0.0,0.0,26.228,,,,,,696.882,29.526,,,0.0,,245.339,208.633,185.779,22.854,,36.706,274.865,,274.9,274.9,,,,1.6,1.6,0.0,0.0,,,141.56,,,,141.56,418.06,180.821,180.821,0.0,0.0,,19.658,,,,,19.658,200.479,618.539,0.0,234.658,,,0.0,118.533,0.017,353.208,0.0,353.208,971.747,
12/31/2005,887.489,515.926,421.766,94.16,47.567,0.0,0.0,0.0,0.0,0.0,0.0,41.964,,,,,,605.457,37.057,43.909,-6.852,0.0,,244.975,207.447,185.779,21.668,,37.528,282.032,,299.576,299.576,,,,26.6,26.6,0.0,0.0,,,13.866,,,,13.866,340.042,155.461,155.461,0.0,0.0,,21.862,,,,,21.862,177.323,517.365,0.0,240.731,,,0.0,129.372,0.021,370.124,0.0,370.124,887.489,
03/31/2006,1462.632,937.485,789.73,147.755,46.596,,0.0,0.0,0.0,0.0,0.0,172.381,,,,,,1156.462,44.206,,,0.0,,261.964,206.302,185.779,20.523,,55.662,306.17,,353.157,353.157,,,,26.6,26.6,0.0,0.0,,,490.619,,,,490.619,870.376,155.101,155.101,0.0,0.0,,22.966,,,,,22.966,178.067,1048.443,0.0,268.051,,,0.0,146.138,0.0,414.189,0.0,414.189,1462.632,
06/30/2006,1603.336,1013.001,834.159,178.842,85.058,0.0,0.0,0.0,0.0,0.0,0.0,194.92,,,,,,1292.979,53.545,,,0.0,,256.812,206.1,185.779,20.321,,50.712,310.357,,478.812,478.812,,,,26.6,26.6,0.0,0.0,,,471.008,,,,471.008,976.42,154.741,154.741,0.0,0.0,,25.69,,,,,25.69,180.431,1156.851,0.0,278.17,,,0.0,168.315,0.0,446.485,0.0,446.485,1603.336,
09/30/2006,1459.654,920.033,788.908,131.125,72.591,0.0,0.0,0.0,0.0,0.0,0.0,150.375,,,,,,1142.999,56.028,,,0.0,,260.627,205.589,185.779,19.81,,55.038,316.655,,554.562,554.562,,,,1.6,1.6,0.0,0.0,,,217.07,,,,217.07,773.232,154.381,154.381,0.0,0.0,,34.317,,,,,34.317,188.698,961.93,0.0,286.061,,,0.0,211.596,0.067,497.724,0.0,497.724,1459.654,
12/31/2006,1664.298,1090.964,964.542,126.422,100.561,0.0,0.0,0.0,0.0,0.0,0.0,147.966,,,,,,1339.491,61.258,78.497,-17.239,0.0,,263.549,208.325,189.47,18.855,,55.224,324.807,,468.492,468.492,,,,1.6,1.6,0.0,0.0,,,463.152,,,,463.152,933.244,154.021,154.021,0.0,0.0,,39.974,,,,,39.974,193.995,1127.239,0.0,297.76,,,0.0,239.238,0.061,537.059,0.0,537.059,1664.298,
03/31/2007,2105.471,1496.052,1344.909,151.143,119.433,0.0,0.0,0.0,0.0,0.0,0.0,157.432,,,,,,1772.917,62.484,,,0.0,,270.07,207.602,189.47,18.132,,62.468,332.554,,563.929,563.929,,,,1.6,1.6,0.0,0.0,,,738.386,,,,738.386,1303.915,153.661,153.661,0.0,0.0,,43.834,,,,,43.834,197.495,1501.41,0.0,310.465,,,0.0,293.532,0.064,604.061,0.0,604.061,2105.471,
06/30/2007,2294.052,1639.312,1473.048,166.264,112.893,0.0,0.0,0.0,0.0,0.0,0.0,195.57,,,,,,1947.775,63.096,,,0.0,,283.181,206.921,189.47,17.451,,76.26,346.277,,611.087,611.087,,,,1.6,1.6,0.0,0.0,,,805.885,,,,805.885,1418.572,153.301,153.301,0.0,0.0,,43.914,,,,,43.914,197.215,1615.787,0.0,330.06,,,0.0,348.177,0.028,678.265,0.0,678.265,2294.052,
