Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,6904.799805,962.800018,508.700012,454.100006,1216.599976,,,789.700012,,,,,232.600006,,,,3201.699951,2339.699951,4092.899902,-1753.199951,808.299988,,555.099976,,,,,555.099976,3703.099915,,887.5,887.5,,,,441.200012,,,,,,787.19989,,,787.19989,2115.899902,117.599998,,,,,702.599976,,,,702.599976,820.199974,2936.099876,,159.300003,,,-2286.0,,5621.100098,3494.400101,474.299988,3968.700089,6904.799965,
06/30/1990,7349.0,1092.299988,560.799988,531.5,1285.199951,,,842.299988,,,,,279.899994,,,,3499.699951,2413.100098,4217.799805,-1804.699951,879.299988,,556.900024,,,,,556.900024,3849.30011,,957.299988,957.299988,,,,618.5,,,,,,756.80011,,,756.80011,2332.600098,123.900002,,,,,725.900024,,,,725.900024,849.800026,3182.400124,,159.0,,,-2388.0,,5915.199951,3686.199951,480.399994,4166.599945,7349.000069,
09/30/1990,7771.5,1167.599976,647.599976,520.0,1407.400024,,,859.599976,,,,,311.600006,,,,3746.199951,2522.600098,4384.799805,-1862.199951,957.599976,,545.099976,,,,,545.099976,4025.300049,,1105.5,1105.5,,,,715.0,,,,,,847.600098,,,847.600098,2668.100098,124.599998,,,,,710.5,,,,710.5,835.099998,3503.200096,,158.0,,,-2586.399902,,6161.799805,3733.399902,534.900024,4268.299927,7771.500023,
12/31/1990,8029.799805,1197.300018,806.400024,390.899994,1345.800049,,,892.599976,,,,,330.600006,,,,3766.300049,2721.699951,4630.5,-1908.800049,1012.299988,,529.5,,,,,529.5,4263.499939,,1138.400024,1138.400024,,,,793.0,,,,,,895.700074,,,895.700074,2827.100098,124.099998,,,,,694.900024,,,,694.900024,819.000022,3646.10012,,166.399994,,,-2719.300049,,6387.300049,3834.399994,549.299988,4383.699982,8029.800102,
03/31/1991,8281.799805,1251.300018,779.200012,472.100006,1268.400024,,,924.099976,,,,,354.399994,,,,3798.199951,2853.100098,4820.600098,-1967.5,1047.599976,,582.900024,,,,,582.900024,4483.600098,,1082.5,1082.5,,,,745.299988,,,,,,1068.30011,,,1068.30011,2896.100098,121.0,,,,,664.700012,,,,664.700012,785.700012,3681.80011,,167.199997,,,-2764.899902,,6654.199951,4056.500046,543.5,4600.000046,8281.800156,
06/30/1991,8642.099609,1291.0,718.200012,572.799988,1460.400024,,,999.900024,,,,,322.200012,,,,4073.5,3028.899902,5052.799805,-2023.900024,951.599976,,588.099976,,,,,588.099976,4568.599854,,1109.199951,1109.199951,,,,444.100006,,,,,,979.099945,,,979.099945,2532.399902,538.0,,,,,661.0,,,,661.0,1199.0,3731.399902,,169.5,,,-2798.600098,,6993.700195,4364.600098,546.099976,4910.700073,8642.099976,
09/30/1991,9192.5,1597.799988,920.299988,677.5,1446.099976,,,997.099976,,,,,344.700012,,,,4385.700195,3223.699951,5303.600098,-2079.899902,999.599976,,583.5,,,,,583.5,4806.799927,,1187.199951,1187.199951,,,,473.100006,,,,,,1066.000092,,,1066.000092,2726.300049,589.900024,,,,,661.5,,,,661.5,1251.400024,3977.700073,,171.199997,,,-2824.600098,,7302.5,4649.099899,565.700012,5214.799911,9192.499985,
12/31/1991,9498.5,1411.800048,797.900024,613.900024,1545.5,,,991.299988,,,,,362.200012,,,,4310.799805,3504.5,5606.799805,-2102.299805,1043.699951,,639.5,,,,,639.5,5187.699951,,1400.400024,1400.400024,,,,338.399994,,,,,,1075.500031,,,1075.500031,2814.300049,493.700012,,,,,679.700012,,,,679.700012,1173.400024,3987.700073,,185.699997,,,-2858.199951,,7588.699951,4916.199997,594.599976,5510.799973,9498.500046,
03/31/1992,9663.0,1133.299988,694.799988,438.5,1523.900024,,,1067.800049,,,,,394.0,,,,4119.0,3631.699951,5757.600098,-2125.899902,1233.5,,678.799988,,,,,678.799988,5543.999939,,1262.599976,1262.599976,,,,225.399994,,,,,,1294.800079,,,1294.800079,2782.800049,582.299988,,,,,605.700012,,,,605.700012,1188.0,3970.800049,,199.699997,,,-2976.600098,,7890.800293,5113.900192,578.299988,5692.20018,9663.000229,
06/30/1992,10147.299805,1059.100037,715.900024,343.200012,1698.599976,,,1088.5,,,,,408.700012,,,,4254.899902,3820.399902,6000.399902,-2180.0,1360.599976,,711.400024,,,,,711.400024,5892.399902,,1295.199951,1295.199951,,,,526.200012,,,,,,1186.999939,,,1186.999939,3008.399902,596.099976,,,,,623.299988,,,,623.299988,1219.399963,4227.799866,,203.899994,,,-3169.800049,,8278.500244,5312.600189,606.900024,5919.500214,10147.300079,
