Date,Cash From Operating Activities,Cash Flow Net Income,Depreciation & Amortization,Provision for Doubtful Accounts,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Property Additions,Property Improvements,Change in Investments,Change in Notes,Change in Mortgages,Change in Real Estate Interest,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Preferred Dividends Other Distributions,Proceeds from Repayments of Borrowings,Change in Unsecured Debt,Change in Secured Debt,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
09/30/2002,406.488007,183.628998,174.050003,6.02,5.147,37.641998,,96.607002,-7.489,-92.858002,0.0,0.398,0.0,-20.198999,1.133,-22.408001,-228.785995,-234.671997,-20.046,2.679,0.0,2.679,169.033997,-224.110001,78.329002,155.294006,
12/31/2002,342.240997,187.093002,175.018005,8.417,-3.255,-25.032,,158.910995,-29.120001,-105.630997,0.0,4.111,0.0,-37.948002,-27.722,-37.398998,-701.905029,-464.677002,-20.455999,-23.038002,95.699997,-118.737999,40.014999,-194.460007,-39.289001,-397.062988,
03/31/2003,290.173004,157.177994,176.210999,7.528,4.558,-55.301998,,42.779999,0.0,-78.947998,0.0,0.638,0.0,-6.856,-52.769001,-95.154999,-190.166,-0.623,-18.167,-21.328,-10.89,-10.438,1.364,-151.951996,0.54,4.852,
06/30/2003,330.304993,165.255997,178.285995,3.91,-19.201,2.054,,222.817001,0.0,-95.972,0.0,0.661,0.0,-25.162001,-6.448,95.896004,-431.928986,-228.059998,-20.341,272.392994,282.899994,-10.507,6.263,-453.700989,-8.483,-5.728,
09/30/2003,309.427002,120.682999,180.962006,-0.356,22.341,-14.203,,133.382004,-87.411003,-127.160004,0.0,0.0,0.0,57.980999,-46.143002,-69.350998,-191.886002,-224.376999,-12.773,16.224007,138.100006,-121.875999,13.022,-13.463,29.481001,48.189999,
12/31/2003,304.484009,211.944,201.643005,1.721,-99.542999,-11.281,,946.575012,-102.003998,-170.679993,0.0,0.0,0.0,23.591999,-15.651,681.83197,-1022.703979,-448.199005,-2.56,-577.987999,-487.0,-90.987999,17.094999,-0.797,-10.255,-36.388,
03/31/2004,221.716003,78.039001,189.981003,-0.804,39.403,-84.903,,18.188999,-62.777,-121.208,0.0,0.0,0.0,0.0,0.243,-165.552994,-70.577003,-0.836,-10.45,90.751008,263.040009,-172.289001,39.056,-118.642998,-70.455002,-14.414,
06/30/2004,342.695007,109.508003,189.462006,1.543,25.121,17.061001,,215.279999,-56.703999,-122.144997,0.0,0.0,0.0,0.0,-13.907,22.524,-346.890015,-224.408005,-21.712,-67.415001,-30.465,-36.950001,0.747,-33.879002,-0.223,18.329,
09/30/2004,301.009,-120.279,194.525,2.608,224.059,0.096,,,-220.688,-91.973,32.089,0.0,0.0,-220.833,3.067,-498.338,246.932,-224.035,-10.653,478.354,697.486,-219.132,3.947,-0.668,-0.013,49.603,
12/31/2004,342.234009,70.039001,230.936005,2.108,3.187,35.964001,,182.365005,-133.462006,-117.886002,0.0,-3.515,0.0,0.0,11.727,-60.771,-297.207001,-453.585999,-2.417,130.460999,140.917999,-10.457,15.519,-2.561,15.377,-15.744,
03/31/2005,169.175,109.571,206.436,2.415,8.967,-158.214,,137.109,-67.199,-76.406,0.0,0.0,0.0,0.0,105.056,98.56,-275.292,0.0,-13.75,-293.413,-189.656,-103.757,43.26,-11.324,-0.065,-7.557,
06/30/2005,299.153015,-196.740997,208.076996,1.114,278.627014,8.076,,1169.668945,-294.078003,-74.556999,0.0,0.0,0.0,62.300999,-26.684999,836.650024,-622.104004,-226.757996,-10.206,-413.589005,-161.975006,-251.613998,78.281998,-49.839001,0.006,513.698975,
09/30/2005,317.245,102.446,199.635,1.847,-46.039,59.356,,312.077,-655.428,-90.945,0.0,0.0,0.0,124.395,414.136,104.235,-891.564,-227.382,-9.504,-555.967,-21.611,-534.356,16.832,-99.564,-15.979,-470.084,
12/31/2005,202.417007,27.663,204.024002,1.052,2.348,-32.669998,,212.098999,-309.626007,-128.686996,0.0,-50.0,0.0,51.542999,106.639,-118.031998,-152.134003,-439.639008,-9.939,1153.051025,821.791016,331.26001,3.608,-857.656006,-1.559,-67.749001,
03/31/2006,184.168,54.321,236.13,2.018,-8.756,-99.545,,138.462,-90.404,-81.603,0.0,0.0,0.0,49.291,-3.155,12.591,-159.18,-1.089,-23.157,392.935,221.057,171.878,33.785,-560.609,-1.045,37.579,
06/30/2006,345.097992,96.557999,236.628998,1.821,-55.860001,65.949997,,103.713997,-74.219002,-141.822006,0.0,0.0,0.0,-11.359,10.227,-113.459,-194.753998,-134.789001,-31.739,664.084991,266.679993,397.404999,51.393002,-742.017029,-1.687,36.884998,
09/30/2006,253.031,-130.747,236.308,0.604,131.756,15.11,,266.666,-771.064,-116.136,,,,2.385,19.743,-598.406,389.118,-128.517,-26.744,474.133,687.2,-213.067,43.69,-13.814,40.37,43.743,
12/31/2006,213.593002,320.834991,258.523987,1.636,-313.308014,-54.094002,,660.612976,-268.601013,-180.121002,,,,,660.249023,872.140015,-1128.234009,-258.588013,-19.031,-855.148003,-949.044006,93.896004,19.332001,-14.319,-0.48,-42.500999,
