Date,Revenue,Sales & Services Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,695.700012,,,,,-533.900024,,,161.800003,3.5,,3.8,,,0.0,,-7.3,165.300003,-71.099998,94.199997,0.0,,,94.200005,0.0,94.199997,0.0,,94.199997,94.199997,,438.0,0.215,0.215,,438.0,0.215,0.215,0.215,
06/30/1990,677.299988,,,,,-539.099976,,,138.199997,3.5,,4.3,,,0.0,,-7.8,141.699997,-60.900002,80.800003,0.0,,,80.799995,0.0,80.800003,0.0,,80.800003,80.800003,,441.599991,0.183329,0.183333,,441.599991,0.183333,0.183333,0.183333,
09/30/1990,681.5,,,,,-547.799988,,,133.699997,-2.8,,11.5,,,0.0,,-8.7,130.899997,-56.299999,74.599998,0.0,,,74.599998,0.0,74.599998,0.0,,74.599998,74.599998,,439.199982,0.17,0.17,,439.199982,0.17,0.17,0.17,
12/31/1990,668.5,,,,,-574.900024,,,93.599998,-2.7,,11.4,,,0.0,,-8.7,90.899999,-36.400002,54.5,0.0,,,54.499997,0.0,54.5,0.0,,54.5,54.5,,440.400009,0.123333,0.123333,,440.400009,0.123333,0.123333,0.123333,
03/31/1991,744.099976,,,,,-572.900024,,,171.199997,-3.1,,9.6,,,0.0,,-6.5,168.099997,-71.5,96.599998,0.0,,,96.599997,0.0,96.599998,0.0,,96.599998,96.599998,,441.599991,0.218333,0.218333,,441.599991,0.218333,0.218333,0.218333,
06/30/1991,690.200012,,,,,-546.0,,,144.199997,-3.9,,9.7,,,0.0,,-5.8,140.299997,-59.599998,80.699997,0.0,,,80.699999,0.0,80.699997,0.0,,80.699997,80.699997,,441.599991,0.183329,0.183333,,441.599991,0.183333,0.183333,0.183333,
09/30/1991,679.0,,,,,-545.599976,,,133.399994,-4.7,,10.0,,,0.0,,-5.3,128.699994,-54.700001,74.0,0.0,,,73.999993,0.0,74.0,0.0,,74.0,74.0,,436.199982,0.17,0.17,,436.199982,0.17,0.17,0.17,
12/31/1991,665.900024,,,,,-616.599976,,,49.299999,40.400001,,9.8,,,0.0,,-50.200001,89.7,-35.5,54.200001,0.0,,,54.2,0.0,54.200001,0.0,,54.200001,54.200001,,434.400009,0.125,0.125,,434.400009,0.125,0.125,0.125,
03/31/1992,768.799988,,,,,-589.299988,,,179.5,-5.4,,9.0,,,0.0,,-3.6,174.1,-73.099998,101.0,40.099998,,,60.900003,0.0,60.900002,0.0,,60.900002,60.900002,,431.400009,0.14,0.233333,,431.400009,0.14,0.233333,0.233333,
06/30/1992,733.0,,,,,-589.900024,,,143.100006,-6.0,,10.1,,,0.0,,-4.1,137.100006,-57.599998,79.5,0.0,,,79.500007,0.0,79.5,0.0,,79.5,79.5,,431.400009,0.184998,0.185,,431.400009,0.185,0.185,0.185,
09/30/1992,730.0,,,,,-606.200012,,,123.800003,-4.9,,9.4,,,0.0,,-4.5,118.900003,-49.900002,69.0,0.0,,,69.000002,0.0,69.0,0.0,,69.0,69.0,,431.400009,0.16,0.16,,431.400009,0.16,0.16,0.16,
12/31/1992,705.200012,,,,,-610.599976,,,94.599998,-5.4,,9.8,,,0.0,,-4.4,89.199998,-34.900002,54.299999,0.0,,,54.299996,0.0,54.299999,0.0,,54.299999,54.299999,,438.599988,0.123333,0.123333,0.123333,438.599988,0.123333,0.123333,0.123333,
03/31/1993,833.900024,,,,,-646.700012,,,187.199997,-8.2,,11.3,,,0.0,,-3.1,178.999997,-71.599998,107.400002,0.0,,,107.399998,0.0,107.400002,0.0,,107.400002,107.400002,,439.800018,0.243333,0.243333,,439.800018,0.243333,0.243333,0.243333,
06/30/1993,783.299988,,,,,-630.799988,,,152.5,-8.7,,11.8,,,0.0,,-3.1,143.8,-57.5,86.300003,0.0,,,86.3,0.0,86.300003,0.0,,86.300003,86.300003,,439.800018,0.196665,0.196667,,439.800018,0.196667,0.196667,0.196667,
09/30/1993,766.400024,,,,,-626.700012,,,139.699997,-9.0,,11.6,,,0.0,,-2.6,130.699996,-54.599998,76.099998,0.0,,,76.099998,0.0,76.099998,0.0,,76.099998,76.099998,,440.400009,0.173333,0.173333,,440.400009,0.173333,0.173333,0.173333,
12/31/1993,779.799988,,,,,-666.400024,,,113.400002,-8.3,,11.4,,,0.0,,-3.1,105.100002,-42.5,62.599998,0.0,,,62.600002,0.0,62.599998,0.0,,62.599998,62.599998,,444.0,0.14,0.14,0.14,444.0,0.14,0.14,0.14,
03/31/1994,910.200012,,,,,-681.799988,,,228.399994,-8.7,,11.6,,,0.0,,-2.9,219.699994,-89.0,130.699997,10.500001,,,120.199993,0.0,120.199997,0.0,,120.199997,120.199997,,443.400009,0.271667,0.295,,443.400009,0.271667,0.295,0.295,
06/30/1994,840.5,,,,,-676.700012,,,163.800003,-9.3,,12.3,,,0.0,,-3.0,154.500003,-58.799999,95.699997,0.0,,,95.700004,0.0,95.699997,0.0,,95.699997,95.699997,,442.199982,0.216667,0.216667,,442.199982,0.216667,0.216667,0.216667,
09/30/1994,826.900024,,,,,-678.299988,,,148.600006,-10.7,,13.1,,,0.0,,-2.4,137.900006,-54.5,83.400002,0.0,,,83.400006,0.0,83.400002,0.0,,83.400002,83.400002,,439.800018,0.19,0.19,,439.800018,0.19,0.19,0.19,
12/31/1994,857.400024,,,,,-727.900024,,,129.5,-10.1,,13.6,,,0.0,,-3.5,119.4,-47.200001,72.199997,0.0,,,72.199999,0.0,72.199997,0.0,,72.199997,72.199997,,441.599988,0.163333,0.163333,0.163333,441.599988,0.163333,0.163333,0.163333,
