Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
11/30/1989,206.783005,,-135.569,,71.214005,,-62.604,,,8.61,1.187,,0.619,,,0.0,-1.806,9.797,-3.811,5.986,0.0,,,5.986,0.0,5.986,0.0,,5.986,5.986,,166.439999,0.036667,0.036667,,166.439999,0.036667,0.036667,0.036667,
02/28/1990,227.425995,,-152.440994,,74.985001,,-61.229,,,13.756,1.659,,0.196,,,0.0,-1.855,15.415,-6.139,9.276,0.0,,,9.276,0.0,9.276,0.0,,9.276,9.276,,166.439999,0.054167,0.054167,,166.439999,0.054167,0.054167,0.054167,
05/31/1990,217.457001,,-140.845001,,76.612,,-64.942001,,,11.67,1.282,,0.128,,,0.0,-1.41,12.952,-5.17,7.782,0.0,,,7.782,0.0,7.782,0.0,,7.782,7.782,,166.445995,0.046667,0.046667,,166.445995,0.046667,0.046667,0.046667,
08/31/1990,222.729004,,-146.098007,,76.630997,,-68.961998,,,7.669,1.797,,0.122,,,0.0,-1.919,9.466,-3.777,5.689,0.0,,,5.689,0.0,5.689,0.0,,5.689,5.689,,166.455,0.034167,0.034167,0.034167,166.455,0.034167,0.034167,0.034167,
11/30/1990,224.714996,,-143.087006,,81.627991,,-68.484001,,,13.144,-0.389,,0.388,,,0.0,0.001,12.755,-4.975,7.78,0.0,,,7.78,0.0,7.78,0.0,,7.78,7.78,,166.481998,0.046667,0.046667,,166.481998,0.046667,0.046667,0.046667,
02/28/1991,257.212006,,-168.970001,,88.242004,,-68.987,,,19.254999,-0.017,,0.017,,,0.0,0.0,19.237999,-7.25,11.988,0.0,,,11.987999,0.0,11.988,0.0,,11.988,11.988,,166.565998,0.070833,0.070833,,166.565998,0.070833,0.070833,0.070833,
05/31/1991,250.128998,,-156.376999,,93.751999,,-74.595001,,,19.157,-0.002,,0.002,,,0.0,0.0,19.155,-6.935,12.22,0.0,,,12.22,0.0,12.22,0.0,,12.22,12.22,,166.775997,0.073333,0.073333,,166.775997,0.073333,0.073333,0.073333,
08/31/1991,257.289001,,-167.714996,,89.574005,,-76.995003,,,12.579,-0.001,,0.002,,,0.0,-0.001,12.578,-4.324,8.254,0.0,,,8.254,0.0,8.254,0.0,,8.254,8.254,,167.13,0.05,0.05,0.05,167.13,0.05,0.05,0.05,
11/30/1991,263.898987,,-165.856995,,98.041992,,-79.557999,,,18.483999,0.0,,0.0,,,0.0,0.0,18.483999,-6.878,11.606,0.0,,,11.605999,0.0,11.606,0.0,,11.606,11.606,,167.346004,0.07,0.07,,167.346004,0.07,0.07,0.07,
02/29/1992,317.802002,,-205.113007,,112.688995,,-84.0,,,28.688999,0.001,,0.0,,,0.0,-0.001,28.689999,-10.676,18.014,0.0,,,18.014,0.0,18.014,0.0,,18.014,18.014,,167.601002,0.106667,0.106667,,167.601002,0.106667,0.106667,0.106667,
05/31/1992,279.812012,,-172.266006,,107.546005,,-83.469002,,,24.077,0.0,,0.0,,,0.0,0.0,24.077,-8.961,15.116,0.0,,,15.115999,0.0,15.116,0.0,,15.116,15.116,,167.892002,0.09,0.09,,167.892002,0.09,0.09,0.09,
08/31/1992,297.190979,,-190.604019,,106.58696,,-88.897987,,,17.689005,-0.001,,0.0,,,0.0,0.001,17.688005,-6.751998,10.936001,0.0,,,10.936007,0.0,10.936001,0.0,,10.936001,10.936001,,168.084606,0.066667,0.066667,0.066667,168.084606,0.066667,0.066667,0.066667,
11/30/1992,304.608002,,-189.863007,,114.744995,,-92.522003,,,22.223,-0.206,,0.206,,,0.0,0.0,22.017,-8.23,13.787,0.0,,,13.787,0.0,13.787,0.0,,13.787,13.787,,168.317997,0.083333,0.083333,,168.317997,0.083333,0.083333,0.083333,
02/28/1993,356.461121,,-230.732895,,125.728226,,-92.407585,,,33.320644,0.0,,0.0,,,0.0,0.0,33.320644,-12.5319,20.788746,0.0,,,20.788744,0.0,20.788746,0.0,,20.788746,20.788746,,168.73074,0.123333,0.123333,,168.73074,0.123333,0.123333,0.123333,
05/31/1993,310.080536,,-190.61586,,119.464676,,-91.919861,,,27.544806,0.0,,0.0,,,0.0,0.0,27.544806,-10.09,17.454805,0.0,,,17.454805,0.0,17.454805,0.0,,17.454805,17.454805,,168.899815,0.103333,0.103333,,168.899815,0.103333,0.103333,0.103333,
08/31/1993,326.281128,,-208.561783,,117.719345,,-97.887833,,,19.83152,-0.206,,,,,0.0,0.206,19.62552,-7.639388,11.986132,0.0,,,11.986132,0.0,11.986132,0.0,,11.986132,11.986132,,169.041663,0.073333,0.073333,,169.041663,0.073333,0.073333,0.073333,
11/30/1993,335.09201,,-209.143997,,125.948013,,-101.658997,,,24.289,0.0,,0.0,,,0.0,0.0,24.289,-9.339,14.95,-1.139,,,16.089,0.0,16.0888,0.0,,16.0888,16.0888,,169.109997,0.096667,0.09,,169.109997,0.096667,0.09,0.09,
02/28/1994,398.767609,,-262.175995,,136.591614,,-100.844002,,,35.748001,-13.727,,0.0,,,0.0,13.727,22.021001,0.0,22.021,0.0,,,22.021001,0.0,22.021,0.0,,22.021,22.021,,169.436405,0.13,0.13,,169.436405,0.13,0.13,0.13,
05/31/1994,349.210999,,-217.656998,,131.554001,,-103.516998,,,28.037001,0.0,,0.0,,,0.0,0.0,28.037001,-10.465,17.572001,0.0,,,17.572001,0.0,17.572001,0.0,,17.572001,17.572001,,169.662003,0.103333,0.103333,,169.662003,0.103333,0.103333,0.103333,
08/31/1994,345.369812,,-233.209,,112.160812,,-100.116997,,,12.043,13.727,,0.0,,,0.0,-13.727,25.77,-18.353001,7.417,0.0,,,7.416999,0.0,7.417239,0.0,,7.417239,7.417239,,169.742397,0.043333,0.043333,0.043333,169.742397,0.043333,0.043333,0.043333,
11/30/1994,356.291992,,-228.940994,,127.350998,,-101.885002,,,25.466,0.0,,0.0,,,0.0,0.0,25.466,-9.88,15.586,0.0,,,15.585999,0.0,15.586,0.0,,15.586,15.586,,169.796997,0.093333,0.093333,,169.796997,0.093333,0.093333,0.093333,
02/28/1995,420.925995,,-288.458008,,132.467987,,-104.594002,,,27.874001,0.0,,0.0,,,0.0,0.0,27.874001,-10.834,17.040001,0.0,,,17.040001,0.0,17.040001,0.0,,17.040001,17.040001,,170.073006,0.1,0.1,,170.073006,0.1,0.1,0.1,
05/31/1995,379.835999,,-248.576004,,131.259995,,-104.842003,,,26.417999,0.0,,0.0,,,0.0,0.0,26.417999,-10.012,16.406,0.0,,,16.405999,0.0,16.406,0.0,,16.406,16.406,,170.121002,0.096667,0.096667,,170.121002,0.096667,0.096667,0.096667,
08/31/1995,389.835999,,-267.092987,,122.743012,,-108.128998,,,14.614,0.0,,0.0,,,0.0,0.0,14.614,-5.54,9.074,0.0,,,9.074,0.0,9.074,0.0,,9.074,9.074,,170.19,0.053333,0.053333,0.053333,170.19,0.053333,0.053333,0.053333,
11/30/1995,396.164001,,-258.953003,,137.210999,,-113.505997,,,23.705,0.0,,0.0,,,0.0,0.0,23.705,-9.197,14.508,0.0,,,14.508,0.0,14.508,0.0,,14.508,14.508,,170.297997,0.086667,0.086667,0.086667,170.297997,0.086667,0.086667,0.086667,
02/29/1996,448.273987,,-308.30899,,139.964996,,-113.925003,,,26.040001,0.0,,0.0,,,0.0,0.0,26.040001,-10.103,15.937,0.0,,,15.937001,0.0,15.937,0.0,,15.937,15.937,,170.444996,0.093333,0.093333,0.093333,170.444996,0.093333,0.093333,0.093333,
05/31/1996,427.94101,,-283.932007,,144.009003,,-113.522003,,,30.487,0.0,,0.0,,,0.0,0.0,30.487,-11.707,18.780001,0.0,,,18.78,0.0,18.780001,0.0,,18.780001,18.780001,,170.499001,0.11,0.11,0.11,170.499001,0.11,0.11,0.11,
08/31/1996,442.247986,,-305.001007,,137.246979,,-118.712997,,,18.534,0.0,,0.0,,,0.0,0.0,18.534,-7.171,11.363,0.0,,,11.363,0.0,11.363,0.0,,11.363,11.363,,170.511006,0.066667,0.066667,0.066667,170.511006,0.066667,0.066667,0.066667,
11/30/1996,454.881989,,-300.302002,,154.579987,,-126.232002,,,28.348,0.0,,0.0,,,0.0,0.0,28.348,-10.988,17.360001,0.0,,,17.36,0.0,17.360001,0.0,,17.360001,17.360001,,170.574005,0.103333,0.103333,0.103333,170.574005,0.103333,0.103333,0.103333,
02/28/1997,530.258972,,-366.093994,,164.164978,,-131.658005,,,32.507,0.0,,0.0,,,0.0,0.0,32.507,-12.505,20.002001,0.0,,,20.002,0.0,20.002001,0.0,,20.002001,20.002001,,171.126,0.116667,0.116667,0.116667,171.603,0.116667,0.116667,0.116667,
05/31/1997,498.403992,,-330.671997,,167.731995,,-130.317001,,,37.415001,0.0,,0.0,,,0.0,0.0,37.415001,-14.327,23.087999,0.0,,,23.088001,0.0,23.087999,0.0,,23.087999,23.087999,,171.446994,0.133333,0.133333,0.133333,172.080003,0.133333,0.133333,0.133333,
08/31/1997,511.428009,,-353.091003,,158.337006,,-135.130997,,,23.205999,0.0,,0.0,,,0.0,0.0,23.205999,-8.98,14.226,0.0,,,14.225999,0.0,14.226,0.0,,14.226,14.226,,171.591996,0.085,0.085,0.085,171.591996,0.085,0.085,0.085,
11/30/1997,542.747009,,-356.420013,,186.326996,,-146.975006,,,39.352001,0.0,,0.0,,,0.0,0.0,39.352001,-15.025,24.327,0.0,,,24.327001,0.0,24.327,0.0,,24.327,24.327,,171.733994,0.14,0.14,0.14,172.748002,0.14,0.14,0.14,
02/28/1998,635.877014,,-436.699005,,199.178009,,-154.826996,,,44.351002,0.0,,0.0,,,0.0,0.0,44.351002,-16.754,27.597,0.0,,,27.597002,0.0,27.597,0.0,,27.597,27.597,,171.940002,0.16,0.16,0.16,173.179992,0.16,0.16,0.16,
05/31/1998,585.807007,,-385.69101,,200.115997,,-149.973007,,,50.143002,0.0,,0.0,,,0.0,0.0,50.143002,-18.799999,31.343,0.0,,,31.343003,0.0,31.343,0.0,,31.343,31.343,,172.167999,0.18,0.18,0.18,173.453995,0.18,0.18,0.18,
08/29/1998,597.499023,,-409.846008,,187.653015,,-155.509995,,,32.143002,0.0,,0.0,,,0.0,0.0,32.143002,-12.122,20.021,0.0,,,20.021002,0.0,20.021,0.0,,20.021,20.021,,172.192001,0.12,0.12,0.12,173.462006,0.12,0.12,0.12,
11/28/1998,628.015991,,-412.299011,,215.71698,,-168.248001,,,47.469002,0.0,,0.0,,,0.0,0.0,47.469002,-17.860001,29.608999,0.0,,,29.609001,0.0,29.608999,0.0,,29.608999,29.608999,,172.231995,0.17,0.17,0.17,173.468994,0.17,0.17,0.17,
02/27/1999,752.21698,,-509.721008,,242.495972,,-175.623001,,,66.873001,0.0,,0.0,,,0.0,0.0,66.873001,-25.200001,41.673,0.0,,,41.673,0.0,41.673,0.0,,41.673,41.673,,172.429001,0.24,0.24,0.24,173.766998,0.24,0.24,0.24,
05/29/1999,678.856995,,-440.631989,,238.225006,,-172.457993,,,65.766998,0.0,,0.0,,,0.0,0.0,65.766998,-24.0,41.766998,0.0,,,41.766998,0.0,41.766998,0.0,,41.766998,41.766998,,172.651993,0.24,0.24,0.24,174.041,0.24,0.24,0.24,
08/28/1999,692.091003,,-470.790009,,221.300994,,-178.731003,,,42.57,0.0,,0.0,,,0.0,0.0,42.57,-15.54,27.030001,0.0,,,27.03,0.0,27.030001,0.0,,27.030001,27.030001,,172.731995,0.16,0.16,0.16,174.054993,0.16,0.16,0.16,
11/27/1999,713.520996,,-466.179993,,247.341003,,-189.757004,,,57.584,0.0,,0.0,,,0.0,0.0,57.584,-21.0,36.584,0.0,,,36.584,0.0,36.583,0.0,0.0,36.583,36.583,,172.804001,0.21,0.21,0.21,173.994003,0.21,0.21,0.21,
02/26/2000,858.5,,-574.36499,,284.13501,,-197.554001,,,86.581001,0.0,,0.0,,,0.0,0.0,86.581001,-31.6,54.980999,0.0,,,54.981001,0.0,54.980999,0.0,0.0,54.980999,54.980999,,171.682999,0.32,0.32,0.32,172.552994,0.32,0.32,0.32,
05/27/2000,770.776001,,-498.34201,,272.433991,,-193.438004,,,78.996002,0.0,,0.0,,,0.0,0.0,78.996002,-28.865,50.131001,0.0,,,50.131002,0.0,50.131001,0.0,0.0,50.131001,50.131001,,171.134003,0.29,0.29,0.29,172.110001,0.29,0.29,0.29,
08/26/2000,789.84198,,-538.028992,,251.812988,,-204.063004,,,47.75,0.0,,0.0,,,0.0,0.0,47.75,-17.429001,30.320999,0.0,,,30.320999,0.0,30.322001,0.0,0.0,30.322001,30.322001,,171.169006,0.18,0.18,0.18,171.990997,0.18,0.18,0.18,
11/25/2000,820.14801,,-535.734009,,284.414001,,-219.175995,,,65.237999,0.0,,0.0,,,0.0,0.0,65.237999,-23.777,41.460999,0.0,,,41.460999,0.0,41.460999,0.0,0.0,41.460999,41.460999,,171.177002,0.24,0.24,0.24,172.061996,0.24,0.24,0.24,
