Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,744.099976,0.0,744.099976,-580.099976,164.0,-95.0,0,-163.300003,-94.300003,31.799999,-62.5,0.0,1.1,-61.400002,0,-61.400002,-61.400004,,-0.39,-0.39,157.899994,,,,,
06/30/1990,660.700012,0.0,660.700012,-588.400024,72.300003,-97.400002,0,4.2,-20.899999,20.0,-0.9,0.0,-0.4,-1.3,0,-1.3,-1.299999,,-0.01,-0.01,158.100006,,,,,
09/30/1990,713.599976,0.0,713.599976,-585.900024,127.699997,-96.0,0,0.2,31.899997,-10.7,21.200001,-13.1,-2.6,5.5,0,5.5,18.599997,,0.12,0.04,160.399994,,,,,
12/31/1990,178.699997,0.0,178.699997,-251.600006,-72.900002,,0,-5.0,-77.900002,18.9,-59.0,2.5,1.9,-54.599998,0,-54.599998,-57.100002,,-0.34,-0.33,172.895996,,,,,
03/31/1991,564.700012,0.0,564.700012,-491.100006,73.599998,-60.0,0,13.0,26.599998,-9.3,17.299999,0.0,0.0,17.299999,0,17.299999,17.299998,,0.1,0.1,174.899994,,,,,
06/30/1991,569.400024,0.0,569.400024,-487.700012,81.699997,-56.799999,0,1.9,26.799998,-9.6,17.200001,0.0,0.0,17.200001,0,17.200001,17.199997,,0.1,0.1,177.100006,,,,,
09/30/1991,601.299988,0.0,601.299988,-507.700012,93.599998,-55.0,0,5.6,44.199998,-15.1,29.1,0.0,0.0,29.1,0,29.1,29.099998,,0.16,0.16,177.600006,,,,,
12/31/1991,624.599976,0.0,624.599976,-531.5,93.099998,-54.599998,0,11.3,49.8,-17.0,32.799999,0.0,0.0,32.799999,0,32.799999,32.8,0.18,0.18,0.18,179.395996,0.18,0.18,0.18,179.395996,
03/31/1992,616.700012,0.0,616.700012,-520.400024,96.300003,-47.900002,0,-3.0,45.400002,-17.200001,28.200001,-163.0,0.0,-134.800003,0,-134.800003,28.200001,,0.15,-0.73,184.699997,,,,,
06/30/1992,605.400024,0.0,605.400024,-517.599976,87.800003,-45.799999,0,0.7,42.700004,-16.200001,26.5,0.0,0.0,26.5,0,26.5,26.500003,,0.14,0.14,184.699997,,,,,
09/30/1992,642.099976,0.0,642.099976,-857.200012,-215.100006,-43.400002,0,-2.8,-261.300008,96.199997,-165.100006,0.0,0.0,-165.100006,0,-165.100006,-165.100011,,-0.89,-0.89,184.5,,,,,
12/31/1992,632.200012,0.0,632.200012,-523.599976,108.599998,-43.099998,0,212.199997,277.699997,-103.800003,173.899994,-5.0,0.0,168.899994,0,168.899994,173.899994,0.94,0.94,0.91,184.800003,0.94,0.94,0.91,184.800003,
03/31/1993,583.200012,,,-512.0,71.199997,-38.599998,0,35.200001,67.799999,,106.400002,20.700001,0.0,127.099998,0,127.099998,,,0.57,0.68,185.899994,,,,,
06/30/1993,609.099976,,,-527.0,82.099998,-34.400002,0,0.4,48.099997,-19.9,28.200001,119.300003,0.0,147.5,0,147.5,28.199997,,0.15,0.79,186.600006,,,,,
09/30/1993,585.799988,,,-536.200012,49.599998,-34.099998,0,15.3,30.8,-41.099998,-10.3,7.5,0.0,-2.8,0,-2.8,-10.299998,,-0.05,-0.01,187.5,,,,,
12/31/1993,631.099976,,,-516.299988,114.800003,-26.299999,0,0.2,88.700004,-35.599998,53.099998,13.9,0.0,67.0,0,67.0,53.100006,0.28,0.28,0.36,188.600006,0.28,0.28,0.36,188.600006,
03/31/1994,631.5,,,-540.799988,90.699997,-31.700001,0,40.099998,99.099995,-44.900002,54.200001,13.9,0.0,68.099998,0,68.099998,54.199993,,0.29,0.36,189.899994,,,,,
06/30/1994,658.200012,,,-560.799988,97.400002,-30.9,0,17.4,83.900002,-35.5,48.400002,9.2,0.0,57.599998,0,57.599998,48.400002,,0.25,0.3,189.699997,,,,,
09/30/1994,680.200012,,,-562.400024,117.800003,-29.6,0,-0.7,87.500003,-37.0,50.5,0.0,0.0,50.5,0,50.5,50.500003,,0.27,0.27,189.300003,,,,,
12/31/1994,711.0,,,-588.0,123.0,-29.700001,0,-12.7,80.599999,-34.299999,46.299999,0.0,0.0,46.299999,0,46.299999,46.3,,0.24,0.24,194.300003,,,,,
03/31/1995,679.700012,,,-575.299988,104.400002,-39.700001,0,-23.1,41.6,-19.299999,22.299999,-24.299999,0.0,-2.0,0,-2.0,22.300001,,0.12,-0.01,180.5,,,,,
06/30/1995,671.900024,,,-547.400024,124.5,-45.400002,0,-1.0,78.099998,-30.299999,47.799999,0.0,0.0,47.799999,0,47.799999,47.799999,,0.3,0.3,159.100006,,,,,
