Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,2949.070068,461.721008,361.52301,100.197998,369.645996,,,206.259003,,,,,67.32,,,,1104.946045,323.036987,598.502014,-275.464996,1408.302979,,112.783997,,,,,112.783997,1844.123962,,247.031998,247.031998,,,,580.72699,,,,,,231.317062,,,,231.317062,1059.07605,674.294983,,,,,188.723007,,,188.723007,863.01799,1922.09404,0.0,447.658997,,,-78.624001,,657.941017,1026.976013,0.0,1026.976013,2949.070053,
06/30/1990,2869.724121,451.438995,349.352997,102.085999,324.394989,,,182.384003,,,,,72.477997,,,,1030.696045,323.355011,601.004028,-277.648987,1398.227051,,117.445999,,,,,117.445999,1839.028061,,212.597,212.597,,,,564.974976,,,,,,221.541,,,,221.541,999.112976,642.749023,,,,,188.533997,,,188.533997,831.28302,1830.395996,0.0,447.95401,,,-79.210999,,670.585022,1039.328033,0.0,1039.328033,2869.72403,
09/30/1990,2888.3479,468.309998,354.197998,114.112,311.730011,,,183.707993,,,,,69.364998,,,,1033.113037,329.761993,609.590027,-279.828003,1400.014038,,125.459,,,,,125.459,1855.235031,,227.272995,227.272995,,,,566.174988,,,,,,210.849991,,,,210.849991,1004.297974,640.932983,,,,,191.503006,,,191.503006,832.435989,1836.733963,0.0,447.963989,,,-82.435997,,686.086021,1051.614014,0.0,1051.614014,2888.347977,
12/31/1990,2906.219971,477.774994,329.269989,148.505005,320.322998,,,191.574997,,,,,71.487999,,,,1061.161011,329.70401,618.575012,-288.871002,1389.359985,,125.995003,,,,,125.995003,1845.058998,,245.233994,245.233994,,,,562.817017,,,,,,230.646987,,,,230.646987,1038.697998,655.185974,,,,,193.151001,,,193.151001,848.336975,1887.034973,0.0,448.028992,,,-110.435997,,681.592003,1019.184998,0.0,1019.184998,2906.219971,
03/31/1991,2712.792969,427.707993,229.255997,198.451996,272.596985,,,166.167007,,,,,77.272003,,,,943.744019,319.300995,613.528015,-294.22699,1329.10498,,120.642998,,,,,120.642998,1769.048973,,170.578003,170.578003,,,,532.174988,,,,,,214.544983,,,,214.544983,917.297974,602.973022,,,,,172.781006,,,172.781006,775.754028,1693.052002,0.0,448.165985,,,-110.435997,,682.011009,1019.740997,0.0,1019.740997,2712.792999,
06/30/1991,2628.843994,443.203995,248.600998,194.602997,273.502991,,,134.673004,,,,,74.663002,,,,926.04303,310.562012,608.659973,-298.097992,1275.337036,,116.902,,,,,116.902,1702.801048,,198.354004,198.354004,,,,440.614014,,,,,,218.895996,,,,218.895996,857.864014,588.434998,,,,,168.645004,,,168.645004,757.080002,1614.944016,0.0,448.290009,,,-110.418999,,676.028984,1013.899994,0.0,1013.899994,2628.844009,
09/30/1991,2638.736084,475.613998,275.395996,200.218002,251.867004,,,123.873001,,,,,71.880997,,,,923.234985,316.765015,620.476013,-303.710999,1280.991943,,117.744003,,,,,117.744003,1715.500961,,192.399994,192.399994,,,,460.417999,,,,,,219.882019,,,,219.882019,872.700012,573.619019,,,,,169.479996,,,169.479996,743.099014,1615.799026,0.0,448.415985,,,-110.418999,,684.939995,1022.936981,0.0,1022.936981,2638.736008,
12/31/1991,2737.603027,496.322998,294.893005,201.429993,257.854004,,,151.242996,,,,,74.429001,,,,979.848999,314.471008,622.911987,-308.44101,1318.802002,,124.481003,,,,,124.481003,1757.754013,,226.742996,226.742996,,,,569.604004,,,,,,236.496018,,,,236.496018,1032.843018,501.221008,,,,,171.281006,,,171.281006,672.502014,1705.345032,0.0,448.651001,,,-110.418999,,694.025994,1032.257996,0.0,1032.257996,2737.603028,
03/31/1992,2691.690918,476.709,271.904999,204.804001,276.182007,,,125.871002,,,,,74.899002,,,,953.661011,306.546997,622.098999,-315.552002,1306.633057,,124.849998,,,,,124.849998,1738.030052,,204.520996,204.520996,,,,544.481018,,,,,,229.409973,,,,229.409973,978.411987,516.513,,,,,168.376999,,,168.376999,684.889999,1663.301987,0.0,448.651001,,,-110.418999,,690.156975,1028.388977,0.0,1028.388977,2691.690964,
06/30/1992,2688.600098,469.700012,261.600006,208.100006,227.600006,,,152.699997,,,,,78.599998,,,,928.599976,305.200012,621.900024,-316.700012,1331.0,,123.800003,,,,,123.800003,1760.000015,,227.300003,227.300003,,,,552.299988,,,,,,236.400009,,,,236.400009,1016.0,475.799988,,,,,163.199997,,,163.199997,638.999985,1654.999985,0.0,448.700012,,,-110.400002,,695.300026,1033.600037,0.0,1033.600037,2688.600021,
