Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,1262.179962,-695.052002,567.12796,0.216,181.442993,62.046001,810.832955,-91.800003,719.032952,-615.112976,103.919998,0.0,103.919998,-6.8,97.120003,30.1,0.0,127.220001,,127.220001,97.119998,,2.23,2.23,,,,,,
06/30/1990,1224.823975,-648.111023,576.712952,23.146,195.365997,50.641998,845.866947,-117.699997,728.16695,-626.90802,101.259003,0.0,101.259003,-6.2,95.058998,0.0,0.0,95.058998,,95.058998,95.059003,,1.42,1.42,60.084999,,,,,
09/30/1990,1192.341034,-612.185974,580.15506,35.264,186.931,75.528,877.878059,-146.5,731.378059,-649.054993,82.322998,90.099998,172.422997,-17.0,155.423004,0.0,0.0,155.423004,,155.423004,155.422997,,2.39,2.39,61.16,,,,,
12/31/1990,1141.413971,-562.203979,579.209992,7.216,197.414993,98.241997,882.082982,-143.399994,738.682988,-671.234985,67.447998,0.0,67.447998,23.6,91.047997,0.0,0.0,91.047997,,91.047997,91.047998,1.22,1.32,1.32,60.045502,1.32,1.32,1.32,60.045502,
03/31/1991,1047.75798,-494.983002,552.774979,49.233002,201.792999,59.015999,862.816978,-135.199997,727.616982,-659.695007,67.921997,0.0,67.921997,-8.3,59.622002,0.0,0.0,59.622002,-9.378,50.244001,50.243997,,0.81,0.81,62.029999,,,,,
06/30/1991,1019.202011,-492.662994,526.539017,33.568001,209.026993,84.049004,853.183014,-295.0,558.183014,-652.752014,-94.569,0.0,-94.569,14.3,-80.268997,0.0,0.0,-80.268997,-9.154,-89.422997,-89.423,,-1.43,-1.43,62.429001,,,,,
09/30/1991,975.764999,-453.309998,522.455002,26.48,210.643997,28.632999,788.211998,-246.0,542.211998,-655.728027,-113.515999,-71.912003,-185.428001,-22.1,-207.528,0.0,0.0,-207.528,-9.166,-216.694,-216.694002,,-3.46,-3.46,62.604,,,,,
12/31/1991,892.565018,-402.679993,489.885025,18.256001,260.979004,-24.406,744.71403,-134.0,610.71403,-673.992004,-63.278,9.011,-54.267,-5.7,-59.966999,0.0,0.0,-59.966999,-11.579,-71.545999,-71.546,-1.14,-1.14,-1.14,62.499001,-1.14,-1.14,-1.14,62.499001,
03/31/1992,839.343002,-329.955994,509.387009,9.207,207.983994,35.879002,762.457004,-109.900002,652.557002,-576.892029,75.665001,0.0,75.665001,-15.1,60.564999,0.0,0.0,60.564999,-14.048,46.516998,46.517,,0.73,0.73,63.227001,,,,,
06/30/1992,820.499023,-302.608002,517.891022,7.703,203.171997,12.492,741.258018,-87.800003,653.458015,-565.719971,87.737999,0.0,87.737999,-23.200001,64.538002,0.0,0.0,64.538002,-15.02,49.518002,49.517998,,0.75,0.75,66.336998,,,,,
09/30/1992,772.669022,-278.776001,493.893021,-4.221,200.365005,20.542,710.579026,-60.099998,650.479027,-537.815979,112.663002,0.0,112.663002,-37.599998,75.063004,0.0,0.0,75.063004,-16.281,58.782003,58.782003,,0.82,0.82,71.666,,,,,
12/31/1992,757.231018,-263.76001,493.471008,4.859,238.550003,-21.861,715.019011,-56.5,658.519011,-528.835022,129.684006,-2.589,127.095006,-45.0,82.095001,0.0,0.0,82.095001,-13.834,68.261001,68.261006,0.91,0.91,0.91,70.223503,0.91,0.91,0.91,70.223503,
03/31/1993,739.139008,-238.306,500.833008,10.111,213.623001,19.402,743.969009,-45.599998,698.369011,-508.946991,189.421997,3.4,192.821997,-73.300003,119.522003,184.649002,0.0,304.17099,-13.917,290.25399,105.604994,,1.38,3.8,76.383003,,,,,
06/30/1993,733.822983,-216.764008,517.058975,17.638,209.947006,9.136,753.779982,-26.1,727.679981,-508.252014,219.427994,0.0,219.427994,-83.400002,136.028,0.0,0.0,136.028,-12.975,123.052999,123.052992,,1.6,1.6,85.017998,,,,,
09/30/1993,733.917023,-210.447998,523.469025,9.584,214.716003,14.702,762.471027,-21.9,740.571028,-507.519989,233.050995,0.0,233.050995,-82.599998,150.451004,0.0,0.0,150.451004,-11.42,139.031004,139.030996,,1.8,1.8,77.330002,,,,,
12/31/1993,737.293991,-206.563995,530.729996,-8.131,235.335999,8.099,766.033995,-19.0,747.033995,-507.634003,239.399994,-3.4,235.999994,-80.599998,155.399994,-9.334,0.0,146.065994,-8.312,137.753994,147.087996,1.9,1.9,1.78,77.389999,1.9,1.9,1.78,77.389999,
03/31/1994,729.200027,-195.800003,533.400024,3.5,232.100006,20.9,789.90003,0.0,789.90003,-492.899994,297.0,0.0,297.0,-112.900002,184.100006,0.0,0.0,184.100006,-8.3,175.800006,175.799998,,2.21,2.21,79.485001,,,,,
06/30/1994,788.700027,-208.5,580.200027,2.1,237.100006,15.3,834.700034,0.0,834.700034,-498.899994,335.799988,0.0,335.799988,-127.599998,208.199997,0.0,0.0,208.199997,-8.3,199.899997,199.899989,,2.38,2.38,83.863998,,,,,
09/30/1994,811.900024,-215.5,596.400024,15.7,229.5,35.799999,877.400023,0.0,877.400023,-528.799988,348.600006,-139.0,209.600006,-79.599998,130.0,0.0,0.0,130.0,-8.3,121.7,121.700007,,1.49,1.49,81.699997,,,,,
12/31/1994,862.199982,-245.699997,616.499985,19.1,228.199997,15.0,878.799982,0.0,878.799982,-535.900024,342.899994,-2.3,340.599994,-129.399994,211.199997,0.0,0.0,211.199997,-8.4,202.799997,202.8,,2.65,2.65,76.528,,,,,
03/31/1995,921.500031,-289.799988,631.700043,0.5,232.800003,35.099998,900.100044,0.0,900.100044,-546.900024,353.200012,-4.8,348.400012,-136.399994,212.0,0.0,0.0,212.0,-9.0,203.0,203.000018,,2.66,2.66,76.463997,,,,,
06/30/1995,945.0,-303.600006,641.399994,3.6,239.0,31.799999,915.799993,0.0,915.799993,-553.900024,361.899994,0.0,361.899994,-142.0,219.899994,0.0,0.0,219.899994,-8.3,211.599994,211.599994,,2.73,2.73,77.470001,,,,,
09/30/1995,922.599976,-291.100006,631.499969,1.5,249.100006,29.9,911.999975,0.0,911.999975,-532.700012,379.299988,0.0,379.299988,-141.5,237.800003,0.0,0.0,237.800003,-8.3,229.500003,229.499988,,2.96,2.96,77.515999,,,,,
12/31/1995,,,,,,,,,,,,,,,,,,215.399994,,215.399994,,,2.66,2.66,77.859001,,,,,
