Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,EV/Sales,EV/Market Cap,Total Debt/EV,EV/Cash Flow,EV/Net Income,EV/Book Value,Periodic EV to Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1990,3319.926673,-3794.100098,6.9,0,2374.899963,1907.626539,,0.574599,1.24495,,,0.399118,18.602643,,
06/30/1990,3040.420176,-2679.199951,6.9,0,2340.199951,2708.320176,,0.890772,0.864078,,,0.562546,26.500457,,
09/30/1990,2188.355927,-2639.399902,13.7,0,2421.400024,1984.056048,,0.906642,1.220429,,,0.491955,19.492809,,
12/31/1990,1698.57622,-2818.0,14.0,0,1291.0,185.57622,0.016402,0.109254,6.95671,0.441848,,0.043799,1.816347,,
03/31/1991,2424.893598,-3327.600098,30.0,0,1186.099976,313.393476,0.028278,0.12924,3.784699,0.605591,,0.072392,3.053297,,
06/30/1991,2255.235815,-2583.699951,30.0,0,1212.799988,914.335852,0.082929,0.405428,1.326427,2.348667,,0.209163,8.81806,,
09/30/1991,1973.985947,-3343.899902,38.599998,0,1173.899979,-157.413979,,,,,,,,,
12/31/1991,2252.373462,-1062.0,56.0,0,945.0,2191.373462,0.192614,0.972917,0.431236,,6.899791,0.477423,21.03934,,
03/31/1992,2114.970766,-1263.800049,65.900002,0,1241.699951,2158.77067,0.192825,1.020709,0.575188,,4.813313,0.460263,20.669367,,
06/30/1992,2158.901324,-1212.599976,440.899994,0,1283.5,2670.701343,0.247551,1.237065,0.480585,,6.301796,0.563047,25.514466,,
09/30/1992,3276.967621,-857.0,451.100006,0,1213.900024,4084.967651,0.384023,1.246569,0.297163,,8169.685984,0.930262,28.047812,,
12/31/1992,3924.572144,-1688.0,451.0,0,1188.0,3875.572144,0.400576,0.987515,0.306535,,,0.841967,26.909772,,
03/31/1993,3983.924866,-808.5,473.100006,0,1176.0,4824.524872,0.496544,1.210998,0.243755,,,1.004628,33.302444,,
06/30/1993,4645.855957,-1156.900024,473.100006,0,1159.800049,5121.855988,0.528691,1.102457,0.226441,,,1.04419,35.278621,,
09/30/1993,5479.818077,-1184.300049,485.0,0,947.799988,5728.318016,0.600805,1.045348,0.165459,,,1.179249,39.331226,,
09/13/2020,,-1184.30004882813,485.0,0,947.799987792969,,,,,,,,39.331226387815,,
