Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
08/31/2007,794.842,21.599,21.599,0.0,78.618,78.618,,0.0,0.0,0.0,0.0,0.0,64.018,,,,,,164.235,4.452,16.978,-12.526,0.0,626.155,623.155,441.623,181.532,,3.0,630.607,,0.0,0.0,,,,625.901,,,,,,195.376,,,195.376,821.277,0.0,,,,,59.487,,,,,,59.487,59.487,880.764,0,0.029,,,0.0,-84.123,-1.828,-85.922,0,-85.922,794.842,
11/30/2007,904.679,33.818,33.818,0.0,77.748,77.748,,0.0,0.0,0.0,0.0,0.0,169.837,,,,,,281.403,4.246,17.65,-13.404,0.0,619.03,616.03,441.623,174.407,,3.0,623.276,,0.0,0.0,,,,22.25,,,,,,222.681,,,222.681,244.931,402.75,,,,,56.977,,,,,,56.977,459.727,704.658,0,266.098,,,0.0,-65.884,-0.193,200.021,0,200.021,904.679,
02/29/2008,962.266,21.929,21.929,,123.831,123.831,,,,,,,199.878,,,,,,345.638,4.723,19.108,-14.385,,611.905,608.905,441.623,167.282,3.0,0.0,616.628,,0.0,0.0,,,,22.236,,,,,,266.187,,,266.187,288.423,397.202,,,,,54.472,,,,,,54.472,451.674,740.097,0,270.952,,,0.0,-48.122,-0.661,222.169,0,222.169,962.266,
05/31/2008,1002.777,32.294,32.294,,106.204,106.204,,,,,,,244.132,,,,,,382.63,15.367,27.511,-12.144,,604.78,601.78,441.623,160.157,3.0,0.0,620.147,,0.0,0.0,,,,22.25,,,,,,283.158,,,283.158,305.408,391.625,,,,,54.883,,,,,,54.883,446.508,751.916,0,278.174,,,-0.557,-29.491,2.735,250.861,0,250.861,1002.777,
08/31/2008,993.459,246.452,246.452,,85.108,85.108,,,,,,,35.124,,,,,,366.684,21.977,35.016,-13.039,,604.798,594.655,441.623,153.032,3.0,7.143,626.775,,2.06,2.06,,,,22.25,,,,,,258.409,,,258.409,282.719,385.067,,,,,52.316,,,,,,52.316,437.383,720.102,0,283.571,,,-0.586,-10.613,0.985,273.357,0,273.357,993.459,
11/30/2008,1015.048,268.077,268.077,,85.723,85.723,,,,,,,38.455,,,,,,392.255,28.447,42.516,-14.069,,594.346,587.53,441.623,145.907,,6.816,622.793,,0.9,0.9,,,,22.086,0.0,,,,0.0,0.0,,,0.0,291.094,379.709,,,,,57.863,,,,,,57.863,437.572,728.666,0,292.205,,,-0.681,2.212,-7.354,286.382,0,286.382,1015.048,
02/28/2009,1030.058,276.881,276.881,0.0,99.476,99.476,0.0,0.0,0.0,0.0,0.0,0.0,36.393,,,,,15.59,412.75,29.766,46.25,-16.484,0.0,587.542,581.1,441.623,139.477,,6.442,617.308,,50.702,0.513,0.284,,49.905,27.086,0.0,,,,27.086,213.721,,,36.916,291.509,369.188,369.188,,,,56.183,,,,,46.895,9.288,425.371,716.88,0,303.293,1.001,302.292,-0.791,18.936,-8.26,313.178,0,313.178,1030.058,
05/31/2009,1063.861,317.647,72.769,244.878,95.374,95.374,0.0,0.0,0.0,0.0,0.0,0.0,39.842,,,,,12.973,452.863,29.853,50.39,-20.537,0.0,581.145,574.51,441.623,132.887,,6.635,610.998,,100.407,38.606,,,61.801,32.087,0.0,,,,32.087,176.029,,,0.0,308.523,358.665,358.665,,,,56.236,,,,,45.834,10.402,414.901,723.424,0,311.772,1.002,310.77,-1.286,38.554,-8.603,340.437,0,340.437,1063.861,
08/31/2009,1082.565,361.762,111.701,250.061,76.511,76.511,0.0,0.0,0.0,0.0,0.0,0.0,41.628,,,,,13.203,479.901,27.9,51.498,-23.598,0.0,574.764,568.081,441.623,126.458,,6.683,602.664,,108.621,33.946,0.017,,74.658,37.087,0.0,,,,37.087,166.215,,,0.0,311.923,348.144,348.144,,,,53.418,,,,,43.023,10.395,401.562,713.485,0,319.454,1.002,318.452,-1.395,59.478,-8.457,369.08,0,369.08,1082.565,
11/30/2009,1200.269,471.328,176.024,295.304,77.18,77.18,0.0,0.0,0.0,0.0,0.0,0.0,53.976,,0.0,,,29.399,602.484,29.381,55.879,-26.498,0.0,568.404,561.812,441.623,120.189,,6.592,597.785,,97.468,1.878,0.0,0.0,95.59,42.088,0.0,0.0,0.0,,42.088,152.944,0.0,0.0,0.0,292.5,337.622,337.622,0.0,0.0,,63.091,0.0,0.0,0.0,0.0,40.08,23.011,400.713,693.213,0,449.801,1.054,448.747,-19.168,84.013,-7.59,507.056,0,507.056,1200.269,
