Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,201.636993,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.629,,,9.629,9.629,,276.59198,0.034375,0.034375,,276.59198,0.034375,0.034375,0.034375,
04/01/1990,217.565002,,,-159.807007,,,57.757996,,-33.255001,,,,24.503,-3.948,,2.833,,,,1.115,20.555,-8.479,12.076,0.0,,,12.076,0.0,12.076,0.0,,12.076,12.076,,284.191986,0.0425,0.0425,,284.191986,0.0425,0.0425,0.0425,
07/01/1990,249.690002,,,-183.326996,,,66.363007,,-34.362999,,,,32.0,-4.087,,2.747,,,,1.34,27.913,-11.847,16.066,0.648,,,15.418,0.0,15.418,0.0,,15.418,15.418,,284.735992,0.054375,0.056875,,284.735992,0.054375,0.056875,0.056875,
09/30/1990,203.076996,,,-152.225998,,,50.850998,,-37.247002,,,,13.604,-3.151,,2.135,,,,1.016,10.453,-3.232,7.221,0.766,,,6.455,0.0,6.455,0.0,,6.455,6.455,,284.735992,0.0225,0.025,,284.735992,0.0225,0.025,0.025,
12/31/1990,194.268,,,-140.191,,,54.077,,-40.809,,,,13.268,-9.572,,3.722,,,,5.85,3.696,-0.751,2.945,-0.936,,,3.881,0.0,3.881,0.0,,3.881,3.881,,284.767968,0.01375,0.010625,0.010625,284.767968,0.01375,0.010625,0.010625,
03/31/1991,196.201004,,,-150.436005,,,45.764999,,-35.935001,,,,9.83,-2.41,,2.036,,,,0.374,7.42,-2.9,4.52,0.0,,,4.52,0.0,4.52,0.0,,4.52,4.52,,284.976013,0.015625,0.015625,,284.976013,0.015625,0.015625,0.015625,
06/30/1991,265.324005,,,-196.149994,,,69.174011,,-39.636002,,,,29.538,-2.888,,2.001,,,,0.887,26.65,-10.35,16.299999,0.0,,,16.3,0.0,16.299999,0.0,,16.299999,16.299999,,290.287994,0.05625,0.05625,,290.287994,0.05625,0.05625,0.05625,
09/29/1991,240.626007,,,-181.783005,,,58.843002,,-42.576,,,,16.267,-2.944,,2.714,,,,0.23,13.323,-4.4,8.923,0.0,,,8.923,0.0,8.923,0.0,,8.923,8.923,,291.519989,0.030625,0.030625,,291.519989,0.030625,0.030625,0.030625,
12/31/1991,237.712,,,-177.771,,,59.941,,-46.931,,,,13.01,-2.309,,1.511,,,,0.798,10.701,-3.472,7.229,0.0,,,7.229,0.0,7.229,0.0,,7.229,7.229,,271.776,0.026875,0.026875,0.026875,271.776,0.026875,0.026875,0.026875,
03/29/1992,247.421997,,,-185.136002,,,62.285995,,-45.575001,,,,16.711,-2.33,,1.446,,,,0.884,14.381,-5.637,8.744,0.0,,,8.744,0.0,8.744,0.0,,8.744,8.744,,289.455994,0.03,0.03,,289.455994,0.03,0.03,0.03,
06/28/1992,273.949005,,,-201.891998,,,72.057007,,-40.410999,,,,31.646,-1.867,,1.456,,,,0.411,29.779,-12.018,17.761,0.388,,,17.373,0.0,17.372999,0.0,,17.372999,17.372999,,290.368011,0.06,0.06125,,290.368011,0.06,0.06125,0.06125,
09/27/1992,271.75,,,-199.128006,,,72.621994,,-48.620998,,,,24.000999,-3.086,,1.087,,,,1.999,20.914999,-7.716,13.199,0.0,,,13.198999,0.0,13.199,0.0,,13.199,13.199,,290.488007,0.045,0.045,,290.488007,0.045,0.045,0.045,
12/31/1992,312.163,,,-222.715,,,89.448,,-64.609,,,,24.839,-1.105,,1.879,,,,-0.774,23.734,-9.265,14.469,0.0,,,14.469,0.0,14.469,0.0,,14.469,14.469,,284.2,0.05125,0.05125,0.05125,322.6,0.045,0.045,0.045,
03/28/1993,269.584991,,,-194.130005,,,75.454987,,-50.285,,,,25.17,-0.143,,0.481,,,,-0.338,25.027,-9.886,15.141,30.327999,,,-15.186999,0.0,-15.187,0.0,,-15.187,-15.187,,303.208008,-0.05,0.05,,303.208008,-0.05,0.05,0.05,
06/27/1993,334.377991,,,-243.524994,,,90.852997,,-50.787998,,,,40.064999,0.091,,0.261,,,,-0.352,40.155999,-16.361,23.795,0.0,,,23.794999,0.0,23.795,0.0,,23.795,23.795,,303.623993,0.07875,0.07875,,303.623993,0.07875,0.07875,0.07875,
09/26/1993,284.376007,,,-208.201004,,,76.175003,,-48.32,,,,27.855,-0.769,,0.073,,,,0.696,27.086,-10.661,16.424999,0.0,,,16.424999,0.0,16.424999,0.0,,16.424999,16.424999,,303.743988,0.05375,0.05375,,303.743988,0.05375,0.05375,0.05375,
12/31/1993,329.089,,,-234.413,,,94.676,,-60.936,,,,33.74,-59.494,,1.23,,,,58.264,-25.754,-11.164,-36.918,0.0,,,-36.918,0.0,-36.918,0.0,,-36.918,-36.918,,305.424,-0.12125,-0.12125,-0.12125,305.424,-0.12125,-0.12125,-0.12125,
03/31/1994,258.600006,,,-181.800003,,,76.800003,,,,,,76.800003,,,,,,,,,,21.0,0.0,,,,0.0,21.0,0.0,,21.0,21.0,,,0.03375,0.03375,,,0.03375,0.03375,0.03375,
06/26/1994,296.899994,,,-203.300003,,,93.599991,,,,,,93.599998,,,,,,,,,,27.5,-7.1,,,,0.0,34.599998,0.0,,34.599998,34.599998,,,0.0575,0.045,,,0.0575,0.045,0.045,
09/25/1994,291.899994,,,-201.600006,,,90.299988,,,,,,90.300003,,,,,,,,,,22.5,-1.1,,,,0.0,23.6,0.0,,23.6,23.6,,,0.0775,0.075,,,0.0775,0.075,0.075,
12/31/1994,412.693,,,-301.389,,,111.304,,-70.519,,,,40.785,-0.029,,2.019,,,,-1.99,40.756,-15.691,25.065,0.0,,,25.065,0.0,25.065,0.0,,25.065,25.065,,304.792,0.0825,0.0825,0.0825,304.792,0.0825,0.0825,0.0825,
03/26/1995,294.885986,,,-204.494995,,,90.390991,,-51.785,,,,38.605999,-0.973,,,,,,0.973,37.632999,-13.818,23.815001,0.184,,,23.630999,0.0,23.631001,0.0,,23.631001,23.631001,,304.23999,0.0775,0.0775,0.0775,304.23999,0.0775,0.0775,0.0775,
06/25/1995,355.631012,,,-245.889999,,,109.741013,,-57.339001,,,,52.402,-0.148,,0.281,,,,-0.133,52.254,-19.061001,33.193001,-0.189,,,33.382,0.0,33.382,0.0,,33.382,33.382,,299.003998,0.1125,0.1125,0.1125,299.003998,0.1125,0.1125,0.1125,
09/24/1995,327.100006,,,-230.300003,,,96.800003,,-58.550999,,,,38.249001,,,,,,,,,,23.5,-0.2,,,,0.0,23.712999,0.0,,23.712999,23.712999,,299.104004,0.08,0.08,0.08,299.104004,0.08,0.08,0.08,
12/31/1995,372.899994,,,-258.399994,,,114.5,,-66.547997,,,,47.952,,,,,,,,,,30.6,-1.2,,,,0.0,31.778,0.0,,31.778,31.778,,299.200012,0.105,0.1,0.1,299.200012,0.105,0.1,0.1,
03/31/1996,371.050995,,,-255.274002,,,115.776993,,-61.751999,,,,54.025002,-1.654,,,,,,1.654,52.371001,-19.377001,32.993999,0.0,,,32.994001,0.0,32.993999,0.0,,32.993999,32.993999,,299.944,0.11,0.11,0.11,300.451996,0.11,0.11,0.11,
06/30/1996,392.803986,,,-267.942993,,,124.860992,,-63.742001,,,,61.118999,2.293,,,,,,-2.293,63.411999,-23.464001,39.948002,0.0,,,39.947999,0.0,39.948002,0.0,,39.948002,39.948002,,301.899994,0.13,0.13,0.13,301.899994,0.13,0.13,0.13,
09/29/1996,385.842987,,,-265.375,,,120.467987,,-71.290001,,,,49.178001,3.508,,,,,,-3.508,52.686001,-19.482,33.203999,0.0,,,33.204001,0.0,33.203999,0.0,,33.203999,33.203999,,301.855988,0.11,0.11,0.11,302.220001,0.11,0.11,0.11,
12/31/1996,381.529,,,-252.541,,,128.988,,-72.665,,,,56.323,2.83,,,,,,-2.83,59.153,-21.89,37.263,-22.619,,,59.882,0.0,59.882,0.0,,59.882,59.882,,301.772,0.1975,0.1225,0.1225,318.836,0.1875,0.1175,0.1175,
03/30/1997,427.095001,,,-288.881012,,,138.213989,,-75.566002,,,,62.647999,1.389,,,,,,-1.389,64.036999,-23.695,40.341999,0.0,,,40.341999,0.0,40.341999,0.0,,40.341999,40.341999,,302.515991,0.135,0.135,0.135,306.660004,0.13,0.13,0.13,
06/29/1997,444.084991,,,-293.765991,,,150.319,,-79.875,,,,70.444,7.626,,,,,,-7.626,78.07,-28.886,49.183998,0.0,,,49.184,0.0,49.183998,0.0,,49.183998,49.183998,,302.812012,0.16,0.16,0.16,307.208008,0.16,0.16,0.16,
09/28/1997,444.221985,,,-299.044006,,,145.177979,,-83.925003,,,,61.252998,3.984,,,,,,-3.984,65.236998,-24.138,41.098999,0.0,,,41.098998,0.0,41.098999,0.0,,41.098999,41.098999,,303.584015,0.135,0.135,0.135,308.355988,0.135,0.135,0.135,
12/31/1997,447.167,,,-294.661,,,152.506,,-89.203,,,,63.303,5.654,,,,,,-5.654,68.957,-25.513,43.444,0.0,,,43.444,0.0,43.444,0.0,,43.444,43.444,,304.3,0.145,0.145,0.145,308.962,0.14,0.14,0.14,
03/29/1998,466.527008,,,-316.652008,,,149.875,,-79.068001,,,,70.806999,-0.415,,,,,,0.415,70.391999,-25.694,44.698002,0.0,,,44.697999,0.0,44.698002,0.0,,44.698002,44.698002,,303.667999,0.145,0.145,0.145,308.402008,0.145,0.145,0.145,
06/28/1998,517.164001,,,-339.635986,,,177.528015,,-96.643997,,,,80.884003,6.36,,,,,,-6.36,87.244003,-31.843,55.401001,0.0,,,55.401002,0.0,55.401001,0.0,,55.401001,55.401001,,303.859985,0.18,0.18,0.18,309.089996,0.18,0.18,0.18,
09/27/1998,517.197998,,,-346.05899,,,171.139008,,-94.598999,,,,76.540001,5.942,,,,,,-5.942,82.482001,-30.110001,52.372002,0.0,,,52.372,0.0,52.372002,0.0,,52.372002,52.372002,,304.868011,0.17,0.17,0.17,309.806,0.17,0.17,0.17,
12/31/1998,563.067017,,,-370.938995,,,192.128021,,-106.954002,,,,85.174004,10.937,,,,,,-10.937,96.111004,-35.082001,61.028999,0.0,,,61.029003,0.0,61.028999,0.0,,61.028999,61.028999,,305.350006,0.2,0.2,0.2,310.10199,0.195,0.195,0.195,
03/28/1999,558.567,,,-369.433,,,189.134,,-100.459,,,,88.675,4.309,-1.489,,,,,-2.82,92.984,-33.94,59.044,0.0,,,59.044,0.0,59.044,0.0,,59.044,59.044,,306.092,0.195,0.195,0.195,311.372,0.19,0.19,0.19,
06/27/1999,608.716,,,-395.722,,,212.994,,-115.478,,,,97.516,10.46899,-1.992,,,,,-8.47699,107.98499,-39.415,68.57,0.0,,,68.56999,0.0,68.57,0.0,,68.57,68.57,,306.162,0.225,0.225,0.225,311.212,0.22,0.22,0.22,
09/26/1999,623.193,,,-418.535,,,204.658,,-110.775,,,,93.883,9.048,-2.09,,,,,-6.958,102.931,-37.569,65.362,0.0,,,65.362,0.0,65.362,0.0,,65.362,65.362,,304.392,0.215,0.215,0.215,309.208,0.21,0.21,0.21,
12/31/1999,662.463,,,-433.563,,,228.9,,-120.8,,,,108.1,8.793,-2.443,,,,,-6.35,116.893,-42.668,74.22461,0.0,,,74.225,0.0,74.225,0.0,,74.225,74.225,,302.528,0.245,0.245,0.245,307.244,0.24,0.24,0.24,
