Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1991,21.892998,,,,,,,,,,,,,,,,,,,,,,,,,,0.628,,,0.628,0.628,,69.902385,0.009012,0.009012,,69.902385,0.009012,0.009012,0.009012,
06/30/1991,28.163998,,,,,,,,,,,,,,,,,,,,,,,,,,0.853,,,0.853,0.853,,69.902385,0.012016,0.012016,,69.902385,0.012016,0.012016,0.012016,
09/30/1991,34.408997,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,,,2.03,2.03,,77.459215,0.025533,0.025533,,77.459215,0.025533,0.025533,0.025533,
12/31/1991,39.621998,,,,,,,,,,,,,,,,,,,,,,,,,,2.261,,,2.261,2.261,,72.192738,0.031541,0.031541,,72.192738,0.031541,0.031541,0.031541,
03/31/1992,32.674999,,,,,,,,,,,,,,,,,,,,,,,,,,1.403,,,1.403,1.403,,72.918462,0.019525,0.019525,,72.918462,0.019525,0.019525,0.019525,
06/30/1992,46.047997,,,,,,,,,,,,,,,,,,,,,,,,,,2.386,,,2.386,2.386,,80.59514,0.030039,0.030039,,80.59514,0.030039,0.030039,0.030039,
09/30/1992,45.706997,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,,,2.07,2.07,,99.530503,0.021027,0.021027,,99.530503,0.021027,0.021027,0.021027,
12/31/1992,58.166,,,,,,,,,,,58.166,,,,,,,,,58.166,,,,,,3.359,,,3.359,3.359,,99.390683,0.034545,0.034545,0.034545,99.390683,0.034545,0.034545,0.034545,
03/31/1993,45.102001,,,,,,,,,,,,,,,,,,,,,,,,,,1.737,,,1.737,1.737,,100.056489,0.018023,0.018023,,100.056489,0.018023,0.018023,0.018023,
06/30/1993,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,3.2,3.2,,100.515893,0.031541,0.031541,,100.515893,0.031541,0.031541,0.031541,
