Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2005,392.495,0.061,0.061,0.0,4.181,1.933,,2.625,0.0,0.0,2.625,0.0,10.957,,,,,,17.824,340.694,427.12,-86.426,0.0,,33.977,17.738,17.738,0,16.239,374.671,,13.188,13.188,,,,0.057,0,0.057,0.057,,28.737,,,28.737,41.982,3.476,0,3.476,3.476,,37.683,,,,,,37.683,41.159,83.141,0.0,375.991,,,0.0,-38.451,-28.186,309.354,0.0,309.354,392.495,
03/31/2006,513.588,133.464,133.464,0.0,2.773,2.773,,3.049,0.0,0.0,3.049,0.0,8.026,,,,,,147.312,345.79,,,0.0,,20.486,17.738,17.738,0,2.748,366.276,,9.29,9.29,,,,0.058,0,0.058,0.058,,34.68,,,34.68,44.028,3.461,0,3.461,3.461,,58.219,,,,,,58.219,61.68,105.708,0.0,464.697,,,0.0,-30.463,-26.354,407.88,0.0,407.88,513.588,
06/30/2006,535.053,142.044,142.044,0.0,1.967,1.967,,3.04,0.0,0.0,3.04,0.0,8.009,,,,,,155.06,359.627,,,0.0,,20.366,17.738,17.738,0,2.628,379.993,,11.718,11.718,,,,0.059,0,0.059,0.059,,32.137,,,32.137,43.914,3.446,0,3.446,3.446,,58.04,,,,,,58.04,61.486,105.4,0.0,466.921,,,0.0,-19.671,-17.597,429.653,0.0,429.653,535.053,
09/30/2006,573.224,157.565,157.565,0.0,3.059,3.059,,3.393,0.0,0.0,3.393,0.0,8.699,,,,,,172.716,379.891,,,0.0,,20.617,17.738,17.738,0,2.879,400.508,,17.64,17.64,,,,0.071,0,0.071,0.071,,38.341,,,38.341,56.052,4.055,0,4.055,4.055,,58.951,,,,,,58.951,63.006,119.058,0.0,468.921,,,0.0,-7.869,-6.886,454.166,0.0,454.166,573.224,
12/31/2006,604.208,153.642,153.642,,4.865,4.865,,3.505,,,3.505,,16.825,,,,,,178.837,404.74,522.374,-117.634,,,20.631,17.738,17.738,0,2.893,425.371,,19.567,19.567,,,,0.071,0,0.071,0.071,,41.563,,,41.563,61.201,4.036,0,4.036,4.036,,65.014,,,,,,65.014,69.05,130.251,,470.978,,,0.0,2.972,0.007,473.957,,473.957,604.208,
03/31/2007,626.241,158.902,158.902,0.0,5.332,5.332,,4.142,0.0,0.0,4.142,0.0,9.068,,,,,,177.444,426.048,,,0.0,,22.749,19.556,19.556,0,3.193,448.797,,19.651,19.651,,,,0.072,0,0.072,0.072,,46.985,,,46.985,66.708,4.018,0,4.018,4.018,,69.354,,,,,,69.354,73.372,140.08,0.0,473.342,,,0.0,12.812,0.007,486.161,0.0,486.161,626.241,
06/30/2007,645.833,156.217,156.217,0.0,6.27,6.27,,4.418,0.0,0.0,4.418,0.0,9.507,,,,,,176.412,444.259,,,0.0,,25.162,21.939,21.939,0,3.223,469.421,,19.923,19.923,,,,0.074,0,0.074,0.074,,40.197,,,40.197,60.194,3.999,0,3.999,3.999,,71.009,,,,,,71.009,75.008,135.202,0.0,477.831,,,0.0,32.793,0.007,510.631,0.0,510.631,645.833,
09/30/2007,683.367,167.657,167.657,0.0,5.869,5.869,,4.404,0.0,0.0,0.0,0.0,10.719,,,,,,188.649,469.295,,,0.0,,25.423,21.939,21.939,0,3.484,494.718,,24.958,24.958,,,,0.075,0,0.075,0.075,,45.223,,,45.223,70.256,3.979,0,3.979,3.979,,72.365,,,,,,72.365,76.344,146.6,0.0,483.363,,,0.0,53.397,0.007,536.767,0.0,536.767,683.367,
12/31/2007,722.115,151.176,151.176,0.0,5.373,5.373,,4.332,0.0,0.0,4.332,0.0,40.963,,,,,,201.844,494.93,645.926,-150.996,0.0,,25.341,21.939,21.939,0,3.402,520.271,,19.88,19.88,,,,0.076,0,0.076,0.076,,53.345,,,53.345,73.301,3.96,0,3.96,3.96,,82.744,,,,,,82.744,86.704,160.005,0.0,489.624,,,0.0,72.486,0.0,562.11,0.0,562.11,722.115,
03/31/2008,751.932,187.162,187.162,0.0,3.879,3.879,,4.583,0.0,0.0,4.583,0.0,15.052,,,,,,210.676,515.247,,,0.0,,26.009,21.939,21.939,0,4.07,541.256,,25.682,25.682,,,,0.078,0,0.078,0.078,,50.174,,,50.174,75.934,3.94,0,3.94,3.94,,90.777,,,,,,90.777,94.717,170.651,0.0,491.511,,,0.0,89.77,0.0,581.281,0.0,581.281,751.932,
