Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Net Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
03/31/1990,184.496994,187.638,187.638,,13.48341,3.869152,11.431586,1.231094,2.09,0.86,,2.09,0.86,0.86,0.455,-0.421023,,10.401253,23.485477,
06/30/1990,185.091003,187.735992,187.735992,,13.918482,4.335876,11.452253,1.544722,1.06,1.06,,1.06,1.06,1.06,0.455,-1.587335,,14.976417,24.134074,
09/30/1990,184.862,187.037003,187.037003,,14.4303,4.47505,11.687527,1.550495,1.08,1.08,,1.08,1.08,1.08,0.455,2.625149,,10.905432,24.780647,
12/31/1990,185.654007,185.257996,185.257996,,14.158633,4.404668,11.643222,1.311684,0.98,0.98,0.98,0.98,0.98,0.98,0.495,-2.499217,,11.85,25.288977,
03/31/1991,186.904999,190.983002,190.983002,,14.121676,5.325081,11.058576,2.01065,1.4,1.4,,1.4,1.4,1.4,0.495,-4.31452,,6.473877,26.253979,
06/30/1991,188.246994,192.307999,192.307999,,12.51638,4.737192,9.593985,1.643197,1.17,1.17,,1.17,1.17,1.17,0.495,5.610791,,10.50216,26.996447,
09/30/1991,188.875,194.339996,194.339996,,13.661624,5.680766,10.455902,2.284656,1.89,1.72,,1.89,1.72,1.72,0.495,-16.249872,,10.970218,28.505625,
12/31/1991,189.529007,189.201996,189.201996,,13.504086,5.179649,11.009398,1.802307,1.39,1.39,1.39,1.39,1.39,1.39,0.545,-2.637393,,8.204549,29.409746,
03/31/1992,190.505005,196.852005,196.852005,,12.405258,5.252677,9.530002,2.052303,3.62,1.32,,3.62,1.32,1.32,0.545,15.554833,,7.123172,30.455893,
06/30/1992,190.604996,196.619003,196.619003,,13.56939,6.47445,10.090581,2.583677,1.64,1.64,,1.64,1.64,1.64,0.545,-8.971666,,9.501325,31.940401,
09/30/1992,190.962997,197.291,197.291,,13.741123,6.351025,10.502253,2.514053,1.61,1.61,,1.61,1.61,1.61,0.545,-6.361162,,7.614041,33.451507,
12/31/1992,191.610001,198.046997,198.046997,,12.168829,5.544139,8.513131,1.721814,1.1,1.1,1.1,1.1,1.1,1.1,0.6,4.670609,,5.996555,35.561818,
03/31/1993,192.248001,199.110992,199.110992,,14.308602,7.272326,10.592082,3.209265,1.47,2.16,,1.47,2.16,2.16,0.6,-13.183602,,9.061213,36.515334,
06/30/1993,192.690994,200.488007,200.488007,,14.689158,7.681257,10.649016,3.361797,2.12,2.12,,2.12,2.12,2.12,0.6,-17.02845,,9.196071,39.114438,
09/30/1993,193.444,201.537994,201.537994,,15.500799,8.003454,11.516439,3.627108,2.3,2.3,,2.3,2.3,2.3,0.6,0.387024,,11.812204,40.993776,
12/31/1993,193.087006,201.578003,201.578003,,14.996676,8.284634,10.189604,3.209676,1.92,1.92,1.92,1.92,1.92,1.92,0.68,-27.716318,,5.220445,48.501451,
03/31/1994,192.259995,201.292007,201.292007,,14.064145,6.910359,9.126045,2.677702,1.69,1.69,,1.69,1.69,1.69,0.68,-21.520974,,9.154271,48.668471,
06/30/1994,190.916,200.011002,200.011002,,14.784187,7.329597,12.149332,2.649854,1.73,1.73,,1.73,1.73,1.73,0.68,-12.90929,,9.747742,48.152067,
09/30/1994,189.315994,198.192993,198.192993,,15.106488,6.952819,10.651234,2.204922,1.63,1.63,,1.63,1.63,1.63,0.68,11.952996,,8.050033,48.802004,
12/31/1994,187.701004,196.197998,196.197998,,15.69333,6.258983,11.01948,1.350676,0.96,0.96,0.96,0.96,0.96,0.96,0.75,3.91951,,11.774045,48.342842,
03/31/1995,187.399994,196.904999,196.904999,,17.053909,7.049085,12.371448,1.960336,1.27,1.27,,1.27,1.27,1.27,0.75,-11.111958,-11.381123,6.152615,48.804697,
