Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,2243.999756,,,,,,,,,,,,,,,,,,,,,,,,,,136.999985,,,136.999985,136.999985,,264.399994,0.5175,0.5175,,264.399994,0.5175,0.5175,0.5175,
04/01/1990,2224.883057,,-1792.495972,,432.387085,,-247.509003,,,,,184.878006,10.49,,26.1,,0.0,-36.59,195.368006,-64.471001,130.897003,0.0,,,130.897005,0.0,130.897003,0.0,,130.897003,130.897003,,261.731995,0.5,0.5,,261.731995,0.5,0.5,0.5,
07/01/1990,2346.158936,,-1866.94397,,479.214966,,-266.208008,,,,,213.007004,3.473999,,28.294001,,0.0,-31.768,216.481003,-71.660004,144.820999,0.0,,,144.820999,0.0,144.820999,0.0,,144.820999,144.820999,,261.040009,0.555,0.555,,261.040009,0.555,0.555,0.555,
09/30/1990,2240.758057,,-1767.93396,,472.824097,,-276.898987,,,,,195.925003,12.907999,,29.934999,,0.0,-42.842999,208.833002,-70.832001,138.001007,0.0,,,138.001001,0.0,138.001007,0.0,,138.001007,138.001007,,261.191986,0.5275,0.5275,,261.191986,0.5275,0.5275,0.5275,
12/31/1990,2455.865967,,-1963.988037,,491.87793,,-286.794006,,,,,205.084,11.146,,29.945999,,0.0,-41.091999,216.23,-72.655998,143.574005,0.0,,,143.574002,0.0,143.574005,0.0,,143.574005,143.574005,,261.346008,0.55,0.55,0.55,261.346008,0.55,0.55,0.55,
03/31/1991,2253.312012,,-1804.80896,,448.503052,,-255.850998,,,,,192.651993,4.275,,26.558001,,0.0,-30.833,196.926992,-63.245998,133.681,0.0,,,133.680994,0.0,133.681,0.0,,133.681,133.681,,262.104004,0.51,0.51,,262.104004,0.51,0.51,0.51,
06/30/1991,2357.173096,,-1861.750977,,495.422119,,-281.480988,,,,,213.940994,9.670002,,25.431,,0.0,-35.101002,223.610996,-71.777,151.834,0.0,,,151.833996,0.0,151.834,0.0,,151.834,151.834,,263.947998,0.575,0.575,,263.947998,0.575,0.575,0.575,
09/29/1991,2235.004883,,-1748.317017,,486.687866,,-285.136993,,,,,201.550995,19.571001,,22.441999,,0.0,-42.013,221.121996,-72.696999,148.425003,0.0,,,148.424997,0.0,148.425003,0.0,,148.425003,148.425003,,265.115997,0.56,0.56,,265.115997,0.56,0.56,0.56,
12/31/1991,2428.745117,,-1937.012939,,491.732178,,-278.191986,,,,,213.539993,17.541999,,17.959,,0.0,-35.500999,231.081992,-73.260002,157.822006,0.0,,,157.82199,0.0,157.822006,0.0,,157.822006,157.822006,,266.234008,0.595,0.595,0.595,266.234008,0.595,0.595,0.595,
03/31/1992,2128.033936,,-1673.206055,,454.827881,,-261.153015,,,,,193.675003,19.298,,13.527,,0.0,-32.825001,212.973003,-69.555,143.417999,0.0,,,143.418003,0.0,143.417999,0.0,,143.417999,143.417999,,267.799988,0.535,0.535,,267.799988,0.535,0.535,0.535,
06/28/1992,2321.250977,,-1797.197021,,524.053955,,-290.140015,,,,,233.914001,15.808,,14.072,,0.0,-29.879999,249.722001,-84.084999,165.636993,0.0,,,165.637002,0.0,165.636993,0.0,,165.636993,165.636993,,268.902008,0.615,0.615,,268.902008,0.615,0.615,0.615,
09/27/1992,2213.621094,,-1725.254028,,488.367065,,-271.243011,,,,,217.123993,19.009,,11.672,,0.0,-30.681,236.132993,-80.070999,156.061996,0.0,,,156.061994,0.0,156.061996,0.0,,156.061996,156.061996,,269.355988,0.58,0.58,,269.355988,0.58,0.58,0.58,
12/31/1992,2395.310059,,-1861.81604,,533.494019,,-284.580994,,,,,248.912994,8.226001,,8.922,,0.0,-17.148001,257.138995,-87.182999,169.955994,0.0,,,169.955996,0.0,169.955994,0.0,,169.955994,169.955994,,270.479004,0.63,0.63,0.63,270.479004,0.63,0.63,0.63,
04/04/1993,2203.511963,,-1724.535034,,478.976929,,-267.213989,,,,,211.763,23.513,,7.053,,0.0,-30.566,235.276,-77.761002,157.514999,0.0,,,157.514999,0.0,157.514999,0.0,,157.514999,157.514999,,271.579987,0.58,0.58,,271.579987,0.58,0.58,0.58,
07/04/1993,2258.314941,,-1749.135986,,509.178955,,-280.127014,,,,,229.052002,39.548001,,6.686,,0.0,-46.234001,268.600003,-89.32,179.279999,0.0,,,179.280004,0.0,179.279999,0.0,,179.279999,179.279999,,271.134003,0.66,0.66,,271.134003,0.66,0.66,0.66,
09/27/1993,2222.731934,,-1721.862061,,500.869873,,-277.86499,,,,,223.005005,41.560999,,8.802,,0.0,-50.362999,264.566004,-93.771004,170.794998,0.0,,,170.795,0.0,170.794998,0.0,,170.794998,170.794998,,271.321991,0.63,0.63,,271.321991,0.63,0.63,0.63,
12/31/1993,2516.637939,,-1978.745972,,537.891967,,-281.792999,,,,,256.098999,22.806,,9.326,,0.0,-32.132,278.904999,-93.503998,185.401001,0.0,,,185.401001,0.0,185.401001,0.0,,185.401001,185.401001,,270.600006,0.685,0.685,0.685,270.600006,0.685,0.685,0.685,
04/03/1994,2314.470947,,-1796.54895,,517.921997,,-274.988007,,,,,242.934006,-235.987996,,10.508,,0.0,225.479996,6.94601,0.02,6.966,0.0,,,6.96601,0.0,6.966,0.0,,6.966,6.966,,270.282013,0.025,0.025,,270.282013,0.025,0.025,0.025,
07/03/1994,2526.99292,,-1948.725952,,578.266968,,-298.911987,,,,,279.355011,11.667999,,12.864,,0.0,-24.532,291.02301,-98.793999,192.229004,0.0,,,192.229012,0.0,192.229004,0.0,,192.229004,192.229004,,268.053986,0.715,0.715,,268.053986,0.715,0.715,0.715,
10/02/1994,2442.633057,,-1876.05896,,566.574097,,-293.437988,,,,,273.135986,14.308001,,9.941,,0.0,-24.249001,287.443987,-95.5,191.944,0.0,,,191.943987,0.0,191.944,0.0,,191.944,191.944,,264.768005,0.725,0.725,,264.768005,0.725,0.725,0.725,
12/31/1994,2728.758057,,-2131.23291,,597.525147,,-314.588013,,,,,282.937012,31.588999,,15.191,,0.0,-46.779999,314.526011,-108.789001,205.737,0.0,,,205.73701,0.0,205.737,0.0,,205.737,205.737,,255.839996,0.805,0.805,0.805,255.839996,0.805,0.805,0.805,
04/02/1995,2387.115967,,-1825.555054,,561.560913,,-305.410004,,,,,256.151001,9.663,,22.677999,,0.0,-32.341,265.814001,-91.877998,173.936005,0.0,,,173.936003,0.0,173.936005,0.0,,173.936005,173.936005,,246.341995,0.705,0.705,,246.341995,0.705,0.705,0.705,
07/02/1995,2816.072021,,-2116.287109,,699.784912,,-373.88501,,,,,325.899994,-28.591,,50.333,,0.0,-21.742001,297.308994,-101.815002,195.494003,0.0,,,195.493992,0.0,195.494003,0.0,,195.494003,195.494003,,244.869995,0.8,0.8,,244.869995,0.8,0.8,0.8,
10/01/1995,3152.718018,,-2424.711914,,728.006104,,-373.675995,,,,,354.329987,-48.818996,,67.352997,,0.0,-18.534,305.51099,-104.779999,200.731003,0.0,,,200.730991,0.0,200.731003,0.0,,200.731003,200.731003,,243.199997,0.825,0.825,,243.199997,0.825,0.825,0.825,
12/31/1995,3359.690918,,-2735.292969,,624.397949,,-348.375,,,,,276.02301,47.026001,,56.263,,0.0,-103.289001,323.049011,-100.722,222.326996,0.0,,,222.327011,0.0,222.326996,0.0,,222.326996,222.326996,,241.600006,0.92,0.92,0.92,241.600006,0.92,0.92,0.92,
03/31/1996,2769.423096,,-2122.702881,,646.720215,,-352.190002,,,,,294.529999,-12.461998,,54.162998,,0.0,-41.701,282.068001,-95.582001,186.485992,0.0,,,186.486,0.0,186.485992,0.0,,186.485992,186.485992,,240.093002,0.78,0.78,0.78,242.190002,0.77,0.77,0.77,
06/30/1996,3111.894043,,-2416.408936,,695.485107,,-352.571014,,,,,342.914001,-29.057001,,60.694,,0.0,-31.636999,313.857,-104.459999,209.397003,0.0,,,209.397001,0.0,209.397003,0.0,,209.397003,209.397003,,237.473999,0.89,0.89,0.89,240.699997,0.87,0.87,0.87,
09/29/1996,3032.26001,,-2428.086914,,604.173096,,-331.220001,,,,,272.953003,-47.136003,,70.827003,,0.0,-23.691,225.816999,-38.027,187.789993,0.0,,,187.789999,0.0,187.789993,0.0,,187.789993,187.789993,,235.932007,0.8,0.8,0.89,237.699997,0.79,0.79,0.88,
12/31/1996,3436.646973,,-2807.530029,,629.116944,,-308.416992,,,,,320.700012,-59.08,,70.569,,0.0,-11.489,261.620012,-84.241997,177.378006,0.0,,,177.378015,0.0,177.378006,0.0,,177.378006,177.378006,,236.199997,0.75,0.75,0.75,239.699997,0.74,0.74,0.74,
03/30/1997,2899.147949,,-2220.525879,,678.62207,,-339.140015,,,,,339.481995,-61.116,,68.875,,0.0,-7.759,278.365994,-94.956001,183.410004,0.0,,,183.409993,0.0,183.410004,0.0,,183.410004,183.410004,,235.654007,0.78,0.78,0.78,238.738998,0.77,0.77,0.77,
06/29/1997,3324.746094,,-2570.3479,,754.398193,,-372.777008,,,,,381.621002,-67.755997,,73.907997,,0.0,-6.152,313.865005,-104.362999,209.501999,0.0,,,209.502006,0.0,209.501999,0.0,,209.501999,209.501999,,235.709,0.89,0.89,0.89,238.647995,0.88,0.88,0.88,
09/28/1997,3445.310059,,-2635.701904,,809.608154,,-390.010986,,,,,419.596985,-97.329998,,119.809998,,0.0,-22.48,322.266987,-111.046997,211.220001,0.0,,,211.21999,0.0,211.220001,0.0,,211.220001,211.220001,,235.947998,0.9,0.9,0.9,240.313995,0.88,0.88,0.88,
12/31/1997,4003.8,,-3157.42,,846.38,,-408.072,,,,,438.3,-562.798,,134.407,,0.0,428.391,-124.498,47.366,-77.132,0.0,,,-77.132,0.0,-77.132,0.0,,-77.132,-77.132,,248.3,-0.31,-0.31,0.98,248.3,-0.31,-0.31,0.98,
03/29/1998,4693.0,,-3656.0,,1037.0,,-490.0,,,,,547.0,-168.0,,171.0,,0.0,-3.0,379.0,-151.0,228.0,0.0,,,228.0,0.0,228.0,0.0,,228.0,228.0,,338.549988,0.67,0.67,0.67,343.242188,0.66,0.66,0.66,
06/28/1998,5037.0,,-3910.0,,1127.0,,-610.0,,,,,517.0,-83.0,,182.0,,0.0,-99.0,434.0,-171.0,263.0,0.0,,,263.0,0.0,263.0,0.0,,263.0,263.0,,338.365997,0.78,0.78,0.76,343.138,0.77,0.77,0.75,
09/27/1998,4431.0,,-3671.0,,760.0,,-538.0,,,,,222.0,-173.0,,180.0,,0.0,-7.0,49.0,-37.0,12.0,0.0,,,12.0,0.0,12.0,0.0,,12.0,12.0,,337.789001,0.04,0.04,0.86,341.483002,0.04,0.04,0.86,
12/31/1998,5258.0,,-3930.0,,1328.0,0.0,-608.0,458.0,,,150.0,720.0,-145.0,178.0,187.0,-9.0,0.0,-33.0,575.0,-234.0,341.0,0.0,,,341.0,0.0,341.0,0.0,0.0,341.0,341.0,-415.0,337.0,1.011869,1.011869,-0.219,341.2,0.999414,0.999414,-0.219,
04/04/1999,4336.0,,-3341.0,,995.0,,-416.0,,,,,579.0,-184.0,175.0,175.0,,0.0,9.0,395.0,-155.0,240.0,35.0,,,205.0,0.0,205.0,0.0,,205.0,205.0,,336.354,0.61,0.71,0.71,340.219,0.6,0.71,0.71,
07/04/1999,5202.0,,-4015.0,,1187.0,,-537.0,,,,,650.0,-165.0,176.0,176.0,,0.0,-11.0,485.0,-191.0,294.0,0.0,,,294.0,0.0,294.0,0.0,,294.0,294.0,,336.885,0.87,0.87,0.87,343.68,0.86,0.86,0.86,
10/03/1999,4728.0,,-4285.0,,443.0,,-503.0,,,,,-60.0,-183.0,180.0,180.0,,0.0,3.0,-243.0,74.0,-169.0,0.0,,,-169.0,0.0,-169.0,0.0,,-169.0,-169.0,,338.022,-0.5,-0.5,0.59,338.022,-0.5,-0.5,0.59,
12/31/1999,4178.0,,-3326.0,,852.0,,-534.0,,,,,318.0,-156.0,177.0,177.0,,0.0,-21.0,162.0,-88.0,74.0,2.0,,,72.0,0.0,72.0,0.0,,72.0,72.0,,338.3,0.21,0.22,0.09,338.8,0.21,0.22,0.09,
04/02/2000,4231.0,,-3481.0,,750.0,,-434.0,,,,,316.0,-175.0,180.0,180.0,,0.0,-5.0,141.0,-61.0,80.0,261.0,,,-181.0,0.0,-181.0,0.0,0.0,-181.0,-181.0,,338.26,-0.54,0.24,0.24,338.735,-0.54,0.24,0.24,
07/02/2000,4124.0,,-3289.0,,835.0,,-467.0,,,,,368.0,-199.0,185.0,185.0,,0.0,14.0,169.0,-74.0,95.0,46.0,,,49.0,0.0,49.0,0.0,0.0,49.0,49.0,,338.214,0.14,0.28,0.28,340.017,0.14,0.28,0.28,
09/01/2000,4160.0,,-3317.0,,843.0,,-410.0,,,,,433.0,-197.0,193.0,193.0,,0.0,4.0,236.0,-103.0,133.0,28.0,,,105.0,0.0,105.0,0.0,0.0,105.0,105.0,,338.315,0.31,0.39,0.39,341.593,0.31,0.39,0.39,
