Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1995,3.618,,,-1.64,,1.978,,-1.212,,,,,,0.766,0.027,,,,0.0,-0.027,0.793,-0.325,0.468,0.0,,,0.468,0.0,0.468,0.0,,0.468,0.468,,82.248001,0.00625,0.00625,0.00625,82.248001,0.00625,0.00625,0.00625,
06/30/1995,4.567,,,-2.093,,2.474,,-1.586,,,,,,0.888,0.003,,,,0.0,-0.003,0.891,-0.365,0.526,0.0,,,0.526,0.0,0.526,0.0,,0.526,0.526,,82.248001,0.00625,0.00625,0.00625,82.248001,0.00625,0.00625,0.00625,
09/30/1995,5.905,,,-2.881,,3.024,,-1.742,,,,,,1.282,-0.001,,,,0.0,0.001,1.281,-0.524,0.757,0.0,,,0.757,0.0,0.757,0.0,,0.757,0.757,,82.248001,0.00875,0.00875,0.00875,82.248001,0.00875,0.00875,0.00875,
12/31/1995,7.84,,,-3.47,,4.37,,-2.522,,,,,,1.848,0.014,,,,0.0,-0.014,1.862,-0.75,1.079,0.0,,,1.112,0.0,1.079,0.0,,1.079,1.079,,82.248001,0.01375,0.01375,0.01375,82.248001,0.01375,0.01375,0.01375,
03/31/1996,9.267,,,-4.552,,4.715,,-2.68,,,,,,2.035,0.005,,,,0.0,-0.005,2.04,-0.816,1.224,0.0,,,1.224,0.0,1.224,0.0,,1.224,1.224,,82.295998,0.015,0.015,0.015,82.295998,0.015,0.015,0.015,
06/30/1996,10.36,,,-4.769,,5.591,,-3.301,,,,,,2.29,0.293,,,,0.0,-0.293,2.583,-0.982,1.601,0.0,,,1.601,0.0,1.601,0.0,,1.601,1.601,,96.776001,0.01625,0.01625,0.01625,96.776001,0.01625,0.01625,0.01625,
09/30/1996,11.501,,,-5.379,,6.122,,-3.666,,,,,,2.456,0.328,,,,0.0,-0.328,2.784,-1.086,1.698,0.0,,,1.698,0.0,1.698,0.0,,1.698,1.698,,96.832001,0.0175,0.0175,0.0175,96.832001,0.0175,0.0175,0.0175,
12/31/1996,17.880999,,,-8.285,,9.595999,,-7.068999,,,,,,2.526999,0.472,,,,0.0,-0.472,2.999,-1.052,1.947,0.0,,,1.946999,0.0,1.947,0.0,,1.947,1.947,,99.695999,0.02,0.02,0.02,99.695999,0.02,0.02,0.02,
03/31/1997,18.18,,,-8.675,,9.505,,-5.696,,,,,,3.809,0.517,,,,0.0,-0.517,4.326,-1.62,2.706,0.0,,,2.706,0.0,2.706,0.0,,2.706,2.706,,97.391998,0.045,0.045,0.045,107.888,0.04,0.04,0.04,
06/30/1997,18.823999,,,-9.037,,9.787,,-5.742,,,,,,4.045,0.583,,,,0.0,-0.583,4.628,-1.733,2.895,0.0,,,2.895,0.0,2.895,0.0,,2.895,2.895,,101.096001,0.02875,0.02875,0.02875,101.096001,0.02875,0.02875,0.02875,
09/30/1997,21.99,,,-10.832,,11.158,,-6.749,,,,,,4.409,0.505,,,,0.0,-0.505,4.914,-1.848,3.066,0.0,,,3.066,0.0,3.066,0.0,,3.066,3.066,,102.0,0.03,0.03,0.03,102.0,0.03,0.03,0.03,
12/31/1997,31.366001,,,-15.272002,,16.093999,,-9.813999,,,,,,6.279999,-0.087,,,,0.0,0.087,6.192999,-2.502,3.691,0.0,,,3.690999,0.0,3.691,0.0,,3.691,3.691,,96.704002,0.03375,0.03125,0.03125,96.704002,0.03375,0.03125,0.03125,
03/31/1998,31.596001,,,,,,,-25.334999,,,,,,6.261,0.59,,,,0.0,-0.59,6.851,-2.504,4.347,0.0,,,4.347,0.0,4.347,0.0,,4.347,4.347,,100.552002,0.0425,0.0425,0.0425,111.047997,0.04,0.04,0.04,
06/30/1998,36.42,,,,,,0.0,-28.904,11.394,2.666,,,17.51,7.516,0.676,,,-0.676,0.0,0.0,8.192,-2.929,5.263,0.0,,,5.263,0.0,5.263,0.0,0.0,5.263,5.263,,103.7,0.05,0.05,0.05,115.152,0.045,0.045,0.045,
09/30/1998,43.066002,,,,,,,-34.844002,,,,,,8.222,-10.287,,,,0.0,10.287,-2.065,0.668,-1.397,0.0,,,-1.397,0.0,-1.397,0.0,,-1.397,-1.397,,105.725998,-0.0125,-0.0125,0.055,105.725998,-0.0125,-0.0125,0.055,
