Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2013,722,183,123,90,-53,-49,,,-4,379,96,283,0.0,548,-30,0.0,-30.0,1202,3123,0,3053,70,-1921,0,-1921,0,-574,1328,-1902,0,0,0,0,0,-50,-944,-40,-384,-489.0,108.0,0.0,-3.0,0,0,0,-520,0,0.0,326,,,
06/30/2013,673,-3905,121,112,4180,-41,,,4221,165,121,44,0.0,4386,-127,0.0,-127.0,901,2231,0,2210,21,-1330,0,-1330,0,3580,628,2952,0,0,0,0,0,32,-3962,-388,-307,-11.0,-338.0,333.0,-291.0,0,0,0,-3267,0,0.0,1097,,,
09/30/2013,241,144,117,145,83,-29,76.0,,36,-248,122,-370,0.0,-4716,-36,0.0,-36.0,-3888,1692,0,1682,10,-5580,0,-5579,-1,-727,-667,-60,0,0,0,0,0,-65,2571,-383,385,564.0,-512.0,333.0,0.0,0,0,0,2569,0,0.0,-1904,9.0,104.0,
12/31/2013,1013,152,116,132,176,72,57.0,3.0,44,437,109,328,0.0,-2671,-17,25.0,-42.0,-937,1456,22,1408,26,-2393,-224,-2169,0,-1627,-1630,3,0,0,0,0,0,-90,1833,-374,3957,,,,,0,0,0,-1750,0,0.0,175,1.0,98.0,
03/31/2014,700,166,108,121,53,-25,58.0,19.0,1,252,45,207,0.0,-5036,-7,0.0,-7.0,-3426,1445,40,1405,0,-4871,-1174,-3697,0,-1552,-1486,-66,0,0,0,0,0,-51,4431,-25,3986,2700.0,1289.0,,-3.0,0,0,0,470,0,0.0,95,,,
06/30/2014,321,313,112,49,-267,2,-22.0,,-247,114,-52,166,0.0,-574,-1,29.0,-30.0,173,862,80,727,55,-689,0,-621,-68,-695,-685,-10,0,0,0,0,0,-51,2757,-343,3808,2750.0,727.0,333.0,-2.0,0,0,0,-708,0,0.0,2504,,,
09/30/2014,179,189,129,77,-5,-19,-5.0,10.0,9,-211,-35,-176,0.0,-1790,-11,0.0,-11.0,198,1526,96,1371,59,-1328,0,-1324,-4,-1932,-1949,17,0,0,0,0,0,-45,-856,-383,-2280,-988.0,-1623.0,333.0,-2.0,0,0,0,1807,0,0.0,-2467,,,
12/31/2014,190,197,83,72,434,-6,110.0,24.0,306,-596,-38,-558,0.0,-2874,-3,,,314,2999,146,2821,32,-2685,0,-2673,-12,-2858,-2780,-78,0,0,0,0,0,-327,3071,-55,1216,,,,,-334,0,-334,2244,0,0.0,387,190.0,,
03/31/2015,98,209,117,58,10,-9,14.0,6.0,-1,-296,-59,-237,0.0,-1740,-7,11.0,-18.0,-400,1977,0,1966,11,-2377,-181,-2190,-6,-1428,-1183,-245,0,0,0,0,0,95,3370,-55,142,0.0,145.0,0.0,-3.0,0,0,0,3283,0,0.0,1728,,,
06/30/2015,417,190,126,77,37,-7,42.0,9.0,-7,-13,-50,37,0.0,-3230,-21,4.0,-25.0,-1195,1342,244,1089,9,-2537,-630,-1899,-8,-1961,-2390,429,0,0,0,0,0,-53,678,-53,-891,-251.0,-637.0,0.0,-3.0,-3,247,-250,1625,0,0.0,-2135,,,
