Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2007,3454.583,149.29,149.29,0.0,513.823,513.823,,1253.668,108.793,200.341,944.534,0.0,196.566,,,,,2113.347,530.882,,,0,810.354,419.714,281.483,138.231,,390.64,1341.236,,232.658,232.658,,,,30.929,,,,,,383.189,,,383.189,646.776,2474.625,,,,,241.862,,,241.862,2716.487,3363.263,0,107.72,,,0,45.028,-61.428,91.32,0,91.32,3454.583,
06/30/2007,3478.461,176.393,176.393,0.0,555.875,555.875,,1233.787,151.86,226.909,855.018,0.0,193.721,,,,,2159.776,503.052,,,0,815.633,420.358,281.644,138.714,,395.275,1318.685,,254.043,254.043,,,,13.291,,,,,,398.426,,,398.426,665.76,2440.25,,,,,243.014,,,243.014,2683.264,3349.024,0,122.244,,,0,55.231,-48.038,129.437,0,129.437,3478.461,
09/29/2007,3512.991,176.377,176.377,0.0,577.759,577.759,,1195.765,150.755,161.553,883.457,0.0,197.116,,,,,2147.017,521.282,,,0,844.692,452.123,308.816,143.307,,392.569,1365.974,,291.0,291.0,,,,45.143,,,,,,433.236,,,433.236,769.379,2365.25,,,,,158.61,,,158.61,2523.86,3293.239,0,199.063,,,0,66.864,-46.175,219.752,0,219.752,3512.991,
12/29/2007,3439.483,174.236,174.236,,575.069,575.069,,1117.052,143.43,156.052,817.57,,227.977,,,,,2094.334,534.286,1510.415,-976.129,0,810.863,487.814,310.425,177.389,,323.049,1345.149,,289.166,289.166,,,,19.577,18.703,0.874,0.874,,,380.239,,,380.239,688.982,2315.25,2314.254,0.996,0.996,,146.347,,,146.347,2461.597,3150.579,0,199.973,,,0,117.849,-28.918,288.904,0,288.904,3439.483,
03/29/2008,3470.139,120.793,120.793,0.0,541.9,541.9,,1223.979,164.4,170.262,889.317,0.0,238.579,,,,,2125.251,526.498,,,0,818.39,467.98,312.574,155.406,,350.41,1344.888,,309.867,309.867,,,,14.562,,,,,,359.436,,,359.436,683.865,2315.25,,,,,159.742,,,159.742,2474.992,3158.857,0,205.359,,,0,146.304,-40.381,311.282,0,311.282,3470.139,
06/28/2008,3577.571,96.918,96.918,0.0,547.617,547.617,,1342.184,189.772,146.628,1005.784,0.0,236.021,,,,,2222.74,547.162,,,0,807.669,473.984,316.257,157.727,,333.685,1354.831,,320.651,320.651,,,,58.636,,,,,,349.867,,,349.867,729.154,2315.25,,,,,142.42,,,142.42,2457.67,3186.824,0,215.967,,,0,201.271,-26.491,390.747,0,390.747,3577.571,
09/27/2008,3627.638,86.212,86.212,0.0,562.937,562.937,,1359.008,187.726,141.536,1029.746,0.0,244.224,,,,,2252.381,562.963,,,0,812.294,473.991,318.112,155.879,,338.303,1375.257,,322.824,322.824,,,,71.528,,,,,,377.232,,,377.232,771.584,2315.25,,,,,159.87,,,159.87,2475.12,3246.704,0,223.272,,,0,199.641,-41.979,380.934,0,380.934,3627.638,
01/03/2009,3534.049,67.342,67.342,0.0,404.93,404.93,,1290.53,172.494,116.8,1001.236,0.0,347.523,,,,,2110.325,588.189,1505.146,-916.957,0,835.535,496.797,322.002,174.795,,338.738,1423.724,,325.518,325.518,,,,107.374,,,,,,315.392,,,315.392,748.284,2130.907,,,,,469.703,,,469.703,2600.61,3348.894,0,249.102,,,0,217.522,-281.469,185.155,0,185.155,3534.049,
04/04/2009,3564.944,31.669,31.669,0.0,424.759,424.759,0.0,1301.242,168.663,105.982,1026.597,0.0,339.291,,380.667,,339.291,2096.961,620.786,,,0,847.197,466.53,322.002,144.528,,0.0,1467.983,,580.609,289.545,,,291.064,294.44,70.528,,,,223.912,0.0,,,0.0,875.049,2042.93,2042.93,,,,461.858,,,461.858,2504.788,3379.837,0,264.393,0.947,263.446,0,198.195,-277.481,185.107,0,185.107,3564.944,
07/04/2009,3576.091,47.561,47.561,0.0,505.302,505.302,0.0,1234.543,161.784,96.815,975.944,0.0,325.111,,382.832,,0.0,2112.517,617.072,,,0,846.502,463.67,322.002,141.668,,0.0,1463.574,,584.701,288.84,,,295.861,290.013,64.013,,,,226.0,0.0,,,0.0,874.714,1993.93,1993.93,,,,468.302,,,468.302,2462.232,3336.946,0,273.669,0.947,272.722,0,228.75,-263.274,239.145,0,239.145,3576.091,
10/03/2009,3491.913,38.617,38.617,0.0,538.54,538.54,0.0,1137.077,157.742,103.942,875.393,0.0,324.352,,379.523,,324.352,2038.586,612.911,,,0,840.416,460.893,322.002,138.891,,0.0,1453.327,,612.423,292.843,,,319.58,311.201,62.158,,,,249.043,0.0,,,0.0,923.624,1793.68,1793.68,,,,481.425,,,481.425,2275.105,3198.729,0,283.745,0.951,282.794,0,269.887,-260.448,293.184,0,293.184,3491.913,
01/02/2010,3326.564,38.943,38.943,0.0,450.541,450.541,0.0,1049.204,106.138,100.686,842.38,0.0,283.869,0.0,357.103,,143.419,1822.557,602.826,1435.019,-832.193,0,901.181,479.136,322.002,157.134,0.051,64.891,1504.007,,647.067,351.971,0.0,0.0,295.096,231.369,66.681,0.0,0.0,,164.688,0.539,0.0,0.0,0.0,878.975,1727.547,1727.547,0.0,0.0,,385.323,0.0,290.03,95.293,2112.87,2991.845,0,288.909,0.954,287.955,0,268.805,-222.995,334.719,0,334.719,3326.564,
04/03/2010,3440.063,42.62,42.62,0.0,440.3,440.3,0.0,1183.414,110.158,126.581,946.675,0.0,278.832,,452.233,,0.0,1945.166,587.469,,,0,907.428,455.195,322.002,133.193,,0.0,1494.897,,664.26,373.263,,,290.997,207.958,62.577,,,,145.381,0.0,,,0.0,872.218,1781.672,1781.672,,,,410.069,,,410.069,2191.741,3063.959,0,290.545,0.956,289.589,0,305.317,-219.758,376.104,0,376.104,3440.063,
07/03/2010,3613.721,36.797,36.797,0.0,512.801,512.801,0.0,1295.621,142.522,142.445,1010.654,0.0,271.945,,447.436,,0.0,2117.164,595.687,,,0,900.87,453.434,322.002,131.432,,0.0,1496.557,,727.605,460.339,,,267.266,164.944,32.429,,,,132.515,0.0,,,0.0,892.549,1868.672,1868.672,,,,390.217,,,390.217,2258.889,3151.438,0,294.783,0.957,293.826,0,390.73,-223.23,462.283,0,462.283,3613.721,
10/02/2010,3755.293,75.496,75.496,0.0,531.36,531.36,0.0,1377.286,130.573,126.674,1120.039,0.0,270.87,,452.742,,0.0,2255.012,596.458,,,0,903.823,451.081,322.002,129.079,,0.0,1500.281,,765.009,461.879,,,303.13,192.651,42.651,,,,150.0,0.0,,,0.0,957.66,1871.672,1871.672,,,,387.434,,,387.434,2259.106,3216.766,0,299.888,0.958,298.93,0,452.043,-213.404,538.527,0,538.527,3755.293,
01/01/2011,3790.002,43.671,43.671,0.0,503.243,503.243,0.0,1322.719,155.744,109.304,1057.671,0.0,278.038,0.0,319.798,,128.196,2147.671,631.254,1401.387,-770.133,0,1011.077,677.025,430.144,246.881,,14.254,1642.331,,687.327,412.369,0.0,0.0,274.958,140.678,50.678,0.0,0.0,,90.0,1.345,0.0,0.0,0.0,829.35,1990.735,1990.735,0.0,0.0,,407.243,0.0,301.889,105.354,2397.978,3227.328,0,295.791,0.962,294.829,0,480.098,-213.215,562.674,0,562.674,3790.002,
04/02/2011,4076.929,64.804,64.804,0.0,547.121,547.121,0.0,1541.73,173.209,116.207,1252.314,0.0,280.787,,402.617,,0.0,2434.442,633.132,,,0,1009.355,606.738,430.144,176.594,,0.0,1642.487,,771.353,471.432,,,299.921,171.767,29.431,,,,142.336,0.0,,,0.0,943.12,2095.735,2095.735,,,,417.951,,,417.951,2513.686,3456.806,0,300.131,0.965,299.166,0,528.208,-208.216,620.123,0,620.123,4076.929,
07/02/2011,4154.776,44.655,44.655,0.0,612.178,612.178,0.0,1640.231,196.804,138.205,1305.222,0.0,204.665,,408.001,,57.212,2501.729,635.612,,,0,1017.435,609.434,432.903,176.531,,0.0,1653.047,,827.676,563.641,,,264.035,242.066,29.011,,,,213.055,3.306,,,0.0,1073.048,1998.235,1998.235,,,,425.693,,,425.693,2423.928,3496.976,0,246.679,0.967,245.712,0,614.988,-203.867,657.8,0,657.8,4154.776,
10/01/2011,4218.58,47.997,47.997,0.0,589.439,589.439,0.0,1726.372,235.785,130.135,1360.452,0.0,211.051,,401.485,,62.401,2574.859,636.409,,,0,1007.312,605.827,432.671,173.156,,0.0,1643.721,,827.909,505.884,,,322.025,209.111,34.111,,,,175.0,0.563,,,0.0,1037.583,2005.735,2005.735,,,,425.021,,,425.021,2430.756,3468.339,0,258.853,0.972,257.881,0,705.82,-214.432,750.241,0,750.241,4218.58,
12/31/2011,4034.669,35.345,35.345,0.0,470.713,470.713,0.0,1607.555,231.781,129.827,1245.947,0.0,217.178,0.0,394.22,,58.851,2330.791,635.406,1411.647,-776.241,0,1068.472,665.762,433.396,232.366,,8.49,1703.878,,703.118,451.525,0.0,0.0,251.593,230.008,63.075,0.0,0.0,,166.933,0.593,0.0,0.0,0.0,933.719,1807.777,1807.777,0.0,0.0,,612.112,0.0,485.688,126.424,2419.889,3353.608,0,267.526,0.975,266.551,0,746.786,-333.251,681.061,0,681.061,4034.669,
03/31/2012,4076.212,34.6,34.6,0.0,524.745,524.745,0.0,1619.242,231.803,128.579,1258.86,0.0,208.967,,396.065,,52.896,2387.554,623.872,,,0,1064.786,600.606,433.473,167.133,,68.115,1688.658,,669.783,401.476,,,268.307,205.018,41.648,,,,163.37,0.732,,,0.0,875.533,1935.777,1935.777,,,,607.157,,488.886,118.271,2542.934,3418.467,0,268.516,0.976,267.54,0,719.956,-330.727,657.745,0,657.745,4076.212,
