Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1991,7.339,2.253,2.253,0.0,0.0,,,0.0,,,,,0.238,,,2.491,4.228,,,0.0,,,,0.62,,,,,,0.62,4.848,,0.88,0.88,,,,1.047,,,,,,0.271,,,0.271,2.198,2.496,,,,,0.0,,,,,,0.0,2.496,4.694,0,11.685,,,0.0,,-9.04,2.645,0.0,2.645,7.339,
10/01/1991,32.424999,27.185,7.414,19.771,0.0,,,0.0,,,,,0.201,,,27.386,4.648,,,0.0,,,,0.391,,,,,,0.391,5.039,,0.903,0.903,,,,1.119,,,,,,0.271,,,0.271,2.293,2.368,,,,,0.0,,,,,,0.0,2.368,4.661,0,37.966,,,0.0,,-10.202,27.764,0.0,27.764,32.425,
12/31/1991,57.084,51.489,27.593,23.896,0.0,,,0.0,,,,,0.165,,,51.653999,4.966,8.102,-3.136,0.0,,,,0.464,,,,,,0.464,5.43,,0.755,0.755,,,,1.183,,,,,,0.797,,,0.797,2.735,2.142,,,,,0.0,,,,,,0.0,2.142,4.877,0,63.574001,,,0.0,,-11.367,52.207002,0.0,52.207002,57.084002,
03/31/1992,55.507999,48.902,24.752001,24.15,0.0,,,0.0,,,,,0.296,,,49.198002,5.814,,,0.0,,,,0.496,,,,,,0.496,6.31,,1.046,1.046,,,,1.297,,,,,,0.271,,,0.271,2.614,2.329,,,,,0.0,,,,,,0.0,2.329,4.943,0,63.574001,,,0.0,,-13.009,50.565001,0.0,50.565001,55.508002,
06/30/1992,54.521,47.861,16.305,31.556,0.0,,,0.0,,,,,0.268,,,48.129002,6.044,,,0.0,,,,0.348,,,,,,0.348,6.392,,1.165,1.165,,,,1.489,,,,,,0.292,,,0.292,2.946,2.943,,,,,0.0,,,,,,0.0,2.943,5.889,0,63.574001,,,0.0,,-14.942,48.632001,0.0,48.632001,54.521001,
09/30/1992,52.942001,46.631001,22.688,23.943001,0.0,,,0.0,,,,,0.176,,,46.806999,5.829,,,0.0,,,,0.306,,,,,,0.306,6.135,,1.205,1.205,,,,1.66,,,,,,0.292,,,0.292,3.157,3.302,,,,,0.0,,,,,,0.0,3.302,6.459,0,63.638,,,0.0,,-17.155001,46.483,0.0,46.483,52.942,
12/31/1992,51.042999,43.701,11.639,32.062,0.0,,,0.0,,,,,0.253,,,43.953999,6.901,12.748,-5.847,0.0,,,,0.188,,,,,,0.188,7.089,,0.678,0.678,,,,1.83,,,,,,1.347,,,1.347,3.855,3.338,,,,,0.0,,,,,,0.0,3.338,7.193,0,63.702999,,,0.0,,-19.853001,43.849998,0.0,43.849998,51.042999,
03/31/1993,48.717999,40.361,14.954,25.407,0.0,,,0.0,,,,,0.374,,,40.735001,7.837,,,0.0,,,,0.146,,,,,,0.146,7.983,,2.504,2.504,,,,1.902,,,,,,0.292,,,0.292,4.698,3.398,,,,,0.0,,,,,,0.0,3.398,8.096,0,63.772999,,,0.0,,-23.150999,40.622,0.0,40.622,48.718,
06/30/1993,51.605999,43.301999,6.495,36.806999,0.0,,,0.0,,,,,0.352,,,43.653999,7.776,,,0.0,,,,0.176,,,,,,0.176,7.952,,1.943,1.943,,,,2.019,,,,,,0.604,,,0.604,4.566,3.883,,,,,0.0,,,,,,0.0,3.883,8.449,0,67.098999,,,0.0,,-23.941999,43.157,0.0,43.157,51.605999,
09/30/1993,50.778999,42.561999,15.047,27.514999,0.0,,,0.0,,,,,0.3,,,42.862,7.743,,,0.0,,,,0.174,,,,,,0.174,7.917,,2.679,2.679,,,,1.903,,,,,,1.636,,,1.636,6.218,3.975,,,,,0.0,,,,,,0.0,3.975,10.193,0,67.178001,,,0.0,,-26.591999,40.586002,0.0,40.586002,50.779002,
12/31/1993,60.992001,52.103001,28.575001,23.528,0.0,,,0.0,,,,,1.029,,,53.132,7.727,17.409,-9.682,0.0,,,,0.133,,,,,,0.133,7.86,,3.478,3.478,,,,1.766,,,,,,2.02,,,2.02,7.264,4.208,,,,,0.0,,,,,,0.0,4.208,11.472,0,67.335999,,,0.0,,-17.816,49.519999,0.0,49.519999,60.991999,
03/31/1994,113.938004,104.993,54.271999,50.721001,0.0,,,0.0,,,,,0.769,,,105.762001,8.058,,,0.0,,,,0.118,,,,,,0.118,8.176,,2.811,2.811,,,,1.563,,,,,,1.229,,,1.229,5.603,3.874,,,,,0.0,,,,,,0.0,3.874,9.477,0,125.524002,,,0.0,,-21.063,104.461002,0.0,104.461002,113.938003,
06/30/1994,110.435997,101.369997,21.252001,80.117996,0.0,,,0.0,,,,,0.55,,,101.919998,8.24,,,0.0,,,,0.276,,,,,,0.276,8.516,,3.636,3.636,,,,1.607,,,,,,1.654,,,1.654,6.897,4.438,,,,,0.0,,,,,,0.0,4.438,11.335,0,125.690002,,,0.0,,-26.589001,99.101002,0.0,99.101002,110.436002,
09/30/1994,106.702003,96.753998,48.460999,48.292999,0.0,,,0.0,,,,,0.386,,,97.139999,8.489,,,0.0,,,,1.073,,,,,,1.073,9.562,,4.078,4.078,,,,1.633,,,,,,1.655,,,1.655,7.366,4.676,,,,,0.0,,,,,,0.0,4.676,12.042,0,125.141998,,,0.0,,-30.482,94.659998,0.0,94.659998,106.701998,
12/31/1994,116.175003,106.469997,71.642998,34.827,0.0,,,0.0,,,,,0.41,,,106.879997,8.472,21.639,-13.167,0.0,,,,0.823,,,,,,0.823,9.295,,1.398,1.398,,,,1.663,,,,,,2.907,,,2.907,5.968,4.729,,,,,0.0,,,,,,0.0,4.729,10.697,0,141.091995,,,0.0,,-35.613998,105.477997,0.0,105.477997,116.174997,
03/31/1995,111.771004,99.019997,51.433998,47.585999,0.0,,,0.0,,,,,1.554,,,100.573997,8.036,,,0.0,,,,3.161,,,,,,3.161,11.197,,3.558,3.558,,,,1.745,,,,,,0.635,,,0.635,5.938,4.912,,,,,0.0,,,,,,0.0,4.912,10.85,0,141.257996,,,0.0,,-40.337002,100.920994,0.0,100.920994,111.770994,
06/30/1995,106.144997,92.376999,44.098,48.278999,0.0,,,0.0,,,,,2.815,,,95.192001,7.783,,,0.0,,,,3.17,,,,,,3.17,10.953,,5.765,5.765,,,,1.845,,,,,,1.073,,,1.073,8.683,5.084,,,,,0.0,,,,,,0.0,5.084,13.767,0,141.544006,,,0.0,,-49.166,92.378006,0.0,92.378006,106.145006,
09/30/1995,98.295998,87.237,39.362999,47.874001,0.0,,,0.0,,,,,0.423,,,87.660004,7.465,,,0.0,,,,3.171,,,,,,3.171,10.636,,5.717,5.717,,,,1.93,,,,,,0.197,,,0.197,7.844,4.87,,,,,0.0,,,,,,0.0,4.87,12.714,0,141.682999,,,0.0,,-56.101002,85.581997,0.0,85.581997,98.295997,
12/31/1995,98.981003,86.978001,28.389999,58.588001,0.0,,,0.0,,,,,0.959,,,87.936996,7.84,24.716999,-16.877001,0.0,,,,3.204,,,,,,3.204,11.044,,3.022,3.022,,,,2.075,,,,,,3.7,,,3.7,8.797,4.912,,,,,0.0,,,,,,0.0,4.912,13.709,0,142.210999,,,0.0,,-56.938999,85.271999,0.0,85.271999,98.980999,
03/31/1996,90.32,77.255999,20.177999,57.077999,0.0,,,0.0,,,,,1.33,,,78.585999,7.591,,,0.0,,,,4.143,,,,,,4.143,11.734,,4.21,4.21,,,,2.112,,,,,,1.197,,,1.197,7.519,4.371,,,,,0.0,,,,,,0.0,4.371,11.89,0,143.080994,,,,,-64.651001,78.429993,0.0,78.429993,90.319993,
06/30/1996,73.742996,60.484001,9.25,51.234001,0.0,,,0.0,,,,,1.748,,,62.231998,7.222,,,0.0,,,,4.289,,,,,,4.289,11.511,,4.145,4.145,,,,2.306,,,,,,1.0,,,1.0,7.451,4.55,,,,,0.0,,,,,,0.0,4.55,12.001,0,148.748001,,,0.0,,-87.005997,61.742004,0.0,61.742004,73.743005,
09/30/1996,143.460007,131.432999,39.124001,92.308998,0.0,,,0.0,,,,,0.941,,,132.373993,7.014,,,0.0,,,,4.072,,,,,,4.072,11.086,,2.918,2.918,,,,2.457,,,,,,0.0,,,0.0,5.375,4.419,,,,,0.0,,,,,,0.0,4.419,9.794,0,226.789001,,,0.0,,-93.123001,133.666,0.0,133.666,143.460001,
12/31/1996,143.498993,130.359005,34.851002,95.508003,0.0,,,0.0,,,,,1.791,,,132.149994,8.663,28.700001,-20.037001,0.0,,,,2.686,,,,,,2.686,11.349,,1.391,1.391,,,,2.91,,,,,,2.755,,,2.755,7.056,5.617,,,,,0.0,,,,,,0.0,5.617,12.673,0,227.720993,,,0.0,,-96.894997,130.825996,0.0,130.825996,143.498996,
03/31/1997,289.640991,275.084,84.927002,190.156998,0.0,,,0.0,,,,,1.687,,,276.770996,10.109,,,0.0,,,,2.761,,,,,,2.761,12.87,,6.262,6.262,,,,2.839,,,,,,0.0,,,0.0,9.101,5.333,,,,,0.0,,,,,,0.0,5.333,14.434,0,378.222992,,,0.0,,-103.015999,275.206993,0.0,275.206993,289.640993,
06/30/1997,300.665985,286.166,188.584,97.582001,0.0,,,0.0,,,,,1.642,,,287.808014,10.007,,,0.0,,,,2.851,,,,,,2.851,12.858,,5.397,5.397,,,,2.815,,,,,,1.056,,,1.056,9.268,5.446,,,,,0.0,,,,,,0.0,5.446,14.714,0,390.072998,,,0.0,,-104.121002,285.951996,0.0,285.951996,300.665996,
