Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1995,12.086,0.378,0.378,0.0,7.357,,,,2.282,,,,,0.61,,,,,10.627,1.349,2.102,-0.753,0.0,,0.11,,,,0.11,1.459,,0.489,0.489,,,,0.056,,,,6.292,,,,6.292,6.837,0.037,,,,0.0,,,,,0.0,0.037,6.874,0,0.199,,,0.0,,5.013,5.212,0.0,5.212,12.086,
03/31/1996,14.446,1.431,1.431,0.0,7.154,,,,3.816,,,,,0.491,,,,,12.892,1.493,,,0.0,,0.061,,,,0.061,1.554,,0.14,0.14,,,,0.002,,,,7.857,,,,7.857,7.999,0.0,,,,0.0,,,,,0.0,0.0,7.999,0,0.21,,,0.0,,6.237,6.447,0.0,6.447,14.446,
06/30/1996,51.080002,36.231998,36.231998,0.0,8.025,,,,4.615,,,,,0.317,,,,,49.188999,1.83,,,0.0,,0.061,,,,0.061,1.891,,0.589,0.589,,,,0.0,,,,9.478,,,,9.478,10.067,0.0,,,,0.393,,,,,0.393,0.393,10.46,0,32.731998,,,0.0,,7.888,40.619998,0.0,40.619998,51.079999,
09/30/1996,51.490002,32.296,29.281,3.015,11.799,,,,4.834,,,,,0.457,,,,,49.386002,2.043,,,0.0,,0.061,,,,0.061,2.104,,0.253,0.253,,,,0.0,,,,6.759,,,,6.759,7.012,0.0,,,,2.134,,,,,2.134,2.134,9.146,0,32.758999,,,0.0,,9.585,42.343999,0.0,42.343999,51.489999,
12/31/1996,79.686996,59.840999,50.300999,9.54,11.744,,,,4.674,,,,,0.785,,,,,77.043999,2.575,4.797,-2.222,0.0,,0.068,,,,0.068,2.643,,0.096,0.096,,,,0.288,,,,10.459,,,,10.459,10.843,0.0,,,,2.051,,,,,2.051,2.051,12.894001,0,54.897999,,,0.0,,11.895,66.792999,0.0,66.792999,79.687,
03/31/1997,78.959999,57.809999,45.328999,12.481,11.737,,,,4.526,,,,,0.846,,,,,74.918999,3.98,,,0.0,,0.061,,,,0.061,4.041,,0.04,0.04,,,,0.0,,,,7.317,,,,7.317,7.357,0.0,,,,2.134,,,,,2.134,2.134,9.491,0,55.266998,,,0.0,,14.202,69.468998,0.0,69.468998,78.959998,
06/30/1997,83.218002,58.072999,51.848999,6.224,13.6,,,,5.749,,,,,1.199,,,,,78.621002,4.535,,,0.0,,0.061,,,,0.061,4.596,,0.15,0.15,,,,0.0,,,,8.398,,,,8.398,8.548,0.0,,,,2.224,,,,,2.224,2.224,10.772,0,55.348999,,,0.0,,17.096001,72.445,0.0,72.445,83.217,
09/30/1997,84.623001,57.302,38.783001,18.518999,14.44,,,,6.6,,,,,1.226,,,,,79.568001,4.993,8.263,-3.27,0.0,,0.061,,,,0.061,5.054,,0.18,0.18,,,,0.0,,,,6.55,,,,6.55,6.73,0.0,,,,2.223,,,,,2.223,2.223,8.953,0,55.507,,,0.0,,20.163,75.67,0.0,75.67,84.623,
12/31/1997,98.013,64.405998,47.313999,17.091999,16.216999,,,,9.071,,,,,1.674,,,,,91.367996,6.315,10.987,-4.672,0.0,,0.33,,,,0.33,6.645,,0.015,0.015,,,,0.208,,,,14.76,,,,14.76,14.983,0.0,,,,1.031,,,,,1.031,1.031,16.014,0,57.721001,,,0.0,,24.278,81.999001,0.0,81.999001,98.013,
03/31/1998,102.005997,61.087002,37.212002,23.875,20.370001,,,,10.574,,,,,2.708,,,,,94.739998,6.959,12.334,-5.375,0.0,,0.308,,,,0.308,7.267,,0.037,0.037,,,,0.018,,,,13.338,,,,13.338,13.393,0.0,,,,1.054,,,,,1.054,1.054,14.447,0,59.019001,,,0.0,,28.540001,87.559002,0.0,87.559002,102.006002,
06/30/1998,135.115364,85.114807,68.262233,16.852574,22.005451,22.005451,,,17.647357,,17.647357,,,2.428707,,,,,127.196322,7.659025,13.856,-6.197,0.0,,0.260017,,,,0.260017,7.919042,,0.0,0.0,,,,0.0,,,,11.703931,,,,11.703931,11.703931,0.0,,,,1.077623,,,,,1.077623,1.077623,12.781554,0,88.739782,,,0.0,33.594028,0.0,122.33381,0.0,122.33381,135.115364,
09/30/1998,166.453003,87.222,24.597,62.625,30.844999,,,,12.013,,,,,2.835,,,,,132.914993,13.358,20.23,-6.872,0.0,,20.18,0.0,,,20.18,33.538,,1.766,1.766,,,,0.0,,,,20.345,,,,20.345,22.111,0.0,,,,1.143,,,,,1.143,1.143,23.254,0,113.573997,,,0.0,,29.625,143.198997,0.0,143.198997,166.452998,
12/31/1998,182.955002,91.819998,25.719999,66.099998,42.797001,,,,10.306,,,10.306,0.0,3.734,,,,,148.656998,14.447,24.684999,-10.238,0.0,,19.851,13.729,,,6.122,34.297999,,1.181,1.181,,,,0.0,,,,25.697,,,,25.697,26.878,0.0,,,,1.263,,,,,1.263,1.263,28.141,0,123.055,,,0.0,,31.759001,154.814001,0.0,154.814001,182.955001,
03/31/1999,193.950676,88.972286,21.084423,67.887863,51.130544,51.130544,,,10.259106,0.0,10.259106,10.259,,7.031019,,,,,157.392955,17.242752,29.097,-11.854,0.0,,19.314969,13.160384,,,6.154585,36.557721,,2.272212,2.272212,,,,0.0,0.0,0.0,0.0,23.69875,,,,23.69875,25.970962,0.0,0.0,0.0,0.0,1.974401,,,,,1.974401,1.974401,27.945363,0,128.742663,,,0.0,38.200045,-0.937395,166.005313,0.0,166.005313,193.950676,
06/30/1999,212.384995,84.668997,14.983,69.685997,56.162998,,,,13.951,0.0,0.0,13.951,0.0,17.506001,,,,,172.289001,19.348,33.077,-13.729,0.0,,20.747999,12.141,,,8.606999,40.095999,,2.603,2.603,,,,0.0,0.0,0.0,0.0,29.342999,,,,29.342999,31.945999,0.0,0.0,0.0,0.0,2.325,,,,,2.325,2.325,34.270999,0,133.235001,,,0.0,,44.879002,178.114002,0.0,178.114002,212.385001,
09/30/1999,226.792999,99.92,30.712999,69.207001,79.540001,,,,0.0,0.0,0.0,0.0,0.0,8.48,,,,,187.940002,21.035999,36.835999,-15.8,0.0,,17.816999,11.532,,,6.285,38.852999,,1.527,1.527,,,,0.0,0.0,0.0,0.0,27.173001,,,,27.173001,28.700001,0.0,0.0,0.0,0.0,2.341,,,,,2.341,2.341,31.041001,0,142.162003,,,0.0,,53.59,195.752003,0.0,195.752003,226.793004,
12/31/1999,343.188995,196.108994,51.582001,144.526993,75.169998,,,,13.474,,,,13.474,9.239,,,,,293.992004,23.591,42.096001,-18.504999,0.0,,25.606001,16.582001,13.55,3.032001,9.024,49.197001,,4.437,4.437,,,,0.0,0.0,0.0,0.0,32.304001,,,,32.304001,36.741001,0.0,0.0,0.0,0.0,1.489,,,,,1.489,1.489,38.230001,0,241.550003,,,0.0,,63.409,304.959003,0.0,304.959003,343.189005,
03/31/2000,382.46701,219.832001,83.528,136.304001,77.917,,,,15.773,,,15.773,0.0,11.726,,,,,325.247986,31.625,52.356998,-20.732,0.0,,25.594,15.698,,,9.896,57.219,,4.32,4.32,,,,0.0,0.0,0.0,0.0,43.967998,,,,43.967998,48.287998,0.0,0.0,0.0,0.0,1.877,,,,,1.877,1.877,50.164998,0,256.997986,,,0.0,,75.304001,332.301987,0.0,332.301987,382.466985,
06/30/2000,422.227997,247.250999,111.398003,135.852997,73.967003,,,,15.957,,,15.957,,12.266,,,,,349.44101,44.122002,68.100998,-23.979,0.0,,28.665001,18.799999,,,9.865002,72.787003,,5.398,5.398,,,,0.0,0.0,0.0,0.0,50.866,,,,50.866,56.264,0.0,0.0,0.0,0.0,4.004,,,,,4.004,4.004,60.268,0,271.820007,,,0.0,,90.139999,361.960007,0.0,361.960007,422.228007,
09/30/2000,568.263977,256.798004,75.393997,181.404007,88.124001,,,,9.984,,,,9.984,11.199,,,,,366.105011,49.978001,80.205002,-30.226999,0.0,,152.181,146.388,,,5.792999,202.159,,3.561,3.561,,,,0.0,0.0,0.0,0.0,49.606,,,,49.606,53.167,0.0,0.0,0.0,0.0,5.111,,,,,5.111,5.111,58.278,0,418.423004,,,0.0,,91.563004,509.986008,0.0,509.986008,568.264008,
12/31/2000,604.153992,280.573997,97.583,182.990997,83.403,,,,7.154,,,,7.154,19.801001,,,,,390.932007,56.672001,89.285004,-32.612999,0.0,,156.550003,144.955994,133.716003,11.23999,11.594009,213.222004,,2.1,2.1,,,,0.0,0.0,0.0,0.0,70.364996,,,,70.364996,72.464996,0.0,0.0,0.0,0.0,5.381,,,,,5.381,5.381,77.845996,0,425.148987,,,0.0,,100.250999,525.399986,0.908,526.307986,604.153983,
03/31/2001,579.971008,261.671989,84.963997,176.707993,75.505997,,,,8.031,0.0,0.0,0.0,8.031,26.306999,,,,,371.515991,58.237999,,,0.0,,150.216995,138.087997,,,12.128998,208.454994,,4.123,4.123,,,,0.0,0.0,0.0,0.0,68.169,,,,68.169,72.292,0.0,0.0,0.0,0.0,19.677999,,,,,19.677999,19.677999,91.969999,0,431.230011,,,0.0,,55.863998,487.094009,0.907,488.001009,579.971009,
06/30/2001,568.96698,271.190994,77.876999,193.313995,60.215,,,,7.034,0.0,0.0,0.0,7.034,27.497,,,,,365.937012,55.741001,,,0.0,,147.289001,131.496002,,,15.792999,203.030003,,7.86,7.86,,,,0.0,0.0,0.0,0.0,66.213997,,,,66.213997,74.073997,0.0,0.0,0.0,0.0,18.634001,,,,,18.634001,18.634001,92.707998,0,436.561005,,,0.0,,38.874001,475.435005,0.824,476.259005,568.967003,
09/30/2001,508.531006,235.776005,33.216999,202.559006,59.318001,,,,8.68,0.0,0.0,0.0,8.68,24.083,,,,,327.856995,50.043999,,,0.0,,130.630005,121.523003,,,9.107002,180.674004,,7.574,7.574,,,,0.0,0.0,0.0,0.0,58.823003,,,,58.823003,66.397003,0.0,0.0,0.0,0.0,31.862,,,,,31.862,31.862,98.259003,0,469.61499,,,0.0,,-59.977001,409.637989,0.634,410.271989,508.530992,
12/31/2001,474.869995,244.537003,109.744003,134.792999,37.035999,,,,11.289,0.0,0.0,0.0,11.289,19.218,,,,,312.079987,41.466,82.958,-41.492001,0.0,,121.323997,113.143997,101.794998,11.348999,8.18,162.789997,,5.668,5.668,,,,0.0,0.0,0.0,0.0,48.594001,,,,48.594001,54.262001,0.0,0.0,0.0,0.0,39.394001,,,,,39.394001,39.394001,93.656002,0,469.709015,,,-0.421,,-88.518003,380.770012,0.444,381.214012,474.870014,
03/31/2002,448.653992,203.880997,88.278,115.602997,34.120998,,,,8.271,0.0,0.0,8.271,0.0,43.953999,,,,,290.22699,38.700001,,,0.0,,119.726997,111.578003,101.794998,9.783005,8.148994,158.426998,,4.826,4.826,,,,0.0,0.0,0.0,0.0,53.702,,,,53.702,58.528,0.0,0.0,0.0,0.0,60.987,,,,,60.987,60.987,119.514999,0,471.938995,,,0.0,,-143.169006,328.769989,0.369,329.138989,448.653988,
06/30/2002,309.686005,178.859001,82.873001,95.986,30.506001,,,,11.032,0.0,0.0,0.0,11.032,42.154999,,,,,262.552002,35.291,,,0.0,,11.843,2.582,,,9.261,47.134001,,3.395,3.395,,,,0.0,0.0,0.0,0.0,60.463002,,,,60.463002,63.858002,0.0,0.0,0.0,0.0,54.623001,,,,,54.623001,54.623001,118.481003,0,472.117004,,,-0.586,,-280.591002,190.940002,0.265,191.205002,309.686005,
