Date,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Revenue,Electric Production Fuel Cost,Purchased Power Cost,Purchased Gas/Water Cost,Fuel Expense & Purchased Power,Maintenance Expenses,Depreciation Expense,Taxes Other Than Income Taxes,Other Operating Expense,"Depreciation, Operating & Maintenance",Operating Income or Losses,AFUDC - Equity,Net Non-Operating Losses (Gains),Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Total Interest Expense,Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Income Available to Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,727.966003,225.509003,0,0.0,953.474976,-127.716003,-136.158997,-142.182999,-406.058014,-52.486,-54.48,-101.141998,-122.283997,-330.391998,217.024994,2.715,5.302,-77.667999,2.6,-1.694,-76.762001,148.279993,-56.479,91.801003,0.0,0,91.801003,-10.742,81.059003,,,81.058993,0.6,0.6,0.6,136.100006,0.6,0.6,0.6,136.100006,
06/30/1990,628.320007,109.540001,0,0.0,737.859985,-104.628998,-96.613998,-60.132999,-261.376007,-55.863998,-54.897999,-91.751999,-149.059006,-351.572998,124.911003,2.789,5.193,-78.334,2.797,-1.663,-77.199997,55.693006,-19.937,35.756001,0.0,0,35.756001,-10.831,24.925,,,24.925005,0.18,0.18,0.18,136.100006,0.18,0.18,0.18,136.100006,
09/30/1990,638.812012,43.301998,0,0.0,682.114014,-113.897003,-82.425003,-18.768,-215.089996,-57.657001,-55.495998,-96.199997,-91.43,-300.78299,166.240997,2.775,2.906,-77.972,2.834,-1.31,-76.447998,95.473999,-35.346001,60.127998,0.0,0,60.127998,-10.302,49.825998,,,49.825999,0.37,0.37,0.37,136.100006,0.37,0.37,0.37,136.100006,
12/31/1990,674.210022,107.059998,0,0.0,781.27002,-114.242996,-102.231003,-64.783997,-281.257996,-65.888,-55.983002,-102.651001,-210.492004,-435.014008,64.998001,2.395,-145.123993,-77.753998,2.509,-2.474,-77.719002,-155.449994,50.643002,-104.806999,0.0,0,-104.806999,-10.425,-115.231999,,,-115.231992,-0.85,-0.85,-0.85,136.100006,-0.85,-0.85,-0.85,136.100006,
03/31/1991,780.0,212.455002,0,0.0,992.455017,-131.001007,-107.410004,-116.473999,-354.88501,-50.547001,-62.673,-111.946999,-156.908005,-382.075012,255.494995,1.557,1.906,-75.134003,2.085,-3.274,-76.322998,182.634997,-72.850998,109.783997,0.0,0,109.783997,-10.164,99.619997,,,99.62,0.73,0.73,0.73,136.100006,0.73,0.73,0.73,136.100006,
06/30/1991,714.780029,92.244003,0,0.0,807.023987,-106.178001,-101.589996,-39.112,-246.880005,-56.134998,-65.209999,-98.434998,-173.108994,-392.889008,167.255005,2.045,-1.101,-75.724998,2.627,-1.938,-75.036003,93.163002,-35.472,57.691002,0.0,0,57.691002,-9.995,47.696002,,,47.696002,0.35,0.35,0.35,136.100006,0.35,0.35,0.35,136.100006,
09/30/1991,687.187988,47.257999,0,0.0,734.445984,-125.947998,-67.434998,-17.735001,-211.117996,-56.692001,-65.057999,-99.486,-173.619995,-394.855988,128.472,2.073,9.991,-75.538002,2.665,-1.986,-74.859001,65.676999,-24.893999,40.783001,0.0,0,40.783001,-9.757,31.026001,,,31.026,0.23,0.23,0.23,136.100006,0.23,0.23,0.23,136.100006,
12/31/1991,725.325012,123.267998,0,0.0,848.593018,-75.830002,-122.446999,-74.181,-272.458008,-64.438004,-65.875,-110.709999,-202.763,-443.786011,132.348999,2.576,-24.395,-75.665001,3.303,-2.379,-74.740997,35.789001,-0.678,35.111,0.0,0,35.111,-10.495,24.616,,,24.616001,0.18,0.18,0.18,136.100006,0.18,0.18,0.18,136.100006,
03/31/1992,799.960022,233.981003,0,0.0,1033.94104,-83.343002,-141.442993,-130.328995,-355.11499,-48.855,-66.477997,-125.718002,-177.570007,-418.621002,260.204987,2.588,-20.063,-72.079002,3.245,-2.375,-71.209,171.520987,-69.058998,102.461998,0.0,0,102.461998,-9.315,93.146998,,,93.14699,0.68,0.68,0.68,136.100006,0.68,0.68,0.68,136.100006,
06/30/1992,760.315002,121.112,0,0.0,881.427002,-71.182999,-149.287003,-56.018002,-276.488007,-60.724998,-70.217003,-119.300003,-171.792007,-422.033997,182.904999,2.425,3.025,-73.679001,2.932,-2.032,-72.778999,115.575999,-43.841999,71.734001,0.0,0,71.734001,-9.201,62.533001,,,62.533,0.46,0.46,0.46,136.287994,0.46,0.46,0.46,136.287994,
