Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2011,1281.72,723.199,314.475,174.421,74.421,100.0,69.625,-43.93,35.394,78.161,0,-84.64,-96.848,0.0,0.0,0.0,-96.848,-96.848,0,,,,0.0,0,0.0,0,12.208,-1196.451,0,0,0,0.0,0.0,0,0.0,0.0,-1196.451,0,0.629,
06/30/2011,2147.06,1540.031,317.61,158.231,24.158,134.073,131.188,240.243,-30.894,-78.161,0,-345.383,-91.088,0.0,0.0,0.0,-91.088,-91.088,0,,,,-187.5,0,-187.5,0,-66.795,-1774.248,0,0,0,0.0,0.0,0,0.0,0.0,-1774.248,0,27.429,
09/30/2011,1769.416,12.335,315.233,1521.657,23.948,1497.709,-79.809,-63.272,-16.537,0.0,0,474.099,-63.169,0.0,0.0,0.0,-63.169,-63.169,0,,,,-85.0,0,-85.0,0,622.268,-2251.235,0,0,0,0.0,0.0,0,0.0,0.0,-2251.235,0,-7.72,
12/31/2011,1048.804,1157.435,324.682,-1018.309,40.473,-1058.782,584.996,-631.041,-74.963,1291.0,0,508.924,-104.895,0.0,0.0,0.0,-104.895,-104.895,0,,,,-0.5,0,-0.5,0,614.319,-1561.066,0,0,0,0.0,,0,0.0,0.0,-1561.066,0,-3.338,
03/31/2012,1594.0,883.0,319.0,253.0,91.0,162.0,139.0,221.0,-7.0,-75.0,0,-204.0,-162.0,0.0,0.0,0.0,-162.0,-162.0,0,,,,-671.0,0,-671.0,0,629.0,-1376.0,0,0,0,0.0,0.0,0,0.0,0.0,-1376.0,0,14.0,
06/30/2012,1561.0,1267.0,295.0,159.0,35.0,124.0,-160.0,,-49.0,-111.0,0,-202.0,-94.0,0.0,0.0,0.0,-94.0,-94.0,0,,,,-109.0,0,-109.0,0,1.0,-1326.0,0,0,0,0.0,0.0,0,0.0,0.0,-1326.0,0,33.0,
09/30/2012,2249.0,1585.0,227.0,42.0,30.0,12.0,395.0,-39.0,-43.0,477.0,0,-1806.0,0.0,,,,0.0,,0,,,,0.0,0,0.0,0,-1824.0,2244.0,0,0,0,0.0,0.0,0,0.0,0.0,2244.0,0,2687.0,
12/31/2012,941.0,1540.0,309.0,87.0,31.0,56.0,-995.0,-490.0,-104.0,-401.0,0,-206.0,-95.0,0.0,0.0,0.0,-95.0,-95.0,0,,,,92.0,0,92.0,0,-203.0,2389.0,0,15586,1000,14586.0,0.0,0,0.0,0.0,-13197.0,16,3140.0,
03/31/2013,1187.0,968.0,227.0,101.0,87.0,14.0,-109.0,57.0,11.0,-177.0,0,1487.0,-88.0,0.0,0.0,0.0,-88.0,-88.0,0,,,,0.0,0,0.0,0,1575.0,-1582.0,-636,-601,-601,0.0,0.0,-6,91.0,-97.0,-339.0,-14,1078.0,
06/30/2013,2037.0,1068.0,236.0,135.0,46.0,89.0,598.0,528.0,-61.0,131.0,0,233.0,-119.0,0.0,0.0,0.0,-119.0,-119.0,0,,,,-134.0,0,-134.0,0,486.0,-500.0,-638,-3,-3,0.0,0.0,75,99.0,-24.0,66.0,-6,1764.0,
09/30/2013,1798.0,964.0,234.0,257.0,42.0,215.0,343.0,69.0,-36.0,310.0,0,-964.0,-133.0,0.0,0.0,0.0,-133.0,-133.0,0,,,,-224.0,0,-224.0,0,-607.0,-613.0,-640,1,1,0.0,0.0,56,56.0,0.0,-30.0,11,232.0,
12/31/2013,1245.0,1128.0,200.0,91.0,37.0,54.0,-174.0,27.0,30.0,-231.0,0,123.0,-151.0,0.0,0.0,0.0,-151.0,-151.0,0,,,,-47.0,0,-47.0,0,321.0,-747.0,-641,2,2,0.0,0.0,-98,103.0,-201.0,-10.0,-1,620.0,
03/31/2014,624.0,980.0,199.0,59.0,106.0,-47.0,-614.0,167.0,50.0,-831.0,0,-797.0,-137.0,0.0,0.0,0.0,-137.0,-137.0,0,,,,0.0,0,0.0,0,-660.0,-1277.0,-641,-410,-410,0.0,0.0,-244,85.0,-329.0,18.0,-5,-1455.0,
06/30/2014,1717.0,1098.0,202.0,51.0,48.0,3.0,366.0,-47.0,47.0,366.0,0,-359.0,-142.0,0.0,0.0,0.0,-142.0,-142.0,0,,,,-17.0,0,-17.0,0,-200.0,-415.0,-673,248,248,0.0,0.0,18,42.0,-24.0,-8.0,3,946.0,
09/30/2014,1786.0,506.0,192.0,986.0,44.0,942.0,102.0,-25.0,-77.0,204.0,0,-2284.0,-180.0,0.0,0.0,0.0,-180.0,-180.0,0,,,,-555.0,0,-555.0,0,-1549.0,-719.0,-673,50,50,0.0,0.0,38,38.0,0.0,-134.0,-150,-1367.0,
12/31/2014,-578.0,-810.0,193.0,681.0,43.0,638.0,-642.0,-267.0,-223.0,-152.0,0,2514.0,-153.0,0.0,0.0,0.0,-153.0,-153.0,0,,,,-50.0,0,-50.0,0,2717.0,-882.0,-674,107,124,0.0,-17.0,-245,68.0,-313.0,-70.0,-425,629.0,
