Date,Returns,Return on Assets,Return on Capital,Return on Invested Capital,Margins,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Source: Bloomberg
03/31/2009,,,,,,20.75785,15.428744,,9.344807,6.521739,5.434783,5.434783,,30.210016,0.0,
06/30/2009,,,,,,20.114856,14.674324,,7.949222,5.516095,4.26175,4.26175,,30.608365,,
09/30/2009,,,,,,18.375359,13.030349,,6.130152,4.137098,2.959384,2.959384,,32.512315,0.0,
12/31/2009,,,,,,18.012153,12.832755,,6.524884,4.398148,3.125,3.125,,32.594235,0.0,
03/31/2010,,,,,,21.318052,16.232092,31.179775,9.813754,6.819484,5.558739,5.558739,,30.510949,0.0,
06/30/2010,,,,,,19.001148,13.906429,,7.376579,5.424799,4.204937,4.204937,,26.459144,0.0,
09/30/2010,,,,,,18.452209,13.36991,20.792079,6.757147,4.692463,3.508519,3.508519,,30.555556,,
12/31/2010,,5.030948,17.3762,12.109179,,19.229158,14.215892,52.610442,7.875995,5.502025,3.951962,3.951962,,30.141844,,
03/31/2011,,4.421712,16.49282,12.388845,,17.985417,13.151499,,6.980826,4.509857,3.240616,3.240616,,35.396518,0.0,
06/30/2011,,4.207455,15.999159,12.099171,,18.043868,13.105256,,6.442268,4.414402,3.159056,3.159056,,31.477516,0.0,
09/30/2011,,3.458912,15.670824,12.719884,,17.787269,12.799669,0.903614,1.694682,2.011573,0.840452,0.840452,,,0.0,
12/31/2011,,9.714286,23.847502,17.740785,,40.4814,35.500064,286.184211,31.587077,26.283949,24.90668,24.90668,,16.788916,0.0,
03/31/2012,,10.854204,24.506452,19.73211,,20.892326,15.930993,36.536537,11.457466,7.602617,6.424747,6.424747,,33.64486,162.198519,
06/30/2012,,11.476406,25.214797,20.090404,,18.343195,13.16568,13.673233,8.616864,5.978797,4.82002,4.82002,,30.615165,0.0,
09/30/2012,,12.636609,26.285424,19.783756,,17.40263,12.230216,7.089552,8.39742,5.643761,4.465393,4.465393,,32.791728,0.0,
12/31/2012,,5.83923,16.010528,12.123699,,16.030353,10.991226,,6.580507,5.062841,3.723026,3.723026,,23.063063,660.856529,
03/31/2013,,5.121681,15.003972,11.40277,,17.831754,12.808057,,7.57109,5.189573,4.075829,4.075829,,31.455399,0.0,
06/30/2013,,5.23372,15.361632,11.630931,,19.278107,14.248521,40.236686,9.538462,6.35503,5.005917,5.005917,,33.37469,0.0,
09/30/2013,,5.192567,15.115962,11.592523,,17.95175,12.712867,22.588832,8.289972,5.522706,4.316462,4.316462,,33.380884,0.0,
12/31/2013,,5.468668,15.453402,11.817404,,18.866003,13.64871,69.402985,9.053871,6.269805,4.798551,4.798551,,30.75,0.0,
03/31/2014,,5.404656,15.091645,11.540842,,17.289402,12.228261,,7.699275,5.140399,3.928895,3.928895,,33.235294,0.0,
06/30/2014,,5.606344,15.479768,12.455959,,21.191766,16.273023,38.205128,9.79415,6.847237,5.232936,5.232936,,30.088496,0.0,
09/30/2014,,6.087464,15.775343,12.874852,,19.327549,14.338395,32.329843,10.075922,6.626898,5.618221,5.618221,,34.230355,0.0,
12/31/2014,,6.26975,16.050136,13.532546,,19.894147,15.13076,31.5,10.045662,7.015359,5.469074,5.469074,,30.165289,0.0,
03/31/2015,,6.936511,16.624728,14.0002,,19.873915,14.985531,43.838863,11.140967,7.441091,6.107896,6.107896,,33.209647,0.0,
06/30/2015,,6.965481,16.540472,13.786614,,20.006062,15.267253,1.349325,9.942407,6.719208,5.122764,5.122764,,32.418699,0.0,
09/30/2015,,6.720565,16.292794,13.785215,,18.232549,13.342127,,8.553166,5.813718,4.555601,4.555601,,32.02847,0.0,
12/31/2015,,6.681941,16.172281,14.421445,,20.704459,16.021075,30.016313,10.264416,7.200703,5.678603,5.678603,,29.847909,0.0,
03/31/2016,,6.968032,16.546277,14.518832,,19.405458,14.736842,10.616438,10.672515,7.904483,6.764133,6.764133,,25.936073,0.0,
06/30/2016,,7.341909,16.779965,14.512628,,19.788739,15.049908,9.952607,10.970055,7.665471,6.376587,6.376587,,30.123675,0.0,
