Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2001,496.497009,24.771,24.771,0.0,158.748001,,,,0.0,0.0,0.0,0.0,0.0,20.844,,,,,204.363007,32.037998,,,0.0,,260.096008,174.707001,,,,85.389008,292.134007,,94.716003,94.716003,,,,0.443,0.443,0.0,0.0,,,55.54699,,,,55.54699,150.705994,0.0,0.0,0.0,0.0,,12.569,,,,,12.569,12.569,163.274994,0.0,,,,0.0,,327.298004,327.298004,5.924,333.222004,496.496998,
06/30/2001,586.804993,47.443001,47.443001,0.0,85.366997,,,,0.0,0.0,0.0,0.0,0.0,100.894997,,,,,233.705002,31.791,,,0.0,,321.30899,218.134995,,,,103.173996,353.099991,,13.185,13.185,,,,0.221,0.221,0.0,0.0,,,146.151006,,,,146.151006,159.557007,0.0,0.0,0.0,0.0,,14.971,,,,,14.971,14.971,174.528007,0.0,,,,0.0,,412.277008,412.277008,0.0,412.277008,586.805015,
09/30/2001,619.072998,43.174999,43.174999,0.0,85.136002,,,,0.0,0.0,0.0,0.0,0.0,106.533997,,,,,234.845001,32.848999,,,0.0,,351.378998,223.384003,,,,127.994995,384.227997,,16.150999,16.150999,,,,0.406,0.406,0.0,0.0,,,160.168999,,,,160.168999,176.725998,260.0,260.0,0.0,0.0,,22.702,,,,,22.702,282.702,459.427998,0.0,233.574997,,,-2.353,,-71.577,159.644997,0.0,159.644997,619.072994,
12/31/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2071,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
03/31/2002,647.348022,23.938999,23.938999,0.0,88.200996,,,,0.0,0.0,0.0,0.0,0.0,118.436996,,,,,230.576996,36.118999,,,0.0,,380.652008,239.087997,206.264008,32.82399,,141.564011,416.771008,,20.038,20.038,,,,0.254,0.254,0.0,0.0,,,153.137993,,,,153.137993,173.429993,205.0,205.0,0.0,0.0,,33.082001,,,,,33.082001,238.082001,411.511993,0.0,249.906006,,,0.0,,-14.07,235.836006,0.0,235.836006,647.348,
06/30/2002,657.903015,21.392,21.392,0.0,86.824997,,,,0.0,0.0,0.0,0.0,0.0,154.516006,,,,,262.733002,38.046001,,,0.0,,357.123993,216.072998,185.554001,30.518997,,141.050995,395.169994,,24.242001,24.242001,,,,0.0,0.0,0.0,0.0,,,193.351994,,,,193.351994,217.593994,182.0,182.0,0.0,0.0,,34.542999,,,,,34.542999,216.542999,434.136993,0.0,250.802994,,,-12.717,,-14.320001,223.765993,0.0,223.765993,657.902987,
09/30/2002,678.190979,17.843,17.843,0.0,86.755997,,,,0.0,0.0,0.0,0.0,0.0,202.697998,,,,,307.296997,36.223999,,,0.0,,334.670013,189.412994,165.160004,24.252991,,145.257019,370.894012,,20.789,20.789,,,,0.0,0.0,0.0,0.0,,,243.72101,,,,243.72101,264.51001,166.699997,166.699997,0.0,0.0,,35.944,,,,,35.944,202.643997,467.154007,0.0,246.425995,,,-15.064,,-20.325,211.036995,0.0,211.036995,678.191002,
12/31/2002,702.141,14.166,14.166,0.0,104.597,104.597,,,0.0,0.0,0.0,0.0,0.0,193.237,,,,,312.0,38.637,115.303,-76.666,,,351.504,200.298,168.956,31.342,,151.206,390.141,,22.916,22.916,,,,0.0,,,,,,228.014,,,,228.014,250.93,214.2,,,,,38.568,,,,,38.568,252.768,503.698,0.0,249.81,,,-68.004,140.552,-123.915,198.443,0.0,198.443,702.141,
03/31/2003,718.049011,34.597,34.597,0.0,87.816002,,,,0.0,0.0,0.0,0.0,0.0,203.591003,,,,,326.003998,37.484001,,,0.0,,354.561005,301.626007,172.600998,129.025009,,52.934998,392.045006,,21.469999,21.469999,,,,0.0,0.0,0.0,0.0,,,245.444002,,,,245.444002,266.914001,207.0,207.0,0.0,0.0,,38.91,,,,,38.91,245.91,512.824001,0.0,248.994003,,,-78.240997,,34.471996,205.225002,0.0,205.225002,718.049004,
06/30/2003,769.06897,39.819,39.819,0.0,90.675003,,,,0.0,0.0,0.0,0.0,0.0,217.317993,,,,,347.812012,37.929001,,,0.0,,383.328003,215.300995,186.080002,29.220993,,168.027008,421.257004,,23.632,23.632,,,,0.0,0.0,0.0,0.0,,,266.068012,,,,266.068012,289.700012,185.0,181.5,3.5,3.5,,40.703999,,,,,40.703999,225.703999,515.404011,0.0,249.057007,,,-72.529999,175.712006,-98.574007,253.665007,0.0,253.665007,769.069017,
09/30/2003,755.830017,44.666,44.666,0.0,88.759003,,,,0.0,0.0,0.0,0.0,0.0,195.639008,,,,,329.063995,39.118999,,,0.0,,387.647003,216.888,184.192001,32.695999,,170.759003,426.766003,,21.308001,21.308001,,,,0.0,-0.1,0.1,0.1,,,256.470991,,,,256.470991,277.778992,199.503998,196.103998,3.4,3.4,,40.004002,,,,,40.004002,239.507999,517.286991,0.0,248.996994,,,-111.089996,198.794998,-98.159002,238.542994,0.0,238.542994,755.829985,
12/31/2003,785.356018,22.280001,22.280001,0.0,103.285004,108.157997,,,0.0,0.0,0.0,0.0,0.0,217.839005,,,,,343.403992,58.896999,153.610001,-94.712997,0.0,,383.054993,317.729004,187.626999,130.102005,,65.325989,441.951992,,40.237,40.237,,,,0.0,0.0,0.0,0.0,,,204.028,,,,204.028,244.264999,222.399002,221.784002,0.615,0.615,,57.553001,,,,,57.553001,279.952003,524.217003,0.0,250.046005,,,-129.360992,226.494995,-86.041002,261.139006,0.0,261.139006,785.356009,
03/31/2004,859.455994,46.529999,46.529999,0.0,94.948997,94.948997,,,0.0,0.0,0.0,0.0,0.0,195.112,,,,,336.591003,61.799999,159.126999,-97.327003,0.0,,461.065002,271.580994,224.709,46.871994,,189.484009,522.865002,,20.555,20.555,,,,0.0,0.0,0.0,0.0,,,237.445,,,,237.445,258.0,274.60199,274.60199,0.0,0.0,,66.449997,,,,,66.449997,341.051987,599.051987,0.0,251.725006,,,-147.729996,243.957001,-87.548005,260.404006,0.0,260.404006,859.455993,
06/30/2004,859.830017,57.331001,57.331001,0.0,96.929001,96.929001,,,0.0,0.0,0.0,0.0,0.0,191.190002,,,,,345.450012,61.187,161.617996,-100.431,0.0,,453.192993,380.697998,218.899994,161.798004,,72.494995,514.379993,,59.497002,59.497002,,,,0.0,0.0,0.0,0.0,,,211.742012,,,,211.742012,271.239014,259.808014,259.808014,0.0,0.0,,67.716003,,,,,67.716003,327.524017,598.763031,0.0,251.755005,,,-159.181,265.709015,-97.216015,261.067005,0.0,261.067005,859.830036,
09/30/2004,863.619995,43.458,43.458,0.0,99.894997,99.894997,,,0.0,0.0,0.0,0.0,0.0,215.591003,,,,,358.944,61.089001,165.987,-104.898003,0.0,,443.587006,371.657013,224.634995,147.022018,,71.929993,504.676006,,55.661999,55.661999,,,,0.0,0.0,0.0,0.0,,,210.270008,,,,210.270008,265.932007,287.165009,287.165009,0.0,0.0,,60.812,,,,,60.812,347.977009,613.909016,0.0,251.593994,,,-205.746002,291.683014,-87.820012,249.710994,0.0,249.710994,863.62001,
12/31/2004,922.209,41.801,41.801,0.0,120.767,120.767,,,0.0,0.0,0.0,0.0,0.0,246.149,,,,,408.717,61.49,172.649,-111.159,0.0,,452.002,381.582,232.941,148.641,,70.42,513.492,,56.764,56.764,,,,0.0,-1.4,1.4,1.4,,,233.574,,,,233.574,290.338,273.968,270.653,3.315,3.315,,57.84,,,,,57.84,331.808,622.146,0.0,254.69,,,-211.466,325.681,-68.842,300.063,0.0,300.063,922.209,
03/31/2005,897.359,50.625,50.625,0.0,106.534,106.534,,,2.301,2.301,0.0,0.0,0.0,224.517,,,,,383.977,64.438,179.36,-114.922,0.0,,448.944,377.356,230.548,146.808,,71.588,513.382,,58.794,58.794,,,,0.0,0.0,0.0,0.0,,,213.348,,,,213.348,272.142,250.209,250.209,0.0,0.0,,47.649,,,,,47.649,297.858,570.0,0.0,294.791,,,-220.072,315.6,-62.96,327.359,0.0,327.359,897.359,
06/30/2005,929.77002,101.667,101.667,0.0,99.870003,99.870003,,,0.0,0.0,0.0,0.0,0.0,195.684998,,,,,397.221985,66.356003,185.826996,-119.471001,0.0,,466.191986,265.743011,243.102997,22.640015,,200.448975,532.547989,,65.089996,65.089996,,,,0.0,0.0,0.0,0.0,,,200.294006,,,,200.294006,265.384003,226.026001,221.969001,4.057,4.057,,50.653999,,,,,50.653999,276.68,542.064003,0.0,295.324005,,,-215.688995,360.010986,-51.939987,387.706009,0.0,387.706009,929.770012,
09/30/2005,934.093994,105.261002,105.261002,0.0,105.575996,105.575996,,,0.0,0.0,0.0,0.0,0.0,177.335007,,,,,388.171997,66.196999,190.768997,-124.571999,0.0,,479.725006,271.82901,250.391998,21.437012,,207.895996,545.922005,,65.092003,65.092003,,,,0.0,0.0,0.0,0.0,,,166.637993,,,,166.637993,231.729996,225.863998,225.863998,0.0,0.0,,54.553001,,,,,54.553001,280.417,512.146996,0.0,298.595001,,,-212.147003,380.136993,-44.637993,421.946999,0.0,421.946999,934.093994,
