Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1993,4.062,,0.0,,,4.062,,-1.504,,,,,,,2.558,0.136,,0.0,,0.0,-0.136,2.694,-1.08,1.614,0.0,,,1.614,0.0,1.614,0,,1.614,1.614,,54.906865,0.027654,0.027654,,54.906865,0.027654,0.027654,0.027654,
06/30/1993,4.34,,0.0,,,4.34,,-1.209,,,,,,,3.131,0.144,,0.0,,0.0,-0.144,3.275,-1.314,1.961,0.0,,,1.961,0.0,1.961,0,,1.961,1.961,,59.973396,0.03358,0.03358,,59.973396,0.03358,0.03358,0.03358,
09/30/1993,4.556,,0.0,,,4.556,,-1.63,,,,,,,2.926,0.185,,0.0,,0.0,-0.185,3.111,-1.247,1.864,0.0,,,1.864,0.0,1.864,0,,1.864,1.864,,60.658877,0.031605,0.031605,,60.658877,0.031605,0.031605,0.031605,
12/31/1993,18.080999,,-2.097,,,15.983999,,-11.249,,,,,,,4.735,0.329,,,,0.0,-0.329,5.064,-1.997,3.067,0.0,,,3.067,0.0,3.067,0,,3.067,3.067,,67.073063,0.045432,0.045432,,67.073063,0.045432,0.045432,0.045432,
03/31/1994,9.89,,-0.794,,,9.096,,-5.651,,,,,,,3.445,-6.994,,0.0,,0.0,6.994,-3.549,1.423,-2.126,0.0,,,-2.126,0.0,-2.126,0,,-2.126,-2.126,,56.902499,-0.035556,-0.035556,,56.902499,-0.035556,-0.035556,-0.035556,
06/30/1994,12.888,,-1.341,,,11.547,,-7.661,,,,,,,3.886,-5.445,,0.0,,0.0,5.445,-1.559,0.656,-0.903,0.0,,,-0.903,0.0,-0.903,0,,-0.903,-0.903,,57.039189,-0.014815,-0.014815,,57.039189,-0.014815,-0.014815,-0.014815,
09/30/1994,14.082,,-1.261,,,12.821,,-8.359,,,,,,,4.462,-0.724,,0.0,,0.0,0.724,3.738,-1.455,2.283,0.0,,,2.283,0.0,2.283,0,,2.283,2.283,,61.605561,0.032593,0.032593,,61.605561,0.032593,0.032593,0.032593,
12/31/1994,16.077,,-1.288,,,14.789,,-9.509,,,,,,,5.28,0.248,,0.0,,0.0,-0.248,5.528,-2.177,3.351,0.0,,,3.351,0.0,3.351,0,0.0,3.351,3.351,,70.687687,0.047407,0.047407,0.047407,70.687687,0.047407,0.047407,0.047407,
03/31/1995,16.521,,-1.241,,,15.28,,-9.934,,,,,,,5.346,0.319,,0.0,,0.0,-0.319,5.665,-2.252,3.413,0.0,,,3.413,0.0,3.413,0,,3.413,3.413,,64.643063,0.047407,0.047407,,64.643063,0.047407,0.047407,0.047407,
06/30/1995,18.569,,-1.421,,,17.148,,-11.301,,,,,,,5.847,0.422,,0.0,,0.0,-0.422,6.269,-2.506,3.763,0.0,,,3.763,0.0,3.763,0,,3.763,3.763,,65.594811,0.05037,0.05037,,65.594811,0.05037,0.05037,0.05037,
