Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Other Share Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
11/30/1989,686.976013,140.871002,49.472,91.399002,45.257999,,,54.577,,,,,15.495,,,,,256.200989,350.213013,476.173004,-125.959999,8.062,,72.5,,,,,72.5,430.775013,,10.699,10.699,,,,20.493,,,,,,53.395997,,,,53.395997,84.587997,83.191002,,,,,41.492001,,,,,41.492001,124.683002,209.271,0.0,311.299988,,,,-0.074,,166.478999,477.704987,0.0,477.704987,686.975986,
03/01/1990,688.695984,86.412002,6.04,80.372002,51.798,,,57.209,,,,,16.129,,,,,211.548004,361.515015,499.494995,-137.979996,,,115.633003,,,,,115.633003,477.148018,,10.855,10.855,,,,21.754999,,,,,,53.35,,,,53.35,85.959999,79.603996,,,,,44.936001,,,,,44.936001,124.539997,210.499996,0.0,311.776001,,,,-0.073,,166.492998,478.195999,0.0,478.195999,688.695995,
05/31/1990,694.830994,74.278001,5.1,69.178001,56.894001,,,59.749001,,,,,21.225,,,,,212.145996,366.031006,516.155029,-150.123993,,,116.653999,,,,,116.653999,482.685005,,12.638,12.638,,,,22.903,,,,,,51.829003,,,,51.829003,87.370003,76.240997,,,,,50.618999,,,,,50.618999,126.859997,214.23,0.0,312.373993,,,,-0.074,,168.301005,480.600998,0.0,480.600998,694.830997,
08/30/1990,697.328979,77.091999,28.591999,48.5,58.854,,,55.404999,,,,,6.755,,,,,198.106003,385.147003,544.388,-159.240997,,,114.075996,,,,,114.075996,499.222999,,17.914,17.914,,,,24.688999,,,,,,58.160001,,,,58.160001,100.763,74.086998,,,,,38.245998,,,,,38.245998,112.332996,213.095996,0.0,312.889008,,,,0.0,,171.343994,484.233002,0.0,484.233002,697.328998,
11/29/1990,665.083984,56.941999,15.51,41.431999,41.596001,,,65.297997,,,,,2.669,,,,,166.505005,387.277008,567.241028,-179.964005,,,111.302002,,,,,111.302002,498.57901,,15.995,15.995,,,,25.646999,,,,,,40.510001,,,,40.510001,82.152,76.001999,,,,,31.374001,,,,,31.374001,107.375999,189.528,0.0,313.479004,,,,0.0,,162.076996,475.556,0.0,475.556,665.084,
02/28/1991,676.338989,58.696999,25.263,33.433998,48.471001,,,68.956001,,,,,2.146,,,,,178.270004,386.605011,581.71698,-195.112,,,111.463997,,,,,111.463997,498.069008,,13.717,13.717,,,,26.318001,,,,,,48.048999,,,,48.048999,88.084,86.879997,,,,,27.334999,,,,,27.334999,114.214996,202.298996,0.0,314.200012,,,,0.0,,159.839996,474.040009,0.0,474.040009,676.339005,
05/30/1991,694.70697,59.632999,17.487,42.146,65.318001,,,73.417,,,,,2.346,,,,,200.714005,388.023987,598.757019,-210.733002,,,105.969002,,,,,105.969002,493.992989,,14.099,14.099,,,,32.661999,,,,,,58.646998,,,,58.646998,105.407997,69.584,,,,,35.417999,,,,,35.417999,105.001999,210.409996,0.0,317.438995,,,,0.0,,166.858002,484.296997,0.0,484.296997,694.706993,
08/29/1991,705.864014,67.647001,22.094,45.553001,63.715,,,76.190002,,,,,5.641,,,,,213.192993,389.354004,615.689026,-226.335007,,,103.317001,,,,,103.317001,492.671005,,12.959,12.959,,,,23.757999,,,,,,61.324001,,,,61.324001,98.041,69.57,,,,,43.479,,,,,43.479,113.049,211.09,0.0,318.351013,,,,0.0,,176.423004,494.774017,0.0,494.774017,705.864017,
12/05/1991,710.320984,69.938998,11.36,58.578999,54.417,,,84.084,,,,,2.986,,,,,211.425995,395.895996,644.164001,-248.268005,,,102.999001,,,,,102.999001,498.894997,,24.819,24.819,,,,23.208,,,,,,59.240997,,,,59.240997,107.267998,65.300003,,,,,42.59,,,,,42.59,107.890003,215.158001,0.0,320.821014,,,,0.0,,174.341995,495.16301,0.0,495.16301,710.321011,
03/05/1992,712.877991,65.168999,21.049999,44.118999,61.855999,,,82.650002,,,,,2.81,,,,,212.485001,395.546997,663.747986,-268.200989,,,104.846001,,,,,104.846001,500.392998,,17.792999,17.792999,,,,25.129999,,,,,,60.244001,,,,60.244001,103.167,62.543999,,,,,44.504002,,,,,44.504002,107.048,210.215,0.0,326.859009,,,,0.0,,175.804001,502.66301,0.0,502.66301,712.87801,
