Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,Market Cap/EV,EV/EBITDA,EV/EBIT,EV/Book Value,Diluted Market Cap,Diluted Enterprise Value,EV/Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1990,435.403523,-298.673004,340.282013,0.0,19354.26416,19831.276692,20348.844177,95.112351,0.975946,2.19554,,,30.309242,439.62635,19835.499519,236.169063,,
06/30/1990,471.452922,-243.182999,340.334991,0.0,15823.917969,16392.522883,16825.695969,94.046142,0.965313,2.876024,,,24.782971,476.473362,16397.543324,194.455688,,
09/30/1990,349.882961,-232.162003,338.76001,0.0,15406.467896,15862.948864,16408.513916,93.893134,0.971223,2.205662,,,23.915699,350.704048,15863.769951,188.068209,,
12/31/1990,338.868626,-495.593994,338.76001,0.0,14372.209839,14554.244481,15268.125839,94.132115,0.987493,2.328315,11.011211,313.028159,26.122387,340.711236,14556.087091,174.979522,,
03/31/1991,602.910712,-281.694,338.76001,0.0,14274.660461,14934.637183,15196.560486,93.933496,0.955809,4.036996,11.765023,191.450068,25.610723,572.062819,14903.78929,166.974173,,
06/30/1991,522.973041,-254.134003,338.76001,0.0,15762.356262,16369.95531,16712.639267,94.313986,0.962883,3.194713,13.091597,155.652325,26.769157,524.8246,16371.80687,182.013701,,
09/30/1991,691.172306,-309.529999,338.76001,0.0,16855.589294,17575.991612,17839.342285,94.485486,0.959012,3.93248,13.594786,116.466711,27.249896,694.75748,17579.576785,194.957564,,
12/31/1991,987.834327,-355.643005,338.76001,0.0,18933.983643,19904.934974,19984.461655,94.743526,0.951221,4.962761,15.128952,87.978779,27.967446,1001.969414,19919.070061,209.336882,,
03/31/1992,1019.553519,-291.851013,263.76001,0.0,20216.319702,21207.782218,21259.444702,95.093357,0.95325,4.80745,15.873305,72.434166,27.211618,1063.159697,21251.388396,218.41101,,
06/30/1992,932.614009,-232.761993,263.76001,0.0,20964.618896,21928.230922,22053.41687,95.062906,0.956056,4.253029,16.742073,69.355384,26.578451,960.620572,21956.237485,225.982734,,
09/30/1992,764.556549,-208.154007,263.76001,0.0,25293.180176,26113.342728,26426.038177,95.713099,0.968592,2.927839,20.658882,75.785304,30.046488,793.612979,26142.399158,269.444111,,
12/31/1992,1073.180818,-282.98999,188.759995,0.0,22063.998108,23042.948931,23144.665085,95.330816,0.957516,4.657307,18.471109,67.950249,25.835597,1215.410601,23185.178714,232.609401,,
03/31/1993,1131.459352,-162.645004,188.759995,0.0,27524.821167,28682.395509,28658.590164,96.043877,0.959642,3.944787,22.64172,84.321792,30.351452,1368.274075,28919.210232,291.523993,,
06/30/1993,1431.425133,-214.408997,92.093002,0.0,29618.927002,30928.03614,30816.189987,96.114825,0.957672,4.628245,23.188294,85.067858,27.984868,1548.978168,31045.589175,279.683678,,
09/30/1993,1607.209,-262.960999,38.755001,0.0,31854.826904,33237.829907,33006.99493,96.509322,0.958391,4.835481,22.98966,87.561527,29.852201,1729.721759,33360.342666,299.866746,,
12/31/1993,1386.638946,-241.037994,0.0,0.0,31774.985108,32920.58606,32970.032105,96.375354,0.965201,4.212072,20.977585,80.771651,27.547524,1387.800054,32921.747168,284.895382,,
03/31/1994,1293.671293,-297.075989,0.0,0.0,34422.279785,35418.87509,35669.790771,96.502612,0.971863,3.652491,21.540214,92.20784,28.391634,1348.498178,35473.701974,308.008956,,
06/30/1994,1188.296914,-183.294998,0.0,0.0,30214.564697,31219.566613,31428.466675,96.137572,0.967809,3.806257,19.970464,127.350393,25.718359,1105.140567,31136.410266,273.67219,,
09/30/1994,1086.304379,-249.621002,0.0,0.0,31092.909424,31929.5928,32318.041443,96.209139,0.973796,3.402187,20.68429,177.707485,26.062165,1132.7212,31976.009622,281.681578,,
12/31/1994,1489.755015,-259.238007,350.0,0.0,29642.735351,31223.252359,31459.203369,94.225957,0.94938,4.7713,20.627693,703.464035,21.291465,1105.289955,30838.787299,209.586489,,
03/31/1995,1608.742847,-245.003998,350.0,0.0,38556.166016,40269.904865,40396.828979,95.443546,0.957444,3.994901,24.333578,9104.658809,27.014762,1599.535486,40260.697504,269.093024,,
06/30/1995,1868.473939,-371.511993,350.0,0.0,39470.988525,41317.950471,41194.598511,95.815932,0.955299,4.522184,23.760806,,30.079827,1747.730648,41197.20718,278.257851,,
09/30/1995,1942.274296,-196.110992,350.0,0.0,41111.110352,43207.273655,42863.195374,95.912379,0.951486,4.495248,22.232288,,30.816443,1993.406984,43258.406343,292.901868,,
12/31/1995,1941.47994,-222.496994,350.0,0.0,37767.236328,39836.219274,39506.284363,95.598047,0.948063,4.873655,18.732458,387.976082,28.678792,1990.50004,39885.239374,273.579747,,
