Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2006,329.461,,,-193.4,,136.061,0.0,-89.062,51.437,,,,37.625,46.999,-16.252,16.312,20.884,-4.572,,,-0.06,30.747,-12.377,18.37,,,,18.37,,18.37,-6.123,0.0,12.247,12.247,,77.730881,0.079852,0.079852,0.079852,79.791286,0.079852,0.079852,0.079852,
06/30/2006,368.194,,,-219.502,,148.692,0.0,-94.593,60.264,,,,34.329,54.099,-15.742,15.566,21.713,-6.147,,,0.176,38.357,-15.368,22.989,,,,22.989,,22.989,-6.188,0.0,16.801,16.801,,78.059168,0.119778,0.119778,0.119778,79.822665,0.119778,0.119778,0.119778,
09/30/2006,396.116,,,-231.506,,164.61,0.0,-95.216,60.22,,,,34.996,69.394,-20.628,20.425,24.811,-4.386,,,0.203,48.766,-19.5,29.266,,,,29.266,,29.266,-6.254,0.0,23.012,23.012,,78.146036,0.159704,0.159704,0.159704,79.970274,0.159704,0.159704,0.159704,
12/31/2006,453.092,,,-277.75,,175.342,0.0,-108.581,71.697,,,,36.884,66.761,-94.107,42.138,48.576,-6.438,,,51.969,-27.346,10.528,-16.818,,,,-16.818,,-16.818,,0.0,-16.818,-16.818,,,,,,,,,,
03/31/2007,536.686,,,-318.643,,218.043,0.0,-115.367,72.937,,,,42.43,102.676,-42.057,41.819,48.976,-7.157,0.0,,0.238,60.619,-24.267,36.352,0.0,,,36.352,0.0,36.352,-6.123,0.0,30.229,30.229,,78.663007,0.219593,0.219593,0.219593,81.875327,0.219593,0.219593,0.219593,
06/30/2007,551.176,,,-295.666,,255.51,0.0,-123.448,82.717,,,,40.731,132.062,-34.928,34.674,49.168,-14.494,,,0.254,97.134,-39.04,58.094,,,,58.094,,58.094,-1.56,0.0,56.534,56.534,,148.61022,0.339371,0.339371,0.339371,153.526028,0.339371,0.339371,0.339371,
09/30/2007,556.738,,,-294.85,,261.888,0.0,-128.75,84.496,,,,44.254,133.138,-46.518,31.257,54.574,-23.317,,,15.261,86.62,-33.512,53.108,,,,53.108,,53.108,0.0,0.0,53.108,53.108,,173.743448,0.299445,0.299445,0.359334,178.649395,0.299445,0.299445,0.359334,
12/31/2007,591.134,,,-335.585,,255.549,0.0,-164.074,111.869,,,,52.205,91.475,-112.347,30.059,49.028,-18.969,,,82.288,-20.872,-26.278,-47.15,,,,-47.15,,-47.15,,0.0,-47.15,-47.15,,174.05981,-0.279482,-0.279482,0.019963,174.05981,-0.279482,-0.279482,0.019963,
03/31/2008,662.354,,,-388.631,,273.723,,-161.674,,,,,,112.049,-45.862,37.537,47.425,-9.888,0.0,,8.325,66.187,-26.668,39.519,0.0,,,39.519,0.0,39.519,0.0,0.0,39.519,39.519,8.001,174.404519,0.219593,0.219593,0.239556,177.612519,0.219593,0.219593,0.239556,
06/30/2008,678.807,,,-366.228,,312.579,,-174.307,,,,,,138.272,-52.316,40.292,45.664,-5.372,0.0,,12.024,85.956,-35.491,50.465,0.0,,,50.465,0.0,50.465,0.0,0.0,50.465,50.465,7.60955,174.849288,0.279482,0.279482,0.339371,178.418829,0.279482,0.279482,0.339371,
