Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/30/1989,6912.664062,7.935,7.935,0.0,162.584,,,3774.436035,,,,,142.391006,,,,,4087.345947,2760.052002,3546.430908,-786.379028,0.0,65.265999,,,,65.265999,2825.318001,,1799.286011,1799.286011,,,,105.337997,,,,,,535.801041,,,,535.801041,2440.425049,1201.217041,,,,,96.625,,,96.625,1297.842041,3738.26709,0.0,230.145004,,,0,,2944.251953,3174.396957,0,3174.396957,6912.664047,
07/31/1989,7289.179199,9.395,9.395,0.0,190.391998,,,3997.586914,,,,,163.102997,,,,,4360.477051,2864.676025,3712.915039,-848.239014,0.0,64.026001,,,,64.026001,2928.702026,,1763.604004,1763.604004,,,,338.25,,,,,,525.299072,,,,525.299072,2627.153076,1197.38501,,,,,102.168999,,,102.168999,1299.554008,3926.707085,0.0,230.298004,,,0,,3132.174072,3362.472076,0,3362.472076,7289.179161,
10/31/1989,8799.702148,9.401,9.401,0.0,301.915009,,,5115.028809,,,,,118.773003,,,,,5545.118164,3198.071045,4115.946777,-917.875977,0.0,56.513,,,,56.513,3254.584045,,2430.235107,2430.235107,,,,841.23999,,,,,,645.083008,,,,645.083008,3916.558105,1211.380981,,,,,107.636002,,,107.636002,1319.016983,5235.575089,0.0,230.378006,,,0,,3333.749023,3564.127029,0,3564.127029,8799.702118,
01/31/1990,8198.484375,12.79,12.79,0.0,155.811005,,,4428.073242,,,,,115.942001,,,,,4712.616211,3430.059082,4401.765137,-971.705994,0.0,55.808998,,,,55.808998,3485.86808,,1826.719971,1826.719971,,,,208.653,,,,,,809.941971,,,,809.941971,2845.314941,1272.555054,,,,,115.053001,,,115.053001,1387.608055,4232.922997,0.0,237.078995,,,0,,3728.481934,3965.560928,0,3965.560928,8198.483925,
04/30/1990,8797.714844,8.524,8.524,0.0,180.074997,,,4777.964844,,,,,137.565002,,,,,5104.128906,3639.191895,4684.187988,-1044.995972,0.0,54.394001,,,,54.394001,3693.585896,,2101.839111,2101.839111,,,,482.981995,,,,,,626.041931,,,,626.041931,3210.863037,1286.594971,,,,,121.004997,,,121.004997,1407.599968,4618.463005,0.0,236.960999,,,0,,3942.291016,4179.252014,0,4179.252014,8797.715019,
07/31/1990,9468.609375,12.551,12.551,0.0,192.490005,,,5089.821777,,,,,165.057007,,,,,5459.919922,3953.643066,5078.271973,-1124.629028,0.0,55.046001,,,,55.046001,4008.689068,,2179.678955,2179.678955,,,,311.126007,,,,,,632.133026,,,,632.133026,3122.937988,1792.110962,,,,,127.417,,,127.417,1919.527962,5042.46595,0.0,250.563004,,,0,,4175.580078,4426.143082,0,4426.143082,9468.609032,
10/31/1990,11105.076172,9.782,9.782,0.0,348.809998,,,6182.066895,,,,,204.031006,,,,,6744.689941,4306.231934,5513.291992,-1207.060059,0.0,54.153999,,,,54.153999,4360.385933,,2996.105957,2996.105957,,,,756.580017,,,,,,778.2901,,,,778.2901,4530.976074,1796.802979,,,,,134.059998,,,134.059998,1930.862976,6461.83905,0.0,250.214996,,,0,,4393.021973,4643.236969,0,4643.236969,11105.076019,
01/31/1991,11388.915039,13.014,13.014,0.0,305.070007,,,5808.416016,,,,,288.274994,,,,,6414.774902,4712.039062,5996.664062,-1284.625,0.0,262.101013,,,,262.101013,4974.140075,,2651.314941,2651.314941,,,,426.032013,,,,,,913.067108,,,,913.067108,3990.414062,1898.875,,,,,134.102005,,,134.102005,2032.977005,6023.391067,0.0,529.814026,,,0,,4835.709961,5365.523987,0,5365.523987,11388.915054,
04/30/1991,12475.713867,304.569,304.569,0.0,325.838013,,,6023.193848,,,,,315.605988,,,,,6969.207031,5111.362793,6495.368164,-1384.005005,0.0,395.144012,,,,395.144012,5506.506805,,2797.302979,2797.302979,,,,259.269012,,,,,,811.299103,,,,811.299103,3867.871094,2691.154053,,,,,130.481003,,,130.481003,2821.635056,6689.506149,0.0,692.315002,,,0,,5093.893066,5786.208069,0,5786.208069,12475.714218,
07/31/1991,13297.635742,86.727997,86.727997,0.0,372.078003,,,6429.494141,,,,,464.571014,,,,,7352.871094,5528.091797,7011.949219,-1483.857056,0.0,416.673004,,,,416.673004,5944.764801,,3077.917969,3077.917969,,,,73.785004,,,,,,809.912018,,,,809.912018,3961.61499,3086.889893,,,,,138.195007,,,138.195007,3225.0849,7186.69989,0.0,719.958008,,,0,,5390.978027,6110.936035,0,6110.936035,13297.635925,
