Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,2373,-938,1435,-869,566,-151,0,30,445,-171,274,0,-12,262,0,262,,262,0.65,0.65,0.65,409.93399,,,,,
06/30/1990,2434,-946,1488,-870,618,-168,0,31,481,-184,297,0,-10,287,0,287,,287,0.72,0.72,0.72,403.688995,,,,,
09/30/1990,2468,-948,1520,-904,616,-161,0,23,478,-183,295,0,-10,285,0,285,,285,0.72,0.72,0.72,401.56601,,,,,
12/31/1990,2441,-968,1473,-1046,427,-169,0,28,286,-81,205,0,-9,196,0,196,,196,0.5,0.5,0.5,399.122009,0.5,0.5,0.5,399.122009,
03/31/1991,2410,-980,1430,-860,570,-152,0,23,441,-166,275,0,-9,266,0,266,,266,0.68,0.68,0.68,399.657013,,,,,
06/30/1991,2520,-976,1544,-936,608,-141,0,68,535,-208,327,0,-11,316,0,316,,316,0.8,0.8,0.8,399.128998,,,,,
09/30/1991,2499,-972,1527,-940,587,-149,0,25,463,-178,285,0,-10,275,0,275,,275,0.7,0.7,0.7,399.757996,,,,,
12/31/1991,2466,-1117,1349,-1000,349,-143,0,39,245,-75,170,0,-12,158,0,158,,158,0.39,0.39,0.39,400.691986,0.39,0.39,0.39,400.691986,
03/31/1992,2431,-929,1502,-1012,490,-142,0,110,458,-166,292,0,-13,279,0,279,,279,0.7,0.7,0.7,401.464996,,,,,
06/30/1992,2493,-952,1541,-986,555,-123,0,16,448,-149,299,0,-10,289,0,289,,289,0.72,0.72,0.72,402.140991,,,,,
09/30/1992,2512,-953,1559,-1004,555,-127,0,28,456,-157,299,0,-12,287,0,287,,287,0.71,0.71,0.71,403.580994,,,,,
12/31/1992,1672,-791,881,-398,483,-114,0,48,417,-134,283,-31,35,287,0,287,,318,0.79,0.79,0.71,404.721008,0.79,0.79,0.71,404.721008,
03/31/1993,2525,-1006,1519,-949,570,-126,0,-416,28,-14,14,-1729,-12,-1727,0,-1727,,2,0.002,0.002,-4.25,406.660004,,,,,
06/30/1993,2578,-1020,1558,-965,593,-122,0,9,480,-172,308,0,-17,291,0,291,,291,0.71,0.71,0.71,410.566986,,,,,
09/30/1993,2602,-1020,1582,-962,620,-112,0,16,524,-187,337,0,-14,323,0,323,,323,0.77,0.77,0.77,417.214996,,,,,
12/31/1993,1539,-622,917,-607,310,-149,0,-992,-831,363,-468,34,43,-391,0,-391,,-425,-1.001,-1.001,-0.92,422.240997,-1.001,-1.001,-0.92,422.240997,
03/31/1994,2294,-917,1377,-829,548,-108,0,12,452,-170,282,23,0,305,0,305,,282,0.67,0.67,0.72,423.695007,,,,,
06/30/1994,2256,-918,1338,-791,547,-121,0,12,438,-160,278,0,0,278,0,278,,278,0.65,0.65,0.65,424.0,,,,,
09/30/1994,2329,-914,1415,-812,603,-107,0,12,508,-194,314,0,0,314,0,314,,314,0.74,0.74,0.74,424.065002,,,,,
12/31/1994,2356,-941,1415,-919,496,-119,0,19,396,-134,262,0,0,262,0,262,,262,0.62,0.62,0.62,424.065002,,,,,
03/31/1995,2254,-968,1286,-796,490,-117,0,31,404,-122,282,0,0,282,0,282,,282,0.67,0.67,0.67,424.065002,,,,,
06/30/1995,2231,-892,1339,-821,518,-116,0,13,415,-155,260,0,0,260,0,260,,260,0.61,0.61,0.61,424.065002,,,,,
09/30/1995,2275,-874,1401,-871,530,-117,0,21,434,-159,275,-3360,0,-3085,0,-3085,,275,0.64,0.641,-7.22,427.42099,,,,,
12/31/1995,2282,-952,1330,-857,473,-92,0,-23,358,-127,231,0,0,231,0,231,,231,0.54,0.54,0.54,428.433014,,,,,
03/31/1996,2378,-1351,1027,-404,623,-93,0,-4,526,-210,316,85,0,401,0,401,,316,0.74,0.741,0.94,428.0,,,,,
06/30/1996,2405,-1300,1105,-487,618,-94,0,-17,507,-216,291,0,0,291,0,291,,291,0.68,0.68,0.68,428.436005,,,,,
09/30/1996,2356,-1372,984,-463,521,-78,0,-17,426,-167,259,0,0,259,0,259,,259,0.6,0.6,0.6,428.362,,,,,
12/31/1996,2449,-961,1488,-1052,436,-76,0,-20,340,-149,191,0,0,191,0,191,,191,0.45,0.45,0.45,428.317993,,,,,
03/31/1997,2535,-1377,1158,-473,685,-92,0,-13,580,-228,352,0,0,352,0,352,-90.0,262,0.61,0.82,0.82,428.0,,,,,
06/30/1997,2392,-1000,1392,-2887,-1495,-117,0,-49,-1661,552,-1109,0,0,-1109,0,-1109,,-1109,,,,,,,,,
09/30/1997,2536,-1090,1446,-978,468,-126,0,-11,331,-128,203,0,0,203,0,203,,203,,,,,,,,,
