Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1989,1878.026001,,-1548.496948,,329.529053,,-263.967987,,,65.560997,-13.743,,14.866,,0.0,,-1.123,51.817997,-20.209,31.608999,0.0,,,31.608997,0.0,31.608999,0.0,,31.608999,31.608999,,727.424011,0.04375,0.04375,,727.424011,0.04375,0.04375,0.04375,
12/30/1989,1888.215942,,-1552.060059,,336.155884,,-268.010986,,,68.144997,-12.87,,14.501,,0.0,,-1.631,55.274996,-21.556999,33.717999,0.0,,,33.717997,0.0,33.717999,0.0,,33.717999,33.717999,,730.671997,0.04625,0.04625,,730.671997,0.04625,0.04625,0.04625,
03/31/1990,1865.300049,,-1538.261963,,327.038086,,-270.386993,,,56.651001,-9.894,,13.574,,0.0,,-3.68,46.757001,-18.235001,28.521999,0.0,,,28.522,0.0,28.521999,0.0,,28.521999,28.521999,,731.815979,0.03875,0.03875,,731.815979,0.03875,0.03875,0.03875,
06/30/1990,1959.026001,,-1607.552979,,351.473022,,-276.437988,,,75.035004,-12.799,,13.607,,0.0,,-0.808,62.236004,-23.624001,38.612,0.0,,,38.612003,0.0,38.612,0.0,,38.612,38.612,,732.872008,0.0525,0.0525,0.0525,732.872008,0.0525,0.0525,0.0525,
09/29/1990,2026.030029,,-1668.728027,,357.302002,,-284.96701,,,72.334999,-11.049,,12.274,,0.0,,-1.225,61.285999,-23.718,37.568001,0.0,,,37.567999,0.0,37.568001,0.0,,37.568001,37.568001,,734.94397,0.05125,0.05125,,734.94397,0.05125,0.05125,0.05125,
12/29/1990,2013.11499,,-1649.10498,,364.01001,,-286.72699,,,77.282997,-11.271,,12.934,,0.0,,-1.663,66.011997,-25.546,40.466,0.0,,,40.465998,0.0,40.466,0.0,,40.466,40.466,,737.392029,0.055,0.055,,737.392029,0.055,0.055,0.055,
03/30/1991,1962.074951,,-1613.889038,,348.185913,,-287.639008,,,60.547001,-9.342,,12.107,,0.0,,-2.765,51.205001,-19.816999,31.388,0.0,,,31.388001,0.0,31.388,0.0,,31.388,31.388,,738.736023,0.0425,0.0425,,738.736023,0.0425,0.0425,0.0425,
06/29/1991,2148.47998,,-1762.099976,,386.380004,,-304.117004,,,82.263,-9.902,,11.767,,0.0,,-1.865,72.361,-27.952999,44.408001,0.0,,,44.408001,0.0,44.408001,0.0,,44.408001,44.408001,,740.007992,0.06,0.06,0.06,740.007992,0.06,0.06,0.06,
09/28/1991,2177.353027,,-1789.792969,,387.560059,,-310.330994,,,77.228996,-8.733999,,10.782,,0.0,,-2.048,68.494997,-26.507999,41.987,0.0,,,41.986997,0.0,41.987,0.0,,41.987,41.987,,741.679993,0.05625,0.05625,,741.679993,0.05625,0.05625,0.05625,
12/28/1991,2180.690918,,-1789.619019,,391.071899,,-310.346985,,,80.724998,-9.290999,,11.546,,0.0,,-2.255,71.433999,-27.645,43.789001,0.0,,,43.788999,0.0,43.789001,0.0,,43.789001,43.789001,,743.76001,0.05875,0.05875,,743.76001,0.05875,0.05875,0.05875,
03/28/1992,2186.356934,,-1798.956055,,387.400879,,-318.014008,,,69.387001,-10.132,,10.616,,0.0,,-0.484,59.255001,-23.108999,36.146,0.0,,,36.146002,0.0,36.146,0.0,,36.146,36.146,,745.0,0.05,0.05,,745.0,0.05,0.05,0.05,
06/27/1992,2348.384033,,-1925.517944,,422.866089,,-331.704987,,,91.161003,-8.689,,10.331,,0.0,,-1.642,82.472003,-32.165001,50.306999,0.0,,,50.307002,0.0,50.306999,0.0,,50.306999,50.306999,,745.580016,0.0675,0.0675,0.0675,745.580016,0.0675,0.0675,0.0675,
09/26/1992,2415.826904,,-1987.819946,,428.006958,,-345.631989,,,82.375,-8.835,,9.608,,0.0,,-0.773,73.54,-28.681,44.859001,0.0,,,44.859,0.0,44.859001,0.0,,44.859001,44.859001,,743.468018,0.06,0.06,,743.468018,0.06,0.06,0.06,
12/26/1992,2392.344971,,-1961.447021,,430.897949,,-341.757996,,,89.139999,-9.872,,9.769,,0.0,,0.103,79.267999,-30.914,48.354,0.0,,,48.354,0.0,48.354,0.0,,48.354,48.354,,748.116028,0.065,0.065,,748.116028,0.065,0.065,0.065,
