Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2009,574.826,31.364,31.364,0.0,39.491,39.491,0,0,0,0,0,0,8.142,0.0,,,4.14,78.997,24.545,36.602,-12.057,0.0,,,471.284,470.788,418.17,52.618,0.496,495.829,,71.852,4.596,49.978,,17.278,0.0,0.0,0.0,0.0,,,85.705,0.0,0.0,84.497,157.557,0,0,0.0,0.0,,27.355,0.0,0.0,0.0,0.0,22.385,4.97,27.355,184.912,0,393.363,0.133462,393.229538,0.0,0.0,-3.449,389.914,,389.914,574.826,
12/31/2010,722.889,113.43,93.133,20.297,51.15,51.15,0,0,0,0,0,0,12.221,0.0,,,4.267,176.801,30.744,55.819,-25.075,0.0,,,515.344,510.704,460.61,50.094,4.64,546.088,,109.931,6.768,65.034,,38.129,1.779,1.779,0.0,0.0,,0.0,30.979,0.0,0.0,18.86,142.689,0,0,0.0,0.0,,40.568,0.0,0.0,0.0,0.0,28.888,11.68,40.568,183.257,0,541.561,0.133462,541.427538,0.0,0.0,-1.929,539.632,,539.632,722.889,
03/31/2011,835.886,183.532,183.532,0.0,67.936,67.936,0,0,0,0,0,0,26.854,,,,20.36,278.322,34.754,,,0.0,,,522.81,510.922,466.892,44.03,11.888,557.564,,64.264,12.097,17.229,,34.938,46.734,26.734,,,,20.0,19.395,,,0.0,130.393,380,380,,,,31.956,,,,,16.004,15.952,411.956,542.349,0,293.878,0.134,293.744,0.0,2.369,-2.71,293.537,,293.537,835.886,
06/30/2011,850.594,132.691,111.724,20.967,77.274,77.274,0,0,0,0,0,0,88.523,,,,80.496,298.488,32.592,,,0.0,,,519.514,513.06,465.53,47.53,6.454,552.106,,64.547,21.787,4.635,,38.125,76.901,76.901,,,,,19.764,,,0.0,161.212,0,0,,,,42.37,,,,,30.404,11.966,42.37,203.582,0,648.283,,,0.0,,-1.271,647.012,,647.012,850.594,
12/31/2011,835.886,183.532,183.532,0.0,67.936,67.936,0,0,0,0,0,0,26.854,0.0,0.0,0.0,20.36,278.322,34.754,78.145,-43.391,0.0,,0.0,522.81,510.922,466.892,44.03,11.888,557.564,,60.401,5.903,17.229,,37.269,46.734,26.734,0.0,0.0,,20.0,19.395,0.0,0.0,0.0,126.53,380,380,0.0,0.0,,31.956,0.0,0.0,0.0,0.0,16.004,15.952,411.956,538.486,0,293.878,0.134,293.744,0.0,2.369,-2.71,293.537,3.863,297.4,835.886,
03/31/2012,914.428,208.625,208.625,0.0,98.584,98.584,0,0,0,0,0,0,48.112,,,,41.616,355.321,37.76,,,0.0,,,521.347,510.588,468.167,42.421,10.759,559.107,,85.775,23.806,24.449,,37.52,44.627,19.627,,,,25.0,27.014,,,0.0,157.416,370,370,,,,32.302,,,,,16.106,16.196,402.302,559.718,0,305.513,0.134,305.379,0.0,50.48,-1.283,354.71,,354.71,914.428,
06/30/2012,1187.253,478.241,478.241,0.0,96.873,96.873,0,0,0,0,0,0,55.307,,,,48.813,630.421,38.828,,,0.0,,,518.004,507.624,467.088,40.536,10.38,556.832,,98.245,28.405,24.361,,45.479,44.629,14.629,,,,30.0,26.97,,,0.0,169.844,360,360,,,,30.441,,,,,14.772,15.669,390.441,560.285,0,525.948,0.142,525.806,0.0,103.499,-2.479,626.968,,626.968,1187.253,
09/30/2012,1259.283,548.372,548.372,0.0,103.08,103.08,0,0,0,0,0,0,48.131,,,,41.483,699.583,41.133,,,0.0,,,518.567,508.084,468.685,39.399,10.483,559.7,,82.723,20.421,14.945,,47.357,64.483,29.483,,,,35.0,30.319,,,0.0,177.525,350,350,,,,43.114,,,,,13.399,29.715,393.114,570.639,0,526.54,0.143,526.397,0.0,162.859,-0.755,688.644,,688.644,1259.283,
12/31/2012,1299.194,486.485,367.515,118.97,81.459,81.459,0,0,0,0,0,0,64.55,0.0,0.502,24.243,34.336,632.494,43.802,81.428,-37.626,99.248,,99.248,523.65,509.874,471.684,38.19,13.274,666.7,,91.868,14.099,14.597,,63.172,72.145,32.145,0.0,0.0,,40.0,31.627,0.0,0.0,0.0,195.64,340,340,0.0,0.0,,36.586,0.0,0.0,0.0,0.0,11.023,25.563,376.586,572.226,0,531.399,0.143,531.256,0.0,196.438,-0.869,726.968,,726.968,1299.194,
03/31/2013,1341.678,406.144,211.867,194.277,113.319,113.319,0,0,0,0,0,0,64.361,,0.678,9.216,48.906,583.824,46.742,,,190.878,,190.878,520.234,506.179,469.373,36.806,13.377,757.854,,77.942,10.758,11.392,,55.792,61.309,21.309,,,,40.0,35.202,,,0.0,174.453,330,330,,,,36.963,,,,,6.958,30.005,366.963,541.416,0,546.002,0.143,545.859,0.0,258.737,-4.477,800.262,0.0,800.262,1341.678,
