Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Provision for Doubtful Accounts,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Property Additions,Property Improvements,Change in Investments,Change in Notes,Change in Mortgages,Change in Real Estate Interest,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Preferred Dividends Other Distributions,Proceeds from Repayments of Borrowings,Change in Unsecured Debt,Change in Secured Debt,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1994,9.637,4.083,6.897,0.0,0.449,-1.792,,,,,,,,,,,,,,,,,,,,,
06/30/1994,11.226,5.206,7.269,0.0,0.026,-1.275,,,,,,,,,,,,,,,,,,,,,
09/30/1994,9.7,4.966,7.57,0.0,0.899,-3.735,,,,,,,,,,,,,,,,,,,,,
12/31/1994,14.636,6.211,8.065,0.0,0.321,0.039,,,,,,,,,,,,,,,,,,,,,
03/31/1995,16.107,6.623,8.368,0.0,-0.15,1.266,,,,,,,,,,,,,,,,,,,,,
06/30/1995,22.381001,5.203,8.62,0.0,0.388,8.17,,,,,,,,,,,,,,,,,,,,,
09/30/1995,8.861,5.918,8.827,0.0,0.241,-6.125,,,,,,,,,,,,,,,,,,,,,
12/31/1995,17.768,5.366,9.085,0.0,0.513,2.804,,,,,,,,,,,,,,,,,,,,,
03/31/1996,12.344,6.026,9.332,0.0,0.164,-3.178,,0.0,-17.136,0.0,-0.224,-0.704,0.0,,0.0,-18.063999,3.451,-12.546,,15.737,,,0.418,0.0,-0.158,-2.269,
06/30/1996,16.757999,6.897,9.344,0.0,0.669,-0.152,,0.0,-21.541,0.0,-0.051,-9.25,0.0,,0.0,-30.841999,12.697,-12.553,,-14.49,,,39.762001,0.0,-0.022,-1.387,
09/30/1996,13.68,8.123,9.449,0.0,0.375,-4.267,,0.0,-10.455,0.0,-0.059,-3.648,0.0,,0.0,-14.162,2.688,-13.312,,15.489,,,0.371,0.0,0.14,2.206,
12/31/1996,22.865999,7.696,10.028,0.0,-0.021,5.163,,4.68,-89.698997,-12.718,-0.076,-0.938,0.0,,0.0,-98.750999,49.884998,-13.673,,18.598,,,45.502998,0.0,-0.543,-26.0,
03/31/1997,17.208,9.311,10.124,0.0,0.159,-2.386,,0.0,-73.102997,-9.369,0.0,0.0,-9.545,0.0,0.0,-92.016998,75.529999,-14.403,0.0,4.191,,,85.574997,0.0,0.167,0.721,
06/30/1997,16.042,17.01,10.403,0.0,-7.049,-4.322,,0.0,-6.719,-14.202,0.0,0.0,-0.705,0.0,0.0,-21.625999,13.318,-15.746,0.0,28.512,,,0.469,0.0,0.083,7.734,
09/30/1997,14.904,9.489,10.326,0.0,1.053,-5.964,,9.364,-26.648001,-6.067,0.0,0.0,-0.1,0.0,0.0,-23.451,-6.262,-15.76,0.0,9.84,,,0.392,0.0,-0.734,-14.809,
12/31/1997,24.016001,10.694,10.546,0.0,0.28,2.496,,0.0,-121.433998,-20.711,0.0,-0.007,-0.097,0.0,0.0,-142.248993,130.589005,-14.835,-1.877,48.885999,,,97.032997,0.0,1.382,12.356,
03/31/1998,21.312,12.694,10.769,0.0,1.591,-3.742,,0.0,-28.843,0.0,0.0,0.0,-2.543,0.0,0.0,-31.386,8.921,-16.395,-1.988,27.048996,,,1.093,0.0,-0.838,-1.153,
06/30/1998,44.774,11.963,23.046,,11.65,-1.885,,,-29.013,-26.913,,-5.305,,,,-61.231,12.968,-36.845,-0.867,47.938,6.209,41.729,2.742,,,-3.489,
09/30/1998,16.867001,7.52,11.412,0.0,0.739,-2.804,,0.0,-63.932999,-19.396,0.0,0.0,-12.224,0.0,0.0,-95.553001,75.084,-14.501,-1.988,90.623003,,,1.487,0.0,-0.537,-3.602,
12/31/1998,28.785999,12.783,12.663,0.0,1.148,2.192,,0.0,0.0,-26.721001,0.0,0.0,-3.846,0.0,-0.295,-30.862,9.344,-16.986,-1.986,28.1,,,1.081,0.0,-0.865,7.268,
03/31/1999,22.302999,13.554,12.281,,0.497,-4.029,,,-15.26,-16.365999,,,-4.397,,,-36.022999,9.037,-18.995001,-0.809,28.497999,,,0.343,,,-4.683,
06/30/1999,41.972,6.815,24.931999,,8.469,1.756,,,-22.736,-40.238998,,,-5.297,,,-68.272003,7.369,-38.030998,-1.582,45.239001,,,1.743,,,-18.931,
09/30/1999,54.312,14.186,37.313,,8.618,-5.805,,,-25.337,-64.973999,,,-7.176,,,-97.487,20.666,-57.112999,-2.225,77.973997,,,2.03,,,-22.509001,
12/31/1999,47.870998,13.888,12.698,,0.827,0.089,,19.160999,0.0,-25.822001,,,4.835,,,-1.826,-29.028,-19.504,-0.093,,,,0.213,-2.565,,17.017,
03/31/2000,32.442,14.139,12.655,,0.208,5.44,,,-17.879,-21.941,,,-3.448,,,-43.268,12.799,-19.425,0.501,53.113,153.5,-100.387,0.697,-22.087,,1.973,
06/30/2000,58.960999,32.213001,25.993,,-3.057,3.812,,47.157001,-19.573,-59.668999,,,2.34,,,-29.745001,-22.268,-38.491001,0.751,35.474998,,,2.629,-22.632,,6.948,
09/30/2000,84.750999,46.633999,39.432999,,-2.195,0.879,,47.157001,-23.093,-98.462997,,,2.187,,,-72.211998,-10.551,-57.588001,-0.153,66.584,,,3.238,-22.632,,1.988,
12/31/2000,21.395,13.889,13.826,,0.148,-6.468,,0.0,-0.461,-47.375,,,-1.693,,,-49.528999,25.764999,-19.910999,0.456,,,,0.19,0.0,,-2.369,
03/31/2001,29.896,14.233,14.144,,0.563,0.956,,,-33.534,-54.43,,,0.675,,,-87.289,57.179,-19.933,-0.71,76.885,75.0,1.885,0.937,,,-0.214,
06/30/2001,57.183998,36.400002,28.957001,,-5.984,-2.189,,16.254999,-41.761002,-102.652,,,3.477,,,-124.681,87.614998,-39.904999,-0.736,127.909,,,0.347,,,20.118,
09/30/2001,87.393997,51.582001,44.110001,,-5.349,-2.949,,16.254999,-58.089001,-146.710007,,,3.377,,,-185.167007,101.052002,-60.047001,-1.064,161.393997,,,0.769,,,3.279,
12/31/2001,21.150999,17.174,15.804,,-2.795,-9.032,,8.808,-3.326,-52.351002,,,-0.102,,,-46.971001,28.747,-20.546,0.053,-81.516998,,,130.757004,,,2.927,
03/31/2002,31.836,-1.331,16.021,,13.022,4.124,,,,-51.382,,,-7.566,,,-58.948,26.874,-22.608,-1.182,42.13,11.0,31.13,8.534,,,-0.238,
06/30/2002,64.256,34.004,32.03,,-1.838,0.06,,7.394,,-123.474,,,-7.534,,,-123.614,60.518,-46.301,-1.724,40.653,,,67.89,,,1.16,
09/30/2002,96.864,52.508,48.104,,-0.673,-3.075,,7.394,,-181.167,,,5.655,,,-168.118,78.343,-71.229,-2.785,82.196,,,70.161,,,7.089,
12/31/2002,22.205,2.779,16.425,,15.597,-12.596,,55.15,,-62.769,,,-0.007,,,-7.626,-16.108,-25.232,-0.621,3.205,,,6.54,,,-1.529,
03/31/2003,24.677,16.376,17.449,,-0.305,-8.843,,,-15.559,-57.668,,,-1.965,,,-75.192,45.505,-25.353,-1.145,36.316,78.0,-41.684,35.687,,,-5.01,
06/30/2003,33.806,18.126,18.126,,1.099,-3.545,,1.441,0.0,-53.614,,,-0.452,,51.351,-1.274,-32.036,-27.099,-0.278,-17.289,58.0,-75.289,112.63,-100.0,,0.496,
09/30/2003,90.009,59.097,54.317,,-6.166,-17.239,,21.206,-15.559,-143.165,,,-2.436,,81.107,-58.847,-20.629,-78.48,-1.924,9.75,,,150.025,-100.0,,10.533,
12/31/2003,32.382,35.4,20.299,0.0,-10.238,-13.079,,22.703,-35.07,-31.359,0.0,0.0,-3.487,0.0,14.788,-32.425,1.355,-26.322,1.924,26.087,,,1.589,,-1.923,1.312,
03/31/2004,38.976,17.246,20.622,,0.262,0.846,,,-97.134,-22.835,,,-0.919,,,-120.888,74.884,-26.342,-0.63,99.885,35.5,64.385,1.971,,,-7.028,
06/30/2004,39.617001,26.332001,23.236,0.0,-6.028,-3.923,,19.278999,0.0,-28.579,0.0,0.0,-2.488,0.0,0.0,-11.788,-10.666,-26.396,0.0,-88.880997,,,103.698997,0.0,0.912,17.163,
09/30/2004,129.212,62.238,67.525,,-1.567,1.016,,21.842,-97.274,-58.921,,,-1.978,-14.059,-5.489,-155.879,15.136,-80.33,-4.153,-8.184,-14.25,6.066,107.803,,,-11.531,
12/31/2004,44.936,21.918,22.913,0.0,-5.184,5.289,,34.283,-4.414,-32.565,0.0,0.0,-1.194,4.633,-2.475,-1.732,-36.166,-28.426,-3.398,-5.59,,,1.248,0.0,0.0,7.038,
03/31/2005,38.739,23.997,22.595,,-1.866,-5.987,,13.499,-64.267,-27.701,,,-0.445,,-1.946,-80.86,39.291,-28.613,-0.959,55.286,65.0,-9.714,13.577,,,-2.83,
06/30/2005,50.406,24.807,22.992,,1.296,1.311,,33.081,-3.136,-33.69,,,8.402,,-1.362,-18.579,-45.847,-28.343,-1.324,-8.505,,,0.0,-7.675,,-14.02,
09/30/2005,45.72,30.68,22.724,0.0,-0.781,-6.903,,36.673,-0.052,-41.645,0.0,0.0,4.709,0.0,-1.959,-2.274,-40.498,-31.843,-1.136,-9.147,,,7.675,-6.047,0.0,2.948,
12/31/2005,40.076,35.128,23.192,0.0,-20.354,2.11,,29.888,-29.465,-66.621,0.0,0.0,-3.319,-0.013,-3.361,-51.017,3.007,-41.701,-1.32,42.324,,,13.722,-10.018,0.0,-7.934,
03/31/2006,47.401,31.031,24.037,,-7.455,-0.212,,33.925,-20.847,-23.177,,,-0.091,,-1.709,-11.899,-39.349,-41.861,-0.786,1.709,43.5,-41.791,1.589,,,-3.847,
06/30/2006,46.397,38.256,24.302,,-14.054,-2.107,,41.972,-12.444,-27.872,,,-0.428,-4.93,-2.125,-5.976,-31.171,-31.588,-1.476,1.631,,,0.262,,,9.25,
09/30/2006,60.283,24.984,23.979,0.0,-0.989,12.309,,6.448,-190.983,-28.809,0.0,0.0,0.137,-0.028,2.364,-215.407,221.132,-31.63,-1.154,98.812,,,155.104,0.0,0.0,66.008,
12/31/2006,30.32,24.441,25.561,0.0,0.574,-21.996,,0.0,-42.71,-39.821,0.0,0.0,0.228,0.629,2.473,-79.201,-4.728,-24.766,-1.321,155.124,,,0.0,-133.765,0.0,-53.609,
03/31/2007,55.685,23.136,26.484,0.0,0.412,5.653,,0.0,-24.593,-30.586,0.0,0.0,0.175,-21.628,-1.962,-78.594,27.401,-31.81,-1.039,57.781,59.5,-1.719,2.469,0.0,0.0,4.492,
06/30/2007,54.546,26.718,26.901,0.0,-0.595,1.522,,51.857,-24.905,-39.529,0.0,0.0,0.078,1.622,-3.276,-14.153,-44.662,-32.419,-2.069,-12.437,,,2.263,0.0,0.0,-4.269,
09/30/2007,48.503,23.515,26.072,0.0,1.962,-3.046,,0.0,-0.075,-35.782,0.0,0.0,0.285,-0.412,-1.332,-37.316,-12.624,-32.556,-1.404,19.017,,,2.319,0.0,0.0,-1.437,
12/31/2007,55.475,122.168,26.509,0.0,-94.619,1.417,,32.122,-19.914,-31.458,0.0,0.0,0.102,0.958,-3.186,-21.376,6.311,-34.658,-2.396,-120.439,,,163.804,0.0,0.0,40.41,
03/31/2008,52.42,29.986,25.4,0.0,1.193,-4.159,,0.0,0.0,-36.23,0.0,0.0,-0.684,0.0,-1.901,-38.815,-36.642,-35.909,-0.922,-2.039,,-2.039,2.228,0.0,0.0,-23.037,
