Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,26.809,15.027,-46.737,12.48,7.579,,,,,,,,,,,,,,,,,,,
06/30/1990,,28.781,16.978001,-81.834999,4.156,-31.92,,,,,,,,,,,,,,,,,,,
09/30/1990,,34.804001,18.625999,-78.791,-5.289,-30.65,,,,,,,,,,,,,,,,,,,
12/31/1990,,38.604,23.153,-63.053001,10.235,8.939,,,,,,,,,,,,,,,,,,,
03/31/1991,,30.878,27.475,-19.479,15.611,54.485001,,,,,,,,,,,,,,,,,,,
06/30/1991,,33.158001,27.396999,43.619999,-12.398,91.777,,,,,,,,,,,,,,,,,,,
09/30/1991,,40.326,28.535,-3.764,16.098,81.195,,,,,,,,,,,,,,,,,,,
12/31/1991,,44.851002,22.511,39.09,-41.063,65.389,,,,,,,,,,,,,,,,,,,
03/31/1992,,35.894001,30.68,-21.268,7.414,52.720001,,,,,,,,,,,,,,,,,,,
06/30/1992,,38.344002,33.139,-73.903999,-16.138,-18.559,,,,,,,,,,,,,,,,,,,
09/30/1992,,46.691002,31.902,-17.252001,2.648,63.988998,,,,,,,,,,,,,,,,,,,
12/31/1992,,51.803001,33.660999,-24.568001,-7.818,53.077999,,,,,,,,,,,,,,,,,53.077999,,
03/31/1993,,41.816002,38.042,44.449001,9.363,133.669998,,,,,,,,,,,,,,,,,,,
06/30/1993,,46.061001,38.400002,44.132999,-0.274,128.320007,,,,,,,,,,,,,,,,,,,
09/30/1993,,56.643002,36.231998,-233.070999,8.845,-131.350998,,,,,,,,,,,,,,,,,,,
12/31/1993,,63.276001,36.300999,6.514,-4.182,101.908997,,,,,,,,,,,,,,,,,101.908997,,
03/31/1994,,52.344002,42.212002,-2.643,8.528,100.441002,,,,,,,,,,,,,,,,,,,
06/30/1994,,58.235001,45.862,39.966999,9.534,153.598007,,,,,,,,,,,,,,,,,,,
09/30/1994,,73.754997,42.585999,28.172001,4.31,148.822998,,,,,,,,,,,,,,,,,,,
12/31/1994,,82.259003,42.784,-80.695,-0.473,43.875,,,,,,,,,,,,,,,,,,,
03/31/1995,,68.724998,40.418999,-52.826,3.33,59.647999,,,-85.763,,,,,,,,,,,,,,,,
06/30/1995,,76.834999,51.862,-91.474998,15.423,52.645,,,-98.045998,,,,,,,,,,,,,,,,
09/30/1995,,97.327003,56.659,163.934006,-184.733994,133.186005,,,-32.366001,,,,,,,,,,,,,,,,
12/31/1995,,110.211998,65.82,-243.056,162.218002,95.194,,,-128.315002,,,,,,,,,,,,,,,,
03/31/1996,,92.222,71.994003,-197.417007,17.900999,-15.3,,,-74.68,,,,,,,,,,,,,,,,
06/30/1996,,103.32,70.992996,-138.666,-7.568,28.079,,,-72.785004,,,,,,,,,,,,,,,,
09/30/1996,,129.522995,59.575001,312.747986,-554.33197,-52.486,,,-68.709999,,,,,,,,,,,,,,,,
12/31/1996,,149.429993,72.264,54.806,-272.493011,4.007,,,-86.998001,,,,,,,,,,,,,,,,
03/31/1997,,123.942001,90.402,95.110001,-268.516998,40.937,,,-107.231003,,,,,,,,,,,,,,,,
06/30/1997,,138.432999,121.185997,132.878998,-317.247986,75.25,,,-163.516998,,,,,,,,,,,,,,,,
09/30/1997,,171.826004,96.594002,66.612,-1338.401001,-1003.369019,,,-205.223999,,,,,,,,,,,,,,,,
12/31/1997,,188.298996,97.815002,-123.149002,846.882019,1009.846985,,,-184.074005,,,,,,,,,,,,,,,,
03/31/1998,,149.395996,142.100998,0.841,-177.781006,114.556999,,,-91.306,,,,,,,,,,,,,,,,
06/30/1998,,171.988007,137.108994,-32.257,-53.365002,223.475006,,,-62.405998,,,,,,,,,,,,,,,,
09/30/1998,,216.593002,146.440002,25.653999,-523.607971,-134.921005,,,-31.009001,,,,,,,,,,,,,,,,
12/31/1998,,238.289001,140.975998,-37.014999,-35.040001,307.209991,,,-29.919001,,,,,,,,,,,,,,,,
03/31/1999,,185.992996,169.951004,139.186996,-138.860992,356.269989,,,-54.747002,,,,,,,,,,,,,,,,
06/30/1999,,227.182007,236.227997,-2.93,10.083,470.562988,,,-61.924999,,,,,,,,,,,,,,,,
09/30/1999,,291.484009,211.203995,84.068001,-284.559998,302.196014,,,-64.949997,,,,,,,,,,,,,,,,
12/31/1999,,319.764008,217.973999,-144.703003,-113.210999,279.824005,,,-53.501999,,,,,,,,,,,,,,,,
03/31/2000,,234.570999,224.451996,117.837997,-183.709,393.152008,,,-51.029999,,,,,,,,,,,,,,,,
06/30/2000,,285.385986,216.231995,-105.412003,-1108.067017,-711.861023,,,-67.597,,,,,,,,,,,,,,,,
