Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
07/03/1992,1893.360962,72.452003,72.452003,0,11.637,,,15.42,,,,,35.213001,,,,,134.722,1369.287964,,,0.0,,389.351013,,,,389.351013,1758.638977,,61.014999,61.014999,,,,154.022003,,,,,,210.633011,,,210.633011,425.670013,1041.665039,,,,,0.0,,,,,0.0,1041.665039,1467.335052,0.0,350.024994,,,-0.162,,76.162999,426.025993,0.0,426.025993,1893.361046,
10/02/1992,1922.656982,117.017998,117.017998,0,10.747,,,13.964,,,,,34.978001,,,,,176.707001,1359.692993,,,0.0,,386.256989,,,,386.256989,1745.949982,,68.098,68.098,,,,157.389008,,,,,,216.847984,,,216.847984,442.334991,1023.64502,,,,,0.0,,,,,0.0,1023.64502,1465.980011,0.0,350.024994,,,-0.162,,106.814,456.676994,0.0,456.676994,1922.657005,
01/01/1993,1841.725952,56.541,56.541,0,10.964,,,12.854,,,,,26.593,,,,,106.952003,1351.667969,1529.926025,-178.257996,0.0,,383.105988,,,,383.105988,1734.773956,,56.985001,56.985001,,,,143.806,,,,,,199.276993,,,199.276993,400.067993,977.172974,,,,,0.0,,,,,0.0,977.172974,1377.240967,0.0,350.244995,,,-0.416,,114.655998,464.484993,0.0,464.484993,1841.72596,
04/02/1993,1850.13501,34.623001,34.623001,0,8.754,,,14.835,,,,,37.451,,,,,95.663002,1373.074951,,,0.0,,381.397003,,,,381.397003,1754.471954,,51.987,51.987,,,,147.309006,,,,,,219.246994,,,219.246994,418.542999,961.942993,,,,,0.0,,,,,0.0,961.942993,1380.485992,0.0,350.244995,,,-0.416,,119.819999,469.648994,0.0,469.648994,1850.134987,
07/02/1993,1861.56897,41.599998,41.599998,0,8.509,,,13.741,,,,,40.063,,,,,103.913002,1379.767944,,,0.0,,377.888,,,,377.888,1757.655945,,51.699001,51.699001,,,,77.875999,,,,,,248.302013,,,248.302013,377.877014,793.228027,,,,,0.0,,,,,0.0,793.228027,1171.105042,0.0,543.549988,,,-0.416,,147.330001,690.463989,0.0,690.463989,1861.569031,
10/01/1993,1829.848999,30.917999,30.917999,0,8.727,,,11.395,,,,,34.011002,,,,,85.051003,1367.531982,,,0.0,,377.265991,,,,377.265991,1744.797974,,45.895,45.895,,,,69.665001,,,,,,232.529995,,,232.529995,348.089996,762.075989,,,,,0.0,,,,,0.0,762.075989,1110.165985,0.0,543.549988,,,-0.416,,176.548996,719.682983,0.0,719.682983,1829.848969,
12/31/1993,1811.83606,32.342999,32.342999,0,7.463,,,10.38,,,,,30.808001,,,,,80.994003,1355.387939,1607.935059,-252.546997,0.0,,375.45401,,,,375.45401,1730.841949,,62.962002,62.962002,,,,70.871002,,,,,,217.95499,,,217.95499,351.787994,727.291992,,,,,0.0,,,,,0.0,727.291992,1079.079987,0.0,543.776978,,,-0.312,,189.291004,732.755981,0.0,732.755981,1811.835968,
03/31/1994,1802.203979,27.271999,27.271999,0,7.989,,,10.834,,,,,28.357,,,,,74.452003,1356.332031,,,0.0,,371.420013,,,,371.420013,1727.752045,,59.287998,59.287998,,,,70.871002,,,,,,232.252987,,,232.252987,362.411987,676.982971,,,,,0.0,,,,,0.0,676.982971,1039.394958,0.0,544.120972,,,-0.312,,219.000004,762.808975,0.0,762.808975,1802.203934,
06/30/1994,1874.406006,57.278,57.278,0,7.752,,,12.129,,,,,23.843,,,,,101.001999,1406.307007,,,0.0,,367.096985,,,,367.096985,1773.403992,,59.659,59.659,,,,30.657,,,,,,249.681009,,,249.681009,339.997009,743.536987,,,,,0.0,,,,,0.0,743.536987,1083.533997,0.0,544.437012,,,-0.312,,246.746998,790.872009,0.0,790.872009,1874.406006,
09/30/1994,1861.286011,38.743999,38.743999,0,8.689,,,11.998,,,,,25.756001,,,,,85.186996,1410.583008,,,0.0,,365.515991,,,,365.515991,1776.098999,,53.726002,53.726002,,,,30.657,,,,,,236.797998,,,236.797998,321.181,706.742981,,,,,0.0,,,,,0.0,706.742981,1027.923981,0.0,,,,,,833.362,833.362,0.0,833.362,1861.28598,
