Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
11/30/1994,36.465,,-23.417999,,13.047001,,-8.842,,,,,,4.205,0.0,,0.0,,0.0,0.0,4.205,-1.661,2.544,0.0,,,2.544,0.0,2.544,0.0,,2.544,2.544,,116.047655,0.021728,0.021728,,116.047655,0.021728,0.021728,0.021728,
02/28/1995,36.028999,,-24.224001,,11.804998,,-10.059,,,,,,1.746,0.0,,0.0,,0.0,0.0,1.746,-0.896,0.85,0.0,,,0.85,0.0,0.85,0.0,,0.85,0.85,,165.984144,0.005267,0.005267,,165.984144,0.005267,0.005267,0.005267,
05/31/1995,45.501999,,-26.188,,19.313999,,-10.374,,,,,,8.94,0.0,,0.0,,0.0,0.0,8.94,-3.892,5.048,0.0,,,5.048,0.0,5.048,0.0,,5.048,5.048,,171.576981,0.029849,0.029849,,171.576981,0.029849,0.029849,0.029849,
08/31/1995,45.432999,,-28.292,,17.140999,,-10.203,,,,,,6.938,0.0,,0.0,,0.0,0.0,6.938,-2.78,4.158,0.0,,,4.158,0.0,4.158,0.0,,4.158,4.158,,170.631562,0.024582,0.024582,0.024582,170.631562,0.024582,0.024582,0.024582,
11/30/1995,49.727001,,-29.959,,19.768002,,-11.923,,,,,,7.845,0.0,,,,0.0,0.0,7.845,-3.256,4.589,0.0,,,4.589,0.0,4.589,0.0,,4.589,4.589,,170.889748,0.026337,0.026337,0.026337,170.889748,0.026337,0.026337,0.026337,
02/29/1996,46.358002,,-29.294001,,17.064001,,-12.345,,,,,,4.719,0.0,,,,0.0,0.0,4.719,-1.833,2.886,0.0,,,2.886,0.0,2.886,0.0,,2.886,2.886,,172.362937,0.016724,0.016724,0.016724,172.362937,0.016724,0.016724,0.016724,
05/31/1996,58.991001,,-33.978001,,25.013,,-12.072,,,,,,12.941,0.0,,,,0.0,0.0,12.941,-5.241,7.7,0.0,,,7.7,0.0,7.7,0.0,,7.7,7.7,,173.669064,0.044444,0.044444,0.044444,173.669064,0.044444,0.044444,0.044444,
08/31/1996,59.199001,,-36.807999,,22.391002,,-12.899,,,,,,9.492,0.0,,0.0,,0.0,0.0,9.492,-3.275,6.217,0.0,,,6.217,0.0,6.217,0.0,,6.217,6.217,,174.197243,0.035556,0.035556,0.035556,174.197243,0.035556,0.035556,0.035556,
11/30/1996,66.093002,,-39.608002,,26.485001,,-15.227,,,,,,11.258,0.89,,,,0.0,-0.89,12.148,-4.859,7.289,0.0,,,7.289,0.0,7.289,0.0,,7.289,7.289,,174.17362,0.041481,0.041481,0.041481,174.17362,0.041481,0.041481,0.041481,
02/28/1997,60.695999,,-38.089001,,22.606998,,-15.078,,,,,,7.529,0.956,,,,0.0,-0.956,8.485,-3.393,5.092,0.0,,,5.092,0.0,5.092,0.0,,5.092,5.092,,169.975121,0.02963,0.02963,0.02963,174.845249,0.02963,0.02963,0.02963,
05/31/1997,76.633003,,-43.571999,,33.061005,,-15.014,,,,,,18.047001,1.209,,,,0.0,-1.209,19.256001,-7.702,11.554,0.0,,,11.554001,0.0,11.554,0.0,,11.554,11.554,,170.511748,0.068148,0.068148,0.068148,174.899245,0.065185,0.065185,0.065185,
08/31/1997,75.773003,,-46.451,,29.322003,,-15.516,,,,,,13.806,1.286,,,,0.0,-1.286,15.092,-5.648,9.444,0.0,,,9.444,0.0,9.444,0.0,,9.444,9.444,,175.618125,0.053333,0.053333,0.053333,175.618125,0.053333,0.053333,0.053333,
11/30/1997,87.875,,-51.862999,,36.012001,,-19.771999,,,,,,16.24,1.325,,,,0.0,-1.325,17.565,-6.956,10.609,0.0,,,10.609,0.0,10.609,0.0,,10.609,10.609,,172.705503,0.061333,0.061333,0.061333,177.049125,0.059259,0.059259,0.059259,
02/28/1998,85.078003,,-53.436001,,31.642002,,-20.23,,,,,,11.412,1.386,,,,0.0,-1.386,12.798,-5.068,7.73,0.0,,,7.73,0.0,7.73,0.0,,7.73,7.73,,173.633622,0.044444,0.044444,0.044444,177.828747,0.044444,0.044444,0.044444,
05/31/1998,105.200996,,-61.092999,,44.107997,,-19.983,,,,,,24.125,1.582,,,,0.0,-1.582,25.707,-10.185,15.522,0.0,,,15.522,0.0,15.522,0.0,,15.522,15.522,,174.28275,0.088889,0.088889,0.088889,178.3125,0.088889,0.088889,0.088889,
08/31/1998,106.723,,-66.199997,,40.523003,,-22.233,,,,,,18.290001,1.912,,,,0.0,-1.912,20.202001,-7.766,12.436,0.0,,,12.436001,0.0,12.436,0.0,,12.436,12.436,,174.599996,0.071111,0.071111,0.071111,178.587004,0.071111,0.071111,0.071111,
11/30/1998,115.698,,-67.668,,48.03,,-27.057,,,,,,20.973,1.312,,,,0.0,-1.312,22.285,-8.747,13.538,0.0,,,13.538,0.0,13.538,0.0,,13.538,13.538,,174.3795,0.075556,0.075556,0.075556,178.10775,0.075556,0.075556,0.075556,
02/28/1999,109.356,,-65.619,,43.737,,-28.053,,,,,,15.684,1.304,,,,0.0,-1.304,16.988,-6.833,10.155,0.0,,,10.155,0.0,10.155,0.0,,10.155,10.155,,175.563,0.057778,0.057778,0.057778,178.18875,0.057778,0.057778,0.057778,
05/31/1999,138.107,,-78.873,,59.234,,-28.86,,,,,,30.374,1.366,-1.366,,-1.366,0.0,0.0,31.74,-12.78,18.96,0.0,,,18.96,0.0,18.96,0.0,,18.96,18.96,,175.41675,0.106667,0.106667,0.106667,177.5565,0.106667,0.106667,0.106667,
08/31/1999,135.685,,-78.902,,56.783,,-31.061,,,,,,25.722,1.247,,,,0.0,-1.247,26.969,-10.617,16.352,0.0,,,16.352,0.0,16.352,0.0,,16.352,16.352,,173.78775,0.093333,0.093333,0.093333,175.653,0.093333,0.093333,0.093333,
