Date,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
09/30/2012,27.285,,38.167,,,1.356442,,0.463035,,
03/31/2013,24.827,,54.143,,,1.033774,,0.414354,,
06/30/2013,10.406,,32.915,,,0.43644,,0.157939,,
03/31/2014,1.947,,0.125,,,0.072922,,0.026602,,
06/30/2014,11.538,,7.051,,,0.425007,,0.157735,,
09/30/2014,0.215,,32.374,,,0.007455,,0.002916,,
03/31/2015,1.164,,351.578,9.1,,0.033454,,0.010041,,
06/30/2015,7.725,7.725,257.624,43.4,301.024,0.206526,0.206526,0.066097,0.066097,
12/31/2015,3.997,3.997,345.989,,345.989,0.105716,0.105716,0.032589,0.032589,
03/31/2016,11.745,11.745,297.737,,297.737,0.299037,0.299037,0.094674,0.094674,
06/30/2016,40.922,40.922,206.485,,206.485,0.993648,0.993648,0.315811,0.315811,
09/30/2016,41.653,41.653,163.666,,163.666,0.918129,0.918129,0.32181,0.32181,
12/31/2016,33.539,33.539,238.069,,238.069,0.739115,0.739115,0.258511,0.258511,
03/31/2017,20.304,20.304,223.492,,223.492,0.438979,0.438979,0.155274,0.155274,
06/30/2017,58.531,58.531,83.749,,83.749,1.172555,1.172555,0.419692,0.419692,
09/30/2017,130.156,130.156,48.78,,48.78,2.350403,2.350403,0.912408,0.912408,
12/31/2017,177.031,177.031,13.121,,13.121,3.078925,3.078925,1.255996,1.255996,
03/31/2018,223.582,223.582,13.664,,13.664,3.964872,3.964872,1.543543,1.543543,
06/30/2018,128.211,128.211,8.378,,8.378,2.25454,2.25454,0.83636,0.83636,
09/30/2018,128.302,128.302,12.687,,12.687,2.070025,2.070025,0.837692,0.837692,
12/31/2018,17.217,17.217,117.879,,117.879,0.28873,0.28873,0.113225,0.113225,
03/31/2019,38.989,38.989,137.721,,137.721,0.660237,0.660237,0.247375,0.247375,
06/30/2019,26.237,26.237,1.771,,1.771,0.426594,0.426594,0.164331,0.164331,
09/30/2019,0.381,0.381,332.149,,332.149,0.006073,0.006073,0.00239,0.00239,
12/31/2019,3.429,3.429,192.034,,192.034,0.052628,0.052628,0.020552,0.020552,
03/31/2020,1.411,1.411,451.791,,451.791,0.032254,0.032254,0.008571,0.008571,
06/30/2020,4.235,4.235,0.0,,0.0,0.097648,0.097648,0.024161,0.024161,
