Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
02/28/1990,105.456001,,-87.816002,,17.639999,,-13.995,,,,3.645,-11.57,0.0,,0.0,11.57,-7.925,1.21,-6.715,0.0,,,-6.715,0.0,-6.715,0.0,,-6.715,-6.715,,15.129375,-0.442667,-0.442667,,15.129375,-0.442667,-0.442667,-0.442667,
05/31/1990,114.473999,,-94.329002,,20.144997,,-14.636,,,,5.509,2.661,0.0,,0.0,-2.661,8.17,-2.424,5.746,0.0,,,5.746,0.0,5.746,0.0,,5.746,5.746,,15.04875,0.378667,0.378667,,15.04875,0.378667,0.378667,0.378667,
08/31/1990,108.53334,,-89.023155,,19.510185,,-15.755547,,,,3.754638,0.874171,0.0,,0.0,-0.874171,4.628809,-0.904842,3.723967,0.0,,,3.723967,0.0,3.723967,0.0,,3.723967,3.723967,,14.919553,0.24,0.24,,14.919553,0.24,0.24,0.24,
11/30/1990,107.198,,-88.828,,18.37,,-15.632,,,,2.738,-2.799,0.0,,0.0,2.799,-0.061,1.19,1.129,0.0,,,1.129,0.0,1.129,0.0,,1.129,1.129,,14.145,0.08,0.08,0.08,14.145,0.08,0.08,0.08,
02/28/1991,89.275002,,-76.084,,13.191002,,-13.2,,,,-0.009,2.403,0.0,,0.0,-2.403,2.394,-0.386,2.008,0.0,,,2.008,0.0,2.008,0.0,,2.008,2.008,,14.458125,0.138667,0.138667,,14.458125,0.138667,0.138667,0.138667,
05/31/1991,97.837997,,-80.151001,,17.686996,,-13.726,,,,3.961,4.906,0.0,,0.0,-4.906,8.867,-2.574,6.293,0.0,,,6.293,0.0,6.293,0.0,,6.293,6.293,,14.46,0.437333,0.437333,,14.46,0.437333,0.437333,0.437333,
08/31/1991,101.442001,,-84.049004,,17.392998,,-13.8,,,,3.593,2.939,0.0,,0.0,-2.939,6.532,-1.753,4.779,0.0,,,4.779,0.0,4.779,0.0,,4.779,4.779,,14.461875,0.330667,0.330667,,14.461875,0.330667,0.330667,0.330667,
11/30/1991,113.061,,-90.856,,22.205,,-14.925,,,,7.28,1.8,0.0,,0.0,-1.8,9.08,-2.317,6.763,0.0,,,6.763,0.0,6.763,0.0,,6.763,6.763,,14.4225,0.464,0.464,0.464,14.4225,0.464,0.464,0.464,
02/28/1992,106.375999,,-88.300003,,18.075996,,-13.219,,,,4.857,4.212,0.0,,0.0,-4.212,9.069,-2.821,6.248,0.0,,,6.248,0.0,6.248,0.0,,6.248,6.248,,14.405625,0.432,0.432,,14.405625,0.432,0.432,0.432,
05/31/1992,114.503998,,-92.994003,,21.509995,,-14.815,,,,6.695,2.746,0.0,,0.0,-2.746,9.441,-2.789,6.652,0.0,,,6.652,0.0,6.652,0.0,,6.652,6.652,,14.41375,0.464,0.464,,14.41375,0.464,0.464,0.464,
08/31/1992,120.511002,,-99.040001,,21.471001,,-15.1,,,,6.371,1.953,0.0,,0.0,-1.953,8.324,-2.514,5.81,0.0,,,5.81,0.0,5.81,0.0,,5.81,5.81,,14.414999,0.4,0.4,,14.414999,0.4,0.4,0.4,
11/30/1992,132.01,,-104.961,,27.049,,-16.718,,,,10.331,2.101,0.0,,0.0,-2.101,12.432,-3.65,8.783,0.0,,,8.782,0.0,8.783,0.0,,8.783,8.783,,14.41625,0.608,0.608,0.608,14.41625,0.608,0.608,0.608,
02/28/1993,120.308197,,-98.083527,,22.22467,,-15.168445,,,,7.056221,1.947199,0.0,,0.0,-1.947199,9.00342,-2.8215,6.18192,0.0,,,6.18192,0.0,6.18192,0.0,,6.18192,6.18192,,14.419178,0.432,0.432,,14.419178,0.432,0.432,0.432,
05/31/1993,128.889008,,-104.598,,24.291008,,-16.103001,,,,8.188,2.006,0.0,,0.0,-2.006,10.194,-3.139,7.055,0.0,,,7.055,0.0,7.055,0.0,,7.055,7.055,,14.433,0.49,0.49,,14.433,0.49,0.49,0.49,
08/31/1993,121.176193,,-101.324677,,19.851517,,-15.837441,,,,4.01408,2.511197,0.0,,0.0,-2.511197,6.525277,-1.875,4.650277,0.0,,,4.650277,0.0,4.650277,0.0,,4.650277,4.650277,,14.44,0.32,0.32,,14.44,0.32,0.32,0.32,
11/30/1993,133.397,,-109.049,,24.348,,-16.363,,,,7.985,2.806,0.0,,0.0,-2.806,10.791,-2.809,7.982,0.0,,,7.982,0.0,7.982,0.0,,7.982,7.982,,14.44,0.55,0.55,0.55,14.44,0.55,0.55,0.55,
02/28/1994,121.664001,,-101.827003,,19.836998,,-15.471,,,,4.366,2.327,0.0,,0.0,-2.327,6.693,-1.963,4.73,0.51,,,4.22,0.0,4.22,0.0,,4.22,4.22,,14.552,0.29,0.33,,14.552,0.29,0.33,0.33,
05/31/1994,134.639008,,-108.842003,,25.797005,,-17.156,,,,8.641,2.316,0.0,,0.0,-2.316,10.957,-3.278,7.679,0.0,,,7.679,0.0,7.679,0.0,,7.679,7.679,,14.433,0.53,0.53,,14.433,0.53,0.53,0.53,
08/31/1994,124.967003,,-103.459,,21.508003,,-16.733,,,,4.775,1.963,0.0,,0.0,-1.963,6.738,-2.149,4.589,0.0,,,4.589,0.0,4.589,0.0,,4.589,4.589,,14.35,0.32,0.32,,14.35,0.32,0.32,0.32,
11/30/1994,129.291,,-105.266,,24.025,,-16.684,,,,7.341,3.051,0.0,,0.0,-3.051,10.392,-2.414,7.978,0.0,,,7.978,0.0,7.978,0.0,,7.978,7.978,,14.295,0.57,0.57,0.57,14.295,0.57,0.57,0.57,
02/28/1995,119.017998,,-102.929001,,16.088997,,-16.016001,,,,4.606,2.313,0.0,,0.0,-2.313,6.919,-2.023,4.896,0.0,,,4.896,0.0,4.896,0.0,,4.896,4.896,,14.086,0.35,0.35,0.35,14.086,0.35,0.35,0.35,
05/31/1995,119.017998,,-99.695999,,19.321999,,-16.49,,,,2.832,4.186,,,,-4.186,7.018,-2.041,4.977,0.0,,,4.977,0.0,4.977,0.0,,4.977,4.977,,14.088,0.35,0.35,0.35,14.088,0.35,0.35,0.35,
08/31/1995,119.183998,,-98.472,,20.711998,,-16.333,,,,4.379,3.797,,,,-3.797,8.176,-2.395,5.781,0.0,,,5.781,0.0,5.781,0.0,,5.781,5.781,,14.082,0.41,0.41,0.41,14.082,0.41,0.41,0.41,
