Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Net Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1990,180.705685,178.667087,178.667087,,1.697324,0.758086,0.211483,0.157285,0.15788,,0.157285,0.15788,0.15788,0.055109,0.020754,,4.603419,4.204522,,
06/30/1990,180.729183,178.837571,178.837571,,1.779374,0.816875,0.213182,0.154902,0.154902,,0.154902,0.154902,0.154902,0.055109,-0.502618,,4.45928,4.31289,,
09/30/1990,180.162459,179.358428,179.358428,,1.772462,0.81656,0.000842,0.010322,0.00983,,0.010322,0.00983,0.00983,0.065535,0.35792,,4.362779,4.277545,,
12/31/1990,180.16246,180.16246,180.16246,,1.75692,0.830112,0.215211,0.150731,0.150731,0.150731,0.150731,0.150731,0.150731,0.065535,0.868055,,4.362052,4.360026,,
03/31/1991,180.163356,179.001169,179.001169,,1.690967,0.858028,0.204211,0.144178,0.144178,,0.144178,0.144178,0.144178,0.065535,-0.093268,,3.414496,4.428686,,
06/30/1991,180.163356,178.95409,178.95409,,1.724772,0.914218,0.233825,0.165149,0.163838,,0.165149,0.163838,0.163838,0.065535,-0.771175,,5.564062,4.536089,,
09/30/1991,180.16334,178.913725,178.913725,,1.696181,0.934232,0.236214,0.16859,0.16859,,0.16859,0.16859,0.16859,0.068812,0.87507,,6.383419,4.623643,,
12/31/1991,180.163329,180.513799,180.513799,,1.687322,0.98003,0.253427,0.175471,0.175471,0.175471,0.175471,0.175471,0.175471,0.068812,-1.096177,,3.968799,4.734532,,
03/31/1992,180.16334,211.058924,211.058924,,1.638997,0.977812,0.254081,0.175127,0.175127,,0.175127,0.175127,0.175127,0.068812,-0.523347,,4.253951,4.841984,,
06/30/1992,197.582918,212.637156,212.637156,,1.78458,1.1751,0.270146,0.184502,0.185793,,0.184502,0.185793,0.185793,0.068812,1.477616,,4.167304,4.855546,,
09/30/1992,209.530709,211.548969,211.548969,,1.697631,1.130878,0.282417,0.193964,0.193964,,0.193964,0.193964,0.193964,0.077414,-1.753826,,3.667754,5.074917,,
12/31/1992,217.257256,215.494786,215.494786,,1.707234,1.169852,0.290592,0.203426,0.203426,0.203426,0.203426,0.203426,0.203426,0.077414,1.41732,,4.720616,5.199684,,
03/31/1993,217.566513,215.494786,215.494786,,1.686175,1.17104,0.376227,0.253744,0.253744,,0.253744,0.253744,0.253744,0.077414,1.159003,,3.535029,5.381954,,
