Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,702.187988,50.970001,50.970001,0.0,17.089001,,,,5.482,,,,,9.762,,,,,,,83.303001,471.893005,701.770996,-229.878006,0.0,146.992004,,,,146.992004,618.88501,,12.806,12.806,,,,29.216999,,,,,,33.370998,,,33.370998,75.393997,256.764008,,,,,108.449997,,,,108.449997,365.214005,440.608002,2.03,186.716003,,,0.0,,72.834,261.580003,0.0,261.580003,702.188005,
06/30/1990,694.112,44.52,44.52,0.0,17.646999,,,,4.643,,,,,7.681,,,,,,,74.490997,472.522003,708.572021,-236.050003,0.0,147.098999,,,,147.098999,619.621002,,13.056,13.056,,,,20.246,,,,,,34.272997,,,34.272997,67.574997,251.593994,,,,,107.343002,,,,107.343002,358.936996,426.511993,2.03,189.087997,,,0.0,,76.482002,267.6,0.0,267.6,694.111993,
09/30/1990,699.278015,36.653999,36.653999,0.0,19.583,,,,4.095,,,,,9.841,,,,,,,70.172997,481.903015,724.262024,-242.358994,0.0,147.201996,,,,147.201996,629.105011,,13.729,13.729,,,,18.625,,,,,,40.042004,,,40.042004,72.396004,246.110992,,,,,107.658997,,,,107.658997,353.769989,426.165993,1.89,190.065994,,,0.0,,81.155998,273.111992,0.0,273.111992,699.277985,
12/31/1990,706.411011,32.591,32.591,,19.610001,,,,4.015,,,,,9.681,,,,,,,65.897003,490.957001,734.825989,-243.869003,,149.557007,,,,149.557007,640.514008,,13.804,13.804,,,,37.5,,,,,,31.932,,,31.932,83.236,230.714996,,,,,111.544998,,,,111.544998,342.259994,425.495994,0.454,193.862,,,,,86.598999,280.914999,,280.914999,706.410993,
03/31/1991,706.755981,23.927,23.927,0.0,20.083,,,,4.478,,,,,6.536,,,,,,,55.023998,496.437988,742.421997,-245.983994,0.0,155.294006,,,,155.294006,651.731995,,10.187,10.187,,,,34.484001,,,,,,35.367001,,,35.367001,80.038002,228.587997,,,,,111.860001,,,,111.860001,340.447998,420.486,0.454,195.251007,,,0.0,,90.565002,286.27001,0.0,286.27001,706.75601,
06/30/1991,726.455017,26.205999,26.205999,0.0,21.546,,,,4.7,,,,,10.854,,,,,,,63.306,502.265015,756.627014,-254.362,0.0,160.884003,,,,160.884003,663.149017,,12.913,12.913,,,,38.500999,,,,,,30.525003,,,30.525003,81.939003,238.069,,,,,112.605003,,,,112.605003,350.674004,432.613007,0.454,197.294998,,,0.0,,96.093002,293.842,0.0,293.842,726.455007,
09/30/1991,766.775024,44.793999,34.793999,10.0,22.08,,,,4.231,,,,,12.692,,,,,,,83.796997,515.460022,768.815979,-253.356003,,167.518005,,,,167.518005,682.978027,,16.961,16.961,,,,34.577,,,,,,34.122004,,,34.122004,85.660004,261.261993,,,,,112.211998,,,,112.211998,373.473991,459.133995,0.454,204.007996,,,0.0,,103.179001,307.640996,0.0,307.640996,766.774992,
12/31/1991,764.539001,21.638,11.638,10.0,22.688999,,,,3.816,,,,,13.17,,,,,,,61.313,534.997986,796.140991,-261.143005,,168.227997,,,,168.227997,703.225983,,18.385,18.385,,,,28.110001,,,,,,29.554003,,,29.554003,76.049004,254.753006,,,,,113.760002,,,,113.760002,368.513008,444.562012,0.454,207.013,,,,,112.510002,319.977002,,319.977002,764.539014,
03/31/1992,866.66803,81.681002,78.205002,3.476,21.535999,,,,4.185,,,,,13.417,,,,,,,120.819,548.659973,819.718018,-271.058014,,197.188995,,,,197.188995,745.848969,,20.504999,20.504999,,,,15.228,,,,,,38.013003,,,38.013003,73.746002,338.536987,,,,,113.240997,,,,113.240997,451.777985,525.523987,0.454,219.804001,,,0.0,,120.886002,341.144002,0.0,341.144002,866.667989,
06/30/1992,1000.934021,34.325001,34.325001,,28.070999,,,,4.929,,,,,13.763,,,,,,,81.087997,627.718018,946.077026,-318.359009,,292.127991,,,,292.127991,919.846008,,28.254999,28.254999,,,,46.743999,,,,,,42.976999,,,42.976999,117.975998,400.088013,,,,,130.110992,,,,130.110992,530.199005,648.175003,0.454,221.503998,,,0.0,,130.800995,352.758993,0.0,352.758993,1000.933996,
