Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1999,671.446,1.24,1.24,0,43.339,43.339,,21.52,,,,,4.073,,,,,70.172,575.955,1095.882,-519.927,14.18,11.139,,,,,11.139,601.274,,33.069,33.069,,,,7.5,,,,,,15.777,,,,15.777,56.346,294.7,,,,,130.044,,,130.044,424.744,481.09,0.0,23.506,,,-30.083,198.044,-1.111,190.356,0.0,190.356,671.446,
06/30/1999,671.446,1.24,1.24,0,43.339,43.339,,21.52,,,,,4.073,,,,,70.172,575.955,1095.882,-519.927,14.18,11.139,,,,,11.139,601.274,,33.069,33.069,,,,7.5,,,,,,15.777,,,,15.777,56.346,294.7,,,,,130.044,,,130.044,424.744,481.09,0.0,23.506,,,-30.083,198.044,-1.111,190.356,0.0,190.356,671.446,
09/30/1999,671.446,1.24,1.24,0,43.339,43.339,,21.52,,,,,4.073,,,,,70.172,575.955,1095.882,-519.927,14.18,11.139,,,,,11.139,601.274,,33.069,33.069,,,,7.5,,,,,,15.777,,,,15.777,56.346,294.7,,,,,130.044,,,130.044,424.744,481.09,0.0,23.506,,,-30.083,198.044,-1.111,190.356,0.0,190.356,671.446,
03/31/2000,659.625,1.254,1.254,0,42.189,42.189,,13.486,,,,,3.005,,,,,59.934,575.096,1105.832,-530.736,13.545,11.05,,,,,11.05,599.691,,27.049,27.049,,,,0.0,,,,,,20.904,,,,20.904,47.953,278.4,,,,,135.067,,,135.067,413.467,461.42,0.0,23.506,,,-30.087,205.728,-0.942,198.205,0.0,198.205,659.625,
06/30/2000,657.232,1.202,1.202,0,36.785,36.785,,15.714,,,,,8.489,,,,,62.19,567.685,1100.866,-533.181,14.742,12.615,,,,,12.615,595.042,,40.479,40.479,,,,42.0,,,,,,122.529,,,,122.529,205.008,225.0,,,,,94.58,,,94.58,319.58,524.588,0.0,23.521,,,-30.123,140.026,-0.78,132.644,0.0,132.644,657.232,
09/30/2000,658.907,0.727,0.727,0,40.635,40.635,,19.61,,,,,9.942,,,,,70.914,561.182,1105.886,-544.704,14.201,12.61,,,,,12.61,587.993,,35.834,35.834,,,,151.3,,,,,,20.702,,,,20.702,207.836,225.0,,,,,94.032,,,94.032,319.032,526.868,0.0,23.523,,,-30.125,139.272,-0.631,132.039,0.0,132.039,658.907,
12/31/2000,705.378,2.386,2.386,0,77.041,77.041,,17.0,,,17.0,0.0,16.428,,,,,112.855,564.107,1118.723,-554.616,0.0,28.416,,,,,28.416,592.523,,54.304,54.304,,,,171.0,,,,,,14.58,,,,14.58,239.884,225.0,,,,,99.203,,,99.203,324.203,564.087,0.0,22.994,,,-28.485,148.353,-1.571,141.291,0.0,141.291,705.378,
03/31/2001,703.523,2.619,2.619,0,68.793,68.793,,17.79,0.0,0.0,17.79,0.0,22.895,,,,,112.097,563.568,1129.661,-566.093,0.0,27.858,0.0,0.0,0.0,,27.858,591.426,,41.389,41.389,,,,141.8,,,,,,38.653,,,,38.653,221.842,225.0,,,,,111.319,,,111.319,336.319,558.161,0.0,22.982,,,-28.451,164.365,-13.534,145.362,0.0,145.362,703.523,
06/30/2001,695.815,1.492,1.492,0,37.942,37.942,,24.127,0.0,0.0,24.127,0.0,13.847,,,,,77.408,588.751,1166.893,-578.142,0.0,29.656,0.0,0.0,0.0,,29.656,618.407,,34.885,34.885,,,,0.0,,,,,,16.164,,,,16.164,51.049,357.0,,,,,114.293,,,114.293,471.293,522.342,0.0,22.984,,,-28.445,171.235,3.415,169.189,4.284,173.473,695.815,
09/30/2001,707.211,0.673,0.673,0,27.959,27.959,,26.112,0.0,0.0,26.112,0.0,15.308,,,,,70.052,606.368,1197.66,-591.292,0.0,30.791,0.0,0.0,0.0,,30.791,637.159,,30.432,30.432,,,,0.0,0.0,0.0,0.0,,,20.446,,,,20.446,50.878,356.3,356.3,0.0,0.0,,117.669,,,117.669,473.969,524.847,0.0,22.976,,,-28.432,176.253,4.941,175.738,6.626,182.364,707.211,
