Date,Returns,Return on Common Equity,Return on Assets,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Source: Bloomberg
03/31/1999,,,,,9.053295,-79.29493,-137.007609,,-157.596817,-100.1324,-103.541867,-104.121146,,
06/30/1999,,,,,6.657609,-45.923913,-96.195652,,-118.75,-75.407609,-75.407609,-75.815217,,
09/30/1999,,,,,31.398104,-47.002371,-93.601896,,-113.388626,-72.867299,-72.867299,-73.341232,,
12/31/1999,,,,,-53.49468,-50.230972,-91.50432,,-111.046398,-72.90621,-70.937943,-71.389841,,
03/31/2000,,-68.902386,-14.05174,,26.721311,-14.836066,-49.344262,36.667748,-65.245902,-41.803279,-42.04918,-42.377049,,
06/30/2000,,-63.742917,-12.780894,,36.517615,0.745257,-30.149051,35.540541,-47.560976,-30.894309,-30.894309,-31.097561,,
09/30/2000,,-65.375433,-11.409159,,42.472173,7.147042,-21.499707,49.015064,-34.973638,-22.8471,-22.8471,-23.081429,,
12/31/2000,,-80.452411,-9.929153,,41.744066,1.083591,-25.283798,44.703885,-40.092879,-26.418989,-26.418989,-26.573787,,
03/31/2001,,-87.558977,-9.138647,,44.0,12.493827,-13.925926,39.751553,-28.987654,-19.407407,-19.308642,-19.506173,,
06/30/2001,,-86.405338,-7.890759,,49.30131,21.441048,-2.489083,47.665848,-16.244541,-10.786026,-10.786026,-10.917031,,
09/30/2001,,-80.835655,-7.166708,,42.814032,15.164089,-4.375707,26.588983,-16.295737,-10.863825,-10.863825,-10.97699,,
12/31/2001,,-111.325724,-5.978118,,46.212396,13.301921,-6.596593,37.515225,-17.977528,-11.63465,-11.888365,-12.033345,,
03/31/2002,,-110.774228,-4.591999,,50.73736,23.279494,4.775281,50.789793,-7.970506,-5.126404,-5.126404,-5.266854,,
06/30/2002,,-112.284866,-4.298794,,52.451955,25.314778,7.32273,38.186813,-8.217362,-5.632869,-5.632869,-5.732273,,
09/30/2002,,-68.521381,-2.89623,,53.183402,22.933164,4.307887,49.802372,-4.624644,-0.221729,-0.221729,-0.316756,,
12/31/2002,,-85.057471,-2.556843,,51.917404,23.893805,3.933137,103.424658,-13.208784,-8.357915,-8.357915,-8.48902,,
03/31/2003,,-113.153153,-2.634797,,50.865287,25.721072,5.089922,14.141414,-9.840516,-6.175772,-6.175772,-6.311503,,
06/30/2003,,-113.402062,-2.357598,,50.872093,28.036176,8.107235,38.461538,-4.780362,-2.971576,-2.971576,-3.068475,,
09/30/2003,,-129.299363,-2.56366,,51.257485,27.305389,8.502994,80.874317,-3.113772,-1.946108,-1.946108,-2.065868,,
12/31/2003,,,-2.946421,,52.887814,26.035682,6.894466,42.1875,-15.573027,-9.736922,-9.736922,-9.857877,,
03/31/2004,,,-2.549409,,49.258074,26.622054,7.593832,22.653061,-3.898749,-2.502182,-2.502182,-2.618563,,
