Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1997,821.802002,,-774.333008,,,47.468994,,-9.056,,,,,38.412998,-8.508,,9.463,,0.0,-0.955,29.904998,-10.094,19.811001,4.371,,,15.439998,0.0,15.44,-2.766,,12.674,12.674,,177.647995,0.0725,0.1125,0.1125,206.815994,0.075,0.095,0.095,
06/30/1997,1362.624023,,-1296.420044,,,66.203979,,-10.404,,,,,55.799999,-12.159,,14.218,,0.0,-2.059,43.640999,-16.013,27.628,10.869001,,,16.758997,0.0,16.759001,-1.826,,14.933001,14.933001,,200.656006,0.0725,0.1375,0.1375,218.636002,0.075,0.125,0.125,
09/30/1997,1975.665039,,-1864.05603,,,111.609009,,-17.502001,,,,,94.107002,-10.732,,12.193,,0.0,-1.461,83.375002,-31.382,51.993,0.432,,,51.561002,0.0,51.561001,0.0,,51.561001,51.561001,,223.800003,0.23,0.2325,0.2325,227.860001,0.225,0.2275,0.2275,
12/31/1997,1596.129028,,-1556.803955,,,39.325073,,-16.611,,,,,22.714001,-4.078,,6.581,,0.0,-2.503,18.636001,-6.3,12.336,0.0,,,12.336001,0.0,12.336,0.0,,12.336,12.336,,224.399992,0.055,0.055,0.055,228.800004,0.055,0.055,0.055,
03/31/1998,1362.359009,,-1309.772949,,,52.58606,,-17.33,,,,,35.256001,-44.539999,,6.822,,0.0,37.717999,-9.283998,3.4,-5.884,0.0,,,-5.883998,0.0,-5.884,0.0,,-5.884,-5.884,,224.595993,-0.0275,-0.0275,0.08,224.595993,-0.0275,-0.0275,0.08,
06/30/1998,1448.104,,-1346.46,,,101.644,0.0,-37.32,18.585,,,18.735,64.324,-6.685,,7.167,,,-0.482,57.639,-17.7,39.939,,,,39.939,,39.939,,0.0,39.939,39.939,,224.804,0.1775,0.1775,0.1775,229.412,0.175,0.175,0.175,
09/30/1998,1338.649048,,-1308.170044,,,30.479004,,-16.753,,,,,13.726,-7.615,,7.195,,0.0,0.42,6.111,-1.799988,4.311,0.0,,,4.311012,0.0,4.311,0.0,,4.311,4.311,,224.384003,0.02,0.02,0.02,226.604004,0.02,0.02,0.02,
12/31/1998,1390.234009,,-1366.994995,,,23.239014,,-16.813999,,,,,6.425,-143.981997,,11.295,,0.0,132.686996,-137.556996,51.900002,-85.656998,0.0,,,-85.656995,0.0,-85.656998,0.0,,-85.656998,-85.656998,,223.600006,-0.3825,-0.3825,0.005,223.600006,-0.3825,-0.3775,0.005,
03/31/1999,1337.103,,-1310.395,,,26.708,,-18.188,,,,,8.52,-12.536,12.457,12.457,,0.0,0.079,-4.016,1.3,-2.716,0.0,,,-2.716,0.0,-2.716,0.0,,-2.716,-2.716,,224.228,-0.0125,-0.0125,-0.0125,224.228,-0.0125,-0.0125,-0.0125,
06/30/1999,1824.45,,-1829.927,,,-5.477,,-14.54,,,,,-20.017,-14.168,14.518,14.518,,0.0,-0.35,-34.185,12.1,-22.085,0.0,,,-22.085,0.0,-22.085,,,-22.085,-22.085,,224.648,-0.0975,-0.0975,-0.0975,224.648,-0.0975,-0.0975,-0.0975,
09/30/1999,2161.938,,-2097.39,,,64.548,,-16.395,,,,,48.153,-13.341,15.122,15.122,,0.0,-1.781,34.812,-12.2,22.612,0.0,,,22.612,0.0,22.612,0.0,,22.612,22.612,,225.064,0.1,0.1,0.1,227.812,0.1,0.1,0.1,
12/31/1999,2637.677,,-2584.421,,,53.256,,-19.34,,,,,33.916,-10.34,13.332,13.332,,0.0,-2.992,23.576,-7.1,16.476,0.0,,,16.476,0.0,16.476,0.0,,16.476,16.476,,223.6,0.0725,0.0725,0.0725,226.4,0.0725,0.0725,0.0725,
03/31/2000,2928.617,,-2851.896,,,76.721,,-19.669,,,,,57.052,-10.113,12.76,12.76,,0.0,-2.647,46.939,-16.2,30.739,0.0,,,30.739,0.0,30.739,0.0,,30.739,30.739,,223.496,0.1375,0.1375,0.1375,228.936,0.135,0.135,0.135,
06/30/2000,3372.502,,-3190.985,,,181.517,,-23.125,,,,,158.392,-22.312,22.473,22.473,,0.0,-0.161,136.08,-48.4,87.68,0.0,,,87.68,0.0,87.68,0.0,0.0,87.68,87.68,,224.696,0.39,0.39,0.39,232.452,0.3775,0.3775,0.3775,
09/30/2000,4248.831,,-3982.02,,,266.811,,-42.901,,,,,223.91,-25.454,21.753,21.753,,0.0,3.701,198.456,-71.1,127.356,0.0,,,127.356,0.0,127.356,0.0,,127.356,127.356,,244.744,0.52,0.52,0.52,252.968,0.5025,0.5025,0.5025,
12/31/2000,4121.137,,-3905.416,,,215.721,,-44.811,,,,,170.91,-24.165,19.259,19.259,,0.0,4.906,146.745,-53.4,93.345,0.0,,,93.345,0.0,93.345,0.0,,93.345,93.345,,243.6,0.3825,0.3825,0.3825,253.2,0.3675,0.3675,0.3675,
03/31/2001,3769.288,,-3495.859,,,273.429,,-36.37,,,,,237.059,-22.377,18.717,18.717,,0.0,3.66,214.682,-78.6,136.082,0.0,,,136.082,0.0,136.082,0.0,0.0,136.082,136.082,,244.26,0.5575,0.5575,0.5575,255.444,0.5325,0.5325,0.5325,
06/30/2001,4499.108,,-3980.991,,,518.117,,-53.834,,,,,464.283,-24.62,23.877,23.877,,0.0,0.743,439.663,-164.8,274.863,0.0,,,274.863,0.0,274.863,0.0,0.0,274.863,274.863,,244.532,1.125,1.125,1.125,259.772,1.0575,1.0575,1.0575,
09/30/2001,3858.734,,-3632.775,,,225.959,,-37.619,,,,,188.34,-27.527,27.22,27.22,,0.0,0.307,160.813,-59.8,101.013,0.0,,,101.013,0.0,101.013,0.0,0.0,101.013,101.013,,242.8,0.415,0.415,0.415,255.6,0.395,0.395,0.395,
12/31/2001,2861.209,,-2712.156,,,149.053,,-37.392,,,,,111.661,-31.966,25.379,25.379,,0.0,6.587,79.695,-28.1,51.595,0.0,,,51.595,0.0,51.595,0.0,0.0,51.595,51.595,,240.4,0.215,0.215,0.215,252.4,0.205,0.205,0.205,
03/31/2002,5588.8,,-5366.4,,,222.4,,-222.2,,,,,0.2,-59.3,54.6,54.6,,0.0,4.7,-59.1,23.1,-36.0,0.0,,,-36.0,-2.6,-38.6,0.0,0.0,-38.6,-38.6,,420.0,-0.0925,-0.0925,-0.0925,420.0,-0.0925,-0.0925,-0.0925,
06/30/2002,7222.6,,-6891.6,,,331.0,,-230.9,,,,,100.1,-77.7,72.3,72.3,,0.0,5.4,22.4,-7.1,15.3,0.0,,,15.3,-4.0,11.3,0.0,0.0,11.3,11.3,,423.2,0.0275,0.0275,0.0275,442.4,0.025,0.025,0.025,
09/30/2002,8118.8,,-7751.8,,,367.0,,-236.7,,,,,130.3,-79.0,77.9,77.9,,0.0,1.1,51.3,-17.7,33.6,0.0,,,33.6,-3.8,29.8,0.0,0.0,29.8,29.8,,423.6,0.07,0.07,0.07,436.4,0.0675,0.0675,0.0675,
