Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1999,2926.10791,894.969971,213.559998,681.409973,168.815994,168.815994,146.712006,21.699711,102.519997,22.492001,0.0,51.939999,1262.437988,698.887024,1163.635986,-464.748993,767.450012,,197.332993,,,,197.332993,1663.670029,,31.576,31.576,0.0,,,,288.200001,288.200001,319.776001,149.990005,,,,66.638,66.638,216.628006,536.404007,0.0,1632.88501,0.0,707.465027,49.353943,2389.703979,0.0,2389.703979,2926.107986,
06/30/1999,6369.378906,912.977997,291.855988,621.122009,191.742996,,324.472992,21.677999,270.980988,31.813999,0.0,13.115,1442.30896,718.742981,1203.498047,-484.755005,808.023987,,3400.302979,3269.643066,,,130.659912,4927.069946,,32.173,32.173,0.0,,,,587.061985,587.061985,619.234985,149.988998,,,,471.303986,471.303986,621.292984,1240.527969,0.0,7028.954102,0.0,,-1900.103027,5128.851074,0.0,5128.851074,6369.379044,
09/30/1999,6169.39502,688.885971,172.613998,516.271973,185.220001,185.220001,284.971985,18.507,244.604004,21.861,0.0,13.74,1172.817993,721.98999,1221.524048,-499.533997,918.56897,,3356.018066,3173.860107,1667.381958,1506.478149,182.157959,4996.577026,,50.819,50.819,0.0,,,,304.627014,304.627014,355.446014,149.707993,,,,437.139008,437.139008,586.847,942.293015,0.0,7162.376953,0.0,-2000.715942,65.440918,5227.101929,0.0,5227.101929,6169.394943,
12/31/1999,6554.440918,742.684998,337.682007,405.002991,120.497002,,275.244995,19.903,228.091995,27.25,0.0,188.080002,1326.506958,730.085999,1249.582031,-519.495972,1214.756958,,3283.091064,3081.98999,,,201.101074,5227.934021,,33.123001,33.123001,0.0,,,,451.004013,451.004013,484.127014,149.707993,,,,637.801025,637.801025,787.509018,1271.636032,0.0,7196.928223,0.0,,-1914.123047,5282.805176,0.0,5282.805176,6554.441208,
03/31/2000,6454.638,631.49,306.989,324.501,242.034,242.034,254.922,23.907,199.391,31.624,0.0,117.43,1245.876,736.92,1277.825,-540.905,1280.274,1280.274,3191.568,2987.331,1590.062,1397.269,204.237,5208.762,,43.994,43.994,0.0,,,,194.978,194.978,238.972,149.692,,,,644.604,644.604,794.296,1033.268,0.0,7324.641,0.0,-2199.526,296.255,5421.37,0.0,5421.37,6454.638,
06/30/2000,6561.152,766.451,336.832,429.619,262.14,262.14,240.19,20.076,185.996,34.118,0.0,143.256,1412.037,739.698,1302.653,-562.955,1334.683,1334.683,3074.734,2904.441,1551.401,1353.04,170.293,5149.115,,40.57,40.57,0.0,,,,255.051,255.051,295.621,149.692,,,,649.144,649.144,798.836,1094.457,0.0,7357.072,0.0,-2213.687,323.31,5466.695,0.0,5466.695,6561.152,
09/30/2000,6932.54,996.786,384.085,612.701,238.993,238.993,237.834,21.467,196.973,19.394,0.0,146.919,1620.532,743.378,1328.076,-584.698,1567.247,1567.247,3001.383,2834.017,1512.773,1321.244,167.366,5312.008,,32.373,32.373,0.0,,,,378.31,378.31,410.683,149.692,,,,708.527,708.527,858.219,1268.902,0.0,7446.222,0.0,-2209.222,426.638,5663.638,0.0,5663.638,6932.54,
12/31/2000,6716.423828,1193.858948,551.383972,642.474976,162.121002,,265.829987,17.621,233.121002,15.088,0.0,171.612,1793.421997,752.892029,1357.223999,-604.33197,1265.515015,,2904.594971,2736.136963,1455.777954,1280.359009,168.458008,4923.002014,,39.113998,39.113998,0.0,0.0,0.0,0.0,414.177994,414.177994,453.291992,149.692001,149.692001,0.0,0.0,439.237,439.237,588.929001,1042.220993,0.0,6661.937988,0.0,-1319.353027,331.618042,5674.203003,0.0,5674.203003,6716.423996,
03/31/2001,6600.355,1332.073,581.939,750.134,269.57,269.57,294.62,18.163,258.62,17.837,0.0,86.836,1983.099,765.176,1392.688,-627.512,974.873,974.873,2877.207,2656.792,1417.457,1239.335,220.415,4617.256,,24.321,24.321,149.692,,,,374.304,374.304,548.317,,,,,376.196,376.196,376.196,924.513,,6697.293,0.0,-1292.603,271.152,5675.842,,5675.842,6600.355,
06/30/2001,6893.108,1392.806,373.568,1019.238,272.68,272.68,316.319,25.478,269.705,21.136,0.0,96.217,2078.022,790.504,1441.518,-651.014,1208.305,1208.305,2816.277,2573.156,1379.136,1194.02,243.121,4815.086,,24.838,24.838,149.692,,,,386.918,386.918,561.448,,,,,511.655,511.655,511.655,1073.103,,6743.118,0.0,-1253.956,330.843,5820.005,,5820.005,6893.108,
