Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/1995,,,1.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1995,,,1.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1995,,,1.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1995,,,1.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1996,-2.502,4.276,2.46,2.587,,,2.587,-11.825,,,,-11.825,,,-5.772,,,,-5.772,,,,,,,,,,5.772,,,,,,,,,,,,,
06/30/1996,-5.672,5.726,3.572,2.974,,,2.974,-17.944,,,,-17.944,,-6.061,-6.061,,,,-6.061,,,,,,,,,,0.0,,,,,,,,,,,,-11.733,
09/30/1996,10.147,-1.164,4.231,15.35,,,15.35,-8.27,,,,-8.27,,,-6.285,,,,-6.285,,,,,,,,,,6.285,,,,,,,,,,,,,
12/31/1996,16.474001,7.187,5.105,5.607,,,5.607,-1.425,,,,-1.425,,-7.346,-7.346,,,,-7.346,,,,,,,,,,0.0,,,,,,,,,,,,9.128001,
03/31/1997,5.017,11.788,11.089,-17.860001,,,-17.860001,0.0,,,,0.0,,-23.6,-12.988,0.0,,,-12.988,,,0.0,0.0,0.0,,,,,-10.612,13.877,0.0,12.108,,,,2.042,2.042,0.0,-0.273,,-4.706,
06/30/1997,-0.156,13.47,12.74,-26.365999,,,-26.365999,0.0,,,,0.0,,-129.100998,-13.299,0.0,,,-13.299,,,0.0,0.0,0.0,,,,,-115.801998,127.804,0.0,127.401,,,,0.37,0.37,0.0,0.033,,-1.453,
09/30/1997,12.573,14.632,14.194,59.012001,,,59.012001,-75.264999,,,,-75.264999,,-119.938004,-14.784,0.0,,,-14.784,,,0.0,0.0,0.0,,,,,-105.154004,116.419,0.0,115.118,,,,0.339,0.339,0.0,0.962,,9.054,
12/31/1997,4.633,15.137,8.222,52.327,,,52.327,-71.053001,,,,-71.053001,,-105.464996,-12.967,0.01,,,-12.977,,,0.0,0.0,0.0,,,,,-92.497996,90.777,0.0,88.002,,,,0.619,0.619,0.0,2.156,,-10.055,
03/31/1998,-35.556,-55.796001,19.594,32.471001,,,32.471001,-31.825001,,,,-31.825001,,-96.027,-12.937,0.0,,,-12.937,,,0.0,0.0,0.0,,,,,-83.09,190.947998,0.0,168.878998,,,,17.441,17.441,0.0,4.628,,59.365002,
06/30/1998,9.345,7.907,22.805,17.711,,,17.711,-39.077999,,,,-39.077999,,-190.751999,-22.905001,0.0,,,-22.905001,,,0.0,0.0,0.0,,,,,-167.846998,116.992025,0.0,114.051025,,,,2.174,2.174,0.0,0.767,,-64.415001,
09/30/1998,33.063,27.381001,24.205,8.997,,,8.997,-27.52,,,,-27.52,,-96.450996,-28.924999,0.0,,,-28.924999,,,0.0,0.0,0.0,,,,,-67.525997,95.143997,0.0,94.714997,,,,0.732,0.732,0.0,-0.303,,31.756001,
